K,exit,n,n_dates,mean,lo,hi,wr,tp_hit,sl_hit,timeout
3,time30m,40,18,0.03616925524340784,-0.18139835337205557,0.2588228024083582,0.525,,,
3,time30m_1perdate,18,18,0.06347984436050919,-0.29387183398557665,0.45575738882775285,0.5555555555555556,,,
3,time60m,40,18,0.16021640625355205,-0.20751038127332308,0.5466937069790613,0.6,,,
3,time60m_1perdate,18,18,0.23387944516903256,-0.33809881754137183,0.8285211976609432,0.5555555555555556,,,
3,time120m,40,18,0.07555425266762017,-0.47213338675819466,0.6142557920066004,0.725,,,
3,time120m_1perdate,18,18,0.25255205759110955,-0.48624536609363705,0.941111469774865,0.7222222222222222,,,
3,tp0.5/sl0.5/T120,40,18,0.02999999999999702,-0.12000000000000229,0.17999999999999503,0.65,0.65,0.35,0.0
3,tp0.8/sl0.5/T120,40,18,0.14230348698808476,-0.059295807951645414,0.33730348698808554,0.6,0.55,0.4,0.05
3,tp1.0/sl0.6/T180,40,18,0.2263309887479703,-0.01144266691401767,0.45754736180024086,0.6,0.525,0.375,0.1
3,tp1.5/sl0.75/T240,40,18,0.42689212543710375,0.0972663536840482,0.7393809847168431,0.625,0.475,0.325,0.2
3,tp0.6/sl0.3/T90,40,18,0.04103788047939291,-0.09396211952060674,0.17603788047939134,0.525,0.5,0.475,0.025
4,time30m,26,11,0.10854471529988152,-0.1719401948869831,0.4216499701091761,0.5769230769230769,,,
4,time30m_1perdate,11,11,-0.04856861084214283,-0.47165372885133633,0.4616418708927583,0.45454545454545453,,,
4,time60m,26,11,0.2201743136228789,-0.2637787083691052,0.7317499568098862,0.5769230769230769,,,
4,time60m_1perdate,11,11,0.15951664317787773,-0.5485565877485022,0.8988073258794772,0.5454545454545454,,,
4,time120m,26,11,-0.0007870033531693269,-0.7156114962933247,0.6940079368031634,0.6923076923076923,,,
4,time120m_1perdate,11,11,0.21877915611925786,-0.8461014857671643,1.1069768941136704,0.7272727272727273,,,
4,tp0.5/sl0.5/T120,26,11,-0.00461538461538737,-0.1969230769230784,0.1876923076923029,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.0
4,tp0.8/sl0.5/T120,26,11,0.11292735681202037,-0.1370726431879799,0.3629273568120184,0.5769230769230769,0.5384615384615384,0.4230769230769231,0.038461538461538464
4,tp1.0/sl0.6/T180,26,11,0.27938065740472084,-0.013420440448807528,0.5504232125372202,0.6538461538461539,0.5384615384615384,0.34615384615384615,0.11538461538461539
4,tp1.5/sl0.75/T240,26,11,0.41539812121670433,0.04411358825729818,0.7875529734694555,0.6538461538461539,0.4230769230769231,0.3076923076923077,0.2692307692307692
4,tp0.6/sl0.3/T90,26,11,0.030000000000002438,-0.1430769230769194,0.20307692307692504,0.5,0.5,0.5,0.0
