sym,slot,K,H,n,mean,lo,hi,ctrl_n,ctrl_mean
BTC,0830ET,3,15,9,0.015935168541884058,-0.13459554298594628,0.18665285440132157,59,-0.11974416835139264
BTC,0830ET,3,30,9,0.043569099984395177,-0.15016220594195928,0.25650604633178153,59,-0.1011960251945101
BTC,0830ET,3,60,9,0.264453326922091,-0.07514457714676809,0.5507878807797882,59,-0.11042372097957455
BTC,0830ET,5,15,7,0.001250345732960492,-0.17121965475050108,0.2056403557543455,61,-0.11361052190140873
BTC,0830ET,5,30,7,0.06530014658184602,-0.18945190356041572,0.32377152789387587,61,-0.09894335430638462
BTC,0830ET,5,60,7,0.2367379145456517,-0.18557854068758192,0.5998153458829184,61,-0.09495221307074823
BTC,1000ET,3,15,4,-0.19195019311644543,-0.6120982628580178,0.03655573896711524,64,-0.1298052313564984
BTC,1000ET,3,30,4,-0.04137267799832778,-0.5203196864285704,0.4513301201408363,64,-0.09115671830191865
BTC,1000ET,3,60,4,0.5449796510278632,0.12785147665458527,0.8935101196841377,64,-0.18597655378766195
BTC,1000ET,5,15,1,0.03178849780494164,,,67,-0.13592722503114363
BTC,1000ET,5,30,1,0.6878350803491039,,,67,-0.09981128005470462
BTC,1000ET,5,60,1,0.766710584820128,,,67,-0.1565565884047618
BTC,1400ET_FOMC,3,15,3,-0.18268095655716632,-0.49427933792077366,0.1490578855771989,65,-0.1448372277976799
BTC,1400ET_FOMC,3,30,3,-0.41078601134278436,-0.972396007687062,-0.10993320836274949,65,-0.14461341346536097
BTC,1400ET_FOMC,3,60,3,-0.07973856421298135,-0.11313627842915343,-0.04621951711723817,65,-0.22142739667684178
BTC,1400ET_FOMC,5,15,1,0.1490578855771989,,,67,-0.15091821734474464
BTC,1400ET_FOMC,5,30,1,-0.10993320836274947,,,67,-0.15704920449125473
BTC,1400ET_FOMC,5,60,1,-0.11313627842915343,,,67,-0.21669940594335083
ETH,0830ET,3,15,7,0.1905342049929222,-0.030762687679520423,0.5105903501390255,61,-0.10023677114905512
ETH,0830ET,3,30,7,0.6197858085091347,-0.058182877046373406,1.409549540183438,61,-0.11721334367114307
ETH,0830ET,3,60,7,0.8673312271042423,0.00012256580930998696,1.8449994200770927,61,-0.07295901000207532
ETH,0830ET,5,15,6,0.17266936837902738,-0.0661118006126614,0.514478331761227,62,-0.09381806153896888
ETH,0830ET,5,30,6,0.7423688629642907,-0.03682259597041473,1.6095469852531537,62,-0.1171891368090569
ETH,0830ET,5,60,6,0.9244952213675931,-0.12711983308888908,2.0189134505938084,62,-0.06332503788068479
ETH,1000ET,3,15,5,-0.4008009883775996,-0.8237332902318666,-0.08966256793019708,63,-0.17616133763503536
ETH,1000ET,3,30,5,-0.41789723050523264,-0.9153396651105499,0.07954520410008473,63,-0.11959621061478784
ETH,1000ET,3,60,5,-0.024835936544762127,-0.8590458936329947,0.8261561208568151,63,-0.2388873683152489
ETH,1000ET,5,15,0,,,,68,-0.19267895901316506
ETH,1000ET,5,30,0,,,,68,-0.14153010913614406
ETH,1000ET,5,60,0,,,,68,-0.2231482924497719
ETH,1400ET_FOMC,3,15,2,-0.24364826469271386,,,66,-0.17190119908342788
ETH,1400ET_FOMC,3,30,2,-0.6916358363012478,,,66,-0.1888955349176126
ETH,1400ET_FOMC,3,60,2,-0.3026507986735482,,,66,-0.23020336885832207
ETH,1400ET_FOMC,5,15,1,-0.555397053016611,,,67,-0.16831908381903074
ETH,1400ET_FOMC,5,30,1,-1.1632903131949286,,,67,-0.18935950244731345
ETH,1400ET_FOMC,5,60,1,-0.3745877756302393,,,67,-0.2302109875577032
SOL,0830ET,3,15,13,0.04240499954582395,-0.08638502651584154,0.1901686808400426,55,-0.10424373094936601
SOL,0830ET,3,30,13,0.09116641738928195,-0.14294992291491895,0.3650422093055359,55,-0.11878069746799368
SOL,0830ET,3,60,13,0.300504367028903,-0.11781701665397382,0.7194253127295516,55,-0.13632729970316163
SOL,0830ET,5,15,9,0.059983634094567834,-0.10674565351800772,0.2523359523467724,59,-0.09698293076221236
SOL,0830ET,5,30,9,0.08711353219109001,-0.22250458214965013,0.4483678487973351,59,-0.10392875804065757
SOL,0830ET,5,60,9,0.45901403702289756,-0.08341032074586528,1.0313893903370948,59,-0.1308910346695632
SOL,1000ET,3,15,5,0.01228630918435386,-0.2777898903366276,0.4182962301908996,63,-0.12881563247705272
SOL,1000ET,3,30,5,-0.11472666191337817,-0.5265330496906004,0.1875572375870997,63,-0.05381262899261394
SOL,1000ET,3,60,5,0.05410039101705623,-0.7015739810245268,0.8972024708940515,63,-0.1494854256037571
SOL,1000ET,5,15,2,-0.16960826173204002,,,66,-0.11688995116164351
SOL,1000ET,5,30,2,-0.04878132463689529,,,66,-0.05857979222466333
SOL,1000ET,5,60,2,0.4621433418309506,,,66,-0.1525964627517169
SOL,1400ET_FOMC,3,15,3,-0.12030979159246352,-0.2144414463033019,-0.06644530727004117,65,-0.14955825042709606
SOL,1400ET_FOMC,3,30,3,-0.20153326247139317,-0.5922072315164713,0.10760744410229178,65,-0.14182707731695426
SOL,1400ET_FOMC,3,60,3,0.10295366110743598,0.04066407818985748,0.22629728289824871,65,-0.20267891919213446
