sym,mech,t,side,gross,net,net_feeonly,bars,why,tp_pct,sl_pct,truncated,slice,seen_sym
1000PEPE,C1_pw_tp0.5,2026-06-15 12:00:00+00:00,1,0.028095541614948524,0.026239291614948524,0.026895541614948525,54,TP,2.8095541614948525,2.949449228875529,False,OVERLAP_0601_0705,True
1000PEPE,C1_pw_tp0.5,2026-06-23 08:00:00+00:00,-1,0.05012834616794998,0.047956471167949974,0.04892834616794998,357,TP,5.012834616794998,2.5113017144081944,False,OVERLAP_0601_0705,True
1000PEPE,C1_pw_tp0.5,2026-07-01 13:00:00+00:00,-1,-0.016009807047461144,-0.017824390380794475,-0.017209807047461143,14,SL,13.847822237960328,1.6009807047461144,False,OVERLAP_0601_0705,True
1000PEPE,C1_pw_tp0.5,2026-07-15 15:00:00+00:00,1,-0.015366046482484293,-0.01717854648248429,-0.016566046482484293,12,SL,5.374350086655109,1.5366046482484292,False,OOS_0706_0803,True
1000PEPE,C1_pw_tp0.5,2026-07-26 07:00:00+00:00,1,-0.03315459315681919,-0.035049384823485866,-0.03435459315681919,91,SL,3.1079007073268294,3.3154593156819194,False,OOS_0706_0803,True
1000PEPE,C1_pw_tp0.5,2026-07-27 07:00:00+00:00,1,-0.020916268812701685,-0.02272981047936835,-0.022116268812701685,13,SL,5.660930778255773,2.0916268812701686,False,OOS_0706_0803,True
1000PEPE,C2_pw_tp0.25,2026-06-15 12:00:00+00:00,1,0.0044533530141903765,0.0026387696808570435,0.003253353014190377,14,TP,0.44533530141903765,2.949449228875529,False,OVERLAP_0601_0705,True
1000PEPE,C2_pw_tp0.25,2026-06-23 08:00:00+00:00,-1,0.01725339200586705,0.015449225339200384,0.01605339200586705,4,TP,1.725339200586705,2.5113017144081944,False,OVERLAP_0601_0705,True
1000PEPE,C2_pw_tp0.25,2026-07-01 13:00:00+00:00,-1,-0.016009807047461144,-0.017824390380794475,-0.017209807047461143,14,SL,6.700380665722363,1.6009807047461144,False,OVERLAP_0601_0705,True
1000PEPE,C2_pw_tp0.25,2026-07-15 15:00:00+00:00,1,-0.015366046482484293,-0.01717854648248429,-0.016566046482484293,12,SL,2.5658578856152405,1.5366046482484292,False,OOS_0706_0803,True
1000PEPE,C2_pw_tp0.25,2026-07-26 07:00:00+00:00,1,0.00616408648071519,0.004362003147381857,0.00496408648071519,2,TP,0.616408648071519,3.3154593156819194,False,OOS_0706_0803,True
1000PEPE,C2_pw_tp0.25,2026-07-27 07:00:00+00:00,1,-0.020916268812701685,-0.02272981047936835,-0.022116268812701685,13,SL,2.4833789597184133,2.0916268812701686,False,OOS_0706_0803,True
