sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
1000PEPE,-1,2025-10-10 20:00:00+00:00,5.0,2.0,1483.7733602847259,1092.5234687930163,1727.4519773310692,690.2367340864856,246.6548444301142
1000PEPE,-1,2025-11-03 15:00:00+00:00,5.0,2.0,74.2134420403473,-28.396223128115405,335.3541688442907,-54.527716804291245,706.2471690881855
1000PEPE,-1,2025-12-01 00:00:00+00:00,5.0,2.0,223.4255444379052,353.8552089464408,502.6486168334321,-815.5385520894631,-1328.5462036492036
1000PEPE,-1,2026-01-19 00:00:00+00:00,5.0,2.0,-69.14934713744935,24.723788920650858,-125.93679981457217,170.94182183419628,-55.4353704705246
1000PEPE,-1,2026-01-21 16:00:00+00:00,5.0,2.0,-526.3481019134342,-569.5282922337053,-203.8268699478163,-587.7417374398841,-246.3931239128203
1000PEPE,1,2025-08-22 14:00:00+00:00,5.0,2.0,704.4065016403223,351.1780495079031,527.699075454815,64.02848195645738,-562.1831195943927
1000PEPE,1,2025-09-12 17:00:00+00:00,5.0,2.0,547.1542480065983,815.9862346669966,542.1873752738437,228.6535340186435,-531.1892999370282
1000PEPE,1,2025-12-02 15:00:00+00:00,5.0,2.0,424.64276085198094,484.85665498337215,650.2201851352552,807.9446391659917,-255.23501393008075
1000PEPE,1,2026-01-01 22:00:00+00:00,5.0,2.0,468.6930091185415,562.107396149949,2153.7993920972644,2372.847011144883,4528.87537993921
1000PEPE,1,2026-01-21 19:00:00+00:00,5.0,2.0,65.56425877574767,-87.80582148728344,-427.2314089546458,-303.45227734261624,-322.0191470844214
1000SHIB,-1,2025-10-10 21:00:00+00:00,5.0,2.0,-1161.8572358429158,-1392.9268821870244,-751.7899761336499,-1569.7548275113893,-2114.3415057496195
1000SHIB,-1,2025-11-03 15:00:00+00:00,5.0,2.0,109.3191903885704,2.1647364433385885,361.510986037451,80.0952484035078,391.81729624418347
1000SHIB,-1,2025-12-01 00:00:00+00:00,5.0,2.0,-41.43646408839796,-2.5113008538424353,5.022601707684871,-699.3972877950782,-1206.6800602712212
1000SHIB,-1,2026-01-21 16:00:00+00:00,5.0,2.0,-390.7776475185609,-349.09469844991656,-289.17545916373524,-451.99947896313654,-194.08623160088513
1000SHIB,-1,2026-02-23 01:00:00+00:00,5.0,2.0,-224.43469456631783,-342.55821802227524,-96.18629767127906,-188.99763752953103,-499.49375632804663
1000SHIB,-1,2026-02-28 06:00:00+00:00,5.0,2.0,-181.422351233671,-330.1886792452824,-502.53991291727027,-45.35558780841775,175.9796806966629
1000SHIB,1,2025-08-22 14:00:00+00:00,5.0,2.0,509.3352081868607,164.8308725880776,303.101320209358,57.02679478165828,-371.06476056558034
1000SHIB,1,2025-10-21 14:00:00+00:00,5.0,2.0,-73.11207311207268,-354.01635401635434,-422.31842231842285,-319.3843193843182,-295.33429533429523
1000SHIB,1,2026-01-02 12:00:00+00:00,5.0,2.0,478.33935018050556,455.13151108818926,190.82001031459407,1432.4394017534803,1277.7204744713777
AAVE,-1,2025-09-05 14:00:00+00:00,5.0,2.0,-108.86625480046818,-85.49006511938461,24.37802638169839,-5.677074636833979,-223.40958423776814
AAVE,-1,2025-09-22 06:00:00+00:00,5.0,2.0,-80.58498731532416,175.72004178480927,-54.469482166839,-323.83226384121724,55.58871810177668
AAVE,-1,2025-10-10 20:00:00+00:00,5.0,2.0,689.5001430498215,204.76560264846455,617.1578043895853,-303.6743368618966,-633.5063554992448
AAVE,-1,2025-12-12 15:00:00+00:00,5.0,2.0,32.7187743443269,-106.98519864970058,-260.19215788106953,10.386912490263356,515.7102051415219
AAVE,-1,2026-04-07 10:00:00+00:00,5.0,2.0,18.225310399818675,-912.4046018908749,-867.98040779132,-232.3727075976745,-250.59801799749204
AAVE,1,2025-08-22 14:00:00+00:00,5.0,2.0,712.6816792464607,816.8548437402534,1304.0359303848793,967.8123635456304,157.50732954899814
AAVE,1,2025-10-31 19:00:00+00:00,5.0,2.0,-267.0318384115034,-298.69907565902133,-411.67408421773354,-387.2817528243755,-1479.8014378637458
AAVE,1,2026-01-02 21:00:00+00:00,5.0,2.0,6.0686976574819695,-270.05704575797984,-154.7517902658091,-44.90836266537235,473.96528704940044
AAVE,1,2026-04-07 22:00:00+00:00,5.0,2.0,-14.699706005879554,17.849643007139537,-364.34271314573664,-500.83998320033515,-177.44645107097833
ADA,-1,2025-10-10 20:00:00+00:00,5.0,2.0,973.055982130393,698.0315510261071,1204.8024570710602,295.96537763506905,-201.033086695519
ADA,-1,2025-11-03 15:00:00+00:00,5.0,2.0,25.449918196692735,-129.06744228322165,372.6595164515556,29.085620796219793,523.5411743319407
ADA,-1,2025-12-01 00:00:00+00:00,5.0,2.0,-12.893243940175214,263.02217637957705,38.679731820525646,-1237.7514182568339,-1565.2398143372893
