symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason
1000PEPE,2025-08-14 13:00:00+00:00,2025-08-14 18:00:00+00:00,-1,0.0112138,0.010877386,300.0000000000003,288.5000000000003,TP
1000PEPE,2025-09-05 15:00:00+00:00,2025-09-07 03:00:00+00:00,-1,0.0095507,0.0097123,-169.2022574261576,-180.7022574261576,TIME
1000PEPE,2025-09-13 14:00:00+00:00,2025-09-13 17:00:00+00:00,-1,0.0121009,0.011737873,300.0000000000003,288.5000000000003,TP
1000PEPE,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,-1,0.0101375,0.009833375,300.0000000000003,288.5000000000003,TP
1000PEPE,2025-09-25 18:00:00+00:00,2025-09-25 19:00:00+00:00,-1,0.0089116,0.009178948000000001,-300.0000000000003,-311.5000000000003,SL
1000PEPE,2025-10-10 16:00:00+00:00,2025-10-10 17:00:00+00:00,-1,0.0087663,0.008503311,300.0000000000003,288.5000000000003,TP
1000PEPE,2025-10-10 18:00:00+00:00,2025-10-10 18:00:00+00:00,-1,0.008418,0.008670540000000001,-300.0000000000003,-311.5000000000003,SL
1000PEPE,2025-10-10 21:00:00+00:00,2025-10-10 21:00:00+00:00,-1,0.0080639,0.007821983000000001,299.99999999999915,288.49999999999915,TP
1000PEPE,2025-10-10 22:00:00+00:00,2025-10-10 22:00:00+00:00,-1,0.006821,0.00661637,300.0000000000003,288.5000000000003,TP
1000PEPE,2025-10-30 05:00:00+00:00,2025-10-30 07:00:00+00:00,-1,0.0067942,0.006998026,-300.0000000000003,-311.5000000000003,SL
1000PEPE,2025-11-03 04:00:00+00:00,2025-11-03 15:00:00+00:00,-1,0.0062162,0.006029713999999999,300.0000000000003,288.5000000000003,TP
1000PEPE,2025-11-03 16:00:00+00:00,2025-11-03 17:00:00+00:00,-1,0.0057402,0.005912406,-300.0000000000003,-311.5000000000003,SL
