ETH_own_H4 {'n': 25, 'mean_bps': -16.880349411049167, 'ci95': [-65.86849954015074, 36.32535999510898], 'hit': 0.36}
ETH_laggard_deoverlap_H4 {'n': 174, 'mean_bps': -37.32400267107414, 'ci95': [-63.48759663565649, -11.04130168633662], 'hit': 0.3448275862068966}
ETH_follower_deoverlap_H4 {'n': 560, 'mean_bps': -67.88395814673545, 'ci95': [-85.21555433425375, -50.53747297508392], 'hit': 0.3339285714285714}
ETH_laggard_leaderUP_H4 {'n': 125, 'mean_bps': -26.608474037861868, 'ci95': [-52.86364911389501, 0.25660905834197806], 'hit': 0.344}
ETH_laggard_leaderDOWN_H4 {'n': 49, 'mean_bps': -64.65953489865646, 'ci95': [-126.49206666571109, -2.4200530782321468], 'hit': 0.3469387755102041}
ETH_own_H8 {'n': 25, 'mean_bps': -15.276082479734043, 'ci95': [-65.72098141054319, 37.582732724115054], 'hit': 0.44}
ETH_laggard_deoverlap_H8 {'n': 174, 'mean_bps': -80.49170328667654, 'ci95': [-117.19065086176894, -42.41955504732778], 'hit': 0.3333333333333333}
ETH_follower_deoverlap_H8 {'n': 560, 'mean_bps': -68.58549774904309, 'ci95': [-88.08008007604609, -47.74123979763149], 'hit': 0.3678571428571429}
ETH_laggard_leaderUP_H8 {'n': 125, 'mean_bps': -73.51612068738326, 'ci95': [-115.23154336335304, -35.00889700706858], 'hit': 0.312}
ETH_laggard_leaderDOWN_H8 {'n': 49, 'mean_bps': -98.28655685630228, 'ci95': [-181.92555984074008, -7.625982776278816], 'hit': 0.3877551020408163}
ETH_own_H24 {'n': 25, 'mean_bps': -12.408882607900296, 'ci95': [-98.57912244341856, 75.50954363427691], 'hit': 0.44}
ETH_laggard_deoverlap_H24 {'n': 173, 'mean_bps': -63.427732601483164, 'ci95': [-135.28533892456886, 7.637491858849072], 'hit': 0.41040462427745666}
ETH_follower_deoverlap_H24 {'n': 557, 'mean_bps': -59.90224916353264, 'ci95': [-96.71103809125596, -23.613581564740926], 'hit': 0.43447037701974867}
ETH_laggard_leaderUP_H24 {'n': 124, 'mean_bps': -46.12405321371975, 'ci95': [-120.46862037912926, 33.41703249496896], 'hit': 0.3870967741935484}
ETH_laggard_leaderDOWN_H24 {'n': 49, 'mean_bps': -107.21663554194566, 'ci95': [-273.97584383436816, 69.81400761285585], 'hit': 0.46938775510204084}
ETH_n_episodes 25
BTC_own_H4 {'n': 21, 'mean_bps': -30.99116764236581, 'ci95': [-86.29101174956935, 26.850719640177598], 'hit': 0.2857142857142857}
BTC_laggard_deoverlap_H4 {'n': 81, 'mean_bps': -21.990170208694433, 'ci95': [-72.82088395140484, 31.332392487035868], 'hit': 0.4074074074074074}
BTC_follower_deoverlap_H4 {'n': 537, 'mean_bps': -52.44817395928721, 'ci95': [-71.23996790134042, -33.051383382332254], 'hit': 0.33519553072625696}
BTC_laggard_leaderUP_H4 {'n': 48, 'mean_bps': -43.9046910013649, 'ci95': [-93.13557434574808, 1.3723016913517365], 'hit': 0.3958333333333333}
BTC_laggard_leaderDOWN_H4 {'n': 33, 'mean_bps': 9.885496398826252, 'ci95': [-98.11825933715123, 119.89033621722086], 'hit': 0.42424242424242425}
BTC_own_H8 {'n': 21, 'mean_bps': -35.13409212862415, 'ci95': [-80.25575392657908, 5.540346906724272], 'hit': 0.42857142857142855}
BTC_laggard_deoverlap_H8 {'n': 81, 'mean_bps': -21.43098296181723, 'ci95': [-84.22460786225463, 38.23852193122235], 'hit': 0.4444444444444444}
BTC_follower_deoverlap_H8 {'n': 537, 'mean_bps': -54.73073267866221, 'ci95': [-76.74756183367654, -34.620628168587494], 'hit': 0.4264432029795158}
BTC_laggard_leaderUP_H8 {'n': 48, 'mean_bps': -54.74731008262156, 'ci95': [-137.48692077545843, 15.33477349396459], 'hit': 0.3958333333333333}
BTC_laggard_leaderDOWN_H8 {'n': 33, 'mean_bps': 27.029129213898166, 'ci95': [-72.78438555068847, 134.28278492292938], 'hit': 0.5151515151515151}
BTC_own_H24 {'n': 21, 'mean_bps': -8.736214374283387, 'ci95': [-98.2518438277585, 81.8793530826006], 'hit': 0.5714285714285714}
BTC_laggard_deoverlap_H24 {'n': 80, 'mean_bps': 38.821866929754655, 'ci95': [-86.24499181693913, 162.9415124092551], 'hit': 0.525}
BTC_follower_deoverlap_H24 {'n': 535, 'mean_bps': -28.23573825254607, 'ci95': [-70.2057054688172, 14.045403572899598], 'hit': 0.4766355140186916}
BTC_laggard_leaderUP_H24 {'n': 47, 'mean_bps': 29.706173223025502, 'ci95': [-133.23503547640638, 190.32508046666737], 'hit': 0.48936170212765956}
BTC_laggard_leaderDOWN_H24 {'n': 33, 'mean_bps': 51.804824633277995, 'ci95': [-162.1418548228231, 263.61300820321804], 'hit': 0.5757575757575758}
BTC_n_episodes 21
