symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason
1000PEPE,2025-08-08 18:00:00+00:00,2025-08-09 05:00:00+00:00,1,0.0117847,0.012020394,200.00000000000017,188.50000000000017,TP
1000PEPE,2025-09-09 07:00:00+00:00,2025-09-09 09:00:00+00:00,1,0.0106057,0.010817813999999999,200.00000000000017,188.50000000000017,TP
1000PEPE,2025-09-12 18:00:00+00:00,2025-09-12 19:00:00+00:00,1,0.0112747,0.011500194,200.00000000000017,188.50000000000017,TP
1000PEPE,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,-1,0.0101375,0.009934750000000001,200.00000000000017,188.50000000000017,TP
1000PEPE,2025-10-01 09:00:00+00:00,2025-10-02 01:00:00+00:00,1,0.009644,0.00983688,200.00000000000017,188.50000000000017,TP
1000PEPE,2025-11-03 04:00:00+00:00,2025-11-03 06:00:00+00:00,-1,0.0062162,0.0060918759999999995,200.00000000000017,188.50000000000017,TP
1000PEPE,2025-12-01 01:00:00+00:00,2025-12-01 05:00:00+00:00,-1,0.0042475,0.00416255,200.00000000000017,188.50000000000017,TP
1000PEPE,2025-12-05 17:00:00+00:00,2025-12-06 12:00:00+00:00,-1,0.0043365,0.00442323,-200.00000000000017,-211.50000000000017,SL
1000PEPE,2026-01-01 17:00:00+00:00,2026-01-01 17:00:00+00:00,1,0.004346,0.00443292,200.00000000000017,188.50000000000017,TP
1000PEPE,2026-01-19 00:00:00+00:00,2026-01-19 00:00:00+00:00,-1,0.0054612,0.0053519760000000005,199.99999999999906,188.49999999999906,TP
1000PEPE,2026-02-14 15:00:00+00:00,2026-02-14 15:00:00+00:00,1,0.0040729,0.004154358,200.00000000000017,188.50000000000017,TP
1000PEPE,2026-03-22 00:00:00+00:00,2026-03-22 03:00:00+00:00,-1,0.0033078,0.003373956,-200.00000000000017,-211.50000000000017,SL
1000PEPE,2026-03-27 11:00:00+00:00,2026-03-28 08:00:00+00:00,-1,0.0032611,0.003326322,-200.00000000000017,-211.50000000000017,SL
1000PEPE,2026-04-22 03:00:00+00:00,2026-04-22 19:00:00+00:00,1,0.0039197,0.003841306,-200.00000000000017,-211.50000000000017,SL
1000SHIB,2025-08-22 15:00:00+00:00,2025-08-22 16:00:00+00:00,1,0.012801,0.01305702,200.00000000000017,188.50000000000017,TP
1000SHIB,2025-09-12 17:00:00+00:00,2025-09-12 23:00:00+00:00,1,0.01362,0.013892400000000001,200.00000000000017,188.50000000000017,TP
1000SHIB,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,-1,0.012511,0.012260779999999999,200.00000000000017,188.50000000000017,TP
1000SHIB,2025-10-21 15:00:00+00:00,2025-10-21 21:00:00+00:00,1,0.010395,0.0101871,-200.00000000000017,-211.50000000000017,SL
1000SHIB,2025-11-03 16:00:00+00:00,2025-11-03 17:00:00+00:00,-1,0.009239,0.009423780000000001,-200.00000000000017,-211.50000000000017,SL
1000SHIB,2025-12-01 01:00:00+00:00,2025-12-02 14:00:00+00:00,-1,0.007964,0.00812328,-200.00000000000017,-211.50000000000017,SL
1000SHIB,2025-12-09 16:00:00+00:00,2025-12-09 17:00:00+00:00,1,0.008826,0.00900252,200.00000000000017,188.50000000000017,TP
1000SHIB,2026-01-19 00:00:00+00:00,2026-01-19 00:00:00+00:00,-1,0.008083,0.007921339999999999,200.00000000000128,188.50000000000128,TP
1000SHIB,2026-01-29 15:00:00+00:00,2026-01-29 15:00:00+00:00,-1,0.007354,0.00720692,200.00000000000017,188.50000000000017,TP
1000SHIB,2026-01-31 15:00:00+00:00,2026-01-31 17:00:00+00:00,-1,0.0068,0.006664,200.00000000000017,188.50000000000017,TP
1000SHIB,2026-02-23 02:00:00+00:00,2026-02-23 06:00:00+00:00,-1,0.005926,0.00604452,-200.00000000000017,-211.50000000000017,SL
1000SHIB,2026-03-10 15:00:00+00:00,2026-03-10 15:00:00+00:00,1,0.005944,0.00606288,200.00000000000017,188.50000000000017,TP
1000SHIB,2026-04-07 23:00:00+00:00,2026-04-08 14:00:00+00:00,1,0.006147,0.0060240599999999995,-200.00000000000017,-211.50000000000017,SL
1000SHIB,2026-04-12 02:00:00+00:00,2026-04-13 22:00:00+00:00,-1,0.00581,0.0059262,-200.00000000000017,-211.50000000000017,SL
AAVE,2025-07-22 05:00:00+00:00,2025-07-22 07:00:00+00:00,-1,307.65,313.803,-200.00000000000017,-211.50000000000017,SL
AAVE,2025-09-05 15:00:00+00:00,2025-09-05 20:00:00+00:00,-1,299.45,305.439,-200.00000000000017,-211.50000000000017,SL
AAVE,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,-1,286.83,281.0934,200.00000000000017,188.50000000000017,TP
AAVE,2025-11-10 23:00:00+00:00,2025-11-11 05:00:00+00:00,1,228.61,224.0378,-200.00000000000017,-211.50000000000017,SL
AAVE,2025-11-30 04:00:00+00:00,2025-11-30 05:00:00+00:00,1,189.36,185.5728,-200.00000000000017,-211.50000000000017,SL
AAVE,2025-12-21 22:00:00+00:00,2025-12-21 22:00:00+00:00,-1,167.08,163.7384,200.00000000000017,188.50000000000017,TP
AAVE,2026-01-02 21:00:00+00:00,2026-01-02 21:00:00+00:00,1,160.53,163.7406,200.00000000000017,188.50000000000017,TP
AAVE,2026-02-20 14:00:00+00:00,2026-02-20 15:00:00+00:00,-1,115.42,117.72840000000001,-200.00000000000017,-211.50000000000017,SL
AAVE,2026-03-22 00:00:00+00:00,2026-03-22 19:00:00+00:00,-1,107.95,105.791,200.00000000000017,188.50000000000017,TP
AAVE,2026-03-27 11:00:00+00:00,2026-03-27 17:00:00+00:00,-1,101.58,99.5484,200.00000000000017,188.50000000000017,TP
AAVE,2026-04-07 11:00:00+00:00,2026-04-07 11:00:00+00:00,-1,87.79,86.0342,200.00000000000128,188.50000000000128,TP
ADA,2025-08-07 11:00:00+00:00,2025-08-07 16:00:00+00:00,1,0.7633,0.748034,-200.00000000000017,-211.50000000000017,SL
ADA,2025-09-09 07:00:00+00:00,2025-09-09 14:00:00+00:00,1,0.8827,0.865046,-200.00000000000017,-211.50000000000017,SL
ADA,2025-09-22 01:00:00+00:00,2025-09-22 02:00:00+00:00,-1,0.8639,0.846622,200.00000000000017,188.50000000000017,TP
ADA,2025-11-03 04:00:00+00:00,2025-11-03 15:00:00+00:00,-1,0.5741,0.5626180000000001,200.00000000000017,188.50000000000017,TP
ADA,2025-12-01 01:00:00+00:00,2025-12-01 01:00:00+00:00,-1,0.3878,0.39555599999999996,-200.00000000000017,-211.50000000000017,SL
