symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason,m
1000PEPE,2026-06-04 05:00:00+00:00,2026-06-04 05:00:00+00:00,-1,0.0030734,0.003027299,150.00000000000125,138.50000000000125,TP,6
1000PEPE,2026-06-05 22:00:00+00:00,2026-06-05 22:00:00+00:00,-1,0.0027489,0.0027076665,150.00000000000014,138.50000000000014,TP,6
1000PEPE,2026-06-06 00:00:00+00:00,2026-06-06 00:00:00+00:00,-1,0.0026951,0.0027355265,-149.99999999999903,-161.49999999999903,SL,6
1000PEPE,2026-06-10 17:00:00+00:00,2026-06-10 20:00:00+00:00,-1,0.0027279,0.0026869815,150.00000000000125,138.50000000000125,TP,6
1000PEPE,2026-06-29 06:00:00+00:00,2026-06-29 08:00:00+00:00,-1,0.0023649,0.0023294265,150.00000000000014,138.50000000000014,TP,6
1000PEPE,2026-07-14 18:00:00+00:00,2026-07-15 02:00:00+00:00,-1,0.0028221,0.0027797685,150.00000000000125,138.50000000000125,TP,7
1000PEPE,2026-07-20 17:00:00+00:00,2026-07-21 01:00:00+00:00,-1,0.0029137,0.0029248,-38.09589182139472,-49.59589182139472,TIME,7
1000PEPE,2026-07-21 09:00:00+00:00,2026-07-21 11:00:00+00:00,-1,0.0029289,0.0029728334999999995,-149.99999999999903,-161.49999999999903,SL,7
1000SHIB,2026-06-04 05:00:00+00:00,2026-06-04 07:00:00+00:00,-1,0.005101,0.0050244849999999995,150.00000000000014,138.50000000000014,TP,6
1000SHIB,2026-06-05 22:00:00+00:00,2026-06-05 23:00:00+00:00,-1,0.004616,0.00454676,150.00000000000014,138.50000000000014,TP,6
1000SHIB,2026-06-17 17:00:00+00:00,2026-06-17 18:00:00+00:00,-1,0.005,0.004925,150.00000000000125,138.50000000000125,TP,6
1000SHIB,2026-06-22 04:00:00+00:00,2026-06-22 11:00:00+00:00,-1,0.004654,0.004723809999999999,-149.99999999999903,-161.49999999999903,SL,6
1000SHIB,2026-06-29 06:00:00+00:00,2026-06-29 12:00:00+00:00,-1,0.004167,0.004229504999999999,-149.99999999999903,-161.49999999999903,SL,6
1000SHIB,2026-07-01 19:00:00+00:00,2026-07-01 22:00:00+00:00,-1,0.004303,0.004367545,-149.99999999999903,-161.49999999999903,SL,7
1000SHIB,2026-07-02 10:00:00+00:00,2026-07-02 13:00:00+00:00,-1,0.004309,0.004373635,-149.99999999999903,-161.49999999999903,SL,7
1000SHIB,2026-07-06 19:00:00+00:00,2026-07-06 21:00:00+00:00,-1,0.004401,0.004467015,-149.99999999999903,-161.49999999999903,SL,7
1000SHIB,2026-07-14 18:00:00+00:00,2026-07-15 02:00:00+00:00,-1,0.004223,0.0042,54.46365143263243,42.96365143263243,TIME,7
1000SHIB,2026-07-15 16:00:00+00:00,2026-07-15 16:00:00+00:00,-1,0.004275,0.004210875,150.00000000000014,138.50000000000014,TP,7
1000SHIB,2026-07-17 20:00:00+00:00,2026-07-18 03:00:00+00:00,-1,0.004136,0.004198039999999999,-149.99999999999903,-161.49999999999903,SL,7
1000SHIB,2026-07-21 09:00:00+00:00,2026-07-21 17:00:00+00:00,-1,0.004283,0.004265,42.026616857344656,30.526616857344656,TIME,7
1000SHIB,2026-07-27 00:00:00+00:00,2026-07-27 01:00:00+00:00,-1,0.005311,0.005231334999999999,150.00000000000125,138.50000000000125,TP,7
1000SHIB,2026-08-03 15:00:00+00:00,2026-08-03 16:00:00+00:00,-1,0.004897,0.0049704549999999995,-149.99999999999903,-161.49999999999903,SL,8
1000SHIB,2026-08-04 05:00:00+00:00,2026-08-04 06:00:00+00:00,-1,0.004992,0.00491712,150.00000000000014,138.50000000000014,TP,8
AAVE,2026-06-04 05:00:00+00:00,2026-06-04 05:00:00+00:00,-1,72.41,71.32385,150.00000000000014,138.50000000000014,TP,6
AAVE,2026-06-04 06:00:00+00:00,2026-06-04 06:00:00+00:00,-1,71.54,72.6131,-149.99999999999903,-161.49999999999903,SL,6
AAVE,2026-06-05 22:00:00+00:00,2026-06-05 22:00:00+00:00,-1,63.33,62.38005,150.00000000000014,138.50000000000014,TP,6
AAVE,2026-06-08 02:00:00+00:00,2026-06-08 05:00:00+00:00,-1,63.01,62.06485,150.00000000000014,138.50000000000014,TP,6
AAVE,2026-06-22 15:00:00+00:00,2026-06-22 15:00:00+00:00,-1,75.0,76.12499999999999,-149.99999999999903,-161.49999999999903,SL,6
AAVE,2026-06-25 07:00:00+00:00,2026-06-25 09:00:00+00:00,-1,81.4,82.621,-149.99999999999903,-161.49999999999903,SL,6
AAVE,2026-07-01 15:00:00+00:00,2026-07-01 17:00:00+00:00,-1,86.51,85.21235,150.00000000000014,138.50000000000014,TP,7
AAVE,2026-07-01 18:00:00+00:00,2026-07-01 22:00:00+00:00,-1,86.25,84.95625,150.00000000000014,138.50000000000014,TP,7
AAVE,2026-07-03 21:00:00+00:00,2026-07-04 01:00:00+00:00,-1,87.47,88.78204999999998,-149.99999999999903,-161.49999999999903,SL,7
AAVE,2026-07-06 00:00:00+00:00,2026-07-06 06:00:00+00:00,-1,89.0,90.335,-149.99999999999903,-161.49999999999903,SL,7
AAVE,2026-07-06 22:00:00+00:00,2026-07-06 23:00:00+00:00,-1,95.53,94.09705,150.00000000000014,138.50000000000014,TP,7
AAVE,2026-07-07 18:00:00+00:00,2026-07-07 18:00:00+00:00,-1,92.86,91.4671,150.00000000000014,138.50000000000014,TP,7
AAVE,2026-07-14 18:00:00+00:00,2026-07-15 02:00:00+00:00,-1,99.43,97.93855,150.00000000000014,138.50000000000014,TP,7
AAVE,2026-07-15 15:00:00+00:00,2026-07-15 16:00:00+00:00,-1,97.73,96.26405,150.00000000000014,138.50000000000014,TP,7
AAVE,2026-07-17 18:00:00+00:00,2026-07-17 23:00:00+00:00,-1,90.83,89.46755,149.99999999999903,138.49999999999903,TP,7
AAVE,2026-07-20 17:00:00+00:00,2026-07-21 00:00:00+00:00,-1,89.25,90.58874999999999,-149.99999999999903,-161.49999999999903,SL,7
AAVE,2026-07-29 08:00:00+00:00,2026-07-29 16:00:00+00:00,-1,98.19,98.64,-45.82951420714964,-57.32951420714964,TIME,7
AAVE,2026-08-03 17:00:00+00:00,2026-08-04 01:00:00+00:00,-1,93.06,92.94,12.894906511928816,1.3949065119288164,TIME,8
AAVE,2026-08-07 12:00:00+00:00,2026-08-07 20:00:00+00:00,-1,89.63,90.13,-55.78489345085424,-67.28489345085424,TIME,8
ADA,2026-06-04 05:00:00+00:00,2026-06-04 05:00:00+00:00,-1,0.1988,0.195818,150.00000000000014,138.50000000000014,TP,6
ADA,2026-06-04 14:00:00+00:00,2026-06-04 16:00:00+00:00,-1,0.1894,0.186559,150.00000000000014,138.50000000000014,TP,6
ADA,2026-06-05 23:00:00+00:00,2026-06-05 23:00:00+00:00,-1,0.1596,0.15720599999999998,150.00000000000014,138.50000000000014,TP,6
ADA,2026-06-06 00:00:00+00:00,2026-06-06 00:00:00+00:00,-1,0.1565,0.15884749999999997,-149.99999999999903,-161.49999999999903,SL,6
ADA,2026-06-07 08:00:00+00:00,2026-06-07 08:00:00+00:00,-1,0.1621,0.16453149999999997,-149.99999999999903,-161.49999999999903,SL,6
ADA,2026-06-10 17:00:00+00:00,2026-06-10 18:00:00+00:00,-1,0.162,0.16443,-149.99999999999903,-161.49999999999903,SL,6
ADA,2026-06-22 13:00:00+00:00,2026-06-22 15:00:00+00:00,-1,0.1619,0.1594715,150.00000000000014,138.50000000000014,TP,6
ADA,2026-07-01 19:00:00+00:00,2026-07-01 21:00:00+00:00,-1,0.1539,0.1562085,-149.99999999999903,-161.49999999999903,SL,7
ADA,2026-07-05 23:00:00+00:00,2026-07-06 03:00:00+00:00,-1,0.1905,0.1876425,150.00000000000014,138.50000000000014,TP,7
ADA,2026-07-06 19:00:00+00:00,2026-07-06 21:00:00+00:00,-1,0.1835,0.1862525,-149.99999999999903,-161.49999999999903,SL,7
ADA,2026-07-07 18:00:00+00:00,2026-07-07 19:00:00+00:00,-1,0.1778,0.175133,150.00000000000014,138.50000000000014,TP,7
ADA,2026-07-10 04:00:00+00:00,2026-07-10 12:00:00+00:00,-1,0.1675,0.1676,-5.970149253731183,-17.470149253731183,TIME,7
ADA,2026-07-14 18:00:00+00:00,2026-07-15 02:00:00+00:00,-1,0.1638,0.1627,67.15506715506692,55.65506715506692,TIME,7
ADA,2026-07-29 08:00:00+00:00,2026-07-29 16:00:00+00:00,-1,0.1643,0.1632,66.9506999391356,55.4506999391356,TIME,7
ADA,2026-08-07 12:00:00+00:00,2026-08-07 14:00:00+00:00,-1,0.2014,0.198379,150.00000000000014,138.50000000000014,TP,8
BNB,2026-06-04 05:00:00+00:00,2026-06-04 05:00:00+00:00,-1,614.68,605.4598,150.00000000000014,138.50000000000014,TP,6
BNB,2026-06-04 06:00:00+00:00,2026-06-04 09:00:00+00:00,-1,604.56,595.4916,150.00000000000014,138.50000000000014,TP,6
BNB,2026-06-05 22:00:00+00:00,2026-06-05 23:00:00+00:00,-1,576.76,568.1086,149.99999999999903,138.49999999999903,TP,6
BNB,2026-06-16 07:00:00+00:00,2026-06-16 13:00:00+00:00,-1,615.96,606.7206,150.00000000000125,138.50000000000125,TP,6
BNB,2026-06-17 16:00:00+00:00,2026-06-17 22:00:00+00:00,-1,605.95,596.86075,150.00000000000014,138.50000000000014,TP,6
BNB,2026-06-25 08:00:00+00:00,2026-06-25 11:00:00+00:00,-1,570.54,561.9819,149.99999999999903,138.49999999999903,TP,6
BNB,2026-06-29 06:00:00+00:00,2026-06-29 14:00:00+00:00,-1,553.79,551.08,48.93551707325749,37.43551707325749,TIME,6
BNB,2026-07-01 05:00:00+00:00,2026-07-01 10:00:00+00:00,-1,551.42,543.1487,150.00000000000014,138.50000000000014,TP,7
BNB,2026-07-01 22:00:00+00:00,2026-07-02 00:00:00+00:00,-1,556.62,548.2707,149.99999999999903,138.49999999999903,TP,7
BNB,2026-07-02 10:00:00+00:00,2026-07-02 13:00:00+00:00,-1,554.82,563.1423,-149.99999999999903,-161.49999999999903,SL,7
BNB,2026-07-05 23:00:00+00:00,2026-07-06 05:00:00+00:00,-1,592.08,583.1988,150.00000000000014,138.50000000000014,TP,7
BNB,2026-07-06 19:00:00+00:00,2026-07-07 03:00:00+00:00,-1,584.84,579.5,91.30702414335556,79.80702414335556,TIME,7
BNB,2026-07-09 08:00:00+00:00,2026-07-09 16:00:00+00:00,-1,573.19,570.23,51.64081718104008,40.14081718104008,TIME,7
BNB,2026-07-14 18:00:00+00:00,2026-07-15 02:00:00+00:00,-1,581.36,580.36,17.201045823586057,5.701045823586057,TIME,7
BNB,2026-07-15 15:00:00+00:00,2026-07-15 23:00:00+00:00,-1,582.17,581.03,19.5819090643623,8.0819090643623,TIME,7
BNB,2026-07-26 23:00:00+00:00,2026-07-27 07:00:00+00:00,-1,576.4,575.03,23.76821651630778,12.268216516307781,TIME,7
BNB,2026-08-03 15:00:00+00:00,2026-08-03 23:00:00+00:00,-1,590.24,589.73,8.64055299539146,-2.8594470046085405,TIME,8
BNB,2026-08-04 05:00:00+00:00,2026-08-04 13:00:00+00:00,-1,592.34,589.62,45.91957321808504,34.41957321808504,TIME,8
DOGE,2026-06-04 05:00:00+00:00,2026-06-04 07:00:00+00:00,-1,0.09071,0.08934935,150.00000000000014,138.50000000000014,TP,6
DOGE,2026-06-05 22:00:00+00:00,2026-06-05 23:00:00+00:00,-1,0.08309,0.08184364999999999,150.00000000000125,138.50000000000125,TP,6
DOGE,2026-06-06 00:00:00+00:00,2026-06-06 00:00:00+00:00,-1,0.08144,0.08266159999999999,-149.99999999999903,-161.49999999999903,SL,6
DOGE,2026-06-10 17:00:00+00:00,2026-06-10 20:00:00+00:00,-1,0.08411,0.08284835,150.00000000000014,138.50000000000014,TP,6
DOGE,2026-06-15 15:00:00+00:00,2026-06-15 22:00:00+00:00,-1,0.08951,0.08816735,150.00000000000014,138.50000000000014,TP,6
DOGE,2026-06-22 15:00:00+00:00,2026-06-22 19:00:00+00:00,-1,0.08394,0.0826809,150.00000000000014,138.50000000000014,TP,6
