symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason,day
1000PEPE,2025-08-14 14:00:00+00:00,2025-08-14 18:00:00+00:00,-1,0.0112652,0.010927244,300.0000000000003,288.5000000000003,TP,2025-08-14
1000PEPE,2025-09-05 16:00:00+00:00,2025-09-07 04:00:00+00:00,-1,0.0096023,0.0097554,-159.44096726825842,-170.94096726825842,TIME,2025-09-05
1000PEPE,2025-09-13 15:00:00+00:00,2025-09-13 17:00:00+00:00,-1,0.0121294,0.011765517999999999,300.00000000000136,288.50000000000136,TP,2025-09-13
1000PEPE,2025-09-22 02:00:00+00:00,2025-09-22 05:00:00+00:00,-1,0.0101441,0.009839777,300.0000000000003,288.5000000000003,TP,2025-09-22
1000PEPE,2025-10-10 17:00:00+00:00,2025-10-10 17:00:00+00:00,-1,0.0087784,0.008515048,299.99999999999915,288.49999999999915,TP,2025-10-10
1000PEPE,2025-10-10 22:00:00+00:00,2025-10-10 22:00:00+00:00,-1,0.006821,0.00661637,300.0000000000003,288.5000000000003,TP,2025-10-10
1000PEPE,2025-11-03 05:00:00+00:00,2025-11-03 10:00:00+00:00,-1,0.0062356,0.006048532,300.0000000000003,288.5000000000003,TP,2025-11-03
1000PEPE,2025-11-04 07:00:00+00:00,2025-11-04 14:00:00+00:00,-1,0.0056221,0.005790763,-300.0000000000003,-311.5000000000003,SL,2025-11-04
1000PEPE,2025-12-01 02:00:00+00:00,2025-12-01 07:00:00+00:00,-1,0.0042656,0.004137632,300.0000000000003,288.5000000000003,TP,2025-12-01
1000PEPE,2025-12-05 18:00:00+00:00,2025-12-06 18:00:00+00:00,-1,0.0043637,0.004494611,-300.0000000000003,-311.5000000000003,SL,2025-12-05
1000PEPE,2025-12-17 17:00:00+00:00,2025-12-18 05:00:00+00:00,-1,0.0039553,0.003836641,300.0000000000003,288.5000000000003,TP,2025-12-17
1000PEPE,2025-12-18 19:00:00+00:00,2025-12-19 07:00:00+00:00,-1,0.0037441,0.0038564230000000003,-300.0000000000003,-311.5000000000003,SL,2025-12-18
1000PEPE,2025-12-31 18:00:00+00:00,2026-01-01 08:00:00+00:00,-1,0.0039995,0.004119485,-300.0000000000003,-311.5000000000003,SL,2025-12-31
1000PEPE,2026-01-21 18:00:00+00:00,2026-01-21 19:00:00+00:00,-1,0.0049038,0.005050914,-300.0000000000003,-311.5000000000003,SL,2026-01-21
