symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason,day
1000PEPE,2025-08-14 13:00:00+00:00,2025-08-14 13:00:00+00:00,-1,0.0112138,0.0109446688,240.00000000000023,228.50000000000023,TP,2025-08-14
1000PEPE,2025-09-05 15:00:00+00:00,2025-09-05 20:00:00+00:00,-1,0.0095507,0.0097799168,-240.00000000000023,-251.50000000000023,SL,2025-09-05
1000PEPE,2025-09-13 14:00:00+00:00,2025-09-13 17:00:00+00:00,-1,0.0121009,0.0118104784,240.00000000000023,228.50000000000023,TP,2025-09-13
1000PEPE,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,-1,0.0101375,0.0098942,240.00000000000023,228.50000000000023,TP,2025-09-22
1000PEPE,2025-09-25 18:00:00+00:00,2025-09-25 18:00:00+00:00,-1,0.0089116,0.009125478400000001,-240.00000000000023,-251.50000000000023,SL,2025-09-25
1000PEPE,2025-10-10 16:00:00+00:00,2025-10-10 17:00:00+00:00,-1,0.0087663,0.0085559088,240.00000000000023,228.50000000000023,TP,2025-10-10
1000PEPE,2025-10-10 18:00:00+00:00,2025-10-10 18:00:00+00:00,-1,0.008418,0.008620032,-240.00000000000023,-251.50000000000023,SL,2025-10-10
1000PEPE,2025-10-10 21:00:00+00:00,2025-10-10 21:00:00+00:00,-1,0.0080639,0.0078703664,240.00000000000023,228.50000000000023,TP,2025-10-10
1000PEPE,2025-10-10 22:00:00+00:00,2025-10-10 22:00:00+00:00,-1,0.006821,0.006657296,239.9999999999991,228.4999999999991,TP,2025-10-10
1000PEPE,2025-10-30 05:00:00+00:00,2025-10-30 06:00:00+00:00,-1,0.0067942,0.0069572608,-240.00000000000023,-251.50000000000023,SL,2025-10-30
1000PEPE,2025-11-03 04:00:00+00:00,2025-11-03 10:00:00+00:00,-1,0.0062162,0.0060670112,240.00000000000023,228.50000000000023,TP,2025-11-03
1000PEPE,2025-11-03 16:00:00+00:00,2025-11-03 17:00:00+00:00,-1,0.0057402,0.0058779648,-240.00000000000023,-251.50000000000023,SL,2025-11-03
1000PEPE,2025-11-04 06:00:00+00:00,2025-11-04 06:00:00+00:00,-1,0.0055075,0.00563968,-240.00000000000023,-251.50000000000023,SL,2025-11-04
1000PEPE,2025-11-21 08:00:00+00:00,2025-11-21 11:00:00+00:00,-1,0.0042497,0.0041477072000000005,239.9999999999991,228.4999999999991,TP,2025-11-21
1000PEPE,2025-12-01 01:00:00+00:00,2025-12-01 07:00:00+00:00,-1,0.0042475,0.00414556,240.00000000000023,228.50000000000023,TP,2025-12-01
1000PEPE,2025-12-05 17:00:00+00:00,2025-12-06 12:00:00+00:00,-1,0.0043365,0.004440576,-240.00000000000023,-251.50000000000023,SL,2025-12-05
1000PEPE,2025-12-17 16:00:00+00:00,2025-12-17 16:00:00+00:00,-1,0.004026,0.003929376,240.00000000000023,228.50000000000023,TP,2025-12-17
1000PEPE,2025-12-18 18:00:00+00:00,2025-12-18 19:00:00+00:00,-1,0.0037775,0.00368684,240.00000000000023,228.50000000000023,TP,2025-12-18
1000PEPE,2025-12-31 17:00:00+00:00,2026-01-01 07:00:00+00:00,-1,0.0040192,0.0041156607999999996,-240.00000000000023,-251.50000000000023,SL,2025-12-31
1000PEPE,2026-01-19 01:00:00+00:00,2026-01-19 20:00:00+00:00,-1,0.0051772,0.0053014528,-240.00000000000023,-251.50000000000023,SL,2026-01-19
