symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason,day
1000PEPE,2025-07-01 15:00:00+00:00,2025-07-01 18:00:00+00:00,-1,0.0094177,0.009229346,200.00000000000017,188.50000000000017,TP,2025-07-01
1000PEPE,2025-07-04 14:00:00+00:00,2025-07-04 16:00:00+00:00,-1,0.0096457,0.009452786,200.00000000000017,188.50000000000017,TP,2025-07-04
1000PEPE,2025-07-14 16:00:00+00:00,2025-07-15 01:00:00+00:00,-1,0.0122293,0.011984714,200.00000000000017,188.50000000000017,TP,2025-07-14
1000PEPE,2025-07-15 15:00:00+00:00,2025-07-15 15:00:00+00:00,-1,0.0120113,0.012251526,-200.00000000000017,-211.50000000000017,SL,2025-07-15
1000PEPE,2025-07-22 14:00:00+00:00,2025-07-22 15:00:00+00:00,-1,0.0136755,0.013949010000000001,-200.00000000000017,-211.50000000000017,SL,2025-07-22
1000PEPE,2025-07-25 03:00:00+00:00,2025-07-25 07:00:00+00:00,-1,0.0118863,0.012124026000000001,-200.00000000000017,-211.50000000000017,SL,2025-07-25
1000PEPE,2025-07-25 15:00:00+00:00,2025-07-25 19:00:00+00:00,-1,0.0119406,0.012179412,-200.00000000000017,-211.50000000000017,SL,2025-07-25
1000PEPE,2025-07-30 19:00:00+00:00,2025-07-30 19:00:00+00:00,-1,0.0111921,0.010968258,200.00000000000017,188.50000000000017,TP,2025-07-30
1000PEPE,2025-07-31 20:00:00+00:00,2025-07-31 22:00:00+00:00,-1,0.0110331,0.010812438,200.00000000000017,188.50000000000017,TP,2025-07-31
1000PEPE,2025-08-01 14:00:00+00:00,2025-08-01 14:00:00+00:00,-1,0.0103365,0.01054323,-200.00000000000017,-211.50000000000017,SL,2025-08-01
1000PEPE,2025-08-05 15:00:00+00:00,2025-08-06 04:00:00+00:00,-1,0.010162,0.009958759999999999,200.00000000000017,188.50000000000017,TP,2025-08-05
1000PEPE,2025-08-14 13:00:00+00:00,2025-08-14 13:00:00+00:00,-1,0.0112138,0.010989523999999999,200.00000000000017,188.50000000000017,TP,2025-08-14
1000PEPE,2025-08-19 15:00:00+00:00,2025-08-19 18:00:00+00:00,-1,0.0104371,0.010228358,200.00000000000017,188.50000000000017,TP,2025-08-19
1000PEPE,2025-08-20 14:00:00+00:00,2025-08-20 14:00:00+00:00,-1,0.010123,0.01032546,-200.00000000000017,-211.50000000000017,SL,2025-08-20
1000PEPE,2025-08-24 20:00:00+00:00,2025-08-24 20:00:00+00:00,-1,0.0110118,0.010791564,200.00000000000017,188.50000000000017,TP,2025-08-24
1000PEPE,2025-08-25 20:00:00+00:00,2025-08-25 20:00:00+00:00,-1,0.0098907,0.009692886,200.00000000000128,188.50000000000128,TP,2025-08-25
1000PEPE,2025-08-29 08:00:00+00:00,2025-08-29 12:00:00+00:00,-1,0.0098397,0.010036494,-200.00000000000017,-211.50000000000017,SL,2025-08-29
1000PEPE,2025-08-29 14:00:00+00:00,2025-08-29 16:00:00+00:00,-1,0.009785,0.0095893,200.00000000000017,188.50000000000017,TP,2025-08-29
1000PEPE,2025-09-01 22:00:00+00:00,2025-09-01 23:00:00+00:00,-1,0.0092269,0.009411438,-200.00000000000017,-211.50000000000017,SL,2025-09-01
1000PEPE,2025-09-05 15:00:00+00:00,2025-09-05 20:00:00+00:00,-1,0.0095507,0.009741714,-200.00000000000017,-211.50000000000017,SL,2025-09-05
1000PEPE,2025-09-09 15:00:00+00:00,2025-09-09 15:00:00+00:00,-1,0.0103666,0.010159267999999999,200.00000000000128,188.50000000000128,TP,2025-09-09
1000PEPE,2025-09-15 00:00:00+00:00,2025-09-15 06:00:00+00:00,-1,0.011544,0.01131312,200.00000000000128,188.50000000000128,TP,2025-09-15
1000PEPE,2025-09-15 09:00:00+00:00,2025-09-16 09:00:00+00:00,-1,0.0107315,0.0107901,-54.60560033546224,-66.10560033546224,TIME,2025-09-15
1000PEPE,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,-1,0.0101375,0.009934750000000001,200.00000000000017,188.50000000000017,TP,2025-09-22
1000PEPE,2025-09-22 06:00:00+00:00,2025-09-22 06:00:00+00:00,-1,0.00986,0.009662800000000001,200.00000000000017,188.50000000000017,TP,2025-09-22
1000PEPE,2025-09-22 07:00:00+00:00,2025-09-22 19:00:00+00:00,-1,0.0097113,0.009517074,200.00000000000017,188.50000000000017,TP,2025-09-22
1000PEPE,2025-09-23 18:00:00+00:00,2025-09-24 03:00:00+00:00,-1,0.0096183,0.009425934,199.99999999999906,188.49999999999906,TP,2025-09-23
1000PEPE,2025-09-25 05:00:00+00:00,2025-09-25 12:00:00+00:00,-1,0.0094305,0.00924189,200.00000000000017,188.50000000000017,TP,2025-09-25
1000PEPE,2025-09-25 18:00:00+00:00,2025-09-25 18:00:00+00:00,-1,0.0089116,0.009089832,-200.00000000000017,-211.50000000000017,SL,2025-09-25
1000PEPE,2025-09-26 15:00:00+00:00,2025-09-26 17:00:00+00:00,-1,0.0091887,0.009372473999999999,-200.00000000000017,-211.50000000000017,SL,2025-09-26
1000PEPE,2025-10-05 10:00:00+00:00,2025-10-05 19:00:00+00:00,-1,0.0100242,0.009823716,200.00000000000128,188.50000000000128,TP,2025-10-05
1000PEPE,2025-10-07 15:00:00+00:00,2025-10-07 16:00:00+00:00,-1,0.0097145,0.00952021,200.00000000000017,188.50000000000017,TP,2025-10-07
1000PEPE,2025-10-09 14:00:00+00:00,2025-10-10 01:00:00+00:00,-1,0.0091099,0.009292098,-200.00000000000017,-211.50000000000017,SL,2025-10-09
1000PEPE,2025-10-10 15:00:00+00:00,2025-10-10 15:00:00+00:00,-1,0.0091227,0.008940245999999999,200.00000000000017,188.50000000000017,TP,2025-10-10
1000PEPE,2025-10-10 16:00:00+00:00,2025-10-10 17:00:00+00:00,-1,0.0087663,0.008590974,200.00000000000017,188.50000000000017,TP,2025-10-10
1000PEPE,2025-10-10 21:00:00+00:00,2025-10-10 21:00:00+00:00,-1,0.0080639,0.007902622,200.00000000000128,188.50000000000128,TP,2025-10-10
1000PEPE,2025-10-11 02:00:00+00:00,2025-10-11 02:00:00+00:00,-1,0.0066169,0.006749238,-200.00000000000017,-211.50000000000017,SL,2025-10-11
1000PEPE,2025-10-16 16:00:00+00:00,2025-10-16 16:00:00+00:00,-1,0.0069507,0.0070897139999999996,-200.00000000000017,-211.50000000000017,SL,2025-10-16
1000PEPE,2025-10-17 07:00:00+00:00,2025-10-17 07:00:00+00:00,-1,0.0066053,0.006473194,200.00000000000017,188.50000000000017,TP,2025-10-17
1000PEPE,2025-10-21 05:00:00+00:00,2025-10-21 14:00:00+00:00,-1,0.0068656,0.007002912000000001,-200.00000000000017,-211.50000000000017,SL,2025-10-21
1000PEPE,2025-10-21 23:00:00+00:00,2025-10-22 00:00:00+00:00,-1,0.0069919,0.006852062,200.00000000000017,188.50000000000017,TP,2025-10-21
1000PEPE,2025-10-28 20:00:00+00:00,2025-10-28 20:00:00+00:00,-1,0.007061,0.0069197799999999995,200.00000000000017,188.50000000000017,TP,2025-10-28
1000PEPE,2025-10-29 16:00:00+00:00,2025-10-29 17:00:00+00:00,-1,0.00695,0.007089,-200.00000000000017,-211.50000000000017,SL,2025-10-29
1000PEPE,2025-10-29 19:00:00+00:00,2025-10-29 19:00:00+00:00,-1,0.007019,0.00715938,-200.00000000000017,-211.50000000000017,SL,2025-10-29
1000PEPE,2025-10-30 00:00:00+00:00,2025-10-30 04:00:00+00:00,-1,0.007023,0.0068825399999999995,200.00000000000017,188.50000000000017,TP,2025-10-30
1000PEPE,2025-10-30 05:00:00+00:00,2025-10-30 05:00:00+00:00,-1,0.0067942,0.006930084,-200.00000000000017,-211.50000000000017,SL,2025-10-30
1000PEPE,2025-10-30 13:00:00+00:00,2025-10-30 13:00:00+00:00,-1,0.0066641,0.006530818,200.00000000000017,188.50000000000017,TP,2025-10-30
1000PEPE,2025-10-31 17:00:00+00:00,2025-10-31 19:00:00+00:00,-1,0.0064535,0.00658257,-200.00000000000017,-211.50000000000017,SL,2025-10-31
1000PEPE,2025-11-03 16:00:00+00:00,2025-11-03 17:00:00+00:00,-1,0.0057402,0.0058550040000000005,-200.00000000000017,-211.50000000000017,SL,2025-11-03
