sym        n_up_fire n_dn_fire  fwd_ret_up_mean_bps  fwd_ret_dn_mean_bps
DOGE               9        17                14.20               -74.87
ADA                6        18               129.17               -19.85
XRP                7        19                15.56                23.86
LTC               31        31               -14.53               -74.41
LINK               8        14                85.69                34.05
UNI               17        22               -37.52               -57.35
NEAR              32        26               -75.86              -108.01
SUI               14        15                36.47                 8.64
ONDO               8        11               -92.58                19.97
AAVE              15        16                -5.59                -7.48
TAO               28        34               -34.84               -36.03
XLM               18        24               -14.25                12.85
1000PEPE          21        25               -40.36               -39.35
1000SHIB          23        32                -4.56               -55.15
GIGGLE            27        26               -15.75                -8.83
BNB               30        37                -6.39               -50.69
