symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason
BTC,2026-07-01 14:00:00+00:00,2026-07-01 15:00:00+00:00,-1,59437.0,60328.55499999999,-149.99999999999903,-161.49999999999903,SL
BTC,2026-07-06 13:00:00+00:00,2026-07-06 15:00:00+00:00,1,61733.1,62659.09649999999,149.99999999999903,138.49999999999903,TP
BTC,2026-07-06 16:00:00+00:00,2026-07-06 20:00:00+00:00,-1,63505.9,63811.4,-48.105766550823326,-59.605766550823326,TIME
BTC,2026-07-08 09:00:00+00:00,2026-07-08 13:00:00+00:00,1,61982.3,61917.7,-10.422330245893896,-21.922330245893896,TIME
BTC,2026-07-14 13:00:00+00:00,2026-07-14 15:00:00+00:00,-1,63934.4,64893.416,-149.99999999999903,-161.49999999999903,SL
BTC,2026-07-17 06:00:00+00:00,2026-07-17 10:00:00+00:00,1,62804.6,63145.4,54.26354120558141,42.76354120558141,TIME
BTC,2026-07-20 12:00:00+00:00,2026-07-20 16:00:00+00:00,-1,64970.6,65470.0,-76.8655361040227,-88.3655361040227,TIME
BTC,2026-07-27 23:00:00+00:00,2026-07-28 03:00:00+00:00,1,63755.0,63317.4,-68.63775390165472,-80.13775390165472,TIME
BTC,2026-07-29 20:00:00+00:00,2026-07-30 00:00:00+00:00,1,63555.9,63663.1,16.86704145484441,5.367041454844411,TIME
BTC,2026-07-30 02:00:00+00:00,2026-07-30 06:00:00+00:00,-1,64260.0,63969.5,45.20697167755938,33.70697167755938,TIME
BTC,2026-07-31 15:00:00+00:00,2026-07-31 19:00:00+00:00,1,62663.6,62936.4,43.53404528306682,32.03404528306682,TIME
BTC,2026-08-03 14:00:00+00:00,2026-08-03 18:00:00+00:00,-1,63317.6,63826.6,-80.38839122139763,-91.88839122139763,TIME
ETH,2026-07-02 14:00:00+00:00,2026-07-02 18:00:00+00:00,-1,1709.42,1701.36,47.150495489699516,35.650495489699516,TIME
ETH,2026-07-06 16:00:00+00:00,2026-07-06 20:00:00+00:00,-1,1787.54,1792.29,-26.572831936628738,-38.07283193662874,TIME
ETH,2026-07-14 13:00:00+00:00,2026-07-14 17:00:00+00:00,-1,1861.05,1870.82,-52.497246178233596,-63.997246178233596,TIME
ETH,2026-07-15 13:00:00+00:00,2026-07-15 17:00:00+00:00,-1,1926.64,1927.08,-2.283768633475347,-13.783768633475347,TIME
ETH,2026-07-17 06:00:00+00:00,2026-07-17 10:00:00+00:00,1,1823.04,1835.95,70.81578023521162,59.31578023521162,TIME
ETH,2026-07-20 16:00:00+00:00,2026-07-20 20:00:00+00:00,-1,1902.1,1903.89,-9.410651385310942,-20.910651385310942,TIME
ETH,2026-07-26 23:00:00+00:00,2026-07-27 03:00:00+00:00,-1,1950.0,1948.82,6.0512820512825805,-5.4487179487174195,TIME
ETH,2026-07-27 15:00:00+00:00,2026-07-27 19:00:00+00:00,1,1931.17,1947.54,84.76726544012215,73.26726544012215,TIME
ETH,2026-07-27 23:00:00+00:00,2026-07-28 03:00:00+00:00,1,1892.0,1880.35,-61.57505285412257,-73.07505285412256,TIME
ETH,2026-07-28 16:00:00+00:00,2026-07-28 20:00:00+00:00,-1,1918.4,1917.89,2.658465387823661,-8.84153461217634,TIME
ETH,2026-07-29 20:00:00+00:00,2026-07-30 00:00:00+00:00,1,1887.35,1896.5,48.48067396084454,36.98067396084454,TIME
ETH,2026-08-01 19:00:00+00:00,2026-08-01 23:00:00+00:00,1,1835.33,1843.89,46.64011376700694,35.14011376700694,TIME
ETH,2026-08-05 17:00:00+00:00,2026-08-05 18:00:00+00:00,-1,1894.98,1923.4046999999998,-149.99999999999903,-161.49999999999903,SL
SOL,2026-07-02 11:00:00+00:00,2026-07-02 13:00:00+00:00,-1,82.04,80.80940000000001,149.99999999999903,138.49999999999903,TP
SOL,2026-07-14 13:00:00+00:00,2026-07-14 17:00:00+00:00,-1,76.89,77.16,-35.115099492781795,-46.615099492781795,TIME
SOL,2026-07-20 16:00:00+00:00,2026-07-20 20:00:00+00:00,-1,77.74,77.86,-15.43606894777616,-26.93606894777616,TIME
SOL,2026-07-26 23:00:00+00:00,2026-07-27 03:00:00+00:00,-1,76.7,76.37,43.02477183833142,31.524771838331418,TIME
SOL,2026-07-27 15:00:00+00:00,2026-07-27 19:00:00+00:00,1,75.41,75.97,74.26070812889485,62.76070812889485,TIME
SOL,2026-07-27 23:00:00+00:00,2026-07-28 01:00:00+00:00,1,74.02,72.9097,-149.99999999999903,-161.49999999999903,SL
SOL,2026-07-28 16:00:00+00:00,2026-07-28 20:00:00+00:00,-1,74.24,74.0,32.32758620689613,20.82758620689613,TIME
SOL,2026-07-29 20:00:00+00:00,2026-07-30 00:00:00+00:00,1,72.71,73.80064999999999,149.99999999999903,138.49999999999903,TP
SOL,2026-08-01 18:00:00+00:00,2026-08-01 18:00:00+00:00,1,71.83,70.75255,-150.00000000000014,-161.50000000000014,SL
SOL,2026-08-01 19:00:00+00:00,2026-08-01 23:00:00+00:00,1,71.04,71.92,123.87387387387427,112.37387387387427,TIME
SOL,2026-08-03 14:00:00+00:00,2026-08-03 18:00:00+00:00,-1,73.27,73.95,-92.80742459396807,-104.30742459396807,TIME
SOL,2026-08-08 04:00:00+00:00,2026-08-08 08:00:00+00:00,-1,74.92,74.79,17.35184196476225,5.851841964762251,TIME
SOL,2026-08-08 15:00:00+00:00,2026-08-08 19:00:00+00:00,-1,76.52,76.16,47.04652378463181,35.54652378463181,TIME
XRP,2026-07-04 15:00:00+00:00,2026-07-04 19:00:00+00:00,-1,1.1733,1.1677,47.728628654223336,36.228628654223336,TIME
XRP,2026-07-06 13:00:00+00:00,2026-07-06 15:00:00+00:00,1,1.1144,1.131116,149.99999999999903,138.49999999999903,TP
XRP,2026-07-06 16:00:00+00:00,2026-07-06 20:00:00+00:00,-1,1.1414,1.144,-22.7790432801811,-34.2790432801811,TIME
XRP,2026-07-14 13:00:00+00:00,2026-07-14 15:00:00+00:00,-1,1.0883,1.1046245,-149.99999999999903,-161.49999999999903,SL
XRP,2026-07-16 18:00:00+00:00,2026-07-16 22:00:00+00:00,1,1.0934,1.0897,-33.83940003658381,-45.33940003658381,TIME
