symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason
BTC,2026-06-02 15:00:00+00:00,2026-06-02 19:00:00+00:00,-1,67986.5,66626.77,199.99999999999906,188.49999999999906,TP
BTC,2026-06-04 02:00:00+00:00,2026-06-04 02:00:00+00:00,-1,62160.0,63092.399999999994,-149.99999999999903,-161.49999999999903,SL
BTC,2026-06-07 23:00:00+00:00,2026-06-08 05:00:00+00:00,1,62839.8,62735.0,-16.677328699328253,-28.177328699328253,TIME
BTC,2026-06-09 15:00:00+00:00,2026-06-09 21:00:00+00:00,-1,61520.0,61729.9,-34.118985695708034,-45.618985695708034,TIME
BTC,2026-06-11 18:00:00+00:00,2026-06-12 00:00:00+00:00,1,63609.2,63617.7,1.3362846883779866,-10.163715311622013,TIME
BTC,2026-06-12 15:00:00+00:00,2026-06-12 21:00:00+00:00,1,63979.0,63450.1,-82.66775035558615,-94.16775035558615,TIME
BTC,2026-06-14 15:00:00+00:00,2026-06-14 21:00:00+00:00,-1,63945.9,64905.0885,-149.99999999999903,-161.49999999999903,SL
BTC,2026-06-14 22:00:00+00:00,2026-06-15 04:00:00+00:00,1,65286.8,65612.2,49.841621889876734,38.341621889876734,TIME
BTC,2026-06-17 16:00:00+00:00,2026-06-17 19:00:00+00:00,1,65722.0,64736.17,-150.00000000000014,-161.50000000000014,SL
BTC,2026-06-17 20:00:00+00:00,2026-06-18 02:00:00+00:00,-1,64275.8,64652.3,-58.57570034134119,-70.07570034134119,TIME
BTC,2026-06-18 16:00:00+00:00,2026-06-18 22:00:00+00:00,-1,62335.9,62851.4,-82.69712958343334,-94.19712958343334,TIME
BTC,2026-06-20 15:00:00+00:00,2026-06-20 21:00:00+00:00,1,63939.8,63983.5,6.834553752121941,-4.665446247878059,TIME
BTC,2026-06-22 02:00:00+00:00,2026-06-22 08:00:00+00:00,1,64580.0,64131.8,-69.4022917311854,-80.9022917311854,TIME
BTC,2026-06-24 14:00:00+00:00,2026-06-24 16:00:00+00:00,-1,61300.7,60074.685999999994,200.00000000000017,188.50000000000017,TP
BTC,2026-06-25 14:00:00+00:00,2026-06-25 14:00:00+00:00,-1,58299.9,59174.398499999996,-149.99999999999903,-161.49999999999903,SL
BTC,2026-07-01 14:00:00+00:00,2026-07-01 20:00:00+00:00,1,59437.0,60108.0,112.89264263001142,101.39264263001142,TIME
BTC,2026-07-03 21:00:00+00:00,2026-07-04 03:00:00+00:00,1,62766.3,62609.6,-24.965626458784975,-36.465626458784975,TIME
BTC,2026-07-05 23:00:00+00:00,2026-07-06 05:00:00+00:00,1,63702.3,63090.1,-96.10328041530724,-107.60328041530724,TIME
BTC,2026-07-14 13:00:00+00:00,2026-07-14 19:00:00+00:00,1,63934.4,64527.9,92.82952526339594,81.32952526339594,TIME
BTC,2026-07-20 12:00:00+00:00,2026-07-20 18:00:00+00:00,1,64970.6,65210.3,36.893610340678066,25.393610340678066,TIME
BTC,2026-07-23 13:00:00+00:00,2026-07-23 19:00:00+00:00,-1,65140.0,64824.3,48.46484494933967,36.96484494933967,TIME
BTC,2026-07-24 14:00:00+00:00,2026-07-24 20:00:00+00:00,-1,64110.2,64134.9,-3.852741061485254,-15.352741061485254,TIME
BTC,2026-07-26 15:00:00+00:00,2026-07-26 21:00:00+00:00,1,64688.0,64825.2,21.209497897600738,9.709497897600738,TIME
BTC,2026-07-26 23:00:00+00:00,2026-07-27 05:00:00+00:00,1,65382.9,65445.2,9.52848527673078,-1.9715147232692196,TIME
BTC,2026-07-31 14:00:00+00:00,2026-07-31 20:00:00+00:00,-1,63247.6,62925.1,50.990077093834294,39.490077093834294,TIME
BTC,2026-08-01 18:00:00+00:00,2026-08-02 00:00:00+00:00,-1,62684.3,62809.8,-20.02096218670424,-31.52096218670424,TIME
BTC,2026-08-02 03:00:00+00:00,2026-08-02 09:00:00+00:00,1,63433.6,63238.6,-30.740806134288423,-42.24080613428842,TIME
BTC,2026-08-03 14:00:00+00:00,2026-08-03 20:00:00+00:00,1,63317.6,63748.0,67.97478110351696,56.47478110351696,TIME
ETH,2026-06-02 15:00:00+00:00,2026-06-02 15:00:00+00:00,-1,1940.69,1901.8762,200.00000000000017,188.50000000000017,TP
ETH,2026-06-07 23:00:00+00:00,2026-06-08 00:00:00+00:00,1,1671.64,1705.0728000000001,200.00000000000017,188.50000000000017,TP
ETH,2026-06-11 18:00:00+00:00,2026-06-12 00:00:00+00:00,1,1687.92,1671.92,-94.79122233281178,-106.29122233281178,TIME
ETH,2026-06-13 22:00:00+00:00,2026-06-14 04:00:00+00:00,1,1685.7,1677.06,-51.25467164976083,-62.75467164976083,TIME
ETH,2026-06-14 22:00:00+00:00,2026-06-15 04:00:00+00:00,1,1718.32,1716.25,-12.04665021649065,-23.54665021649065,TIME
ETH,2026-06-18 16:00:00+00:00,2026-06-18 19:00:00+00:00,-1,1681.14,1706.3571,-149.99999999999903,-161.49999999999903,SL
ETH,2026-06-20 15:00:00+00:00,2026-06-20 21:00:00+00:00,1,1733.0,1734.5,8.655510675130706,-2.8444893248692935,TIME
ETH,2026-06-21 21:00:00+00:00,2026-06-22 01:00:00+00:00,-1,1720.6,1746.4089999999997,-149.99999999999903,-161.49999999999903,SL
ETH,2026-06-23 09:00:00+00:00,2026-06-23 15:00:00+00:00,-1,1647.16,1658.83,-70.84921926224341,-82.34921926224341,TIME
ETH,2026-06-24 12:00:00+00:00,2026-06-24 13:00:00+00:00,1,1677.49,1652.32765,-150.00000000000014,-161.50000000000014,SL
ETH,2026-06-24 14:00:00+00:00,2026-06-24 16:00:00+00:00,-1,1644.0,1611.12,200.00000000000017,188.50000000000017,TP
ETH,2026-06-25 14:00:00+00:00,2026-06-25 14:00:00+00:00,-1,1538.0,1561.07,-149.99999999999903,-161.49999999999903,SL
ETH,2026-06-27 16:00:00+00:00,2026-06-27 19:00:00+00:00,1,1604.43,1580.36355,-150.00000000000014,-161.50000000000014,SL
ETH,2026-06-29 18:00:00+00:00,2026-06-30 00:00:00+00:00,1,1626.11,1601.7183499999999,-150.00000000000014,-161.50000000000014,SL
ETH,2026-07-10 02:00:00+00:00,2026-07-10 08:00:00+00:00,1,1767.0,1783.21,91.73740803621877,80.23740803621877,TIME
ETH,2026-07-12 00:00:00+00:00,2026-07-12 03:00:00+00:00,-1,1786.81,1813.6121499999997,-149.99999999999903,-161.49999999999903,SL
ETH,2026-07-13 01:00:00+00:00,2026-07-13 02:00:00+00:00,1,1825.79,1798.4031499999999,-150.00000000000014,-161.50000000000014,SL
ETH,2026-07-13 04:00:00+00:00,2026-07-13 10:00:00+00:00,-1,1778.77,1778.76,0.05621862298132996,-11.44378137701867,TIME
ETH,2026-07-14 13:00:00+00:00,2026-07-14 19:00:00+00:00,1,1861.05,1875.18,75.92488111549889,64.42488111549889,TIME
ETH,2026-07-15 13:00:00+00:00,2026-07-15 19:00:00+00:00,1,1926.64,1922.78,-20.034879375493418,-31.534879375493418,TIME
ETH,2026-07-17 06:00:00+00:00,2026-07-17 12:00:00+00:00,-1,1823.04,1827.66,-25.342285413376686,-36.842285413376686,TIME
ETH,2026-07-18 18:00:00+00:00,2026-07-19 00:00:00+00:00,1,1851.95,1860.09,43.9536704554655,32.4536704554655,TIME
ETH,2026-07-19 03:00:00+00:00,2026-07-19 09:00:00+00:00,1,1871.32,1865.45,-31.368232050102975,-42.868232050102975,TIME
ETH,2026-07-20 12:00:00+00:00,2026-07-20 13:00:00+00:00,1,1892.16,1863.7776000000001,-150.00000000000014,-161.50000000000014,SL
ETH,2026-07-22 14:00:00+00:00,2026-07-22 20:00:00+00:00,1,1938.8,1925.82,-66.94862801733036,-78.44862801733036,TIME
ETH,2026-07-23 13:00:00+00:00,2026-07-23 19:00:00+00:00,-1,1903.59,1875.31,148.56140240282812,137.06140240282812,TIME
ETH,2026-07-25 14:00:00+00:00,2026-07-25 20:00:00+00:00,1,1866.38,1871.09,25.23601838853695,13.736018388536952,TIME
ETH,2026-07-26 16:00:00+00:00,2026-07-26 22:00:00+00:00,1,1914.01,1948.96,182.60092684991181,171.10092684991181,TIME
ETH,2026-07-26 23:00:00+00:00,2026-07-27 05:00:00+00:00,1,1950.0,1964.69,75.33333333333391,63.83333333333391,TIME
ETH,2026-07-27 15:00:00+00:00,2026-07-27 21:00:00+00:00,-1,1931.17,1941.51,-53.5426710232656,-65.0426710232656,TIME
ETH,2026-07-31 14:00:00+00:00,2026-07-31 20:00:00+00:00,-1,1866.21,1861.54,25.02397908059728,13.523979080597279,TIME
ETH,2026-08-01 19:00:00+00:00,2026-08-02 01:00:00+00:00,-1,1835.33,1856.25,-113.98495093525528,-125.48495093525528,TIME
ETH,2026-08-05 18:00:00+00:00,2026-08-06 00:00:00+00:00,1,1917.02,1910.11,-36.04552899813318,-47.54552899813318,TIME
ETH,2026-08-07 13:00:00+00:00,2026-08-07 19:00:00+00:00,1,1931.78,1918.05,-71.07434594001427,-82.57434594001427,TIME
ETH,2026-08-10 02:00:00+00:00,2026-08-10 08:00:00+00:00,1,1925.24,1926.0,3.947559784753807,-7.552440215246193,TIME
SOL,2026-06-02 15:00:00+00:00,2026-06-02 15:00:00+00:00,-1,77.39,75.8422,199.99999999999906,188.49999999999906,TP
SOL,2026-06-04 02:00:00+00:00,2026-06-04 02:00:00+00:00,-1,68.58,69.60869999999998,-149.99999999999903,-161.49999999999903,SL
SOL,2026-06-07 02:00:00+00:00,2026-06-07 06:00:00+00:00,1,63.59,64.8618,200.00000000000017,188.50000000000017,TP
SOL,2026-06-09 01:00:00+00:00,2026-06-09 04:00:00+00:00,-1,65.35,66.33024999999999,-149.99999999999903,-161.49999999999903,SL
SOL,2026-06-11 18:00:00+00:00,2026-06-12 00:00:00+00:00,1,67.15,66.85,-44.67609828741836,-56.17609828741836,TIME
SOL,2026-06-12 15:00:00+00:00,2026-06-12 19:00:00+00:00,1,67.88,66.86179999999999,-150.00000000000125,-161.50000000000125,SL
SOL,2026-06-13 22:00:00+00:00,2026-06-14 04:00:00+00:00,1,69.21,68.48,-105.47608727062396,-116.97608727062396,TIME
SOL,2026-06-14 22:00:00+00:00,2026-06-15 00:00:00+00:00,1,70.19,71.5938,200.00000000000017,188.50000000000017,TP
SOL,2026-06-17 20:00:00+00:00,2026-06-18 02:00:00+00:00,-1,71.65,72.48,-115.8408932309829,-127.3408932309829,TIME
SOL,2026-06-18 16:00:00+00:00,2026-06-18 19:00:00+00:00,-1,68.42,69.4463,-149.99999999999903,-161.49999999999903,SL
SOL,2026-06-20 23:00:00+00:00,2026-06-21 05:00:00+00:00,1,73.51,73.04,-63.936879336145005,-75.43687933614501,TIME
SOL,2026-06-22 15:00:00+00:00,2026-06-22 21:00:00+00:00,-1,73.4,72.68,98.09264305177146,86.59264305177146,TIME
SOL,2026-06-23 09:00:00+00:00,2026-06-23 15:00:00+00:00,-1,68.67,68.77,-14.562399883499832,-26.062399883499832,TIME
SOL,2026-06-24 12:00:00+00:00,2026-06-24 13:00:00+00:00,1,69.79,68.74315,-150.00000000000125,-161.50000000000125,SL
SOL,2026-06-24 16:00:00+00:00,2026-06-24 17:00:00+00:00,-1,67.27,65.9246,200.00000000000017,188.50000000000017,TP
SOL,2026-06-24 18:00:00+00:00,2026-06-24 18:00:00+00:00,-1,64.97,65.94454999999999,-149.99999999999903,-161.49999999999903,SL
SOL,2026-06-25 14:00:00+00:00,2026-06-25 14:00:00+00:00,-1,64.2,65.163,-149.99999999999903,-161.49999999999903,SL
SOL,2026-07-01 14:00:00+00:00,2026-07-01 15:00:00+00:00,1,75.97,77.4894,200.00000000000017,188.50000000000017,TP
SOL,2026-07-02 11:00:00+00:00,2026-07-02 13:00:00+00:00,1,82.04,80.80940000000001,-149.99999999999903,-161.49999999999903,SL
