symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason
BTC,2025-08-11 13:00:00+00:00,2025-08-13 19:00:00+00:00,1,119644.2,122635.305,249.99999999999912,238.49999999999912,TP
BTC,2025-08-14 05:00:00+00:00,2025-08-14 10:00:00+00:00,1,123050.7,120835.7874,-180.00000000000017,-191.50000000000017,SL
BTC,2025-08-14 11:00:00+00:00,2025-08-14 12:00:00+00:00,1,120954.7,118777.51539999999,-180.00000000000017,-191.50000000000017,SL
BTC,2025-08-14 13:00:00+00:00,2025-08-18 02:00:00+00:00,-1,118841.3,115870.2675,250.00000000000023,238.50000000000023,TP
BTC,2025-08-22 15:00:00+00:00,2025-08-24 19:00:00+00:00,1,115767.4,113683.58679999999,-180.00000000000017,-191.50000000000017,SL
BTC,2025-08-25 10:00:00+00:00,2025-08-26 00:00:00+00:00,-1,111783.6,108989.01000000001,250.00000000000023,238.50000000000023,TP
BTC,2025-08-26 01:00:00+00:00,2025-08-26 19:00:00+00:00,-1,109051.5,111014.427,-180.00000000000017,-191.50000000000017,SL
BTC,2025-08-29 22:00:00+00:00,2025-09-02 03:00:00+00:00,-1,108404.2,110355.4756,-180.00000000000017,-191.50000000000017,SL
BTC,2025-09-02 14:00:00+00:00,2025-09-06 14:00:00+00:00,1,111118.9,110754.3,-32.811699899836235,-44.311699899836235,TIME
BTC,2025-09-25 18:00:00+00:00,2025-09-28 20:00:00+00:00,-1,108795.6,110753.9208,-180.00000000000017,-191.50000000000017,SL
BTC,2025-10-01 09:00:00+00:00,2025-10-02 00:00:00+00:00,1,116059.9,118961.39749999998,249.99999999999912,238.49999999999912,TP
BTC,2025-10-02 01:00:00+00:00,2025-10-03 15:00:00+00:00,1,118385.2,121344.82999999999,249.99999999999912,238.49999999999912,TP
BTC,2025-10-05 10:00:00+00:00,2025-10-06 18:00:00+00:00,1,123005.1,126080.2275,249.99999999999912,238.49999999999912,TP
BTC,2025-10-08 09:00:00+00:00,2025-10-10 15:00:00+00:00,-1,122336.2,119277.795,250.00000000000023,238.50000000000023,TP
BTC,2025-10-10 16:00:00+00:00,2025-10-10 19:00:00+00:00,-1,119005.8,116030.655,250.00000000000023,238.50000000000023,TP
BTC,2025-10-10 21:00:00+00:00,2025-10-10 21:00:00+00:00,-1,114203.3,111348.2175,250.00000000000023,238.50000000000023,TP
BTC,2025-10-10 22:00:00+00:00,2025-10-11 07:00:00+00:00,-1,113253.5,110422.16249999999,250.00000000000023,238.50000000000023,TP
