symbol,entry_ts,exit_ts,side,entry,exit,gross_bps,net_bps,exit_reason
BNB,2025-07-29 20:00:00+00:00,2025-07-30 02:00:00+00:00,-1,804.11,808.4,-53.35090970140843,-64.85090970140843,TIME
BNB,2025-07-30 20:00:00+00:00,2025-07-31 00:00:00+00:00,1,785.8,797.5869999999999,149.99999999999903,138.49999999999903,TP
TAO,2025-07-30 20:00:00+00:00,2025-07-31 02:00:00+00:00,1,371.17,375.0,103.18721879462257,91.68721879462257,TIME
BTC,2025-07-31 20:00:00+00:00,2025-08-01 00:00:00+00:00,-1,116716.1,114965.3585,150.00000000000014,138.50000000000014,TP
SOL,2025-07-31 20:00:00+00:00,2025-07-31 21:00:00+00:00,-1,175.2,172.57199999999997,150.00000000000125,138.50000000000125,TP
BNB,2025-07-31 20:00:00+00:00,2025-07-31 23:00:00+00:00,-1,796.12,784.1782,150.00000000000125,138.50000000000125,TP
NEAR,2025-08-01 20:00:00+00:00,2025-08-01 20:00:00+00:00,1,2.47,2.43295,-150.00000000000125,-161.50000000000125,SL
BTC,2025-08-07 20:00:00+00:00,2025-08-08 02:00:00+00:00,1,117389.7,116663.6,-61.853808298342194,-73.35380829834219,TIME
DOGE,2025-08-07 20:00:00+00:00,2025-08-07 22:00:00+00:00,1,0.21715,0.22040725,149.99999999999903,138.49999999999903,TP
LINK,2025-08-07 20:00:00+00:00,2025-08-08 00:00:00+00:00,1,18.282,18.55623,149.99999999999903,138.49999999999903,TP
XRP,2025-08-08 20:00:00+00:00,2025-08-08 22:00:00+00:00,1,3.3367,3.2866495,-150.00000000000014,-161.50000000000014,SL
XRP,2025-08-11 20:00:00+00:00,2025-08-12 02:00:00+00:00,-1,3.149,3.1605,-36.519530009526676,-48.019530009526676,TIME
DOGE,2025-08-11 20:00:00+00:00,2025-08-11 21:00:00+00:00,-1,0.2274,0.223989,150.00000000000014,138.50000000000014,TP
LTC,2025-08-11 20:00:00+00:00,2025-08-11 22:00:00+00:00,-1,121.43,119.60855000000001,150.00000000000014,138.50000000000014,TP
SOL,2025-08-12 20:00:00+00:00,2025-08-12 21:00:00+00:00,1,190.6,193.45899999999997,149.99999999999903,138.49999999999903,TP
LTC,2025-08-12 20:00:00+00:00,2025-08-12 20:00:00+00:00,1,128.9,130.8335,149.99999999999903,138.49999999999903,TP
BTC,2025-08-13 20:00:00+00:00,2025-08-14 02:00:00+00:00,1,122723.5,123699.4,79.52022228831402,68.02022228831402,TIME
SOL,2025-08-13 20:00:00+00:00,2025-08-14 02:00:00+00:00,1,202.17,205.20254999999997,149.99999999999903,138.49999999999903,TP
BNB,2025-08-13 20:00:00+00:00,2025-08-14 02:00:00+00:00,1,845.69,853.85,96.48925729286218,84.98925729286218,TIME
BNB,2025-08-19 20:00:00+00:00,2025-08-20 01:00:00+00:00,1,832.9,820.4064999999999,-150.00000000000014,-161.50000000000014,SL
ETH,2025-08-20 20:00:00+00:00,2025-08-21 02:00:00+00:00,1,4343.8,4278.643,-150.00000000000014,-161.50000000000014,SL
SOL,2025-08-20 20:00:00+00:00,2025-08-21 02:00:00+00:00,1,187.48,186.43,-56.0059739705554,-67.5059739705554,TIME
XRP,2025-08-20 20:00:00+00:00,2025-08-21 00:00:00+00:00,1,2.9864,2.9416040000000003,-149.99999999999903,-161.49999999999903,SL
BTC,2025-08-25 20:00:00+00:00,2025-08-26 00:00:00+00:00,-1,110650.4,108990.64399999999,150.00000000000125,138.50000000000125,TP
ETH,2025-08-25 20:00:00+00:00,2025-08-25 20:00:00+00:00,-1,4418.38,4352.1043,150.00000000000014,138.50000000000014,TP
