et,mid,spread,bidsz5,asksz5,imb1,imb5,tape_sv,tape_vol,tape_cnt,tape_aggr,tape_bigsv,ofi_w,fwd30,fwd60,fwd300
1781309145.741,0.08385000000000001,0.0011926058437686684,1083866.0,913648.0,-0.33621377686251713,0.08521492214823025,-7640.0,26360.0,12.0,0.3550834597875569,-8000.0,-148640.0,0.0005963029218842515,0.001192605843768503,0.0023852116875371717
1781309185.741,0.0839,0.00238379022646014,891957.0,1390865.0,-0.3288277248106664,-0.21854879618297002,-9944.0,11144.0,14.0,0.05384063173007897,0.0,50669.0,0.0011918951132299045,0.001787842669845022,0.001787842669845022
1781309190.741,0.0839,0.00238379022646014,891957.0,1390865.0,-0.3288277248106664,-0.21854879618297002,-8544.0,10944.0,14.0,0.10964912280701754,0.0,51069.0,0.001787842669845022,0.00238379022646014,0.001787842669845022
1781309195.741,0.0839,0.00238379022646014,891957.0,1390865.0,-0.3288277248106664,-0.21854879618297002,-7404.0,8604.0,10.0,0.0697350069735007,0.0,0.0,0.001787842669845022,0.002979737783075092,0.001787842669845022
1781309200.741,0.0839,0.00238379022646014,891957.0,1390865.0,-0.3288277248106664,-0.21854879618297002,-4358.0,5558.0,8.0,0.10795250089960418,0.0,0.0,0.001787842669845022,0.001787842669845022,0.001787842669845022
1781309205.741,0.08395,0.0011911852293031908,1398809.0,1244811.0,-0.5749505307006967,0.05825269895068126,-5518.0,6718.0,12.0,0.08931229532598987,0.0,-65610.0,0.0011911852293031908,0.0011911852293031908,0.0011911852293031908
1781309210.741,0.08405,0.0011897679952407969,1104845.0,1440051.0,-0.552820306429885,-0.13171697389598633,-3030.0,4230.0,10.0,0.14184397163120568,0.0,183105.0,0.0,0.0,0.0
1781309215.741,0.08399999999999999,0.002380952380952284,1346921.0,1400051.0,-0.5460621879887133,-0.019341296525774564,-3030.0,4230.0,10.0,0.14184397163120568,0.0,143105.0,0.0005952380952381949,0.0005952380952381949,0.0005952380952381949
1781309220.741,0.08405,0.0011897679952407969,1326325.0,1484080.0,-0.6555842685343293,-0.05613247912667391,-3630.0,3630.0,8.0,0.0,0.0,138414.0,0.0005948839976205636,0.0,0.0
1781309225.741,0.08405,0.0011897679952407969,1290088.0,1484080.0,-0.6168292639426421,-0.06992799282523625,-53130.0,53130.0,14.0,0.0,-45690.0,143664.0,0.0011897679952409621,-0.0005948839976205636,0.0011897679952409621
1781309230.741,0.08405,0.0011897679952407969,1290086.0,1484080.0,-0.6112184913155334,-0.06992876417633263,-64330.0,64330.0,14.0,0.0,-59190.0,144445.0,0.0,0.0,0.0011897679952409621
1781309235.741,0.08405,0.0011897679952407969,1290086.0,1484080.0,-0.6112184913155334,-0.06992876417633263,-67370.0,67370.0,12.0,0.0,-59190.0,210055.0,0.0,0.0,0.0005948839976205636
1781309240.741,0.08405,0.0011897679952407969,1423698.0,1442655.0,-0.5206417446489853,-0.006613630630979506,-68020.0,68020.0,12.0,0.0,-59190.0,2258.0,0.0,0.0,0.0011897679952409621
1781309245.741,0.08405,0.0011897679952407969,1425185.0,1482655.0,-0.6056271856536906,-0.019763810938703642,-68020.0,68020.0,12.0,0.0,-59190.0,2258.0,0.0,0.0,0.0011897679952409621
1781309250.741,0.08410000000000001,0.0023781212841853965,1352452.0,1557793.0,0.03996729662589227,-0.07055797707753127,-74900.0,74900.0,14.0,0.0,-66070.0,169734.0,-0.0005945303210464728,-0.0005945303210464728,0.0005945303210463078
1781309255.741,0.08415,0.001188354129530634,1115517.0,1557793.0,0.1678194443497993,-0.16544134425113435,-25400.0,25400.0,8.0,0.0,-20380.0,250171.0,-0.0017825311942960336,-0.001188354129530634,0.0
1781309265.741,0.08405,0.0011897679952407969,1740771.0,1684633.0,0.6128932359544762,0.016388723782654543,-17498.0,157530.0,12.0,0.4444613724369961,-16678.0,163703.0,0.0,-0.0011897679952409621,0.0011897679952409621
1781309270.741,0.08405,0.0011897679952407969,1740771.0,1684633.0,0.6128932359544762,0.016388723782654543,-16678.0,156710.0,10.0,0.44678705889860254,-16678.0,122785.0,0.0,-0.0011897679952409621,0.0017846519928613606
1781309275.741,0.08405,0.0011897679952407969,1739284.0,1684633.0,0.6128932359544762,0.015961543460311683,-16678.0,156710.0,10.0,0.44678705889860254,-16678.0,162785.0,0.0,-0.0011897679952409621,0.002379535990481759
1781309280.741,0.08405,0.0011897679952407969,1739284.0,1361055.0,0.6128932359544762,0.1219960139842772,-9798.0,149830.0,8.0,0.46730294333578054,-9798.0,0.0,0.0,-0.0011897679952409621,0.002379535990481759
1781309285.741,0.08399999999999999,0.002380952380952284,1696997.0,1361055.0,0.7204556564137786,0.10985490109389899,-74298.0,214330.0,10.0,0.326673820743713,-74298.0,-260609.0,0.0005952380952381949,-0.0005952380952380297,0.002976190476190479
1781309295.741,0.08405,0.0011897679952407969,1503080.0,1120265.0,-0.7756749319717492,0.14592628876491653,-80220.0,80220.0,6.0,0.0,-78000.0,-180484.0,-0.0011897679952409621,-0.0011897679952409621,0.002379535990481759
1781309300.741,0.08405,0.0011897679952407969,1502504.0,1120265.0,-0.7914494586507912,0.14573872117597853,-81372.0,81372.0,10.0,0.0,-78000.0,-181060.0,-0.0011897679952409621,-0.0011897679952409621,0.0011897679952409621
1781309305.741,0.08405,0.0011897679952407969,1532504.0,1120265.0,-0.22476222611189609,0.15539950896591448,-81372.0,81372.0,10.0,0.0,-78000.0,-151060.0,-0.0011897679952409621,-0.0011897679952409621,0.0011897679952409621
1781309310.741,0.08405,0.0011897679952407969,1532504.0,1120265.0,-0.22476222611189609,0.15539950896591448,-82162.0,82162.0,14.0,0.0,-78000.0,-151060.0,-0.0011897679952409621,-0.0011897679952409621,0.0011897679952409621
1781309315.741,0.08405,0.0011897679952407969,1532504.0,1120265.0,-0.22476222611189609,0.15539950896591448,-13662.0,21662.0,14.0,0.18465515649524514,-13500.0,23862.0,-0.0011897679952409621,-0.0011897679952409621,0.0011897679952409621
1781309320.741,0.08405,0.0011897679952407969,1532504.0,1120265.0,-0.22476222611189609,0.15539950896591448,-12542.0,22782.0,16.0,0.2247388289000088,-13500.0,-18436.0,-0.0011897679952409621,0.0,0.002379535990481759
1781309325.741,0.08395,0.0011911852293031908,1302501.0,1458608.0,-0.18279014132344906,-0.05653778970696195,3578.0,7462.0,14.0,0.7397480568212276,0.0,-87432.0,0.0,0.0005955926146515128,0.0023823704586063816
1781309330.741,0.08395,0.0011911852293031908,1302501.0,1456676.0,-0.17092646970695752,-0.05587716917037218,8606.0,10186.0,12.0,0.9224425682309052,0.0,-84918.0,0.0,0.0,0.0029779630732578942
1781309335.741,0.08395,0.0011911852293031908,1302501.0,1454749.0,-0.15878360404046546,-0.055217336113881584,12460.0,14040.0,16.0,0.9437321937321937,0.0,-112991.0,0.0,0.0011911852293031908,0.0023823704586063816
1781309340.741,0.08395,0.0011911852293031908,1302501.0,1453349.0,-0.149736112284799,-0.05473737685287661,16050.0,16050.0,14.0,1.0,0.0,-111591.0,0.0,0.0011911852293031908,0.003573555687909407
1781309345.741,0.08395,0.0011911852293031908,1494552.0,1452039.0,-0.029468392715867004,0.014427859176926829,14670.0,14670.0,14.0,1.0,0.0,-96309.0,0.0,0.0011911852293031908,0.003573555687909407
1781309350.741,0.08395,0.0011911852293031908,1494552.0,1452039.0,-0.029468392715867004,0.014427859176926829,13550.0,13550.0,12.0,1.0,0.0,-96309.0,0.0011911852293031908,0.0011911852293031908,0.0029779630732578942
1781309365.741,0.08395,0.0011911852293031908,1499552.0,1450505.0,0.015892328619178792,0.016625780451021793,8488.0,8488.0,10.0,1.0,0.0,23216.0,0.0011911852293031908,0.0011911852293031908,0.0023823704586063816
1781309370.741,0.08395,0.0011911852293031908,1499552.0,1450156.0,0.018321593992380848,0.01674606435620068,6386.0,6386.0,12.0,1.0,0.0,22165.0,0.0011911852293031908,0.0011911852293031908,0.003573555687909407
1781309375.741,0.08395,0.0011911852293031908,1606264.0,1628485.0,-0.05133884403025564,-0.006869466533570302,3766.0,3766.0,10.0,1.0,0.0,-3834.0,0.0011911852293031908,0.0011911852293031908,0.003573555687909407
1781309380.741,0.08405,0.0011897679952407969,1516065.0,1260000.0,-0.5560667282091638,0.09224027535378314,8976.0,8976.0,14.0,1.0,0.0,77522.0,0.0,0.0,0.002379535990481759
1781309395.741,0.08405,0.0011897679952407969,1675366.0,1957883.0,-0.2713544435789326,-0.07775877733675837,6748.0,14388.0,12.0,0.7345009730330831,0.0,113884.0,0.0,0.0,0.0011897679952409621
1781309425.741,0.08405,0.0011897679952407969,1666913.0,1708581.0,-0.3172402307636466,-0.012344267239106334,-15342.0,15342.0,14.0,0.0,0.0,-8452.0,0.0,0.0,0.0011897679952409621
1781309455.741,0.08405,0.0011897679952407969,1727115.0,2229413.0,-0.39250957481079063,-0.12695423866582015,-8702.0,8702.0,6.0,0.0,0.0,-24402.0,0.0,0.0,0.002379535990481759
1781309460.741,0.08405,0.0011897679952407969,1727115.0,2229413.0,-0.39250957481079063,-0.12695423866582015,-28202.0,28202.0,8.0,0.0,-19500.0,-49351.0,0.0,0.0,0.002379535990481759
1781309465.741,0.08405,0.0011897679952407969,1727115.0,2229413.0,-0.39250957481079063,-0.12695423866582015,-23020.0,23020.0,6.0,0.0,-19500.0,-1010.0,0.0,0.0011897679952409621,0.002379535990481759
1781309470.741,0.08405,0.0011897679952407969,1727115.0,2229413.0,-0.39250957481079063,-0.12695423866582015,-29020.0,29020.0,8.0,0.0,-19500.0,-1010.0,0.0,0.0011897679952409621,0.002379535990481759
1781309475.741,0.08405,0.0011897679952407969,1727115.0,2229413.0,-0.39250957481079063,-0.12695423866582015,-27000.0,27000.0,6.0,0.0,-19500.0,0.0,0.0,0.0005948839976205636,0.002379535990481759
1781309480.741,0.08405,0.0011897679952407969,1727115.0,2229413.0,-0.39250957481079063,-0.12695423866582015,-27100.0,27100.0,8.0,0.0,-19500.0,0.0,0.0,0.0011897679952409621,0.002379535990481759
1781309485.741,0.08405,0.0011897679952407969,2098188.0,2087904.0,-0.06839129900454713,0.00245670663712121,-27400.0,27400.0,10.0,0.0,-19500.0,87563.0,0.0,0.0011897679952409621,0.0035693039857228864
1781309490.741,0.08405,0.0011897679952407969,2098188.0,2087904.0,-0.06839129900454713,0.00245670663712121,-7900.0,7900.0,8.0,0.0,0.0,87563.0,0.0,0.0011897679952409621,0.0035693039857228864
1781309495.741,0.08405,0.0011897679952407969,1728656.0,2087904.0,-0.06931776948197714,-0.09412874420944516,-6682.0,6682.0,8.0,0.0,0.0,87422.0,0.0011897679952409621,0.0011897679952409621,0.0035693039857228864
1781309500.741,0.08405,0.0011897679952407969,1728506.0,2087904.0,-0.07030514192146459,-0.09417174779439316,-982.0,982.0,8.0,0.0,0.0,87272.0,0.0011897679952409621,0.0011897679952409621,0.0035693039857228864
1781309505.741,0.08405,0.0011897679952407969,1728406.0,2087844.0,-0.0706209293297759,-0.09418617753029807,-1062.0,1302.0,12.0,0.09216589861751152,0.0,87232.0,0.0005948839976205636,0.0011897679952409621,0.0035693039857228864
1781309510.741,0.08405,0.0011897679952407969,1727526.0,2039244.0,0.3235077376565954,-0.08275472088818803,4478.0,10162.0,14.0,0.7203306435740996,7200.0,135130.0,0.0011897679952409621,0.0017846519928613606,0.0035693039857228864
1781309515.741,0.08405,0.0011897679952407969,1727526.0,2039244.0,0.3235077376565954,-0.08275472088818803,5858.0,10942.0,14.0,0.7676841528057028,7200.0,47567.0,0.0011897679952409621,0.002379535990481759,0.0035693039857228864
