et,mid,spread,bidsz5,asksz5,imb1,imb5,tape_sv,tape_vol,tape_cnt,tape_aggr,tape_bigsv,ofi_w,fwd30,fwd60,fwd300
1781312414.703,63590.75,1.5725557570215914e-06,0.834,6.531000000000001,-0.9996499824991248,-0.7735234215885948,-11.288000000000004,12.140000000000011,62.0,0.03509060955518939,-7.713999999999995,0.0,-0.00020285969264388577,-0.00020285969264388577,-0.0001210867932835686
1781312419.703,63590.75,1.5725557570215914e-06,0.834,6.531000000000001,-0.9996499824991248,-0.7735234215885948,-9.808000000000005,10.664000000000012,54.0,0.040135033758439506,-7.713999999999995,0.0,-0.00020285969264388577,-0.00020285969264388577,-0.0001210867932835686
1781312424.703,63590.75,1.5725557570215914e-06,0.834,6.531000000000001,-0.9996499824991248,-0.7735234215885948,-10.230000000000004,10.242000000000015,52.0,0.0005858230814293429,-7.713999999999995,0.0,-0.00020285969264388577,-0.00020285969264388577,4.4031561194087355e-05
1781312429.703,63590.75,1.5725557570215914e-06,0.834,6.531000000000001,-0.9996499824991248,-0.7735234215885948,-8.794,8.806000000000015,44.0,0.0006813536225300169,-7.099999999999995,0.0,-0.00020285969264388577,-0.00020285969264388577,8.649056663115311e-05
1781312434.703,63590.75,1.5725557570215914e-06,0.834,6.531000000000001,-0.9996499824991248,-0.7735234215885948,-5.9580000000000055,5.97400000000002,36.0,0.0013391362571140094,-4.657999999999996,0.0,-0.00020285969264388577,-0.00020285969264388577,-4.0886449680273007e-05
1781312444.703,63577.850000000006,1.5728748298117158e-06,4.954,1.184,0.5692850838481905,0.6142065819485174,-0.0019999999999988916,0.01400000000001711,14.0,0.4285714285708576,0.0,-0.7330000000000041,0.0,0.00022177535100654185,0.00018717210475022636
1781312449.703,63577.850000000006,1.5728748298117158e-06,4.96,1.043,0.6373120589137772,0.6525070797934366,-0.005999999999996675,0.01400000000001711,14.0,0.28571428571390506,0.0,-0.5910000000000082,0.0,0.00036176121086195896,0.0003130020911369947
1781312454.703,63577.850000000006,1.5728748298117158e-06,4.96,1.044,0.6368098159509202,0.6522318454363758,-0.003999999999997783,0.016000000000019554,16.0,0.3749999999995004,0.0,-0.592000000000013,0.0,0.00036333408569165623,0.0003130020911369947
1781312459.703,63577.850000000006,1.5728748298117158e-06,4.96,1.044,0.6368098159509202,0.6522318454363758,-0.0019999999999988916,0.01400000000001711,14.0,0.4285714285708576,0.0,-0.592000000000013,0.0,0.00036333408569165623,0.00031457496596692085
1781312464.703,63577.850000000006,1.5728748298117158e-06,4.96,1.044,0.6368098159509202,0.6522318454363758,-0.007999999999995566,0.012000000000014666,12.0,0.1666666666664446,0.0,-0.592000000000013,0.0,0.00036333408569165623,0.00033030371426515245
1781312469.703,63577.850000000006,1.5728748298117158e-06,4.96,1.044,0.6368098159509202,0.6522318454363758,-0.009999999999994458,0.01400000000001711,14.0,0.14285714285695253,0.0,-0.592000000000013,0.0,0.0002516599727735367,0.0003476053373933102
1781312474.703,63577.850000000006,1.5728748298117158e-06,3.2800000000000002,1.046,0.6628571428571429,0.5164123901987979,-0.009999999999994458,0.01400000000001711,14.0,0.14285714285695253,0.0,0.3849999999999909,0.00022177535100654185,0.0002516599727735367,0.0004970284462275976
1781312479.703,63577.850000000006,1.5728748298117158e-06,3.279,1.048,0.6618109111682375,0.5155997226715969,-0.009999999999994458,0.01400000000001711,14.0,0.14285714285695253,0.0,0.23999999999998067,0.00036176121086195896,0.0002516599727735367,0.0003916458326287249
1781312484.703,63577.850000000006,1.5728748298117158e-06,3.279,1.083,0.6453619909502263,0.5034387895460797,-0.007999999999995566,0.012000000000014666,12.0,0.1666666666664446,0.0,0.20599999999998886,0.00036333408569165623,0.0002516599727735367,0.0003916458326287249
1781312489.703,63577.850000000006,1.5728748298117158e-06,3.029,1.084,0.6178886522665044,0.47289083394116216,-0.007999999999995566,0.016000000000019554,16.0,0.24999999999966693,0.0,-0.045000000000015916,0.00036333408569165623,0.0002516599727735367,0.0003916458326287249
1781312494.703,63577.850000000006,1.5728748298117158e-06,3.277,1.026,0.6639999999999999,0.5231234022774809,-0.007999999999995566,0.016000000000019554,16.0,0.24999999999966693,0.0,0.24799999999996203,0.00036333408569165623,0.00018717210475022636,0.0003916458326287249
1781312499.703,63577.850000000006,1.5728748298117158e-06,3.404,1.03,0.6639039725635896,0.5354082092918357,-0.005999999999996675,0.01400000000001711,14.0,0.28571428571390506,0.0,0.24699999999995725,0.0002516599727735367,0.00018717210475022636,0.0004702895741204551
1781312504.703,63591.95,1.5725260822878495e-06,2.534,0.765,0.9605263157894739,0.536223097908457,1.1720000000000006,1.1880000000000166,18.0,0.9932659932659786,1.1720000000000006,6.16599999999994,2.9877995564041222e-05,-3.4595573810790356e-05,0.00024845912100514154
1781312509.703,63600.850000000006,1.5723060304782844e-06,6.287,0.424,0.9165950128976784,0.8736402920578155,1.1779999999999973,1.190000000000019,20.0,0.9949579831932602,1.1720000000000006,10.456999999999965,-0.00011006142213508152,-0.00017452596938572078,5.031379297599151e-05
1781312514.703,63600.95,1.5723035583359182e-06,2.738,0.5439999999999999,0.9395770392749244,0.6684948202315661,1.5619999999999976,1.5740000000000194,22.0,0.9961880559085005,1.1720000000000006,12.660999999999973,-0.00011163355264333739,-0.00017452569497768933,0.00017609799853613963
1781312519.703,63600.95,1.5723035583359182e-06,2.145,1.367,0.7689196995956095,0.2215261958997722,1.5639999999999965,1.572000000000017,20.0,0.9974554707379021,1.1720000000000006,12.376999999999953,-0.00011163355264333739,-0.00017452569497768933,0.00017609799853613963
1781312524.703,63600.95,1.5723035583359182e-06,2.15,1.226,0.9260188087774296,0.27369668246445494,1.5679999999999943,1.572000000000017,20.0,0.9987277353689452,1.1720000000000006,12.229999999999961,-0.00017609799853613963,-0.00013679040957716968,0.00017609799853613963
1781312529.703,63593.850000000006,1.5724790997642821e-06,3.9899999999999998,2.503,-0.9989276139410189,0.22901586323733245,1.5579999999999927,1.582000000000015,22.0,0.9924146649810265,1.1720000000000006,3.512999999999977,-6.447164309136529e-05,-2.5159665596686166e-05,0.0002877636752608681
1781312534.703,63593.850000000006,1.5724790997642821e-06,0.485,2.436,-0.9988876529477199,-0.6679219445395413,0.3919999999999959,0.416000000000011,22.0,0.971153846153816,0.0,-2.5829999999999984,-6.447164309136529e-05,9.434874598722989e-05,0.0002861911961612182
1781312539.703,63593.850000000006,1.5724790997642821e-06,0.485,2.2760000000000002,-0.9988870339454647,-0.6486780152118798,0.389999999999997,0.4140000000000086,20.0,0.9710144927535991,0.0,-6.8700000000000045,-6.447164309136529e-05,3.931197749467912e-05,0.0002154296366707958
1781312544.703,63593.850000000006,1.5724790997642821e-06,0.485,2.435,-0.9988870339454647,-0.6678082191780823,0.003999999999997783,0.028000000000005798,16.0,0.5714285714283902,0.0,-9.039000000000016,-6.289916399148659e-05,-2.830462379621473e-05,0.0002154296366707958
1781312549.703,63593.850000000006,1.5724790997642821e-06,0.37,2.201,-0.9987204094689701,-0.7121742512640995,0.003999999999997783,0.028000000000005798,16.0,0.5714285714283902,0.0,-8.27000000000001,-6.289916399148659e-05,-2.830462379621473e-05,0.0002154296366707958
1781312554.703,63589.75,1.5725804867265678e-06,0.493,2.3930000000000002,-0.4895397489539749,-0.6583506583506584,0.0019999999999988916,0.030000000000008242,18.0,0.533333333333128,0.0,-8.534999999999997,3.931451216587579e-05,4.7177414599050945e-05,0.00027991932662108137
1781312559.703,63589.75,1.5725804867265678e-06,1.008,1.3199999999999998,0.006993006993007,-0.13402061855670097,0.015999999999998238,0.020000000000010232,16.0,0.8999999999994405,0.0,0.3079999999999927,3.931451216587579e-05,0.00010379031211800362,0.00027834674613435483
1781312564.703,63589.75,1.5725804867265678e-06,1.26,1.211,0.28671328671328666,0.01983002832861187,0.003999999999997783,0.012000000000014666,12.0,0.6666666666657785,0.0,0.6019999999999754,0.00015883062915022974,0.00010379031211800362,0.00027834674613435483
1781312569.703,63589.75,1.5725804867265678e-06,0.8089999999999999,1.252,-0.1402508551881414,-0.2149442018437652,0.0,0.012000000000014666,12.0,0.49999999999933387,0.0,0.10899999999995202,0.00010379031211800362,0.00010064515114455048,0.00027834674613435483
1781312574.703,63589.850000000006,1.5725780136066494e-06,3.325,0.632,0.9990946129470349,0.6805660854182461,0.0019999999999988916,0.01400000000001711,14.0,0.5714285714278101,0.0,2.814999999999941,3.459671629980397e-05,9.907241485847754e-05,0.00038370903532551463
1781312579.703,63589.850000000006,1.5725780136066494e-06,3.274,0.34600000000000003,0.9991836734693879,0.8088397790055248,-0.0019999999999988916,0.01400000000001711,14.0,0.4285714285708576,0.0,2.821999999999946,3.459671629980397e-05,9.907241485847754e-05,0.00047334598210235226
1781312584.703,63592.25,1.572518663922424e-06,2.758,0.33,0.9988102320047592,0.7862694300518134,0.0,0.012000000000014666,12.0,0.49999999999933387,0.0,6.385999999999882,7.862593319154456e-06,6.132822788931323e-05,0.0004355876698811111
1781312589.703,63592.25,1.572518663922424e-06,8.469,0.33,0.9995717344753746,0.9249914763041255,-0.003999999999997783,0.012000000000014666,12.0,0.3333333333328892,0.0,9.249999999999886,6.447326521715808e-05,6.132822788931323e-05,0.0004355876698811111
1781312594.703,63599.850000000006,1.5723307523295228e-06,2.8409999999999997,0.841,0.9414225941422594,0.5431830526887561,0.0,0.012000000000014666,12.0,0.49999999999933387,0.0,13.9969999999999,-5.503157633233411e-05,-5.817623783722196e-05,0.0003663530652979269
1781312599.703,63596.350000000006,1.5724172849313648e-06,3.427,2.396,-0.6754795230689477,0.1770565000858664,0.0,0.012000000000014666,12.0,0.49999999999933387,0.0,10.346999999999895,-3.1448345700915462e-06,-3.1448345700915462e-06,0.000421407832367555
1781312604.703,63592.05,1.5725236094534584e-06,3.601,3.378,0.024546424759871892,0.03195300186273103,-0.6559999999999988,0.6640000000000157,14.0,0.006024096385541363,-0.652000000000001,4.343999999999937,6.447346798839271e-05,6.290094437905367e-05,0.0004906273661565728
1781312609.703,63592.05,1.5725236094534584e-06,3.601,3.2630000000000003,0.14970059880239522,0.049242424242424185,-0.652000000000001,0.6640000000000157,14.0,0.009036144578312044,-0.652000000000001,4.204999999999956,6.447346798839271e-05,6.290094437905367e-05,0.0004906273661565728
1781312614.703,63592.75,1.5725062999448956e-06,2.402,9.518,0.9523525908278737,-0.5969798657718121,0.6359999999999957,1.9520000000000195,20.0,0.662909836065567,-0.008000000000001783,7.141000000000048,5.3465214194922836e-05,5.189270789520677e-05,0.00047961442145527596
1781312619.703,63596.350000000006,1.5724172849313648e-06,0.948,10.011000000000001,-0.08775510204081635,-0.826991513824254,1.4819999999999887,2.7940000000000182,26.0,0.7652111667859648,0.6419999999999986,4.1080000000000325,-3.1448345700915462e-06,-5.975185682830713e-05,0.0005283322077444895
1781312624.703,63596.350000000006,1.5724172849313648e-06,1.182,9.676,0.5213675213675214,-0.7822803462884509,1.4919999999999902,2.812000000000019,30.0,0.7652916073968653,0.6419999999999986,-0.48699999999999477,-3.1448345700915462e-06,-5.975185682830713e-05,0.0005283322077444895
1781312629.703,63596.149999999994,1.5724222299391523e-06,0.427,4.402,-0.9980079681274903,-0.8231517912611307,1.681999999999988,2.998000000000019,32.0,0.7805203468979272,0.6419999999999986,-0.3270000000000266,0.0,-5.660720027849593e-05,0.0005314787137272132
