ts,open,high,low,close,volume,dt
1639094400000,2.517,2.723,2.472,2.48,361991.8,2021-12-10 00:00:00+00:00
1639180800000,2.489,2.613,2.465,2.578,34264.8,2021-12-11 00:00:00+00:00
1639267200000,2.564,2.607,2.49,2.539,24037.2,2021-12-12 00:00:00+00:00
1639353600000,2.534,2.653,2.233,2.404,128093.0,2021-12-13 00:00:00+00:00
1639440000000,2.391,2.591,2.372,2.535,50838.8,2021-12-14 00:00:00+00:00
1639526400000,2.535,2.567,2.334,2.534,39897.2,2021-12-15 00:00:00+00:00
1639612800000,2.556,2.704,2.537,2.566,44015.9,2021-12-16 00:00:00+00:00
1639699200000,2.557,2.733,2.387,2.446,47059.2,2021-12-17 00:00:00+00:00
1639785600000,2.45,2.611,2.425,2.467,30706.0,2021-12-18 00:00:00+00:00
1639872000000,2.484,2.515,2.413,2.458,8041.4,2021-12-19 00:00:00+00:00
1639958400000,2.405,2.44,2.308,2.384,17945.6,2021-12-20 00:00:00+00:00
1640044800000,2.4,2.472,2.361,2.443,10415.8,2021-12-21 00:00:00+00:00
1640131200000,2.444,2.574,2.428,2.476,39228.1,2021-12-22 00:00:00+00:00
1640217600000,2.472,2.892,2.443,2.825,102996.2,2021-12-23 00:00:00+00:00
1640304000000,2.826,2.978,2.697,2.734,94432.5,2021-12-24 00:00:00+00:00
1640390400000,2.756,2.812,2.704,2.732,9698.8,2021-12-25 00:00:00+00:00
1640476800000,2.746,2.795,2.635,2.751,30315.3,2021-12-26 00:00:00+00:00
1640563200000,2.761,2.985,2.736,2.784,52130.0,2021-12-27 00:00:00+00:00
1640649600000,2.789,2.822,2.537,2.553,69666.0,2021-12-28 00:00:00+00:00
1640736000000,2.54,2.6,2.379,2.409,50678.4,2021-12-29 00:00:00+00:00
1640822400000,2.393,2.534,2.34,2.465,55597.9,2021-12-30 00:00:00+00:00
1640908800000,2.47,2.516,2.346,2.397,28348.9,2021-12-31 00:00:00+00:00
1640995200000,2.409,2.532,2.405,2.532,30227.2,2022-01-01 00:00:00+00:00
1641081600000,2.528,2.57,2.466,2.553,29771.7,2022-01-02 00:00:00+00:00
1641168000000,2.544,2.656,2.499,2.573,74558.5,2022-01-03 00:00:00+00:00
1641254400000,2.562,2.597,2.468,2.476,14787.9,2022-01-04 00:00:00+00:00
1641340800000,2.466,2.583,2.204,2.316,45107.4,2022-01-05 00:00:00+00:00
1641427200000,2.313,2.385,2.228,2.338,25297.7,2022-01-06 00:00:00+00:00
1641513600000,2.354,2.354,2.124,2.181,38143.0,2022-01-07 00:00:00+00:00
1641600000000,2.185,2.239,2.041,2.124,43046.1,2022-01-08 00:00:00+00:00
1641686400000,2.117,2.198,2.098,2.153,8590.2,2022-01-09 00:00:00+00:00
1641772800000,2.159,2.191,1.975,2.077,40775.1,2022-01-10 00:00:00+00:00
1641859200000,2.076,2.156,2.031,2.148,13574.3,2022-01-11 00:00:00+00:00
1641945600000,2.151,2.262,2.141,2.252,100016.1,2022-01-12 00:00:00+00:00
1642032000000,2.241,2.519,2.221,2.337,376148.5,2022-01-13 00:00:00+00:00
1642118400000,2.348,2.449,2.267,2.369,99859.9,2022-01-14 00:00:00+00:00
1642204800000,2.374,2.424,2.339,2.39,54486.5,2022-01-15 00:00:00+00:00
1642291200000,2.375,2.463,2.353,2.433,58060.3,2022-01-16 00:00:00+00:00
1642377600000,2.442,2.446,2.207,2.247,83641.5,2022-01-17 00:00:00+00:00
1642464000000,2.251,2.275,2.117,2.194,36284.8,2022-01-18 00:00:00+00:00
1642550400000,2.188,2.19,2.065,2.096,62810.4,2022-01-19 00:00:00+00:00
1642636800000,2.096,2.237,2.03,2.033,96104.0,2022-01-20 00:00:00+00:00
1642723200000,2.026,2.062,1.712,1.846,56933.5,2022-01-21 00:00:00+00:00
1642809600000,1.834,1.865,1.502,1.614,73402.7,2022-01-22 00:00:00+00:00
1642896000000,1.603,1.706,1.599,1.69,80913.0,2022-01-23 00:00:00+00:00
1642982400000,1.679,1.686,1.436,1.58,14779.1,2022-01-24 00:00:00+00:00
1643068800000,1.57,1.607,1.53,1.597,22859.2,2022-01-25 00:00:00+00:00
1643155200000,1.586,1.808,1.578,1.62,32950.2,2022-01-26 00:00:00+00:00
1643241600000,1.631,1.65,1.526,1.58,5045.1,2022-01-27 00:00:00+00:00
1643328000000,1.58,1.66,1.562,1.649,26400.2,2022-01-28 00:00:00+00:00
1643414400000,1.642,1.741,1.642,1.701,16778.9,2022-01-29 00:00:00+00:00
1643500800000,1.712,1.723,1.623,1.662,22774.6,2022-01-30 00:00:00+00:00
1643587200000,1.657,1.691,1.586,1.686,22182.1,2022-01-31 00:00:00+00:00
1643673600000,1.69,1.741,1.644,1.71,42687.3,2022-02-01 00:00:00+00:00
1643760000000,1.71,1.741,1.609,1.62,27784.3,2022-02-02 00:00:00+00:00
1643846400000,1.631,1.659,1.586,1.655,66775.9,2022-02-03 00:00:00+00:00
1643932800000,1.664,1.765,1.654,1.763,31493.3,2022-02-04 00:00:00+00:00
1644019200000,1.766,1.843,1.754,1.791,24789.5,2022-02-05 00:00:00+00:00
1644105600000,1.801,1.867,1.763,1.867,38713.1,2022-02-06 00:00:00+00:00
1644192000000,1.855,1.959,1.799,1.944,220112.7,2022-02-07 00:00:00+00:00
1644278400000,1.944,1.981,1.786,1.865,32583.3,2022-02-08 00:00:00+00:00
1644364800000,1.866,1.95,1.841,1.921,26836.0,2022-02-09 00:00:00+00:00
1644451200000,1.918,1.95,1.789,1.792,91610.9,2022-02-10 00:00:00+00:00
1644537600000,1.79,1.838,1.682,1.717,99220.3,2022-02-11 00:00:00+00:00
1644624000000,1.711,1.733,1.648,1.69,22986.7,2022-02-12 00:00:00+00:00
1644710400000,1.679,1.706,1.618,1.659,13047.2,2022-02-13 00:00:00+00:00
1644796800000,1.654,1.736,1.623,1.704,123666.2,2022-02-14 00:00:00+00:00
1644883200000,1.703,1.801,1.687,1.801,127813.1,2022-02-15 00:00:00+00:00
1644969600000,1.789,1.855,1.75,1.801,40302.1,2022-02-16 00:00:00+00:00
1645056000000,1.799,1.826,1.646,1.654,95378.2,2022-02-17 00:00:00+00:00
1645142400000,1.648,1.681,1.558,1.589,70912.5,2022-02-18 00:00:00+00:00
1645228800000,1.579,1.604,1.526,1.58,62547.3,2022-02-19 00:00:00+00:00
1645315200000,1.57,1.572,1.462,1.487,55662.0,2022-02-20 00:00:00+00:00
1645401600000,1.482,1.548,1.361,1.363,50902.4,2022-02-21 00:00:00+00:00
1645488000000,1.368,1.435,1.319,1.427,26557.3,2022-02-22 00:00:00+00:00
1645574400000,1.418,1.476,1.387,1.388,12810.7,2022-02-23 00:00:00+00:00
1645660800000,1.381,1.39,1.188,1.341,32571.8,2022-02-24 00:00:00+00:00
1645747200000,1.332,1.503,1.311,1.45,30629.5,2022-02-25 00:00:00+00:00
1645833600000,1.442,1.476,1.417,1.435,20176.7,2022-02-26 00:00:00+00:00
1645920000000,1.429,1.532,1.363,1.383,62321.5,2022-02-27 00:00:00+00:00
1646006400000,1.374,1.5,1.326,1.5,28408.5,2022-02-28 00:00:00+00:00
1646092800000,1.508,1.551,1.47,1.521,74407.0,2022-03-01 00:00:00+00:00
1646179200000,1.506,1.546,1.467,1.49,50505.1,2022-03-02 00:00:00+00:00
1646265600000,1.5,1.516,1.403,1.436,42526.1,2022-03-03 00:00:00+00:00
1646352000000,1.437,1.437,1.325,1.346,97971.3,2022-03-04 00:00:00+00:00
1646438400000,1.341,1.364,1.304,1.358,17162.3,2022-03-05 00:00:00+00:00
1646524800000,1.362,1.369,1.297,1.299,16086.8,2022-03-06 00:00:00+00:00
1646611200000,1.297,1.327,1.229,1.269,67834.3,2022-03-07 00:00:00+00:00
1646697600000,1.269,1.32,1.269,1.291,31113.7,2022-03-08 00:00:00+00:00
1646784000000,1.291,1.401,1.291,1.38,29573.7,2022-03-09 00:00:00+00:00
1646870400000,1.379,1.456,1.288,1.367,152489.5,2022-03-10 00:00:00+00:00
1646956800000,1.364,1.364,1.306,1.32,69628.4,2022-03-11 00:00:00+00:00
1647043200000,1.318,1.369,1.318,1.332,101053.7,2022-03-12 00:00:00+00:00
