ts,open,high,low,close,volume,dt
1609459200000,0.1997,0.2102,0.1981,0.2043,760596.37,2021-01-01 00:00:00+00:00
1609545600000,0.2036,0.2092,0.1991,0.2037,2386348.8,2021-01-02 00:00:00+00:00
1609632000000,0.204,0.2199,0.1999,0.2172,2303681.47,2021-01-03 00:00:00+00:00
1609718400000,0.2173,0.2365,0.2032,0.2185,2206249.05,2021-01-04 00:00:00+00:00
1609804800000,0.219,0.2332,0.216,0.2312,3115267.38,2021-01-05 00:00:00+00:00
1609891200000,0.2316,0.2551,0.2278,0.2514,3025268.27,2021-01-06 00:00:00+00:00
1609977600000,0.252,0.2848,0.2428,0.2573,3179827.04,2021-01-07 00:00:00+00:00
1610064000000,0.2568,0.2736,0.24,0.25,4056377.82,2021-01-08 00:00:00+00:00
1610150400000,0.2517,0.2876,0.243,0.275,1523215.37,2021-01-09 00:00:00+00:00
1610236800000,0.2756,0.2946,0.2381,0.2583,2878721.12,2021-01-10 00:00:00+00:00
1610323200000,0.2564,0.2564,0.2026,0.2295,3244302.34,2021-01-11 00:00:00+00:00
1610409600000,0.23,0.2484,0.2229,0.2307,2302217.73,2021-01-12 00:00:00+00:00
1610496000000,0.2314,0.2496,0.2241,0.2496,1759182.54,2021-01-13 00:00:00+00:00
1610582400000,0.25,0.2557,0.2382,0.2461,1934171.87,2021-01-14 00:00:00+00:00
1610668800000,0.2465,0.2597,0.2262,0.2475,2394306.57,2021-01-15 00:00:00+00:00
1610755200000,0.2475,0.2867,0.2475,0.2666,898084.68,2021-01-16 00:00:00+00:00
1610841600000,0.2635,0.2781,0.2503,0.2754,539120.08,2021-01-17 00:00:00+00:00
1610928000000,0.2745,0.2958,0.2673,0.2823,2023320.88,2021-01-18 00:00:00+00:00
1611014400000,0.282,0.2915,0.2674,0.2682,1431160.79,2021-01-19 00:00:00+00:00
1611100800000,0.2691,0.2886,0.2526,0.2784,1748989.16,2021-01-20 00:00:00+00:00
1611187200000,0.2774,0.2775,0.2419,0.2436,1849927.29,2021-01-21 00:00:00+00:00
1611273600000,0.2445,0.3458,0.2294,0.3145,4399908.48,2021-01-22 00:00:00+00:00
1611360000000,0.314,0.3599,0.3103,0.3287,2481576.62,2021-01-23 00:00:00+00:00
1611446400000,0.3285,0.3335,0.3058,0.3185,1465169.74,2021-01-24 00:00:00+00:00
1611532800000,0.3182,0.339,0.2958,0.3018,1524398.92,2021-01-25 00:00:00+00:00
1611619200000,0.3018,0.3096,0.2809,0.2984,804679.05,2021-01-26 00:00:00+00:00
1611705600000,0.2999,0.316,0.2719,0.3045,1085254.28,2021-01-27 00:00:00+00:00
1611792000000,0.3018,0.3198,0.2982,0.3055,977123.81,2021-01-28 00:00:00+00:00
1611878400000,0.3081,0.3146,0.2899,0.3093,1477377.97,2021-01-29 00:00:00+00:00
1611964800000,0.3093,0.3229,0.296,0.3149,683717.41,2021-01-30 00:00:00+00:00
1612051200000,0.3149,0.3236,0.2954,0.3015,478099.63,2021-01-31 00:00:00+00:00
1612137600000,0.301,0.3193,0.2913,0.3158,1153986.42,2021-02-01 00:00:00+00:00
1612224000000,0.3178,0.3235,0.3058,0.3163,1671808.29,2021-02-02 00:00:00+00:00
1612310400000,0.3172,0.3282,0.3118,0.3219,1383622.08,2021-02-03 00:00:00+00:00
1612396800000,0.3222,0.3259,0.304,0.313,3402023.66,2021-02-04 00:00:00+00:00
1612483200000,0.3146,0.3755,0.313,0.3721,3757859.3,2021-02-05 00:00:00+00:00
1612569600000,0.3722,0.3736,0.3405,0.3535,635988.67,2021-02-06 00:00:00+00:00
1612656000000,0.3526,0.4266,0.3457,0.409,2152168.72,2021-02-07 00:00:00+00:00
1612742400000,0.4074,0.431,0.3877,0.4188,1216137.35,2021-02-08 00:00:00+00:00
1612828800000,0.4172,0.4501,0.4037,0.4345,774292.77,2021-02-09 00:00:00+00:00
1612915200000,0.4355,0.4624,0.391,0.4457,936470.51,2021-02-10 00:00:00+00:00
1613001600000,0.4456,0.674,0.4327,0.5926,2611884.43,2021-02-11 00:00:00+00:00
1613088000000,0.5922,0.7064,0.546,0.6267,2492425.62,2021-02-12 00:00:00+00:00
1613174400000,0.6308,0.6936,0.5757,0.6172,1086502.6,2021-02-13 00:00:00+00:00
1613260800000,0.6187,0.6262,0.5427,0.559,1028323.75,2021-02-14 00:00:00+00:00
1613347200000,0.5618,0.5961,0.458,0.5406,2066368.3,2021-02-15 00:00:00+00:00
1613433600000,0.5389,0.5903,0.5235,0.5543,1881282.88,2021-02-16 00:00:00+00:00
1613520000000,0.5577,0.5961,0.5086,0.575,1987504.48,2021-02-17 00:00:00+00:00
1613606400000,0.5751,0.6483,0.5751,0.6362,1522352.66,2021-02-18 00:00:00+00:00
1613692800000,0.6372,0.6569,0.595,0.613,1454438.78,2021-02-19 00:00:00+00:00
1613779200000,0.6141,0.6353,0.545,0.5789,1923711.51,2021-02-20 00:00:00+00:00
1613865600000,0.5728,0.6099,0.5625,0.6054,1563315.69,2021-02-21 00:00:00+00:00
1613952000000,0.6069,0.6424,0.4535,0.5415,3524809.83,2021-02-22 00:00:00+00:00
1614038400000,0.5428,0.548,0.3967,0.4777,2930420.71,2021-02-23 00:00:00+00:00
1614124800000,0.4774,0.5489,0.4442,0.5139,2514132.23,2021-02-24 00:00:00+00:00
1614211200000,0.514,0.539,0.4745,0.4791,1151009.35,2021-02-25 00:00:00+00:00
1614297600000,0.4803,0.5554,0.4418,0.5264,3140331.99,2021-02-26 00:00:00+00:00
1614384000000,0.5262,0.5671,0.5019,0.5148,1729803.85,2021-02-27 00:00:00+00:00
1614470400000,0.5127,0.5371,0.4593,0.5269,1411752.13,2021-02-28 00:00:00+00:00
1614556800000,0.5289,0.5977,0.5202,0.5848,1809889.23,2021-03-01 00:00:00+00:00
1614643200000,0.5875,0.6289,0.5548,0.602,1286302.03,2021-03-02 00:00:00+00:00
1614729600000,0.6038,0.8709,0.5938,0.764,5054612.21,2021-03-03 00:00:00+00:00
1614816000000,0.7606,0.7926,0.665,0.6914,2060612.65,2021-03-04 00:00:00+00:00
1614902400000,0.6926,0.7247,0.6343,0.6791,1902818.5,2021-03-05 00:00:00+00:00
1614988800000,0.6818,0.6969,0.635,0.6627,706865.81,2021-03-06 00:00:00+00:00
1615075200000,0.6687,0.7281,0.6613,0.6959,1394460.98,2021-03-07 00:00:00+00:00
1615161600000,0.6977,0.7441,0.6643,0.7425,1221632.41,2021-03-08 00:00:00+00:00
1615248000000,0.745,0.7628,0.7044,0.7476,1074254.92,2021-03-09 00:00:00+00:00
1615334400000,0.7477,0.8806,0.6929,0.818,3629577.52,2021-03-10 00:00:00+00:00
1615420800000,0.8198,0.8615,0.7779,0.8011,901183.23,2021-03-11 00:00:00+00:00
1615507200000,0.8043,0.8152,0.7326,0.7562,534534.28,2021-03-12 00:00:00+00:00
1615593600000,0.757,0.8366,0.7215,0.8168,682091.1,2021-03-13 00:00:00+00:00
1615680000000,0.8094,0.85,0.7683,0.7683,588734.75,2021-03-14 00:00:00+00:00
1615766400000,0.7681,0.8077,0.7206,0.7599,549448.98,2021-03-15 00:00:00+00:00
1615852800000,0.767,1.19,0.7298,1.0286,4391026.38,2021-03-16 00:00:00+00:00
