ts,open,high,low,close,volume,dt
1609459200000,28933.86,29475.57,28708.39,29282.51,62.890955,2021-01-01 00:00:00+00:00
1609473600000,29280.63,29405.54,28837.46,29087.77,38.930988,2021-01-01 04:00:00+00:00
1609488000000,29093.66,29413.02,28876.43,29313.23,76.895406,2021-01-01 08:00:00+00:00
1609502400000,29314.3,29611.51,29033.26,29187.14,54.83629,2021-01-01 12:00:00+00:00
1609516800000,29190.24,29355.67,28649.46,29033.89,48.896845,2021-01-01 16:00:00+00:00
1609531200000,29033.4,29330.12,28885.39,29305.29,15.906601,2021-01-01 20:00:00+00:00
1609545600000,29321.41,29473.25,28955.02,29359.09,42.663952,2021-01-02 00:00:00+00:00
1609560000000,29355.43,29822.36,29221.21,29757.51,51.356138,2021-01-02 04:00:00+00:00
1609574400000,29751.49,29922.68,29470.45,29758.05,53.231166,2021-01-02 08:00:00+00:00
1609588800000,29752.72,31817.62,29741.6,31692.33,154.015896,2021-01-02 12:00:00+00:00
1609603200000,31697.77,33271.38,31697.77,33034.17,169.091543,2021-01-02 16:00:00+00:00
1609617600000,33037.31,33048.33,30399.98,32162.01,197.123643,2021-01-02 20:00:00+00:00
1609632000000,32174.75,32872.85,31942.96,32573.93,60.578294,2021-01-03 00:00:00+00:00
1609646400000,32571.58,34776.59,32455.0,34473.09,163.803765,2021-01-03 04:00:00+00:00
1609660800000,34492.17,34688.04,33415.0,34426.08,127.153799,2021-01-03 08:00:00+00:00
1609675200000,34404.55,34584.95,32780.0,33496.9,116.290176,2021-01-03 12:00:00+00:00
1609689600000,33510.84,33833.88,32300.0,32787.51,136.767768,2021-01-03 16:00:00+00:00
1609704000000,32782.82,33861.94,32658.17,33031.74,97.357285,2021-01-03 20:00:00+00:00
1609718400000,33034.55,33583.91,32415.06,33510.61,97.709395,2021-01-04 00:00:00+00:00
1609732800000,33501.35,33593.47,31489.31,32059.03,141.208428,2021-01-04 04:00:00+00:00
1609747200000,32092.25,32554.54,27500.0,30757.78,340.597592,2021-01-04 08:00:00+00:00
1609761600000,30777.44,32183.48,30469.48,31718.23,166.757556,2021-01-04 12:00:00+00:00
1609776000000,31732.95,31905.65,30620.83,31669.62,143.841174,2021-01-04 16:00:00+00:00
1609790400000,31681.51,32030.84,30877.21,32005.27,97.165749,2021-01-04 20:00:00+00:00
1609804800000,31996.54,32842.92,31164.48,31196.21,123.647073,2021-01-05 00:00:00+00:00
1609819200000,31201.16,31540.23,29937.69,30826.27,222.4078,2021-01-05 04:00:00+00:00
1609833600000,30810.68,31815.01,30809.85,31779.37,59.422496,2021-01-05 08:00:00+00:00
1609848000000,31780.96,32367.6,31118.96,32102.92,93.062936,2021-01-05 12:00:00+00:00
1609862400000,32090.65,34197.09,31790.91,33713.38,149.991985,2021-01-05 16:00:00+00:00
1609876800000,33724.08,34392.59,33390.29,33946.09,116.781975,2021-01-05 20:00:00+00:00
1609891200000,33939.15,34159.87,33319.67,34112.79,91.335635,2021-01-06 00:00:00+00:00
1609905600000,34125.15,35755.02,34105.32,34669.47,174.954376,2021-01-06 04:00:00+00:00
1609920000000,34679.04,35195.95,33615.17,34924.16,134.956045,2021-01-06 08:00:00+00:00
1609934400000,34913.9,35090.62,34075.78,34592.14,130.31034,2021-01-06 12:00:00+00:00
1609948800000,34577.71,35717.65,34379.79,34806.03,138.872234,2021-01-06 16:00:00+00:00
1609963200000,34874.59,36935.58,34252.89,36756.07,194.285649,2021-01-06 20:00:00+00:00
1609977600000,36761.31,37697.4,36419.66,37441.33,168.455789,2021-01-07 00:00:00+00:00
1609992000000,37448.31,37697.37,36734.07,36843.26,86.582768,2021-01-07 04:00:00+00:00
1610006400000,36899.71,37921.27,36309.44,37813.03,65.857687,2021-01-07 08:00:00+00:00
1610020800000,37808.89,38960.6,37525.35,38958.86,88.15936,2021-01-07 12:00:00+00:00
1610035200000,38965.5,40358.96,35813.86,39058.8,238.695354,2021-01-07 16:00:00+00:00
1610049600000,39086.33,39960.23,38391.88,39444.65,122.376316,2021-01-07 20:00:00+00:00
1610064000000,39437.66,39685.65,36589.0,38349.0,191.03604,2021-01-08 00:00:00+00:00
1610078400000,38350.92,39124.17,37580.02,38945.83,102.447794,2021-01-08 04:00:00+00:00
