ts,open,high,low,close,volume,dt
1617926400000,7.872,9.879,7.456,7.531,11710.4003224,2021-04-09 00:00:00+00:00
1618012800000,7.536,7.598,6.623,7.232,23640.90332585,2021-04-10 00:00:00+00:00
1618099200000,7.233,7.523,7.002,7.017,6422.86315907,2021-04-11 00:00:00+00:00
1618185600000,7.017,7.247,7.0,7.083,14585.28523728,2021-04-12 00:00:00+00:00
1618272000000,7.081,7.803,6.955,7.097,48290.39183299,2021-04-13 00:00:00+00:00
1618358400000,7.073,7.417,6.697,6.849,10878.02136523,2021-04-14 00:00:00+00:00
1618444800000,6.839,7.129,6.703,6.993,13491.43361271,2021-04-15 00:00:00+00:00
1618531200000,6.994,7.089,6.5,6.612,14932.98185748,2021-04-16 00:00:00+00:00
1618617600000,6.61,7.009,6.5,6.516,9236.91419428,2021-04-17 00:00:00+00:00
1618704000000,6.516,6.569,6.097,6.368,11502.18447232,2021-04-18 00:00:00+00:00
1618790400000,6.372,6.507,5.999,6.12,8210.30729243,2021-04-19 00:00:00+00:00
1618876800000,6.125,6.236,5.825,6.188,11008.98379997,2021-04-20 00:00:00+00:00
1618963200000,6.19,6.356,5.8,6.148,37341.46180786,2021-04-21 00:00:00+00:00
1619049600000,6.15,6.345,5.642,5.911,18188.98625395,2021-04-22 00:00:00+00:00
1619136000000,5.918,6.829,5.458,6.791,11526.1956037,2021-04-23 00:00:00+00:00
1619222400000,6.8,6.851,5.994,6.22,10074.02290294,2021-04-24 00:00:00+00:00
1619308800000,6.222,6.224,5.49,5.782,15914.02772121,2021-04-25 00:00:00+00:00
1619395200000,5.786,6.342,5.786,6.185,10467.30541827,2021-04-26 00:00:00+00:00
1619481600000,6.182,6.322,6.025,6.212,12630.74438622,2021-04-27 00:00:00+00:00
1619568000000,6.208,6.323,5.901,6.026,10343.92272969,2021-04-28 00:00:00+00:00
1619654400000,6.033,6.049,5.643,5.716,11471.16223765,2021-04-29 00:00:00+00:00
1619740800000,5.716,5.917,5.679,5.907,18742.06740596,2021-04-30 00:00:00+00:00
1619827200000,5.903,6.328,5.901,6.244,8312.30173435,2021-05-01 00:00:00+00:00
1619913600000,6.244,6.343,6.003,6.176,10055.12200755,2021-05-02 00:00:00+00:00
1620000000000,6.183,6.6,6.163,6.476,18431.47549795,2021-05-03 00:00:00+00:00
1620086400000,6.483,6.496,5.946,6.031,13545.15690002,2021-05-04 00:00:00+00:00
1620172800000,6.03,6.45,5.707,6.426,15320.65684077,2021-05-05 00:00:00+00:00
1620259200000,6.404,6.521,6.173,6.437,10828.64747109,2021-05-06 00:00:00+00:00
1620345600000,6.439,6.767,6.188,6.698,10306.79392124,2021-05-07 00:00:00+00:00
1620432000000,6.697,7.127,6.568,7.087,10188.14888036,2021-05-08 00:00:00+00:00
1620518400000,7.094,7.315,6.937,7.28,11205.37679107,2021-05-09 00:00:00+00:00
1620604800000,7.285,7.534,6.826,7.07,14514.80156329,2021-05-10 00:00:00+00:00
1620691200000,7.063,7.204,6.783,7.142,15081.68851118,2021-05-11 00:00:00+00:00
1620777600000,7.152,7.4,6.867,6.987,10257.22866736,2021-05-12 00:00:00+00:00
