ts,open,high,low,close,volume,dt
1646092800000,0.1925,0.27,0.1883,0.1965,2229970.0,2022-03-01 00:00:00+00:00
1646179200000,0.1919,0.21,0.1919,0.198,1302374.0,2022-03-02 00:00:00+00:00
1646265600000,0.1968,0.1986,0.1846,0.1978,725855.0,2022-03-03 00:00:00+00:00
1646352000000,0.1939,0.2067,0.1883,0.1941,971096.0,2022-03-04 00:00:00+00:00
1646438400000,0.1902,0.2361,0.1875,0.2336,2040019.0,2022-03-05 00:00:00+00:00
1646524800000,0.2324,0.236,0.2077,0.2083,1228572.0,2022-03-06 00:00:00+00:00
1646611200000,0.2078,0.2079,0.1906,0.1949,527887.0,2022-03-07 00:00:00+00:00
1646697600000,0.1953,0.1995,0.1908,0.1942,765610.0,2022-03-08 00:00:00+00:00
1646784000000,0.1948,0.2066,0.1948,0.2005,406789.0,2022-03-09 00:00:00+00:00
1646870400000,0.1996,0.2006,0.1835,0.198,235162.0,2022-03-10 00:00:00+00:00
1646956800000,0.1958,0.2006,0.1915,0.1936,202159.0,2022-03-11 00:00:00+00:00
1647043200000,0.1948,0.2118,0.1931,0.2007,595355.0,2022-03-12 00:00:00+00:00
1647129600000,0.1986,0.215,0.1943,0.1943,684872.0,2022-03-13 00:00:00+00:00
1647216000000,0.1925,0.1966,0.1884,0.195,596626.0,2022-03-14 00:00:00+00:00
1647302400000,0.1938,0.1953,0.1893,0.1918,131105.0,2022-03-15 00:00:00+00:00
1647388800000,0.1908,0.2022,0.1894,0.202,277886.0,2022-03-16 00:00:00+00:00
1647475200000,0.2054,0.214,0.1983,0.2108,745527.0,2022-03-17 00:00:00+00:00
1647561600000,0.2122,0.2122,0.1987,0.2087,897236.0,2022-03-18 00:00:00+00:00
1647648000000,0.21,0.2166,0.2067,0.2114,320866.0,2022-03-19 00:00:00+00:00
1647734400000,0.2119,0.2121,0.1996,0.2031,74849.0,2022-03-20 00:00:00+00:00
1647820800000,0.2035,0.2046,0.1964,0.2038,140124.0,2022-03-21 00:00:00+00:00
1647907200000,0.2029,0.2146,0.2028,0.2075,764678.0,2022-03-22 00:00:00+00:00
1647993600000,0.2092,0.2154,0.2053,0.2144,181525.0,2022-03-23 00:00:00+00:00
1648080000000,0.2143,0.2279,0.2129,0.2213,275221.0,2022-03-24 00:00:00+00:00
1648166400000,0.2209,0.2552,0.2174,0.2474,2704279.0,2022-03-25 00:00:00+00:00
1648252800000,0.2465,0.247,0.2358,0.2421,562192.0,2022-03-26 00:00:00+00:00
1648339200000,0.241,0.277,0.2378,0.2684,2040472.0,2022-03-27 00:00:00+00:00
1648425600000,0.2673,0.2821,0.2544,0.2595,1130961.0,2022-03-28 00:00:00+00:00
1648512000000,0.26,0.3219,0.26,0.2942,5069121.0,2022-03-29 00:00:00+00:00
1648598400000,0.2928,0.3307,0.2926,0.3014,3479900.0,2022-03-30 00:00:00+00:00
1648684800000,0.3019,0.3153,0.272,0.2824,930357.0,2022-03-31 00:00:00+00:00
1648771200000,0.2833,0.2904,0.2665,0.2811,462629.0,2022-04-01 00:00:00+00:00
1648857600000,0.28,0.2939,0.2762,0.2777,453770.0,2022-04-02 00:00:00+00:00
1648944000000,0.2794,0.2894,0.2726,0.2844,435503.0,2022-04-03 00:00:00+00:00
1649030400000,0.2836,0.2869,0.2554,0.2709,449220.0,2022-04-04 00:00:00+00:00
1649116800000,0.2714,0.2767,0.259,0.2592,365074.0,2022-04-05 00:00:00+00:00
1649203200000,0.2583,0.2583,0.2264,0.2266,309625.0,2022-04-06 00:00:00+00:00
1649289600000,0.227,0.245,0.2242,0.2407,180225.0,2022-04-07 00:00:00+00:00
1649376000000,0.2423,0.246,0.2279,0.2306,68035.0,2022-04-08 00:00:00+00:00
