ts,open,high,low,close,volume,dt
1609459200000,24.708,27.115,24.469,26.049,5452.634,2021-01-01 00:00:00+00:00
1609545600000,26.049,26.882,25.216,25.935,5589.21,2021-01-02 00:00:00+00:00
1609632000000,25.935,27.811,25.316,27.167,9145.873,2021-01-03 00:00:00+00:00
1609718400000,27.255,41.7,27.255,30.639,15695.555,2021-01-04 00:00:00+00:00
1609804800000,30.63,35.861,30.213,33.889,17329.591,2021-01-05 00:00:00+00:00
1609891200000,33.976,39.778,33.322,38.347,11459.885,2021-01-06 00:00:00+00:00
1609977600000,38.712,41.99,33.278,37.124,11710.241,2021-01-07 00:00:00+00:00
1610064000000,37.022,40.38,33.894,37.331,12719.81,2021-01-08 00:00:00+00:00
1610150400000,37.376,38.707,35.891,36.851,4906.745,2021-01-09 00:00:00+00:00
1610236800000,36.891,39.229,34.021,36.465,6988.309,2021-01-10 00:00:00+00:00
1610323200000,36.19,36.19,27.115,32.63,4969.242,2021-01-11 00:00:00+00:00
1610409600000,32.685,34.761,31.103,31.706,4017.164,2021-01-12 00:00:00+00:00
1610496000000,31.288,35.041,30.59,34.827,4035.751,2021-01-13 00:00:00+00:00
1610582400000,34.945,38.412,34.479,37.587,4801.348,2021-01-14 00:00:00+00:00
1610668800000,37.587,38.313,35.378,36.848,3689.152,2021-01-15 00:00:00+00:00
1610755200000,36.9,38.624,36.573,36.814,4862.609,2021-01-16 00:00:00+00:00
1610841600000,36.814,38.08,35.755,37.696,3234.218,2021-01-17 00:00:00+00:00
1610928000000,37.689,39.956,37.446,39.443,6315.474,2021-01-18 00:00:00+00:00
1611014400000,39.564,39.612,37.869,37.921,4470.45,2021-01-19 00:00:00+00:00
1611100800000,37.921,39.29,36.092,38.913,5730.471,2021-01-20 00:00:00+00:00
1611187200000,39.03,39.545,36.595,37.448,6682.181,2021-01-21 00:00:00+00:00
1611273600000,37.445,38.14,35.138,37.595,3911.059,2021-01-22 00:00:00+00:00
1611360000000,37.584,37.956,36.61,37.308,2919.878,2021-01-23 00:00:00+00:00
1611446400000,36.99,41.817,36.99,41.396,7289.286,2021-01-24 00:00:00+00:00
1611532800000,41.396,54.244,41.396,50.03,36257.93,2021-01-25 00:00:00+00:00
1611619200000,50.013,50.745,46.789,48.542,7830.845,2021-01-26 00:00:00+00:00
1611705600000,48.542,54.65,46.025,53.343,9658.275,2021-01-27 00:00:00+00:00
1611792000000,53.343,62.74,53.151,58.905,14869.129,2021-01-28 00:00:00+00:00
1611878400000,58.877,63.076,56.221,61.8,12135.772,2021-01-29 00:00:00+00:00
1611964800000,61.787,75.703,60.567,64.782,24414.183,2021-01-30 00:00:00+00:00
1612051200000,64.783,69.087,62.303,63.577,10669.888,2021-01-31 00:00:00+00:00
1612137600000,63.578,69.507,58.666,66.11,13612.916,2021-02-01 00:00:00+00:00
1612224000000,66.11,67.342,63.264,64.392,7926.658,2021-02-02 00:00:00+00:00
1612310400000,64.309,68.718,63.798,68.053,4577.349,2021-02-03 00:00:00+00:00
1612396800000,68.037,78.77,66.506,73.94,10447.47,2021-02-04 00:00:00+00:00
1612483200000,74.313,89.582,73.961,87.84,8846.921,2021-02-05 00:00:00+00:00
1612569600000,88.531,99.334,83.972,95.806,12965.767,2021-02-06 00:00:00+00:00
1612656000000,96.527,146.998,93.444,140.416,40514.988,2021-02-07 00:00:00+00:00
1612742400000,140.416,199.143,129.576,164.096,48903.367,2021-02-08 00:00:00+00:00
1612828800000,163.4,215.905,159.436,195.46,43885.752,2021-02-09 00:00:00+00:00
1612915200000,196.598,215.0,167.326,176.759,32763.226,2021-02-10 00:00:00+00:00
1613001600000,176.465,187.532,142.185,158.077,28002.492,2021-02-11 00:00:00+00:00
1613088000000,158.116,177.522,151.135,169.508,26985.359,2021-02-12 00:00:00+00:00
1613174400000,170.09,176.0,159.763,160.496,9424.602,2021-02-13 00:00:00+00:00
1613260800000,161.071,167.591,150.505,154.322,10403.276,2021-02-14 00:00:00+00:00
1613347200000,155.036,168.849,112.967,140.058,56044.898,2021-02-15 00:00:00+00:00
1613433600000,140.077,152.939,131.232,137.136,20993.276,2021-02-16 00:00:00+00:00
1613520000000,137.363,157.085,123.924,144.82,20167.082,2021-02-17 00:00:00+00:00
1613606400000,145.893,166.414,143.631,151.501,17103.133,2021-02-18 00:00:00+00:00
1613692800000,152.646,154.556,135.999,139.389,13112.111,2021-02-19 00:00:00+00:00
1613779200000,140.216,154.883,133.891,139.851,16030.163,2021-02-20 00:00:00+00:00
1613865600000,138.774,144.444,136.294,140.361,6397.379,2021-02-21 00:00:00+00:00
1613952000000,140.738,154.275,109.999,127.077,19855.8,2021-02-22 00:00:00+00:00
1614038400000,126.071,126.071,91.485,109.925,37313.53,2021-02-23 00:00:00+00:00
1614124800000,109.925,129.777,104.612,116.738,13870.779,2021-02-24 00:00:00+00:00
1614211200000,116.738,128.645,112.234,113.683,13748.914,2021-02-25 00:00:00+00:00
1614297600000,112.802,127.765,104.299,124.106,23172.333,2021-02-26 00:00:00+00:00
1614384000000,124.116,151.854,122.617,134.911,24285.909,2021-02-27 00:00:00+00:00
1614470400000,134.77,136.375,120.164,130.349,11577.748,2021-02-28 00:00:00+00:00
1614556800000,130.401,143.434,129.552,138.081,8793.832,2021-03-01 00:00:00+00:00
1614643200000,138.539,144.757,127.89,133.742,8720.805,2021-03-02 00:00:00+00:00
1614729600000,133.742,143.503,132.211,141.832,4682.162,2021-03-03 00:00:00+00:00
1614816000000,141.462,159.781,138.218,151.05,22608.258,2021-03-04 00:00:00+00:00
1614902400000,151.28,151.374,139.173,141.644,11654.998,2021-03-05 00:00:00+00:00
1614988800000,141.651,144.83,134.103,137.184,5132.094,2021-03-06 00:00:00+00:00
1615075200000,137.184,151.692,137.029,146.024,4689.584,2021-03-07 00:00:00+00:00
1615161600000,146.016,149.743,141.305,146.945,3373.948,2021-03-08 00:00:00+00:00
1615248000000,146.945,164.02,144.98,158.215,6404.436,2021-03-09 00:00:00+00:00
1615334400000,158.404,164.858,148.674,150.778,9048.829,2021-03-10 00:00:00+00:00
1615420800000,150.819,155.816,145.914,150.95,4365.231,2021-03-11 00:00:00+00:00
1615507200000,150.992,152.035,137.596,140.056,4379.376,2021-03-12 00:00:00+00:00
1615593600000,139.864,146.271,136.0,140.573,3316.672,2021-03-13 00:00:00+00:00
1615680000000,140.556,141.948,128.883,132.0,4872.581,2021-03-14 00:00:00+00:00
1615766400000,132.0,138.387,125.0,130.303,7828.727,2021-03-15 00:00:00+00:00
1615852800000,130.32,133.285,126.44,130.237,4787.912,2021-03-16 00:00:00+00:00
1615939200000,130.519,137.084,127.667,136.257,3917.894,2021-03-17 00:00:00+00:00
1616025600000,136.308,137.586,130.768,132.794,2693.391,2021-03-18 00:00:00+00:00
1616112000000,132.947,135.181,130.117,133.596,1872.925,2021-03-19 00:00:00+00:00
1616198400000,133.395,148.372,133.104,136.853,5055.53,2021-03-20 00:00:00+00:00
1616284800000,137.144,139.658,132.457,137.556,4036.306,2021-03-21 00:00:00+00:00
1616371200000,138.185,145.708,133.286,134.496,5796.862,2021-03-22 00:00:00+00:00
1616457600000,134.496,136.222,129.304,131.042,3415.883,2021-03-23 00:00:00+00:00
1616544000000,130.522,135.336,120.0,120.228,3831.583,2021-03-24 00:00:00+00:00
1616630400000,120.336,124.946,115.839,121.637,5521.444,2021-03-25 00:00:00+00:00
1616716800000,122.556,144.139,122.556,141.009,10202.763,2021-03-26 00:00:00+00:00
1616803200000,141.215,153.072,139.34,146.655,7732.797,2021-03-27 00:00:00+00:00
1616889600000,146.883,148.688,138.348,141.306,4829.938,2021-03-28 00:00:00+00:00
1616976000000,141.305,148.74,138.469,143.659,7235.998,2021-03-29 00:00:00+00:00
1617062400000,143.08,146.135,141.853,142.401,2732.952,2021-03-30 00:00:00+00:00
