ts,open,high,low,close,volume,dt
1642032000000,2.88,2.905,2.788,2.809,25796.9,2022-01-13 00:00:00+00:00
1642118400000,2.785,2.886,2.765,2.868,3652.3,2022-01-14 00:00:00+00:00
1642204800000,2.88,2.954,2.851,2.92,11282.4,2022-01-15 00:00:00+00:00
1642291200000,2.906,2.937,2.875,2.915,3248.1,2022-01-16 00:00:00+00:00
1642377600000,2.887,2.895,2.782,2.831,4236.3,2022-01-17 00:00:00+00:00
1642464000000,2.834,2.934,2.76,2.845,5099.3,2022-01-18 00:00:00+00:00
1642550400000,2.845,2.869,2.709,2.767,6873.6,2022-01-19 00:00:00+00:00
1642636800000,2.737,2.836,2.632,2.632,7452.7,2022-01-20 00:00:00+00:00
1642723200000,2.596,2.639,2.309,2.363,32837.4,2022-01-21 00:00:00+00:00
1642809600000,2.369,2.42,2.016,2.201,24560.0,2022-01-22 00:00:00+00:00
1642896000000,2.233,2.288,2.178,2.281,4711.1,2022-01-23 00:00:00+00:00
1642982400000,2.25,2.25,2.003,2.197,12864.2,2022-01-24 00:00:00+00:00
1643068800000,2.173,2.254,2.168,2.232,16797.0,2022-01-25 00:00:00+00:00
1643155200000,2.217,2.377,2.192,2.211,9858.5,2022-01-26 00:00:00+00:00
1643241600000,2.206,2.237,2.118,2.212,3765.6,2022-01-27 00:00:00+00:00
1643328000000,2.237,2.322,2.183,2.306,10494.0,2022-01-28 00:00:00+00:00
1643414400000,2.307,2.368,2.296,2.335,14036.2,2022-01-29 00:00:00+00:00
1643500800000,2.321,2.36,2.27,2.327,2543.9,2022-01-30 00:00:00+00:00
1643587200000,2.31,2.345,2.208,2.331,4206.1,2022-01-31 00:00:00+00:00
1643673600000,2.34,2.368,2.324,2.34,2796.3,2022-02-01 00:00:00+00:00
1643760000000,2.368,2.461,2.27,2.27,6992.8,2022-02-02 00:00:00+00:00
1643846400000,2.269,2.301,2.233,2.288,1501.0,2022-02-03 00:00:00+00:00
1643932800000,2.29,2.478,2.283,2.478,15476.1,2022-02-04 00:00:00+00:00
1644019200000,2.468,2.521,2.446,2.49,12043.9,2022-02-05 00:00:00+00:00
1644105600000,2.485,2.543,2.439,2.534,12229.1,2022-02-06 00:00:00+00:00
1644192000000,2.528,2.716,2.502,2.698,36554.0,2022-02-07 00:00:00+00:00
1644278400000,2.702,2.761,2.549,2.637,21738.4,2022-02-08 00:00:00+00:00
1644364800000,2.635,2.695,2.599,2.662,15821.6,2022-02-09 00:00:00+00:00
1644451200000,2.669,2.765,2.559,2.559,127755.7,2022-02-10 00:00:00+00:00
