ts,open,high,low,close,volume,dt
1651708800000,5.01,5.06,4.45,4.55,15177.77,2022-05-05 00:00:00+00:00
1651795200000,4.43,4.54,4.29,4.51,10658.95,2022-05-06 00:00:00+00:00
1651881600000,4.47,4.56,4.25,4.26,60963.72,2022-05-07 00:00:00+00:00
1651968000000,4.41,4.43,4.18,4.3,97421.01,2022-05-08 00:00:00+00:00
1652054400000,4.27,4.37,3.24,3.42,88445.11,2022-05-09 00:00:00+00:00
1652140800000,3.48,4.53,3.23,3.85,263815.48,2022-05-10 00:00:00+00:00
1652227200000,3.85,4.38,2.86,3.02,288847.53,2022-05-11 00:00:00+00:00
1652313600000,3.09,3.22,2.34,2.75,116892.99,2022-05-12 00:00:00+00:00
1652400000000,2.7,3.12,2.65,2.9,54498.41,2022-05-13 00:00:00+00:00
1652486400000,2.94,3.02,2.69,2.91,57488.7,2022-05-14 00:00:00+00:00
1652572800000,2.97,3.05,2.84,3.03,47572.03,2022-05-15 00:00:00+00:00
1652659200000,3.0,3.0,2.78,2.78,23781.65,2022-05-16 00:00:00+00:00
1652745600000,2.83,3.12,2.81,3.01,49922.25,2022-05-17 00:00:00+00:00
1652832000000,3.01,3.05,2.71,2.86,242724.94,2022-05-18 00:00:00+00:00
1652918400000,2.82,3.01,2.69,2.94,97771.48,2022-05-19 00:00:00+00:00
1653004800000,2.91,2.99,2.71,2.78,8948.29,2022-05-20 00:00:00+00:00
1653091200000,2.79,2.83,2.73,2.82,21557.64,2022-05-21 00:00:00+00:00
1653177600000,2.81,2.85,2.8,2.84,2911.99,2022-05-22 00:00:00+00:00
1653264000000,2.86,2.98,2.7,2.7,5295.43,2022-05-23 00:00:00+00:00
1653350400000,2.75,2.77,2.61,2.76,16861.93,2022-05-24 00:00:00+00:00
1653436800000,2.72,2.77,2.64,2.7,4922.71,2022-05-25 00:00:00+00:00
1653523200000,2.72,2.76,2.41,2.49,6902.06,2022-05-26 00:00:00+00:00
1653609600000,2.52,2.52,2.32,2.36,13037.78,2022-05-27 00:00:00+00:00
1653696000000,2.38,2.42,2.32,2.42,10670.62,2022-05-28 00:00:00+00:00
1653782400000,2.34,2.43,2.33,2.43,8070.58,2022-05-29 00:00:00+00:00
1653868800000,2.42,2.71,2.42,2.71,8584.71,2022-05-30 00:00:00+00:00
1653955200000,2.74,2.91,2.67,2.74,12351.99,2022-05-31 00:00:00+00:00
1654041600000,2.67,2.7,2.41,2.47,4774.95,2022-06-01 00:00:00+00:00
1654128000000,2.44,2.54,2.41,2.54,7934.81,2022-06-02 00:00:00+00:00
1654214400000,2.55,2.55,2.39,2.39,5619.42,2022-06-03 00:00:00+00:00
1654300800000,2.43,2.48,2.43,2.47,6542.29,2022-06-04 00:00:00+00:00
1654387200000,2.47,2.47,2.43,2.45,1634.96,2022-06-05 00:00:00+00:00
1654473600000,2.46,2.58,2.45,2.45,3498.45,2022-06-06 00:00:00+00:00
1654560000000,2.48,2.49,2.35,2.43,10604.88,2022-06-07 00:00:00+00:00
