ts,open,high,low,close,volume,dt
1639699200000,1.4648,3.0,1.3364,1.4096,1618942.0,2021-12-17 00:00:00+00:00
1639785600000,1.4115,1.5395,1.3575,1.4221,257141.0,2021-12-18 00:00:00+00:00
1639872000000,1.4196,1.4762,1.3895,1.4252,286482.0,2021-12-19 00:00:00+00:00
1639958400000,1.4277,1.4437,1.3108,1.3661,420979.0,2021-12-20 00:00:00+00:00
1640044800000,1.3726,1.4901,1.3459,1.483,275409.0,2021-12-21 00:00:00+00:00
1640131200000,1.4801,1.661,1.4744,1.5926,738255.0,2021-12-22 00:00:00+00:00
1640217600000,1.6043,1.9123,1.5704,1.86,1216746.0,2021-12-23 00:00:00+00:00
1640304000000,1.8581,2.2388,1.8354,2.0811,2291638.0,2021-12-24 00:00:00+00:00
1640390400000,2.0787,2.1757,1.9733,2.1137,1289161.0,2021-12-25 00:00:00+00:00
1640476800000,2.1145,2.3889,2.0941,2.3337,1803634.0,2021-12-26 00:00:00+00:00
1640563200000,2.3391,2.45,2.182,2.1953,1060433.0,2021-12-27 00:00:00+00:00
1640649600000,2.1958,2.369,2.07,2.2265,2249049.0,2021-12-28 00:00:00+00:00
1640736000000,2.2304,2.3659,2.1011,2.1343,2150985.0,2021-12-29 00:00:00+00:00
1640822400000,2.1354,2.2271,2.034,2.0997,953392.0,2021-12-30 00:00:00+00:00
1640908800000,2.0979,2.34,2.0836,2.2513,807507.0,2021-12-31 00:00:00+00:00
1640995200000,2.2606,2.5934,2.2523,2.59,1089010.0,2022-01-01 00:00:00+00:00
1641081600000,2.5879,2.6009,2.4473,2.4858,601147.0,2022-01-02 00:00:00+00:00
1641168000000,2.478,2.8703,2.3702,2.8701,1652080.0,2022-01-03 00:00:00+00:00
1641254400000,2.8703,3.0728,2.8088,2.8817,2960834.0,2022-01-04 00:00:00+00:00
1641340800000,2.887,3.1605,2.5931,2.9363,3808766.0,2022-01-05 00:00:00+00:00
1641427200000,2.936,3.029,2.6463,2.899,2513597.0,2022-01-06 00:00:00+00:00
1641513600000,2.8883,2.8883,2.5671,2.5982,2013912.0,2022-01-07 00:00:00+00:00
1641600000000,2.6041,2.6891,2.1787,2.2833,2341924.0,2022-01-08 00:00:00+00:00
1641686400000,2.2832,2.5223,2.2324,2.3919,1537303.0,2022-01-09 00:00:00+00:00
1641772800000,2.3877,2.4728,2.1096,2.2311,1557466.0,2022-01-10 00:00:00+00:00
1641859200000,2.2274,2.5999,2.191,2.5894,1754645.0,2022-01-11 00:00:00+00:00
1641945600000,2.5924,3.0178,2.5924,2.9388,2217345.0,2022-01-12 00:00:00+00:00
1642032000000,2.9388,3.1496,2.7863,3.0094,2709432.0,2022-01-13 00:00:00+00:00
1642118400000,3.0138,3.0652,2.8111,2.9595,1671785.0,2022-01-14 00:00:00+00:00
1642204800000,2.9654,3.0387,2.8362,3.0061,638345.0,2022-01-15 00:00:00+00:00
1642291200000,3.0086,3.3201,2.9348,3.3099,1433658.0,2022-01-16 00:00:00+00:00
1642377600000,3.3142,3.3782,2.8819,2.92,2759652.0,2022-01-17 00:00:00+00:00
1642464000000,2.9283,3.0145,2.7072,2.9628,2206914.0,2022-01-18 00:00:00+00:00
1642550400000,2.9545,3.0453,2.7566,2.7734,1457233.0,2022-01-19 00:00:00+00:00
1642636800000,2.7665,3.0395,2.6742,2.6884,1460124.0,2022-01-20 00:00:00+00:00
1642723200000,2.6843,2.7776,2.1273,2.2721,3283878.0,2022-01-21 00:00:00+00:00
1642809600000,2.272,2.3872,1.7725,1.9676,4863654.0,2022-01-22 00:00:00+00:00
1642896000000,1.9669,2.3641,1.949,2.2772,3576537.0,2022-01-23 00:00:00+00:00
1642982400000,2.2747,2.3318,1.8995,2.2563,3506347.0,2022-01-24 00:00:00+00:00
1643068800000,2.255,2.4765,2.1562,2.3778,1759582.0,2022-01-25 00:00:00+00:00
1643155200000,2.3814,2.5822,2.1742,2.2475,2123966.0,2022-01-26 00:00:00+00:00
1643241600000,2.2391,2.2748,1.9956,2.0842,1496935.0,2022-01-27 00:00:00+00:00
1643328000000,2.0842,2.16,1.9704,2.1287,1043125.0,2022-01-28 00:00:00+00:00
1643414400000,2.1226,2.1931,2.072,2.0997,1164374.0,2022-01-29 00:00:00+00:00
1643500800000,2.0929,2.1636,2.0035,2.0296,774674.0,2022-01-30 00:00:00+00:00
1643587200000,2.032,2.0959,1.9058,2.05,1166968.0,2022-01-31 00:00:00+00:00
1643673600000,2.0412,2.15,2.0212,2.0699,1167742.0,2022-02-01 00:00:00+00:00
1643760000000,2.0781,2.1103,1.9075,1.9212,621371.0,2022-02-02 00:00:00+00:00
1643846400000,1.9194,1.9666,1.864,1.9559,599860.0,2022-02-03 00:00:00+00:00
1643932800000,1.9533,2.1303,1.9279,2.1234,834574.0,2022-02-04 00:00:00+00:00
1644019200000,2.126,2.2005,2.0668,2.0891,1129554.0,2022-02-05 00:00:00+00:00
1644105600000,2.0935,2.1727,2.0398,2.1588,478159.0,2022-02-06 00:00:00+00:00
1644192000000,2.1661,2.381,2.1167,2.313,1281810.0,2022-02-07 00:00:00+00:00
1644278400000,2.3196,2.4026,2.1577,2.2025,1084577.0,2022-02-08 00:00:00+00:00
1644364800000,2.2065,2.2897,2.1356,2.2469,626832.0,2022-02-09 00:00:00+00:00
1644451200000,2.2455,2.2632,2.0863,2.1022,930656.0,2022-02-10 00:00:00+00:00
