ts,open,high,low,close,volume,dt
1646352000000,0.23491,0.24308,0.21878,0.22186,1586158.0,2022-03-04 00:00:00+00:00
1646438400000,0.22179,0.233,0.21354,0.23101,891687.0,2022-03-05 00:00:00+00:00
1646524800000,0.23102,0.2365,0.21534,0.21534,1759248.0,2022-03-06 00:00:00+00:00
1646611200000,0.2164,0.2279,0.21129,0.21715,1372726.0,2022-03-07 00:00:00+00:00
1646697600000,0.21306,0.23006,0.21293,0.21931,1049450.0,2022-03-08 00:00:00+00:00
1646784000000,0.21928,0.23951,0.21866,0.23391,1994254.0,2022-03-09 00:00:00+00:00
1646870400000,0.23347,0.23347,0.21204,0.21653,1901085.0,2022-03-10 00:00:00+00:00
1646956800000,0.21652,0.22219,0.21078,0.2124,1521822.0,2022-03-11 00:00:00+00:00
1647043200000,0.21103,0.21872,0.21103,0.21408,1064595.0,2022-03-12 00:00:00+00:00
1647129600000,0.21324,0.242,0.21186,0.21749,3138053.0,2022-03-13 00:00:00+00:00
1647216000000,0.21648,0.22456,0.21413,0.21938,1545814.0,2022-03-14 00:00:00+00:00
1647302400000,0.22075,0.22365,0.21279,0.21492,423145.0,2022-03-15 00:00:00+00:00
1647388800000,0.2148,0.23914,0.21385,0.23914,1096096.0,2022-03-16 00:00:00+00:00
1647475200000,0.23903,0.24136,0.22473,0.22757,1078664.0,2022-03-17 00:00:00+00:00
1647561600000,0.22584,0.23229,0.21814,0.23018,874654.0,2022-03-18 00:00:00+00:00
1647648000000,0.22923,0.25731,0.22736,0.25008,2504552.0,2022-03-19 00:00:00+00:00
1647734400000,0.24817,0.2562,0.2288,0.23356,925412.0,2022-03-20 00:00:00+00:00
1647820800000,0.23523,0.23899,0.22473,0.2362,1305212.0,2022-03-21 00:00:00+00:00
1647907200000,0.23548,0.25473,0.23548,0.24052,1486754.0,2022-03-22 00:00:00+00:00
1647993600000,0.24136,0.25115,0.2367,0.24921,1372788.0,2022-03-23 00:00:00+00:00
1648080000000,0.2499,0.26204,0.24565,0.25315,1411104.0,2022-03-24 00:00:00+00:00
1648166400000,0.25276,0.26627,0.24328,0.24502,1368378.0,2022-03-25 00:00:00+00:00
1648252800000,0.24396,0.25372,0.24249,0.25229,848072.0,2022-03-26 00:00:00+00:00
1648339200000,0.25366,0.26417,0.24571,0.26332,2321810.0,2022-03-27 00:00:00+00:00
1648425600000,0.26323,0.2917,0.25907,0.26389,2200568.0,2022-03-28 00:00:00+00:00
1648512000000,0.26389,0.28216,0.26299,0.27189,2132703.0,2022-03-29 00:00:00+00:00
1648598400000,0.27099,0.28351,0.25585,0.27162,2287119.0,2022-03-30 00:00:00+00:00
1648684800000,0.27165,0.28779,0.24897,0.25336,2169855.0,2022-03-31 00:00:00+00:00
1648771200000,0.25493,0.26763,0.23503,0.26167,2715174.0,2022-04-01 00:00:00+00:00
1648857600000,0.26033,0.27743,0.25385,0.25385,1497237.0,2022-04-02 00:00:00+00:00
