ts,open,high,low,close,volume,dt
1642636800000,0.5285,0.565,0.5043,0.5045,132517.0,2022-01-20 00:00:00+00:00
1642723200000,0.5019,0.5025,0.4226,0.4335,263194.0,2022-01-21 00:00:00+00:00
1642809600000,0.4367,0.4367,0.3688,0.4181,125087.0,2022-01-22 00:00:00+00:00
1642896000000,0.4206,0.4292,0.3932,0.414,100487.0,2022-01-23 00:00:00+00:00
1642982400000,0.4015,0.4015,0.3503,0.3944,93955.0,2022-01-24 00:00:00+00:00
1643068800000,0.3902,0.4183,0.3902,0.4108,15833.0,2022-01-25 00:00:00+00:00
1643155200000,0.4065,0.4597,0.3973,0.405,96708.0,2022-01-26 00:00:00+00:00
1643241600000,0.406,0.4071,0.3895,0.3921,68670.0,2022-01-27 00:00:00+00:00
1643328000000,0.4093,0.417,0.4008,0.4148,12430.0,2022-01-28 00:00:00+00:00
1643414400000,0.4157,0.4211,0.41,0.41,12397.0,2022-01-29 00:00:00+00:00
1643500800000,0.4119,0.4188,0.3965,0.3974,50946.0,2022-01-30 00:00:00+00:00
1643587200000,0.3915,0.4086,0.3818,0.4084,19457.0,2022-01-31 00:00:00+00:00
1643673600000,0.411,0.4476,0.4109,0.4393,184203.0,2022-02-01 00:00:00+00:00
1643760000000,0.4391,0.4399,0.4029,0.4055,84800.0,2022-02-02 00:00:00+00:00
1643846400000,0.4012,0.4014,0.3937,0.4002,36717.0,2022-02-03 00:00:00+00:00
1643932800000,0.4043,0.438,0.4028,0.438,88391.0,2022-02-04 00:00:00+00:00
1644019200000,0.4396,0.464,0.4378,0.446,40262.0,2022-02-05 00:00:00+00:00
1644105600000,0.4569,0.4745,0.4398,0.4742,76501.0,2022-02-06 00:00:00+00:00
1644192000000,0.4755,0.5102,0.463,0.5065,82383.0,2022-02-07 00:00:00+00:00
1644278400000,0.5059,0.521,0.4588,0.4754,104996.0,2022-02-08 00:00:00+00:00
1644364800000,0.4725,1.3,0.46,0.4929,238258.0,2022-02-09 00:00:00+00:00
1644451200000,0.488,0.4897,0.4485,0.4632,451770.0,2022-02-10 00:00:00+00:00
1644537600000,0.4542,0.4649,0.4127,0.4154,12706.0,2022-02-11 00:00:00+00:00
1644624000000,0.4171,0.4261,0.4067,0.4126,18231.0,2022-02-12 00:00:00+00:00
1644710400000,0.4205,0.4215,0.3992,0.4083,21290.0,2022-02-13 00:00:00+00:00
1644796800000,0.4024,0.4064,0.3905,0.4064,280105.0,2022-02-14 00:00:00+00:00
1644883200000,0.4076,0.5049,0.4076,0.4914,566144.0,2022-02-15 00:00:00+00:00
1644969600000,0.4956,0.5117,0.4749,0.4868,77130.0,2022-02-16 00:00:00+00:00
1645056000000,0.4858,0.4882,0.432,0.4366,193042.0,2022-02-17 00:00:00+00:00
1645142400000,0.4333,0.4491,0.4113,0.4113,55739.0,2022-02-18 00:00:00+00:00
1645228800000,0.4134,0.4201,0.401,0.4154,306052.0,2022-02-19 00:00:00+00:00
1645315200000,0.4155,0.4155,0.38,0.3964,91525.0,2022-02-20 00:00:00+00:00
1645401600000,0.3993,0.4225,0.3557,0.3557,203773.0,2022-02-21 00:00:00+00:00
1645488000000,0.3605,0.3853,0.3499,0.3801,266413.0,2022-02-22 00:00:00+00:00
1645574400000,0.387,0.3894,0.3605,0.3605,61171.0,2022-02-23 00:00:00+00:00
1645660800000,0.3558,0.3605,0.3032,0.3592,550517.0,2022-02-24 00:00:00+00:00
1645747200000,0.3595,0.3697,0.3409,0.3597,145955.0,2022-02-25 00:00:00+00:00
1645833600000,0.3602,0.3727,0.3448,0.3477,60030.0,2022-02-26 00:00:00+00:00
1645920000000,0.3388,0.3666,0.3308,0.3372,247461.0,2022-02-27 00:00:00+00:00
1646006400000,0.3351,0.3777,0.3294,0.3777,168259.0,2022-02-28 00:00:00+00:00
1646092800000,0.3811,0.3882,0.3688,0.3755,203257.0,2022-03-01 00:00:00+00:00
1646179200000,0.3714,0.3939,0.3649,0.3795,268503.0,2022-03-02 00:00:00+00:00
1646265600000,0.3754,0.3756,0.3542,0.3651,109034.0,2022-03-03 00:00:00+00:00
1646352000000,0.3642,0.3642,0.3356,0.3376,76148.0,2022-03-04 00:00:00+00:00
1646438400000,0.336,0.345,0.3312,0.345,57086.0,2022-03-05 00:00:00+00:00
1646524800000,0.3502,0.3502,0.3279,0.3279,30574.0,2022-03-06 00:00:00+00:00
1646611200000,0.3261,0.342,0.3165,0.3296,137773.0,2022-03-07 00:00:00+00:00
1646697600000,0.3327,0.3592,0.3327,0.3353,447701.0,2022-03-08 00:00:00+00:00
1646784000000,0.3353,0.3647,0.3353,0.3476,163767.0,2022-03-09 00:00:00+00:00
1646870400000,0.3452,0.3452,0.3166,0.3256,161874.0,2022-03-10 00:00:00+00:00
1646956800000,0.3204,0.3378,0.3163,0.3211,193101.0,2022-03-11 00:00:00+00:00
1647043200000,0.3251,0.3259,0.3217,0.3217,16230.0,2022-03-12 00:00:00+00:00
1647129600000,0.3216,0.3591,0.3216,0.3359,727889.0,2022-03-13 00:00:00+00:00
1647216000000,0.3333,0.3762,0.3282,0.3662,554544.0,2022-03-14 00:00:00+00:00
1647302400000,0.3672,0.4354,0.3521,0.4255,1444744.0,2022-03-15 00:00:00+00:00
1647388800000,0.4224,0.4576,0.4144,0.4541,833700.0,2022-03-16 00:00:00+00:00
1647475200000,0.4521,0.4521,0.4017,0.4099,1213255.0,2022-03-17 00:00:00+00:00
1647561600000,0.4085,0.4283,0.3972,0.4131,618747.0,2022-03-18 00:00:00+00:00
1647648000000,0.4161,0.4278,0.406,0.4109,905553.0,2022-03-19 00:00:00+00:00
1647734400000,0.4119,0.4207,0.3893,0.3909,809130.0,2022-03-20 00:00:00+00:00
1647820800000,0.3893,0.4235,0.3811,0.4119,1050466.0,2022-03-21 00:00:00+00:00
1647907200000,0.4119,0.4246,0.4049,0.4091,941111.0,2022-03-22 00:00:00+00:00
1647993600000,0.4109,0.4328,0.4012,0.4248,804654.0,2022-03-23 00:00:00+00:00
1648080000000,0.4239,0.4399,0.4106,0.4399,574197.0,2022-03-24 00:00:00+00:00
1648166400000,0.4382,0.4511,0.402,0.4094,647960.0,2022-03-25 00:00:00+00:00
1648252800000,0.4092,0.417,0.405,0.4126,359826.0,2022-03-26 00:00:00+00:00
1648339200000,0.4095,0.431,0.4067,0.431,433680.0,2022-03-27 00:00:00+00:00
1648425600000,0.4317,0.4867,0.4262,0.4332,1177218.0,2022-03-28 00:00:00+00:00
1648512000000,0.4338,0.4943,0.4338,0.4897,1250145.0,2022-03-29 00:00:00+00:00
1648598400000,0.4877,0.4992,0.4577,0.4821,900074.0,2022-03-30 00:00:00+00:00
1648684800000,0.4835,0.5256,0.4635,0.469,469720.0,2022-03-31 00:00:00+00:00
1648771200000,0.4714,0.4949,0.436,0.4829,653204.0,2022-04-01 00:00:00+00:00
1648857600000,0.4839,0.5506,0.4839,0.5195,1304116.0,2022-04-02 00:00:00+00:00
1648944000000,0.5186,0.5329,0.494,0.5153,422603.0,2022-04-03 00:00:00+00:00
1649030400000,0.516,0.516,0.4656,0.4949,272650.0,2022-04-04 00:00:00+00:00
1649116800000,0.4923,0.4995,0.4578,0.4578,226660.0,2022-04-05 00:00:00+00:00
1649203200000,0.4577,0.4621,0.4112,0.4112,259851.0,2022-04-06 00:00:00+00:00
1649289600000,0.4142,0.434,0.4074,0.4338,88886.0,2022-04-07 00:00:00+00:00
1649376000000,0.4302,0.4324,0.3882,0.3943,73949.0,2022-04-08 00:00:00+00:00
1649462400000,0.3962,0.4082,0.3916,0.4066,37087.0,2022-04-09 00:00:00+00:00
1649548800000,0.4042,0.4082,0.3831,0.3831,44229.0,2022-04-10 00:00:00+00:00
1649635200000,0.3844,0.3846,0.3431,0.3478,167742.0,2022-04-11 00:00:00+00:00
1649721600000,0.3502,0.375,0.3478,0.3735,72378.0,2022-04-12 00:00:00+00:00
1649808000000,0.3727,0.3852,0.3625,0.3852,17555.0,2022-04-13 00:00:00+00:00
1649894400000,0.3824,0.3893,0.3565,0.3635,16447.0,2022-04-14 00:00:00+00:00
1649980800000,0.3643,0.3715,0.3582,0.3693,21028.0,2022-04-15 00:00:00+00:00
1650067200000,0.3697,0.3707,0.3565,0.362,41942.0,2022-04-16 00:00:00+00:00
1650153600000,0.3636,0.3697,0.3478,0.3478,26114.0,2022-04-17 00:00:00+00:00
1650240000000,0.3467,0.3618,0.3312,0.3618,75900.0,2022-04-18 00:00:00+00:00
1650326400000,0.3625,0.3701,0.3565,0.3621,85505.0,2022-04-19 00:00:00+00:00
1650412800000,0.3605,0.3809,0.3552,0.3625,365973.0,2022-04-20 00:00:00+00:00
1650499200000,0.363,2.24,0.3493,0.3542,645827.0,2022-04-21 00:00:00+00:00
1650585600000,0.3527,0.3665,0.3482,0.352,308958.0,2022-04-22 00:00:00+00:00
1650672000000,0.3542,0.3587,0.344,0.3541,97115.0,2022-04-23 00:00:00+00:00
1650758400000,0.3535,0.3627,0.3469,0.3569,150575.0,2022-04-24 00:00:00+00:00
1650844800000,0.3568,0.36,0.3268,0.36,215549.0,2022-04-25 00:00:00+00:00
1650931200000,0.361,0.4036,0.3367,0.3368,1661538.0,2022-04-26 00:00:00+00:00
1651017600000,0.3389,0.3726,0.3333,0.3678,382578.0,2022-04-27 00:00:00+00:00
1651104000000,0.3665,0.4087,0.3571,0.3571,1057133.0,2022-04-28 00:00:00+00:00
1651190400000,0.3575,0.3616,0.3362,0.3493,612394.0,2022-04-29 00:00:00+00:00
1651276800000,0.3496,0.3592,0.2919,0.3093,422803.0,2022-04-30 00:00:00+00:00
1651363200000,0.3063,0.3241,0.3006,0.3151,84495.0,2022-05-01 00:00:00+00:00
1651449600000,0.3156,0.3199,0.298,0.3085,307291.0,2022-05-02 00:00:00+00:00
1651536000000,0.3077,0.3341,0.304,0.3202,133586.0,2022-05-03 00:00:00+00:00
1651622400000,0.3173,0.3472,0.3115,0.3461,309073.0,2022-05-04 00:00:00+00:00
1651708800000,0.3421,0.3455,0.2858,0.3033,421368.0,2022-05-05 00:00:00+00:00
1651795200000,0.2998,0.3002,0.281,0.2964,113183.0,2022-05-06 00:00:00+00:00
1651881600000,0.2943,0.3018,0.2875,0.2912,40252.0,2022-05-07 00:00:00+00:00
1651968000000,0.29,0.3106,0.2828,0.3008,190737.0,2022-05-08 00:00:00+00:00
1652054400000,0.3003,0.3059,0.2383,0.2383,326843.0,2022-05-09 00:00:00+00:00
1652140800000,0.2398,0.2692,0.2265,0.2446,179860.0,2022-05-10 00:00:00+00:00
1652227200000,0.2504,0.256,0.1429,0.1504,1948913.0,2022-05-11 00:00:00+00:00
1652313600000,0.1532,0.1632,0.1184,0.1369,994067.0,2022-05-12 00:00:00+00:00
1652400000000,0.1343,0.1668,0.1343,0.1507,234296.0,2022-05-13 00:00:00+00:00
1652486400000,0.1492,0.1942,0.1445,0.1926,454043.0,2022-05-14 00:00:00+00:00
1652572800000,0.193,0.2089,0.1864,0.1988,788820.0,2022-05-15 00:00:00+00:00
1652659200000,0.1998,0.2041,0.1707,0.173,292952.0,2022-05-16 00:00:00+00:00
