ts,open,high,low,close,volume,dt
1655769600000,6.8,6.8,5.74,5.8,6680.31,2022-06-21 00:00:00+00:00
1655856000000,5.8,5.8,5.47,5.61,393.59,2022-06-22 00:00:00+00:00
1655942400000,5.61,5.84,5.61,5.78,7990.67,2022-06-23 00:00:00+00:00
1656028800000,5.8,6.21,5.78,6.18,9052.14,2022-06-24 00:00:00+00:00
1656115200000,6.09,6.45,5.96,6.2,1158.78,2022-06-25 00:00:00+00:00
1656201600000,6.25,6.27,5.76,5.76,1022.84,2022-06-26 00:00:00+00:00
1656288000000,5.98,6.11,5.76,5.9,2699.22,2022-06-27 00:00:00+00:00
1656374400000,5.73,5.88,5.57,5.57,706.76,2022-06-28 00:00:00+00:00
1656460800000,5.54,5.59,5.29,5.35,435.03,2022-06-29 00:00:00+00:00
1656547200000,5.33,5.33,5.08,5.2,134.43,2022-06-30 00:00:00+00:00
1656633600000,5.42,5.42,5.21,5.27,451.39,2022-07-01 00:00:00+00:00
1656720000000,5.22,5.34,5.17,5.28,248.48,2022-07-02 00:00:00+00:00
1656806400000,5.24,5.28,5.2,5.2,226.32,2022-07-03 00:00:00+00:00
1656892800000,5.36,5.58,5.36,5.58,93.64,2022-07-04 00:00:00+00:00
1656979200000,5.6,5.73,5.32,5.59,2391.02,2022-07-05 00:00:00+00:00
1657065600000,5.43,5.69,5.41,5.54,1460.33,2022-07-06 00:00:00+00:00
1657152000000,5.63,6.32,5.59,6.28,2922.9,2022-07-07 00:00:00+00:00
1657238400000,6.22,7.44,6.0,7.12,13657.22,2022-07-08 00:00:00+00:00
1657324800000,7.07,7.27,6.88,6.93,8128.65,2022-07-09 00:00:00+00:00
1657411200000,6.94,6.94,6.35,6.37,3508.51,2022-07-10 00:00:00+00:00
1657497600000,6.57,6.89,6.13,6.26,3193.45,2022-07-11 00:00:00+00:00
1657584000000,6.23,6.6,6.23,6.26,2905.82,2022-07-12 00:00:00+00:00
1657670400000,6.36,6.43,6.01,6.43,1554.06,2022-07-13 00:00:00+00:00
1657756800000,6.52,6.89,6.31,6.82,2265.49,2022-07-14 00:00:00+00:00
1657843200000,6.78,7.13,6.71,6.8,2261.45,2022-07-15 00:00:00+00:00
1657929600000,6.71,7.42,6.66,7.13,2531.64,2022-07-16 00:00:00+00:00
1658016000000,7.02,7.59,6.87,7.23,5945.23,2022-07-17 00:00:00+00:00
1658102400000,7.27,7.83,7.23,7.55,5939.22,2022-07-18 00:00:00+00:00
1658188800000,7.55,7.55,7.12,7.38,5156.25,2022-07-19 00:00:00+00:00
1658275200000,7.33,7.51,6.61,6.72,3837.69,2022-07-20 00:00:00+00:00
1658361600000,6.7,6.96,6.49,6.96,1878.47,2022-07-21 00:00:00+00:00
1658448000000,6.85,7.03,6.42,6.42,3048.76,2022-07-22 00:00:00+00:00
1658534400000,6.52,6.72,6.32,6.58,536.71,2022-07-23 00:00:00+00:00
1658620800000,6.55,6.77,6.55,6.6,642.37,2022-07-24 00:00:00+00:00
1658707200000,6.51,6.51,6.21,6.23,1023.22,2022-07-25 00:00:00+00:00
1658793600000,6.14,6.58,6.04,6.58,451.54,2022-07-26 00:00:00+00:00
1658880000000,6.42,7.13,6.38,7.13,293.03,2022-07-27 00:00:00+00:00
1658966400000,7.04,7.4,7.02,7.28,2390.68,2022-07-28 00:00:00+00:00
1659052800000,7.35,8.12,7.02,8.11,2535.66,2022-07-29 00:00:00+00:00
1659139200000,8.09,9.36,8.03,8.28,15909.35,2022-07-30 00:00:00+00:00
1659225600000,8.25,9.81,8.15,9.01,15873.71,2022-07-31 00:00:00+00:00
1659312000000,8.98,9.35,8.08,8.31,4142.17,2022-08-01 00:00:00+00:00
1659398400000,8.27,8.31,7.51,7.98,5883.86,2022-08-02 00:00:00+00:00
1659484800000,7.95,8.31,7.68,7.8,826.94,2022-08-03 00:00:00+00:00
1659571200000,7.93,8.22,7.87,7.96,2379.03,2022-08-04 00:00:00+00:00
1659657600000,7.98,8.32,7.98,8.31,3558.8,2022-08-05 00:00:00+00:00
1659744000000,8.31,8.64,8.26,8.33,1937.96,2022-08-06 00:00:00+00:00
1659830400000,8.21,8.34,8.15,8.19,3169.46,2022-08-07 00:00:00+00:00
1659916800000,8.19,8.54,8.19,8.26,398.71,2022-08-08 00:00:00+00:00
1660003200000,8.23,8.24,7.67,7.89,2153.32,2022-08-09 00:00:00+00:00
1660089600000,7.78,8.41,7.64,8.32,3367.66,2022-08-10 00:00:00+00:00
1660176000000,8.28,8.71,8.03,8.16,2248.91,2022-08-11 00:00:00+00:00
1660262400000,8.16,8.41,8.07,8.41,424.21,2022-08-12 00:00:00+00:00
1660348800000,8.31,8.51,8.19,8.2,521.79,2022-08-13 00:00:00+00:00
1660435200000,8.18,8.36,7.87,8.04,783.3,2022-08-14 00:00:00+00:00
1660521600000,8.05,8.19,7.65,7.79,394.23,2022-08-15 00:00:00+00:00
1660608000000,7.8,7.85,7.66,7.71,236.72,2022-08-16 00:00:00+00:00
1660694400000,7.84,8.2,7.35,7.35,2003.78,2022-08-17 00:00:00+00:00
1660780800000,7.34,7.5,6.84,6.84,661.57,2022-08-18 00:00:00+00:00
1660867200000,6.82,6.82,6.32,6.45,2037.95,2022-08-19 00:00:00+00:00
1660953600000,6.43,6.71,6.14,6.36,828.14,2022-08-20 00:00:00+00:00
1661040000000,6.32,6.55,6.32,6.45,848.74,2022-08-21 00:00:00+00:00
1661126400000,6.43,6.44,6.14,6.36,724.09,2022-08-22 00:00:00+00:00
1661212800000,6.42,6.45,6.15,6.32,349.81,2022-08-23 00:00:00+00:00
1661299200000,6.42,6.63,6.29,6.42,566.96,2022-08-24 00:00:00+00:00
1661385600000,6.52,6.63,6.26,6.36,422.77,2022-08-25 00:00:00+00:00
1661472000000,6.32,6.36,5.7,5.7,1029.47,2022-08-26 00:00:00+00:00
1661558400000,5.79,6.44,5.7,6.32,25223.2,2022-08-27 00:00:00+00:00
1661644800000,6.26,6.67,6.07,6.35,26942.56,2022-08-28 00:00:00+00:00
1661731200000,6.27,6.79,6.15,6.67,35596.32,2022-08-29 00:00:00+00:00
1661817600000,6.67,6.82,6.19,6.28,15767.56,2022-08-30 00:00:00+00:00
1661904000000,6.35,6.47,6.23,6.23,1027.97,2022-08-31 00:00:00+00:00
1661990400000,6.17,6.28,6.14,6.28,1001.43,2022-09-01 00:00:00+00:00
1662076800000,6.29,6.42,6.15,6.29,1000.29,2022-09-02 00:00:00+00:00
1662163200000,6.21,6.62,6.21,6.41,2375.55,2022-09-03 00:00:00+00:00
1662249600000,6.52,6.8,6.32,6.69,2671.91,2022-09-04 00:00:00+00:00
1662336000000,6.64,6.84,6.41,6.76,8895.89,2022-09-05 00:00:00+00:00
1662422400000,6.79,6.97,6.19,6.23,9785.37,2022-09-06 00:00:00+00:00
1662508800000,6.17,6.48,6.06,6.47,4392.63,2022-09-07 00:00:00+00:00
1662595200000,6.45,6.53,6.33,6.48,537.48,2022-09-08 00:00:00+00:00
1662681600000,6.53,7.27,6.53,7.06,1073.15,2022-09-09 00:00:00+00:00
1662768000000,7.13,7.31,7.01,7.17,1359.9,2022-09-10 00:00:00+00:00
1662854400000,7.13,7.38,7.01,7.16,1996.74,2022-09-11 00:00:00+00:00
1662940800000,7.15,7.24,6.91,7.01,692.08,2022-09-12 00:00:00+00:00
1663027200000,6.84,7.05,6.52,6.52,3539.23,2022-09-13 00:00:00+00:00
1663113600000,6.51,6.53,6.17,6.27,1565.43,2022-09-14 00:00:00+00:00
1663200000000,6.27,6.36,6.01,6.17,2019.31,2022-09-15 00:00:00+00:00
1663286400000,6.11,6.25,5.97,6.22,897.08,2022-09-16 00:00:00+00:00
1663372800000,6.24,6.4,6.18,6.32,1323.53,2022-09-17 00:00:00+00:00
1663459200000,6.24,6.27,5.52,5.87,4379.44,2022-09-18 00:00:00+00:00
1663545600000,5.88,6.17,5.64,6.04,1762.77,2022-09-19 00:00:00+00:00
1663632000000,6.1,6.13,5.9,5.9,805.67,2022-09-20 00:00:00+00:00
1663718400000,5.88,6.15,5.78,5.94,1487.7,2022-09-21 00:00:00+00:00
1663804800000,5.96,6.11,5.96,6.11,542.24,2022-09-22 00:00:00+00:00
1663891200000,6.06,6.44,5.96,6.27,960.59,2022-09-23 00:00:00+00:00
1663977600000,6.23,6.23,6.05,6.05,642.49,2022-09-24 00:00:00+00:00
1664064000000,6.09,6.09,5.87,5.88,766.89,2022-09-25 00:00:00+00:00
1664150400000,5.91,6.27,5.78,6.21,1978.11,2022-09-26 00:00:00+00:00
