ts,open,high,low,close,volume,dt
1658275200000,74.2,74.2,59.5,60.1,594.117,2022-07-20 00:00:00+00:00
1658361600000,60.1,61.6,58.7,61.6,127.667,2022-07-21 00:00:00+00:00
1658448000000,60.8,69.5,60.8,67.3,94.252,2022-07-22 00:00:00+00:00
1658534400000,67.2,67.2,64.6,64.6,201.781,2022-07-23 00:00:00+00:00
1658620800000,67.6,67.6,66.3,66.3,106.439,2022-07-24 00:00:00+00:00
1658707200000,65.0,65.0,58.9,58.9,50.645,2022-07-25 00:00:00+00:00
1658793600000,58.9,58.9,58.9,58.9,0.0,2022-07-26 00:00:00+00:00
1658880000000,57.2,60.5,57.2,60.4,32.634,2022-07-27 00:00:00+00:00
1658966400000,62.7,65.9,62.7,65.9,8.04,2022-07-28 00:00:00+00:00
1659052800000,64.4,64.4,62.5,63.5,48.348,2022-07-29 00:00:00+00:00
1659139200000,64.2,66.4,64.2,65.9,18.689,2022-07-30 00:00:00+00:00
1659225600000,64.3,68.2,63.9,66.7,123.289,2022-07-31 00:00:00+00:00
1659312000000,65.2,67.0,63.3,63.3,20.718,2022-08-01 00:00:00+00:00
1659398400000,61.2,61.4,60.9,61.4,9.905,2022-08-02 00:00:00+00:00
1659484800000,60.4,63.4,60.4,63.4,7.525,2022-08-03 00:00:00+00:00
1659571200000,60.8,60.8,60.8,60.8,0.455,2022-08-04 00:00:00+00:00
1659657600000,63.4,63.4,62.3,63.4,30.7,2022-08-05 00:00:00+00:00
1659744000000,63.4,68.4,63.4,67.8,18.651,2022-08-06 00:00:00+00:00
1659830400000,66.4,67.8,65.3,65.5,50.653,2022-08-07 00:00:00+00:00
1659916800000,65.5,67.2,64.4,64.9,50.173,2022-08-08 00:00:00+00:00
1660003200000,64.9,65.4,64.9,65.4,0.616,2022-08-09 00:00:00+00:00
1660089600000,59.7,63.9,59.3,63.5,210.574,2022-08-10 00:00:00+00:00
1660176000000,63.2,64.2,62.0,62.0,56.849,2022-08-11 00:00:00+00:00
1660262400000,61.1,61.1,60.4,61.0,30.967,2022-08-12 00:00:00+00:00
1660348800000,61.6,62.0,60.5,60.9,26.022,2022-08-13 00:00:00+00:00
1660435200000,61.3,63.3,58.1,58.8,51.588,2022-08-14 00:00:00+00:00
1660521600000,59.2,60.2,57.0,57.8,34.311,2022-08-15 00:00:00+00:00
1660608000000,58.1,58.1,56.0,56.0,31.815,2022-08-16 00:00:00+00:00
1660694400000,56.4,58.2,54.4,54.8,35.076,2022-08-17 00:00:00+00:00
1660780800000,54.4,55.8,51.3,52.0,48.852,2022-08-18 00:00:00+00:00
1660867200000,51.6,51.8,48.2,48.6,154.667,2022-08-19 00:00:00+00:00
1660953600000,48.9,49.4,47.3,47.3,47.003,2022-08-20 00:00:00+00:00
1661040000000,50.2,50.5,50.1,50.1,65.645,2022-08-21 00:00:00+00:00
1661126400000,50.3,50.5,48.4,50.5,42.891,2022-08-22 00:00:00+00:00
1661212800000,50.5,50.7,49.7,50.1,11.327,2022-08-23 00:00:00+00:00
1661299200000,48.6,50.4,48.3,50.1,161.261,2022-08-24 00:00:00+00:00
1661385600000,50.1,50.3,48.5,48.6,57.052,2022-08-25 00:00:00+00:00
