ts,open,high,low,close,volume,dt
1609459200000,124.77,133.83,123.06,131.89,3295.95391,2021-01-01 00:00:00+00:00
1609473600000,131.8,132.11,128.55,129.42,1639.56667,2021-01-01 04:00:00+00:00
1609488000000,129.74,129.79,124.85,127.37,2566.96801,2021-01-01 08:00:00+00:00
1609502400000,127.52,130.11,125.94,126.42,1318.1539,2021-01-01 12:00:00+00:00
1609516800000,126.4,127.46,123.36,125.27,1208.85988,2021-01-01 16:00:00+00:00
1609531200000,125.0,126.53,125.0,126.19,473.98621,2021-01-01 20:00:00+00:00
1609545600000,126.01,126.63,123.24,125.15,930.69326,2021-01-02 00:00:00+00:00
1609560000000,124.77,127.32,124.31,125.65,584.59784,2021-01-02 04:00:00+00:00
1609574400000,125.68,127.05,123.96,125.42,1009.11363,2021-01-02 08:00:00+00:00
1609588800000,125.36,132.49,125.05,131.06,4556.91302,2021-01-02 12:00:00+00:00
1609603200000,131.21,141.87,129.69,138.47,8475.4981,2021-01-02 16:00:00+00:00
1609617600000,138.57,138.57,132.17,136.99,3978.86815,2021-01-02 20:00:00+00:00
1609632000000,136.94,138.96,135.41,135.84,1629.15646,2021-01-03 00:00:00+00:00
1609646400000,135.84,142.6,135.37,139.0,2489.32604,2021-01-03 04:00:00+00:00
1609660800000,139.29,154.62,137.87,151.69,5588.19747,2021-01-03 08:00:00+00:00
1609675200000,152.04,156.07,147.51,150.82,5738.80689,2021-01-03 12:00:00+00:00
1609689600000,151.13,159.98,148.2,151.17,7351.50678,2021-01-03 16:00:00+00:00
1609704000000,151.38,164.37,151.38,160.86,3557.58635,2021-01-03 20:00:00+00:00
1609718400000,161.47,164.62,156.07,163.74,4625.18476,2021-01-04 00:00:00+00:00
1609732800000,163.74,173.78,155.05,160.19,6491.67976,2021-01-04 04:00:00+00:00
1609747200000,160.52,163.24,140.01,152.78,5386.84459,2021-01-04 08:00:00+00:00
1609761600000,152.73,157.88,150.01,152.8,3578.80491,2021-01-04 12:00:00+00:00
1609776000000,153.01,153.98,146.44,152.87,2804.33464,2021-01-04 16:00:00+00:00
1609790400000,153.11,155.72,148.92,155.55,2820.47525,2021-01-04 20:00:00+00:00
1609804800000,155.59,159.92,149.53,149.72,4459.87132,2021-01-05 00:00:00+00:00
1609819200000,149.7,153.8,146.31,150.99,2415.82828,2021-01-05 04:00:00+00:00
