ts,open,high,low,close,volume,dt
1653609600000,5e-06,0.000156,5e-06,0.00012342,53126337989.501884,2022-05-27 00:00:00+00:00
1653696000000,0.00012342,0.0001333,8.138e-05,9.288e-05,75422626265.80359,2022-05-28 00:00:00+00:00
1653782400000,9.288e-05,0.00011048,7.522e-05,9.8e-05,64659465522.43846,2022-05-29 00:00:00+00:00
1653868800000,9.793e-05,0.000187,9.78e-05,0.00012713,208821226001.49988,2022-05-30 00:00:00+00:00
1653955200000,0.00012725,0.00013612,0.00010789,0.00011437,116229018016.77379,2022-05-31 00:00:00+00:00
1654041600000,0.0001144,0.00012773,9.111e-05,9.884e-05,86425967025.22487,2022-06-01 00:00:00+00:00
1654128000000,9.854e-05,0.0001054,9.321e-05,0.00010099,40244886588.97026,2022-06-02 00:00:00+00:00
1654214400000,0.00010097,0.0001025,9.329e-05,9.522e-05,19322703583.745888,2022-06-03 00:00:00+00:00
1654300800000,9.542e-05,9.64e-05,9.009e-05,9.255e-05,14873407857.746456,2022-06-04 00:00:00+00:00
1654387200000,9.255e-05,9.263e-05,7.7e-05,7.928e-05,48139260943.811615,2022-06-05 00:00:00+00:00
1654473600000,7.928e-05,8.83e-05,7.838e-05,8.067e-05,25180572751.232445,2022-06-06 00:00:00+00:00
1654560000000,8.066e-05,8.078e-05,6.168e-05,6.265e-05,57166211479.972916,2022-06-07 00:00:00+00:00
1654646400000,6.28e-05,6.493e-05,4.505e-05,4.675e-05,74241129974.12375,2022-06-08 00:00:00+00:00
1654732800000,4.657e-05,8.738e-05,4.143e-05,7.493e-05,178164423812.03235,2022-06-09 00:00:00+00:00
1654819200000,7.499e-05,8.316e-05,6.751e-05,7.076e-05,42384322320.8356,2022-06-10 00:00:00+00:00
1654905600000,7.082e-05,7.65e-05,6.474e-05,6.964e-05,33644673114.201363,2022-06-11 00:00:00+00:00
1654992000000,6.97e-05,7.603e-05,6.5e-05,6.928e-05,37706008419.32449,2022-06-12 00:00:00+00:00
1655078400000,6.928e-05,7.126e-05,5.532e-05,6.016e-05,52380318275.933464,2022-06-13 00:00:00+00:00
1655164800000,6.017e-05,6.295e-05,5.53e-05,6.043e-05,38484234587.88893,2022-06-14 00:00:00+00:00
1655251200000,6.043e-05,6.228e-05,5.329e-05,6.173e-05,43697645770.06318,2022-06-15 00:00:00+00:00
1655337600000,6.178e-05,6.427e-05,5.709e-05,5.805e-05,26596471097.94377,2022-06-16 00:00:00+00:00
1655424000000,5.802e-05,6e-05,5.725e-05,5.87e-05,23176131572.1546,2022-06-17 00:00:00+00:00
1655510400000,5.873e-05,5.959e-05,5.157e-05,5.512e-05,38598226046.99251,2022-06-18 00:00:00+00:00
1655596800000,5.517e-05,6.38e-05,5.318e-05,6.137e-05,35627289330.74485,2022-06-19 00:00:00+00:00
1655683200000,6.141e-05,6.211e-05,5.658e-05,5.793e-05,32072380989.011044,2022-06-20 00:00:00+00:00
1655769600000,5.79e-05,6.175e-05,5.736e-05,5.796e-05,31512878989.620125,2022-06-21 00:00:00+00:00
1655856000000,5.797e-05,5.828e-05,5.628e-05,5.65e-05,12205122242.831371,2022-06-22 00:00:00+00:00
1655942400000,5.649e-05,5.821e-05,5.631e-05,5.779e-05,9217601186.326494,2022-06-23 00:00:00+00:00
1656028800000,5.771e-05,6.035e-05,5.707e-05,5.881e-05,10456213311.954432,2022-06-24 00:00:00+00:00
1656115200000,5.893e-05,5.976e-05,5.81e-05,5.874e-05,11370831751.111881,2022-06-25 00:00:00+00:00
1656201600000,5.876e-05,6.899e-05,5.817e-05,6.573e-05,37168139948.53612,2022-06-26 00:00:00+00:00
1656288000000,6.598e-05,0.00010157,6.377e-05,8.911e-05,122938035776.32314,2022-06-27 00:00:00+00:00
1656374400000,8.911e-05,0.00012111,7.91e-05,0.00010797,100002322070.73885,2022-06-28 00:00:00+00:00
1656460800000,0.00010809,0.0001668,0.00010418,0.00016192,173905769555.49014,2022-06-29 00:00:00+00:00
1656547200000,0.00016183,0.00016492,0.00010385,0.00011295,103498314399.8187,2022-06-30 00:00:00+00:00
1656633600000,0.00011314,0.000143,0.00010957,0.0001308,66728118642.847824,2022-07-01 00:00:00+00:00
1656720000000,0.00013101,0.000134,0.00011614,0.00012349,35871864313.934784,2022-07-02 00:00:00+00:00
1656806400000,0.00012335,0.00013176,0.00011855,0.00013031,18033733954.850044,2022-07-03 00:00:00+00:00
1656892800000,0.00013031,0.00013149,0.0001235,0.0001281,17687475951.929596,2022-07-04 00:00:00+00:00
1656979200000,0.00012814,0.00012814,0.00010124,0.00011648,35665210709.83087,2022-07-05 00:00:00+00:00
1657065600000,0.00011647,0.00012089,0.00010644,0.00011227,18712992507.678707,2022-07-06 00:00:00+00:00
1657152000000,0.00011215,0.0001182,0.00010452,0.0001125,19491636055.763077,2022-07-07 00:00:00+00:00
1657238400000,0.00011269,0.00011609,0.00010873,0.00010996,11993293421.755434,2022-07-08 00:00:00+00:00
1657324800000,0.00010995,0.00011332,0.00010634,0.00011054,39636535423.612976,2022-07-09 00:00:00+00:00
1657411200000,0.00011055,0.00011447,0.00010143,0.00011086,74054497103.23445,2022-07-10 00:00:00+00:00
1657497600000,0.0001109,0.00011095,0.0001022,0.00010471,57935382138.928116,2022-07-11 00:00:00+00:00
1657584000000,0.0001046,0.00010468,9.125e-05,9.189e-05,104521184330.26741,2022-07-12 00:00:00+00:00
1657670400000,9.201e-05,9.693e-05,8.5e-05,9.516e-05,92770283111.09949,2022-07-13 00:00:00+00:00
1657756800000,9.515e-05,9.573e-05,8.852e-05,9.212e-05,60869601520.57899,2022-07-14 00:00:00+00:00
1657843200000,9.222e-05,0.00011545,9.03e-05,0.00010741,181665053776.43042,2022-07-15 00:00:00+00:00
1657929600000,0.0001074,0.00010831,0.00010229,0.00010586,59986391648.82801,2022-07-16 00:00:00+00:00
1658016000000,0.00010586,0.0001059,9.464e-05,0.00010178,40150844375.313736,2022-07-17 00:00:00+00:00
1658102400000,0.00010173,0.00011154,0.00010126,0.0001063,102958105843.10612,2022-07-18 00:00:00+00:00
1658188800000,0.00010643,0.00010948,0.00010294,0.0001063,60482548584.12026,2022-07-19 00:00:00+00:00
1658275200000,0.00010616,0.00011181,9.646e-05,0.00010132,70493610237.80109,2022-07-20 00:00:00+00:00
1658361600000,0.00010132,0.00010311,9.759e-05,0.00010222,40069869265.76702,2022-07-21 00:00:00+00:00
1658448000000,0.00010222,0.00010471,9.868e-05,0.00010036,40935405169.03097,2022-07-22 00:00:00+00:00
1658534400000,0.00010019,0.00010173,9.567e-05,9.974e-05,36793057025.00557,2022-07-23 00:00:00+00:00
1658620800000,9.982e-05,0.00010186,9.92e-05,9.978e-05,16545121092.164097,2022-07-24 00:00:00+00:00
1658707200000,9.977e-05,9.996e-05,8.973e-05,9.209e-05,35942721640.27994,2022-07-25 00:00:00+00:00
1658793600000,9.209e-05,9.314e-05,8.545e-05,9.214e-05,47899881648.593864,2022-07-26 00:00:00+00:00
1658880000000,9.204e-05,0.00010036,9.161e-05,9.907e-05,58048660017.35019,2022-07-27 00:00:00+00:00
1658966400000,9.907e-05,0.00010398,9.551e-05,0.00010049,45966448502.17761,2022-07-28 00:00:00+00:00
1659052800000,0.00010026,0.00010406,9.788e-05,9.87e-05,42985041408.714806,2022-07-29 00:00:00+00:00
1659139200000,9.87e-05,0.00010079,9.66e-05,9.797e-05,34355793423.17655,2022-07-30 00:00:00+00:00
1659225600000,9.802e-05,0.00010444,9.675e-05,9.781e-05,44759196781.98313,2022-07-31 00:00:00+00:00
1659312000000,9.77e-05,0.00011754,9.715e-05,0.00010463,159204458891.4931,2022-08-01 00:00:00+00:00
1659398400000,0.00010463,0.00010587,9.368e-05,9.979e-05,41076187413.911934,2022-08-02 00:00:00+00:00
1659484800000,9.979e-05,0.00010216,9.769e-05,9.987e-05,19281203087.98969,2022-08-03 00:00:00+00:00
1659571200000,9.986e-05,0.00010182,9.826e-05,9.913e-05,14782610460.229345,2022-08-04 00:00:00+00:00
1659657600000,9.917e-05,0.00010125,9.906e-05,0.00010097,11835250170.518091,2022-08-05 00:00:00+00:00
1659744000000,0.00010097,0.00010211,9.99e-05,0.00010017,10959336437.080112,2022-08-06 00:00:00+00:00
1659830400000,0.00010017,0.0001003,9.73e-05,9.943e-05,14057057980.856186,2022-08-07 00:00:00+00:00
1659916800000,9.943e-05,0.00010138,9.758e-05,9.908e-05,14193272686.688082,2022-08-08 00:00:00+00:00
1660003200000,9.91e-05,0.00010099,7.5e-05,9.669e-05,62053375619.227844,2022-08-09 00:00:00+00:00
1660089600000,9.665e-05,0.0001012,9.056e-05,9.84e-05,27092802580.360363,2022-08-10 00:00:00+00:00
1660176000000,9.829e-05,9.999e-05,9.527e-05,9.684e-05,15415564680.723757,2022-08-11 00:00:00+00:00
1660262400000,9.691e-05,9.921e-05,9.401e-05,9.789e-05,15633964253.335817,2022-08-12 00:00:00+00:00
1660348800000,9.787e-05,9.99e-05,9.64e-05,9.665e-05,16349914077.70413,2022-08-13 00:00:00+00:00
