ts,open,high,low,close,volume,dt
1614038400000,11.34,13.3,9.91,10.79,10603.64195045,2021-02-23 00:00:00+00:00
1614124800000,10.81,12.3,9.29,9.65,1137680.8373543,2021-02-24 00:00:00+00:00
1614211200000,9.66,13.85,8.53,8.71,1284413.74184554,2021-02-25 00:00:00+00:00
1614297600000,8.7,9.06,7.16,7.55,503617.01544302,2021-02-26 00:00:00+00:00
1614384000000,7.55,7.88,5.95,6.48,253312.47028357,2021-02-27 00:00:00+00:00
1614470400000,6.48,6.58,4.76,5.72,157690.86752945,2021-02-28 00:00:00+00:00
1614556800000,5.74,7.821,5.74,7.79,139836.04822137,2021-03-01 00:00:00+00:00
1614643200000,7.79,8.333,6.236,7.115,141876.76476052,2021-03-02 00:00:00+00:00
1614729600000,7.105,7.79,6.845,7.02,100569.3949641,2021-03-03 00:00:00+00:00
1614816000000,7.02,7.92,6.34,6.78,93400.08161054,2021-03-04 00:00:00+00:00
1614902400000,6.78,6.78,6.239,6.53,56412.81259392,2021-03-05 00:00:00+00:00
1614988800000,6.52,7.493,6.33,7.46,48158.43310929,2021-03-06 00:00:00+00:00
1615075200000,7.46,7.909,6.953,7.75,89605.63151325,2021-03-07 00:00:00+00:00
1615161600000,7.75,9.92,7.74,9.28,155989.45637886,2021-03-08 00:00:00+00:00
1615248000000,9.28,10.569,9.1,10.07,52953.80664412,2021-03-09 00:00:00+00:00
1615334400000,10.05,10.07,8.78,9.36,82171.25145395,2021-03-10 00:00:00+00:00
1615420800000,9.365,10.83,9.161,10.36,80122.33223024,2021-03-11 00:00:00+00:00
1615507200000,10.35,10.535,9.513,9.86,95326.8777841,2021-03-12 00:00:00+00:00
1615593600000,9.86,11.429,9.378,11.1,121453.18945013,2021-03-13 00:00:00+00:00
1615680000000,11.09,11.22,10.57,10.958,57102.79669877,2021-03-14 00:00:00+00:00
1615766400000,10.948,11.7,10.32,10.66,65609.34180398,2021-03-15 00:00:00+00:00
1615852800000,10.66,10.66,9.492,9.901,50131.90250241,2021-03-16 00:00:00+00:00
1615939200000,9.89,10.014,8.7,9.42,56670.8963029,2021-03-17 00:00:00+00:00
1616025600000,9.423,9.56,9.1,9.16,38295.62022362,2021-03-18 00:00:00+00:00
1616112000000,9.16,9.289,8.617,8.7,40918.16863538,2021-03-19 00:00:00+00:00
1616198400000,8.7,9.45,8.695,8.95,29350.52926516,2021-03-20 00:00:00+00:00
1616284800000,8.95,8.95,8.2,8.58,35584.82837926,2021-03-21 00:00:00+00:00
1616371200000,8.595,9.65,8.41,8.75,72115.46738383,2021-03-22 00:00:00+00:00
1616457600000,8.752,8.96,8.1,8.15,57828.51648293,2021-03-23 00:00:00+00:00
1616544000000,8.14,8.562,7.691,7.7,33062.10060219,2021-03-24 00:00:00+00:00
1616630400000,7.7,7.77,7.03,7.29,32241.028042,2021-03-25 00:00:00+00:00
1616716800000,7.29,8.016,7.29,7.99,18238.49367319,2021-03-26 00:00:00+00:00
1616803200000,7.99,8.2,7.68,7.89,19820.6261292,2021-03-27 00:00:00+00:00
1616889600000,7.89,8.789,7.89,8.61,85412.13037912,2021-03-28 00:00:00+00:00
1616976000000,8.61,9.425,8.52,9.357,26412.49429034,2021-03-29 00:00:00+00:00
1617062400000,9.37,9.85,9.198,9.27,20156.29929669,2021-03-30 00:00:00+00:00
1617148800000,9.27,9.323,8.73,9.094,31867.84278437,2021-03-31 00:00:00+00:00
1617235200000,9.094,9.3,8.72,8.97,27344.88013895,2021-04-01 00:00:00+00:00
1617321600000,8.97,9.32,8.832,9.25,25612.32179865,2021-04-02 00:00:00+00:00
1617408000000,9.26,10.386,9.25,9.37,57791.06731317,2021-04-03 00:00:00+00:00
1617494400000,9.36,10.76,9.269,10.36,55151.94619694,2021-04-04 00:00:00+00:00
1617580800000,10.346,10.49,9.669,9.83,46944.182387,2021-04-05 00:00:00+00:00
1617667200000,9.835,9.952,8.947,9.397,39413.6052312,2021-04-06 00:00:00+00:00
1617753600000,9.4,9.542,8.49,8.916,74476.7727121,2021-04-07 00:00:00+00:00
1617840000000,8.93,9.34,8.82,9.27,27949.44184236,2021-04-08 00:00:00+00:00
1617926400000,9.27,11.633,9.119,11.109,93807.27825901,2021-04-09 00:00:00+00:00
1618012800000,11.109,12.783,10.94,11.95,155893.59828033,2021-04-10 00:00:00+00:00
1618099200000,11.95,12.34,11.14,12.02,67944.99702507,2021-04-11 00:00:00+00:00
1618185600000,12.02,12.4,11.106,11.32,67439.33159316,2021-04-12 00:00:00+00:00
1618272000000,11.31,12.21,10.45,12.09,92539.35761274,2021-04-13 00:00:00+00:00
1618358400000,12.083,12.16,10.0,10.8,97774.13744911,2021-04-14 00:00:00+00:00
1618444800000,10.805,11.54,10.588,11.31,44314.03665683,2021-04-15 00:00:00+00:00
1618531200000,11.32,11.33,9.84,10.365,51773.95486902,2021-04-16 00:00:00+00:00
1618617600000,10.36,10.85,9.66,9.664,32510.76341336,2021-04-17 00:00:00+00:00
1618704000000,9.687,9.905,7.275,8.53,141025.51873236,2021-04-18 00:00:00+00:00
1618790400000,8.53,9.534,7.76,7.94,155820.83313422,2021-04-19 00:00:00+00:00
1618876800000,7.94,8.37,6.664,8.231,148151.0971889,2021-04-20 00:00:00+00:00
1618963200000,8.24,9.961,7.927,9.458,135081.29227613,2021-04-21 00:00:00+00:00
1619049600000,9.45,11.2,9.058,9.92,188148.53905194,2021-04-22 00:00:00+00:00
1619136000000,9.93,9.98,8.0,8.84,100706.4232179,2021-04-23 00:00:00+00:00
1619222400000,8.84,9.33,8.154,9.03,40070.24625449,2021-04-24 00:00:00+00:00
1619308800000,9.044,10.49,8.885,10.14,102452.5087048,2021-04-25 00:00:00+00:00
1619395200000,10.14,13.1,10.0,12.138,281538.62573503,2021-04-26 00:00:00+00:00
1619481600000,12.14,14.9,11.885,13.882,304555.3867119,2021-04-27 00:00:00+00:00
1619568000000,13.88,14.56,12.88,13.75,132754.21303783,2021-04-28 00:00:00+00:00
1619654400000,13.746,13.88,12.269,13.117,162600.41218889,2021-04-29 00:00:00+00:00
1619740800000,13.13,13.853,12.51,13.07,111330.97644172,2021-04-30 00:00:00+00:00
1619827200000,13.07,14.9,12.3,14.67,147603.97808284,2021-05-01 00:00:00+00:00
1619913600000,14.685,16.06,13.5,15.16,193757.37669109,2021-05-02 00:00:00+00:00
1620000000000,15.15,16.25,14.81,15.112,109789.73834092,2021-05-03 00:00:00+00:00
1620086400000,15.1,15.15,12.96,13.077,222161.64932652,2021-05-04 00:00:00+00:00
1620172800000,13.095,15.04,12.91,14.8,139687.42439718,2021-05-05 00:00:00+00:00
1620259200000,14.79,14.828,13.24,13.41,90237.68098331,2021-05-06 00:00:00+00:00
1620345600000,13.4,13.69,12.55,12.99,62791.94598209,2021-05-07 00:00:00+00:00
1620432000000,12.974,15.05,12.86,14.399,151125.911472,2021-05-08 00:00:00+00:00
1620518400000,14.38,14.94,13.61,14.245,112478.24369849,2021-05-09 00:00:00+00:00
1620604800000,14.255,14.72,12.54,12.82,150361.63069299,2021-05-10 00:00:00+00:00
1620691200000,12.821,13.81,11.72,13.72,234898.141732,2021-05-11 00:00:00+00:00
1620777600000,13.725,13.97,10.03,10.24,288424.96300702,2021-05-12 00:00:00+00:00
1620864000000,10.12,11.04,8.74,9.38,169460.42511148,2021-05-13 00:00:00+00:00
1620950400000,9.41,10.42,9.27,9.89,89412.38593592,2021-05-14 00:00:00+00:00
1621036800000,9.9,10.0,8.56,8.57,43462.21797664,2021-05-15 00:00:00+00:00
1621123200000,8.57,10.47,8.43,9.95,87766.61451723,2021-05-16 00:00:00+00:00
1621209600000,9.94,10.23,8.7,9.19,80008.1878372,2021-05-17 00:00:00+00:00
1621296000000,9.19,10.53,9.14,9.63,78366.74996076,2021-05-18 00:00:00+00:00
1621382400000,9.63,9.81,5.01,5.91,215693.45603207,2021-05-19 00:00:00+00:00
1621468800000,5.88,6.75,5.23,6.51,132898.28751848,2021-05-20 00:00:00+00:00
1621555200000,6.51,7.0,4.77,5.2,161755.8928069,2021-05-21 00:00:00+00:00
1621641600000,5.24,5.38,4.47,4.67,83965.88561064,2021-05-22 00:00:00+00:00
1621728000000,4.67,4.82,2.88,3.56,154868.30442072,2021-05-23 00:00:00+00:00
1621814400000,3.57,4.48,3.45,4.39,82523.56137224,2021-05-24 00:00:00+00:00
1621900800000,4.38,4.57,3.76,4.32,72324.42349354,2021-05-25 00:00:00+00:00
1621987200000,4.32,5.39,4.24,5.37,62821.98347283,2021-05-26 00:00:00+00:00
1622073600000,5.37,5.46,4.83,5.04,40695.93815163,2021-05-27 00:00:00+00:00
1622160000000,5.04,5.08,4.35,4.46,36717.64624586,2021-05-28 00:00:00+00:00
1622246400000,4.46,4.63,4.11,4.3,22926.87739425,2021-05-29 00:00:00+00:00
1622332800000,4.28,4.69,4.06,4.58,18043.00956288,2021-05-30 00:00:00+00:00
1622419200000,4.58,5.5,4.42,5.19,23919.16890494,2021-05-31 00:00:00+00:00
1622505600000,5.17,5.23,4.78,4.96,15098.88768976,2021-06-01 00:00:00+00:00
1622592000000,4.97,5.28,4.9,5.1,18083.54791544,2021-06-02 00:00:00+00:00
1622678400000,5.11,5.55,5.06,5.52,36488.23705216,2021-06-03 00:00:00+00:00
1622764800000,5.52,5.53,4.89,5.16,31757.53091275,2021-06-04 00:00:00+00:00
1622851200000,5.16,5.47,4.94,5.04,26157.75696289,2021-06-05 00:00:00+00:00
1622937600000,5.05,5.29,5.01,5.16,16646.74069812,2021-06-06 00:00:00+00:00
1623024000000,5.16,5.3,4.73,4.74,29664.02300597,2021-06-07 00:00:00+00:00
1623110400000,4.74,4.91,4.26,4.65,37395.73063544,2021-06-08 00:00:00+00:00
1623196800000,4.64,4.76,4.49,4.72,16287.64971517,2021-06-09 00:00:00+00:00
1623283200000,4.73,4.75,4.35,4.4,52643.26703907,2021-06-10 00:00:00+00:00
1623369600000,4.4,4.43,4.03,4.03,14627.63895479,2021-06-11 00:00:00+00:00
1623456000000,4.05,4.08,3.79,3.99,14093.53138664,2021-06-12 00:00:00+00:00
1623542400000,3.99,4.14,3.9,4.14,18854.2646496,2021-06-13 00:00:00+00:00
1623628800000,4.14,4.29,4.1,4.22,15646.47220554,2021-06-14 00:00:00+00:00
1623715200000,4.23,4.29,4.13,4.18,11128.36225566,2021-06-15 00:00:00+00:00
1623801600000,4.19,4.19,3.97,4.01,14032.14748553,2021-06-16 00:00:00+00:00
1623888000000,4.01,4.15,3.9,3.94,9460.00396478,2021-06-17 00:00:00+00:00
1623974400000,3.94,3.96,3.68,3.79,18357.00702634,2021-06-18 00:00:00+00:00
1624060800000,3.78,3.86,3.71,3.77,11909.39214456,2021-06-19 00:00:00+00:00
1624147200000,3.77,3.91,3.58,3.86,28017.93864134,2021-06-20 00:00:00+00:00
1624233600000,3.86,3.89,3.16,3.22,23320.47989418,2021-06-21 00:00:00+00:00
1624320000000,3.22,3.39,2.71,3.19,36660.59483703,2021-06-22 00:00:00+00:00
1624406400000,3.19,3.48,3.16,3.4,10464.69242467,2021-06-23 00:00:00+00:00
1624492800000,3.41,3.5,3.29,3.45,10704.92898561,2021-06-24 00:00:00+00:00
1624579200000,3.46,3.52,3.2,3.22,10290.20043583,2021-06-25 00:00:00+00:00
1624665600000,3.22,3.27,2.99,3.12,14979.29932759,2021-06-26 00:00:00+00:00
