ts,open,high,low,close,volume,dt
1646784000000,4.032,4.808,4.028,4.773,31254.2,2022-03-09 00:00:00+00:00
1646870400000,4.709,4.887,4.409,4.49,16635.5,2022-03-10 00:00:00+00:00
1646956800000,4.463,4.868,4.092,4.199,19697.8,2022-03-11 00:00:00+00:00
1647043200000,4.155,4.342,4.119,4.177,4073.6,2022-03-12 00:00:00+00:00
1647129600000,4.15,4.26,3.85,3.875,10657.2,2022-03-13 00:00:00+00:00
1647216000000,3.896,4.004,3.891,3.975,7169.5,2022-03-14 00:00:00+00:00
1647302400000,3.948,4.075,3.838,3.936,13986.0,2022-03-15 00:00:00+00:00
1647388800000,3.928,4.305,3.873,4.196,15209.1,2022-03-16 00:00:00+00:00
1647475200000,4.233,4.58,4.189,4.385,48512.6,2022-03-17 00:00:00+00:00
1647561600000,4.391,5.233,4.346,5.02,61135.5,2022-03-18 00:00:00+00:00
1647648000000,5.028,5.626,5.028,5.174,67178.3,2022-03-19 00:00:00+00:00
1647734400000,5.197,5.489,4.925,5.192,36590.5,2022-03-20 00:00:00+00:00
1647820800000,5.325,5.366,4.953,4.953,59790.0,2022-03-21 00:00:00+00:00
1647907200000,4.952,5.377,4.931,5.173,28908.7,2022-03-22 00:00:00+00:00
1647993600000,5.168,5.379,4.997,5.366,45162.9,2022-03-23 00:00:00+00:00
1648080000000,5.3,5.532,5.167,5.254,61807.7,2022-03-24 00:00:00+00:00
1648166400000,5.225,5.41,4.983,5.042,60939.0,2022-03-25 00:00:00+00:00
1648252800000,5.034,5.267,5.015,5.115,43769.3,2022-03-26 00:00:00+00:00
1648339200000,5.13,5.432,5.123,5.39,76481.2,2022-03-27 00:00:00+00:00
1648425600000,5.38,5.77,5.27,5.35,38259.3,2022-03-28 00:00:00+00:00
1648512000000,5.345,5.938,5.345,5.725,48897.4,2022-03-29 00:00:00+00:00
1648598400000,5.747,6.707,5.723,6.655,140523.8,2022-03-30 00:00:00+00:00
1648684800000,6.642,7.244,6.452,6.808,106394.4,2022-03-31 00:00:00+00:00
1648771200000,6.866,8.151,6.646,7.733,99179.1,2022-04-01 00:00:00+00:00
1648857600000,7.733,7.778,7.079,7.195,48815.1,2022-04-02 00:00:00+00:00
1648944000000,7.224,7.469,7.014,7.306,18005.5,2022-04-03 00:00:00+00:00
1649030400000,7.246,7.405,6.672,7.003,28776.4,2022-04-04 00:00:00+00:00
1649116800000,6.988,6.988,6.105,6.109,27514.3,2022-04-05 00:00:00+00:00
1649203200000,6.103,6.126,5.373,5.381,55847.7,2022-04-06 00:00:00+00:00
1649289600000,5.372,5.828,5.305,5.672,11323.2,2022-04-07 00:00:00+00:00
1649376000000,5.663,5.788,5.185,5.208,26018.6,2022-04-08 00:00:00+00:00
1649462400000,5.237,5.396,5.162,5.396,7357.6,2022-04-09 00:00:00+00:00
1649548800000,5.387,5.429,5.079,5.081,11811.0,2022-04-10 00:00:00+00:00
1649635200000,5.059,5.114,4.467,4.467,5002.6,2022-04-11 00:00:00+00:00
1649721600000,4.526,5.064,4.519,4.958,37819.6,2022-04-12 00:00:00+00:00
1649808000000,4.945,5.184,4.839,5.179,28954.0,2022-04-13 00:00:00+00:00
1649894400000,5.145,5.604,5.113,5.17,37872.2,2022-04-14 00:00:00+00:00
1649980800000,5.21,5.781,5.174,5.369,56555.6,2022-04-15 00:00:00+00:00
1650067200000,5.369,5.546,5.181,5.237,30188.0,2022-04-16 00:00:00+00:00
1650153600000,5.25,5.323,4.995,5.021,30140.3,2022-04-17 00:00:00+00:00
1650240000000,4.998,5.157,4.767,5.157,38459.2,2022-04-18 00:00:00+00:00
1650326400000,5.184,6.285,5.075,6.171,113463.5,2022-04-19 00:00:00+00:00
1650412800000,6.154,7.177,5.982,6.591,130307.9,2022-04-20 00:00:00+00:00
1650499200000,6.573,6.941,5.858,5.868,44597.6,2022-04-21 00:00:00+00:00
1650585600000,5.858,6.025,5.416,5.476,25422.6,2022-04-22 00:00:00+00:00
1650672000000,5.474,5.886,5.383,5.808,54978.5,2022-04-23 00:00:00+00:00
1650758400000,5.834,6.221,5.635,5.886,55528.7,2022-04-24 00:00:00+00:00
1650844800000,5.907,6.228,5.314,6.174,86274.2,2022-04-25 00:00:00+00:00
1650931200000,6.163,6.712,5.378,5.415,172935.9,2022-04-26 00:00:00+00:00
1651017600000,5.403,6.013,5.4,5.834,59981.7,2022-04-27 00:00:00+00:00
1651104000000,5.858,5.858,5.466,5.529,33951.1,2022-04-28 00:00:00+00:00
1651190400000,5.553,5.773,4.925,4.986,22296.9,2022-04-29 00:00:00+00:00
1651276800000,5.029,5.131,4.253,4.381,35861.4,2022-04-30 00:00:00+00:00
1651363200000,4.415,4.903,4.283,4.822,33679.5,2022-05-01 00:00:00+00:00
1651449600000,4.817,4.895,4.388,4.769,36366.6,2022-05-02 00:00:00+00:00
1651536000000,4.732,4.956,4.504,4.651,8084.5,2022-05-03 00:00:00+00:00
1651622400000,4.626,5.088,4.608,5.088,12852.0,2022-05-04 00:00:00+00:00
1651708800000,5.094,5.224,4.399,4.528,29183.0,2022-05-05 00:00:00+00:00
1651795200000,4.572,4.77,4.312,4.586,25370.5,2022-05-06 00:00:00+00:00
1651881600000,4.585,4.745,4.258,4.355,18339.2,2022-05-07 00:00:00+00:00
1651968000000,4.372,4.376,4.174,4.223,11355.8,2022-05-08 00:00:00+00:00
1652054400000,4.264,4.355,3.238,3.238,50421.9,2022-05-09 00:00:00+00:00
1652140800000,3.263,3.761,3.145,3.176,47707.9,2022-05-10 00:00:00+00:00
1652227200000,3.367,3.412,2.318,2.46,142420.3,2022-05-11 00:00:00+00:00
1652313600000,2.486,2.636,2.19,2.487,67654.7,2022-05-12 00:00:00+00:00
1652400000000,2.494,2.977,2.373,2.637,34146.9,2022-05-13 00:00:00+00:00
1652486400000,2.605,2.768,2.4,2.768,11121.1,2022-05-14 00:00:00+00:00
1652572800000,2.752,3.06,2.594,3.06,39900.5,2022-05-15 00:00:00+00:00
1652659200000,3.05,3.102,2.666,2.71,80539.5,2022-05-16 00:00:00+00:00
1652745600000,2.72,2.988,2.656,2.888,54914.3,2022-05-17 00:00:00+00:00
1652832000000,2.896,2.924,2.472,2.491,72719.7,2022-05-18 00:00:00+00:00
1652918400000,2.512,2.729,2.361,2.678,94060.4,2022-05-19 00:00:00+00:00
1653004800000,2.688,2.787,2.469,2.541,129461.6,2022-05-20 00:00:00+00:00
1653091200000,2.529,2.665,2.486,2.597,105863.0,2022-05-21 00:00:00+00:00
1653177600000,2.593,2.807,2.575,2.729,102051.3,2022-05-22 00:00:00+00:00
1653264000000,2.712,2.912,2.563,2.606,149657.4,2022-05-23 00:00:00+00:00
1653350400000,2.586,2.789,2.495,2.625,180727.4,2022-05-24 00:00:00+00:00
1653436800000,2.628,2.76,2.521,2.552,135057.1,2022-05-25 00:00:00+00:00
1653523200000,2.551,2.674,2.358,2.383,137064.6,2022-05-26 00:00:00+00:00
1653609600000,2.414,2.512,2.314,2.442,142213.6,2022-05-27 00:00:00+00:00
1653696000000,2.456,2.539,2.392,2.485,122926.5,2022-05-28 00:00:00+00:00
1653782400000,2.485,2.655,2.427,2.601,122173.9,2022-05-29 00:00:00+00:00
1653868800000,2.603,3.387,2.569,3.351,190055.8,2022-05-30 00:00:00+00:00
1653955200000,3.325,3.438,3.008,3.111,164678.1,2022-05-31 00:00:00+00:00
1654041600000,3.123,3.336,2.83,2.865,132390.4,2022-06-01 00:00:00+00:00
1654128000000,2.838,3.105,2.766,3.022,129460.5,2022-06-02 00:00:00+00:00
1654214400000,3.007,3.013,2.676,2.731,134823.7,2022-06-03 00:00:00+00:00
1654300800000,2.725,2.729,2.585,2.682,76764.2,2022-06-04 00:00:00+00:00
1654387200000,2.679,2.778,2.547,2.608,90471.2,2022-06-05 00:00:00+00:00
