ts,open,high,low,close,volume,dt
1609459200000,1.5144,1.852,1.5144,1.8455,21651.85,2021-01-01 00:00:00+00:00
1609545600000,1.8166,2.0,1.7299,1.7955,46078.01,2021-01-02 00:00:00+00:00
1609632000000,1.8228,2.3777,1.8043,2.1682,106665.66,2021-01-03 00:00:00+00:00
1609718400000,2.1986,2.4932,1.8942,2.4924,94388.0,2021-01-04 00:00:00+00:00
1609804800000,2.4627,2.4855,2.0785,2.1561,45673.25,2021-01-05 00:00:00+00:00
1609891200000,2.1582,2.1738,1.9464,1.97,153893.69,2021-01-06 00:00:00+00:00
1609977600000,1.9701,2.6261,1.9701,2.3734,222270.85,2021-01-07 00:00:00+00:00
1610064000000,2.3734,3.8037,2.2102,3.2163,286701.18,2021-01-08 00:00:00+00:00
1610150400000,3.2255,3.6761,2.9394,3.3823,106757.17,2021-01-09 00:00:00+00:00
1610236800000,3.403,3.7357,3.1804,3.4578,78370.54,2021-01-10 00:00:00+00:00
1610323200000,3.441,3.5175,2.6645,3.15,47183.71,2021-01-11 00:00:00+00:00
1610409600000,3.15,4.1,3.1483,3.86,32810.3,2021-01-12 00:00:00+00:00
1610496000000,3.86,7.9,3.3866,3.8129,68128.83,2021-01-13 00:00:00+00:00
1610582400000,3.8129,4.1999,3.3634,3.64,22960.36,2021-01-14 00:00:00+00:00
1610668800000,3.587,4.165,2.9918,3.2521,55007.04,2021-01-15 00:00:00+00:00
1610755200000,3.2423,3.6978,3.2423,3.4516,87202.83,2021-01-16 00:00:00+00:00
1610841600000,3.4318,4.05,3.3334,3.8301,85042.6,2021-01-17 00:00:00+00:00
1610928000000,3.8276,4.1032,3.6838,3.7826,48137.71,2021-01-18 00:00:00+00:00
1611014400000,3.7846,4.0319,3.6016,3.6516,56541.67,2021-01-19 00:00:00+00:00
1611100800000,3.6211,3.7999,3.3467,3.7207,64064.61,2021-01-20 00:00:00+00:00
1611187200000,3.7104,3.7104,3.0024,3.0093,48822.72,2021-01-21 00:00:00+00:00
1611273600000,3.0093,3.4998,2.7596,3.3531,65595.52,2021-01-22 00:00:00+00:00
1611360000000,3.3345,3.6101,3.3157,3.5202,20309.59,2021-01-23 00:00:00+00:00
1611446400000,3.5046,3.783,3.5046,3.625,18708.18,2021-01-24 00:00:00+00:00
1611532800000,3.625,3.9799,3.45,3.7037,95769.5,2021-01-25 00:00:00+00:00
1611619200000,3.6983,4.1006,3.6764,4.0472,71405.98,2021-01-26 00:00:00+00:00
1611705600000,4.0362,4.0417,3.54,3.7021,30803.59,2021-01-27 00:00:00+00:00
1611792000000,3.6829,3.95,3.6198,3.8272,34367.26,2021-01-28 00:00:00+00:00
1611878400000,3.8373,3.8866,3.6416,3.8401,28229.48,2021-01-29 00:00:00+00:00
1611964800000,3.8454,4.3294,3.7653,4.2368,60720.72,2021-01-30 00:00:00+00:00
1612051200000,4.2508,4.7814,4.1086,4.2637,72322.86,2021-01-31 00:00:00+00:00
1612137600000,4.2566,4.6,4.1134,4.6,28550.24,2021-02-01 00:00:00+00:00
1612224000000,4.6,5.4097,4.4867,5.283,68985.26,2021-02-02 00:00:00+00:00
1612310400000,5.2831,5.7781,5.0857,5.7273,58864.02,2021-02-03 00:00:00+00:00
1612396800000,5.7273,6.5615,5.6104,6.4271,85977.03,2021-02-04 00:00:00+00:00
1612483200000,6.427,7.1355,6.427,6.6829,83059.94,2021-02-05 00:00:00+00:00
1612569600000,6.702,6.8089,5.7183,6.1028,106857.73,2021-02-06 00:00:00+00:00
1612656000000,6.1027,6.999,5.7457,6.6833,56581.84,2021-02-07 00:00:00+00:00
1612742400000,6.6728,8.5889,6.4843,7.9187,85353.8,2021-02-08 00:00:00+00:00
1612828800000,7.9187,8.8756,7.6024,7.8703,67334.91,2021-02-09 00:00:00+00:00
1612915200000,7.8516,9.2499,7.5775,9.0833,81395.12,2021-02-10 00:00:00+00:00
1613001600000,9.0833,9.9262,8.7927,9.2562,62740.86,2021-02-11 00:00:00+00:00
1613088000000,9.2372,9.8913,9.0872,9.202,44980.43,2021-02-12 00:00:00+00:00
1613174400000,9.2706,9.6208,8.6592,8.7502,58373.88,2021-02-13 00:00:00+00:00
1613260800000,8.7793,9.2499,8.5488,8.7384,57188.72,2021-02-14 00:00:00+00:00
1613347200000,8.7384,9.3259,7.5149,8.8268,79960.53,2021-02-15 00:00:00+00:00
1613433600000,8.8272,9.0191,7.9699,8.3188,43602.93,2021-02-16 00:00:00+00:00
1613520000000,8.2463,8.4422,7.5479,8.232,42545.29,2021-02-17 00:00:00+00:00
1613606400000,8.2609,9.2827,8.1879,8.98,38426.01,2021-02-18 00:00:00+00:00
1613692800000,8.98,11.9371,8.5227,11.5016,139105.25,2021-02-19 00:00:00+00:00
1613779200000,11.4999,12.5332,9.7883,9.9876,85687.55,2021-02-20 00:00:00+00:00
1613865600000,9.9798,12.1626,9.9116,11.0837,54335.14,2021-02-21 00:00:00+00:00
1613952000000,11.0837,15.3846,9.0396,14.4651,268927.36,2021-02-22 00:00:00+00:00
1614038400000,14.4651,16.5,11.5787,15.2677,344211.46,2021-02-23 00:00:00+00:00
1614124800000,15.2531,18.2413,14.7541,17.2907,145265.15,2021-02-24 00:00:00+00:00
1614211200000,17.2907,17.7146,13.7979,13.8075,64366.68,2021-02-25 00:00:00+00:00
1614297600000,13.79,15.4875,13.1125,13.5817,116704.37,2021-02-26 00:00:00+00:00
1614384000000,13.5985,14.6419,13.0556,13.1839,55032.67,2021-02-27 00:00:00+00:00
1614470400000,13.1387,14.6029,11.4768,13.3905,59898.77,2021-02-28 00:00:00+00:00
1614556800000,13.2613,20.0,13.2613,15.1574,52604.33,2021-03-01 00:00:00+00:00
1614643200000,15.0035,16.05,13.4984,13.9683,48321.94,2021-03-02 00:00:00+00:00
1614729600000,13.9243,14.8498,13.771,14.1406,53262.74,2021-03-03 00:00:00+00:00
1614816000000,14.1164,14.3,12.6655,13.0935,29309.2,2021-03-04 00:00:00+00:00
1614902400000,13.0581,13.0884,12.1603,12.5624,15365.85,2021-03-05 00:00:00+00:00
1614988800000,12.6247,13.3787,11.8848,13.0752,25036.04,2021-03-06 00:00:00+00:00
1615075200000,13.0751,13.9936,12.6929,13.8356,22042.83,2021-03-07 00:00:00+00:00
1615161600000,13.7961,13.87,13.0631,13.6174,24705.13,2021-03-08 00:00:00+00:00
1615248000000,13.6335,15.0062,13.2841,14.8223,39973.47,2021-03-09 00:00:00+00:00
1615334400000,14.862,15.2267,14.0299,14.1916,35263.18,2021-03-10 00:00:00+00:00
1615420800000,14.1869,16.3156,13.6902,16.002,67473.55,2021-03-11 00:00:00+00:00
1615507200000,16.0472,16.5122,14.096,14.5853,52455.02,2021-03-12 00:00:00+00:00
1615593600000,14.5853,15.6931,13.925,15.3178,37311.84,2021-03-13 00:00:00+00:00
1615680000000,15.2983,15.3603,14.3631,14.5352,10104.52,2021-03-14 00:00:00+00:00
1615766400000,14.4671,14.8141,13.6358,14.1447,23830.46,2021-03-15 00:00:00+00:00
1615852800000,14.2492,14.2492,13.25,13.6358,28123.01,2021-03-16 00:00:00+00:00
1615939200000,13.6688,14.24,13.0714,14.2095,17491.51,2021-03-17 00:00:00+00:00
1616025600000,14.2524,14.7317,14.0096,14.2164,25937.6,2021-03-18 00:00:00+00:00
1616112000000,14.1924,14.5179,13.712,14.1354,29437.07,2021-03-19 00:00:00+00:00
1616198400000,14.1767,14.966,14.1067,14.1872,22105.3,2021-03-20 00:00:00+00:00
1616284800000,14.1706,14.3439,13.659,14.3129,22349.58,2021-03-21 00:00:00+00:00
1616371200000,14.3523,16.6941,14.1586,14.7954,120273.68,2021-03-22 00:00:00+00:00
1616457600000,14.804,15.2251,14.0559,14.2049,29236.55,2021-03-23 00:00:00+00:00
1616544000000,14.26,15.3391,13.6,13.6,39079.21,2021-03-24 00:00:00+00:00
1616630400000,13.5735,13.6803,12.5712,12.9479,44929.16,2021-03-25 00:00:00+00:00
1616716800000,13.066,14.7689,12.1,14.7454,48495.87,2021-03-26 00:00:00+00:00
1616803200000,14.7953,16.8083,14.7365,16.4313,56432.42,2021-03-27 00:00:00+00:00
1616889600000,16.5441,19.3603,16.3333,18.0577,125048.56,2021-03-28 00:00:00+00:00
1616976000000,18.1269,19.0111,17.6646,18.9338,59334.22,2021-03-29 00:00:00+00:00
1617062400000,18.9338,20.8638,18.9137,19.0924,62496.27,2021-03-30 00:00:00+00:00
1617148800000,19.1455,19.8201,18.0944,19.3965,46198.45,2021-03-31 00:00:00+00:00
1617235200000,19.4282,20.3326,18.7758,19.0294,70301.16,2021-04-01 00:00:00+00:00
1617321600000,19.0465,19.7908,18.5198,19.7489,46701.4,2021-04-02 00:00:00+00:00
1617408000000,19.7912,23.8,19.711,22.4172,186189.95,2021-04-03 00:00:00+00:00
1617494400000,22.4503,25.518,22.0528,23.8924,148961.38,2021-04-04 00:00:00+00:00
1617580800000,23.8179,24.677,22.7741,23.0037,104634.58,2021-04-05 00:00:00+00:00
1617667200000,23.0219,25.2938,21.8824,25.0722,154940.67,2021-04-06 00:00:00+00:00
1617753600000,25.1007,28.0,22.9663,26.4541,260513.53,2021-04-07 00:00:00+00:00
1617840000000,26.5844,27.9614,25.6643,27.0,123173.66,2021-04-08 00:00:00+00:00
1617926400000,26.8759,28.972,26.7476,27.6707,122082.51,2021-04-09 00:00:00+00:00
1618012800000,27.6673,28.2457,26.0,26.8361,78424.62,2021-04-10 00:00:00+00:00
1618099200000,26.7093,28.6574,25.5554,27.8363,66917.0,2021-04-11 00:00:00+00:00
1618185600000,27.8792,29.8879,26.8458,28.5443,108459.38,2021-04-12 00:00:00+00:00
1618272000000,28.6106,28.786,26.412,27.4445,57753.35,2021-04-13 00:00:00+00:00
1618358400000,27.4814,27.4814,24.7417,26.423,144609.43,2021-04-14 00:00:00+00:00
1618444800000,26.4262,28.2013,25.499,27.7903,83468.6,2021-04-15 00:00:00+00:00
1618531200000,27.8451,28.2295,24.5456,25.3358,87821.22,2021-04-16 00:00:00+00:00
1618617600000,25.3245,26.761,24.8044,24.8528,92967.63,2021-04-17 00:00:00+00:00
1618704000000,24.8574,32.958,21.0768,32.3092,529080.79,2021-04-18 00:00:00+00:00
1618790400000,32.4162,36.0,29.1997,31.531,483728.76,2021-04-19 00:00:00+00:00
1618876800000,31.5669,32.6558,28.6,31.798,305566.57,2021-04-20 00:00:00+00:00
1618963200000,31.7268,35.1015,30.1778,32.5406,291380.61,2021-04-21 00:00:00+00:00
1619049600000,32.6666,41.4964,31.4642,38.9397,463652.61,2021-04-22 00:00:00+00:00
1619136000000,38.9397,41.6304,31.579,37.2299,439703.45,2021-04-23 00:00:00+00:00
1619222400000,37.2635,43.6297,34.695,40.8535,333256.73,2021-04-24 00:00:00+00:00
1619308800000,41.0156,48.5879,40.61,47.4587,394783.91,2021-04-25 00:00:00+00:00
1619395200000,47.6982,48.473,43.1412,43.8929,321277.17,2021-04-26 00:00:00+00:00
1619481600000,43.8606,46.592,42.5502,43.1908,205177.83,2021-04-27 00:00:00+00:00
1619568000000,43.1457,46.9168,40.6255,44.9067,247344.66,2021-04-28 00:00:00+00:00
