ts,open,high,low,close,volume,dt
1642723200000,5.872,5.872,4.793,4.961,213020.8,2022-01-21 00:00:00+00:00
1642809600000,4.933,5.108,3.995,4.404,196942.4,2022-01-22 00:00:00+00:00
1642896000000,4.403,4.772,4.316,4.652,82394.6,2022-01-23 00:00:00+00:00
1642982400000,4.624,4.624,3.812,4.453,126139.9,2022-01-24 00:00:00+00:00
1643068800000,4.366,4.639,4.27,4.484,14162.5,2022-01-25 00:00:00+00:00
1643155200000,4.522,4.791,4.128,4.261,132324.8,2022-01-26 00:00:00+00:00
1643241600000,4.253,4.281,3.86,4.057,60933.2,2022-01-27 00:00:00+00:00
1643328000000,4.068,4.215,3.937,4.173,83261.3,2022-01-28 00:00:00+00:00
1643414400000,4.177,4.313,4.135,4.185,70842.7,2022-01-29 00:00:00+00:00
1643500800000,4.187,4.345,4.018,4.101,82096.1,2022-01-30 00:00:00+00:00
1643587200000,4.051,4.304,3.872,4.217,72138.0,2022-01-31 00:00:00+00:00
1643673600000,4.204,4.487,4.204,4.345,86244.2,2022-02-01 00:00:00+00:00
1643760000000,4.366,4.432,4.041,4.095,100477.1,2022-02-02 00:00:00+00:00
1643846400000,4.103,4.132,3.94,4.095,40246.0,2022-02-03 00:00:00+00:00
1643932800000,4.082,4.477,4.043,4.429,69472.0,2022-02-04 00:00:00+00:00
1644019200000,4.431,4.895,4.431,4.708,135047.1,2022-02-05 00:00:00+00:00
1644105600000,4.687,4.805,4.472,4.798,70918.9,2022-02-06 00:00:00+00:00
1644192000000,4.811,4.962,4.689,4.96,71232.7,2022-02-07 00:00:00+00:00
1644278400000,4.975,5.091,4.513,4.641,90202.3,2022-02-08 00:00:00+00:00
1644364800000,4.653,4.781,4.554,4.765,41692.3,2022-02-09 00:00:00+00:00
1644451200000,4.717,4.829,4.357,4.398,117526.7,2022-02-10 00:00:00+00:00
1644537600000,4.362,4.505,4.055,4.076,56076.3,2022-02-11 00:00:00+00:00
1644624000000,4.068,4.268,4.021,4.139,51290.8,2022-02-12 00:00:00+00:00
