ts,open,high,low,close,volume,dt
1652140800000,1.902,1.94,1.71,1.792,41908.6,2022-05-10 00:00:00+00:00
1652227200000,1.79,2.41,1.25,1.317,131207.8,2022-05-11 00:00:00+00:00
1652313600000,1.338,1.412,1.031,1.218,58883.1,2022-05-12 00:00:00+00:00
1652400000000,1.261,1.518,1.245,1.402,29690.8,2022-05-13 00:00:00+00:00
1652486400000,1.426,1.496,1.3,1.432,13407.3,2022-05-14 00:00:00+00:00
1652572800000,1.434,1.481,1.361,1.462,16506.7,2022-05-15 00:00:00+00:00
1652659200000,1.457,1.457,1.305,1.342,9244.4,2022-05-16 00:00:00+00:00
1652745600000,1.354,1.428,1.311,1.395,11808.3,2022-05-17 00:00:00+00:00
1652832000000,1.397,1.397,1.207,1.216,13021.2,2022-05-18 00:00:00+00:00
1652918400000,1.225,1.315,1.165,1.29,27075.7,2022-05-19 00:00:00+00:00
1653004800000,1.294,1.315,1.194,1.225,15112.5,2022-05-20 00:00:00+00:00
1653091200000,1.212,1.25,1.209,1.249,4114.8,2022-05-21 00:00:00+00:00
1653177600000,1.249,1.315,1.245,1.315,4373.8,2022-05-22 00:00:00+00:00
1653264000000,1.311,1.36,1.235,1.245,10233.5,2022-05-23 00:00:00+00:00
1653350400000,1.234,1.268,1.183,1.268,8171.9,2022-05-24 00:00:00+00:00
1653436800000,1.277,1.277,1.211,1.235,4907.2,2022-05-25 00:00:00+00:00
1653523200000,1.252,1.258,1.073,1.145,38603.0,2022-05-26 00:00:00+00:00
1653609600000,1.138,1.147,1.068,1.1,7220.4,2022-05-27 00:00:00+00:00
1653696000000,1.1,1.135,1.084,1.135,2008.0,2022-05-28 00:00:00+00:00
1653782400000,1.124,1.168,1.093,1.168,2601.6,2022-05-29 00:00:00+00:00
1653868800000,1.176,1.344,1.159,1.339,7936.4,2022-05-30 00:00:00+00:00
1653955200000,1.315,1.389,1.285,1.345,3645.5,2022-05-31 00:00:00+00:00
1654041600000,1.353,1.392,1.173,1.207,4355.9,2022-06-01 00:00:00+00:00
1654128000000,1.201,1.252,1.174,1.249,11253.7,2022-06-02 00:00:00+00:00
1654214400000,1.239,1.239,1.161,1.197,7882.3,2022-06-03 00:00:00+00:00
1654300800000,1.173,1.202,1.173,1.199,869.0,2022-06-04 00:00:00+00:00
1654387200000,1.179,1.227,1.173,1.221,640.9,2022-06-05 00:00:00+00:00
1654473600000,1.224,1.389,1.224,1.31,12398.4,2022-06-06 00:00:00+00:00
1654560000000,1.309,1.309,1.187,1.234,29750.5,2022-06-07 00:00:00+00:00
1654646400000,1.243,1.391,1.243,1.33,14618.5,2022-06-08 00:00:00+00:00
1654732800000,1.328,1.463,1.322,1.419,6929.6,2022-06-09 00:00:00+00:00
1654819200000,1.418,1.474,1.29,1.304,57060.6,2022-06-10 00:00:00+00:00
1654905600000,1.355,1.412,1.192,1.201,23336.5,2022-06-11 00:00:00+00:00
1654992000000,1.233,1.25,1.087,1.091,69541.0,2022-06-12 00:00:00+00:00
1655078400000,1.086,1.22,0.959,1.156,102152.4,2022-06-13 00:00:00+00:00
