ts,open,high,low,close,volume,dt
1648771200000,0.07405,0.13,0.07105,0.07486,24458456.1,2022-04-01 00:00:00+00:00
1648857600000,0.07475,0.07626,0.04,0.07312,4218569.5,2022-04-02 00:00:00+00:00
1648944000000,0.07315,0.07362,0.07206,0.07308,1692939.8,2022-04-03 00:00:00+00:00
1649030400000,0.07306,0.07306,0.06876,0.0711,761980.4,2022-04-04 00:00:00+00:00
1649116800000,0.07075,0.07175,0.06943,0.06945,1187661.9,2022-04-05 00:00:00+00:00
1649203200000,0.06928,0.06928,0.06296,0.06296,409456.1,2022-04-06 00:00:00+00:00
1649289600000,0.06378,0.06466,0.06296,0.06442,746550.6,2022-04-07 00:00:00+00:00
1649376000000,0.06435,0.06525,0.06261,0.06261,219078.2,2022-04-08 00:00:00+00:00
1649462400000,0.06311,0.06403,0.06254,0.06403,719374.2,2022-04-09 00:00:00+00:00
1649548800000,0.06397,0.06411,0.06239,0.06271,371582.2,2022-04-10 00:00:00+00:00
1649635200000,0.062,0.06227,0.05786,0.05804,470163.4,2022-04-11 00:00:00+00:00
1649721600000,0.05829,0.06041,0.05792,0.06011,1006709.9,2022-04-12 00:00:00+00:00
1649808000000,0.05991,0.06151,0.05948,0.06151,113451.7,2022-04-13 00:00:00+00:00
1649894400000,0.06155,0.06209,0.05949,0.06018,730995.3,2022-04-14 00:00:00+00:00
1649980800000,0.0603,0.06219,0.06005,0.06182,698636.7,2022-04-15 00:00:00+00:00
1650067200000,0.06177,0.06221,0.06097,0.06194,306855.5,2022-04-16 00:00:00+00:00
1650153600000,0.06188,0.06282,0.05988,0.06016,1620014.6,2022-04-17 00:00:00+00:00
1650240000000,0.06025,0.06162,0.05892,0.06149,1287218.3,2022-04-18 00:00:00+00:00
1650326400000,0.06157,0.06365,0.06109,0.06328,352163.7,2022-04-19 00:00:00+00:00
1650412800000,0.06309,0.06341,0.06186,0.0626,464508.8,2022-04-20 00:00:00+00:00
1650499200000,0.06285,0.07475,0.06261,0.07094,36853497.0,2022-04-21 00:00:00+00:00
1650585600000,0.07113,0.07241,0.06651,0.06655,14515726.1,2022-04-22 00:00:00+00:00
1650672000000,0.06655,0.06914,0.06655,0.06766,2800271.2,2022-04-23 00:00:00+00:00
1650758400000,0.06767,0.06774,0.06467,0.06566,3530977.7,2022-04-24 00:00:00+00:00
1650844800000,0.06538,0.06557,0.0618,0.06542,4834203.3,2022-04-25 00:00:00+00:00
1650931200000,0.06521,0.06564,0.06167,0.06167,857831.1,2022-04-26 00:00:00+00:00
1651017600000,0.06188,0.06364,0.06188,0.06309,2028363.6,2022-04-27 00:00:00+00:00
1651104000000,0.06318,0.06393,0.06263,0.06379,539125.0,2022-04-28 00:00:00+00:00
1651190400000,0.06395,0.07002,0.06278,0.06363,11266815.1,2022-04-29 00:00:00+00:00
1651276800000,0.06369,0.0652,0.06195,0.06276,7850568.3,2022-04-30 00:00:00+00:00
1651363200000,0.06256,0.07168,0.06162,0.0708,10726494.4,2022-05-01 00:00:00+00:00
1651449600000,0.07107,0.07362,0.06463,0.069,14032472.8,2022-05-02 00:00:00+00:00
1651536000000,0.069,0.07536,0.06819,0.073,8789332.4,2022-05-03 00:00:00+00:00
1651622400000,0.07246,0.08702,0.07011,0.08641,18001939.3,2022-05-04 00:00:00+00:00
1651708800000,0.0864,0.08968,0.07162,0.07473,27381531.5,2022-05-05 00:00:00+00:00
1651795200000,0.07417,0.08833,0.0728,0.08645,21996552.6,2022-05-06 00:00:00+00:00
1651881600000,0.0865,0.08859,0.07981,0.0835,20902368.5,2022-05-07 00:00:00+00:00
1651968000000,0.08346,0.0927,0.08024,0.08816,22859391.0,2022-05-08 00:00:00+00:00
1652054400000,0.08814,0.08814,0.07115,0.07248,23179634.2,2022-05-09 00:00:00+00:00
1652140800000,0.07279,0.08236,0.07151,0.07716,11408938.1,2022-05-10 00:00:00+00:00
1652227200000,0.07685,0.08443,0.06289,0.07467,25393820.3,2022-05-11 00:00:00+00:00
1652313600000,0.07492,0.08126,0.06575,0.06719,16613973.7,2022-05-12 00:00:00+00:00
1652400000000,0.06719,0.07644,0.06669,0.0741,5916065.5,2022-05-13 00:00:00+00:00
1652486400000,0.07442,0.07616,0.07067,0.07241,3296933.1,2022-05-14 00:00:00+00:00
1652572800000,0.07216,0.0725,0.06788,0.07248,2917290.9,2022-05-15 00:00:00+00:00
1652659200000,0.07216,0.07227,0.06713,0.06906,1451229.4,2022-05-16 00:00:00+00:00
1652745600000,0.06897,0.07391,0.06881,0.07236,1901330.2,2022-05-17 00:00:00+00:00
1652832000000,0.07223,0.07273,0.0695,0.07123,778884.1,2022-05-18 00:00:00+00:00
1652918400000,0.07129,0.07493,0.0701,0.07354,2455380.7,2022-05-19 00:00:00+00:00
1653004800000,0.07342,0.07501,0.07003,0.0713,1830730.1,2022-05-20 00:00:00+00:00
1653091200000,0.07116,0.07579,0.07055,0.07435,1127414.7,2022-05-21 00:00:00+00:00
1653177600000,0.07421,0.07869,0.07369,0.0783,934855.6,2022-05-22 00:00:00+00:00
1653264000000,0.0787,0.08249,0.0758,0.07615,3121226.0,2022-05-23 00:00:00+00:00
1653350400000,0.07625,0.08291,0.07609,0.08065,4636442.6,2022-05-24 00:00:00+00:00
1653436800000,0.08073,0.08787,0.08001,0.08485,2696869.5,2022-05-25 00:00:00+00:00
1653523200000,0.08496,0.08648,0.07899,0.08261,4628453.0,2022-05-26 00:00:00+00:00
1653609600000,0.08226,0.08378,0.07842,0.08077,1893353.8,2022-05-27 00:00:00+00:00
1653696000000,0.0804,0.08259,0.07891,0.08127,1174894.2,2022-05-28 00:00:00+00:00
1653782400000,0.08106,0.08229,0.07821,0.08057,787935.4,2022-05-29 00:00:00+00:00
1653868800000,0.08053,0.08436,0.08032,0.08343,1547962.1,2022-05-30 00:00:00+00:00
1653955200000,0.08341,0.08452,0.07936,0.08452,2469055.0,2022-05-31 00:00:00+00:00
1654041600000,0.08402,0.09179,0.08206,0.08351,6721836.8,2022-06-01 00:00:00+00:00
1654128000000,0.08351,0.0856,0.08105,0.08448,1964080.6,2022-06-02 00:00:00+00:00
1654214400000,0.08443,0.08636,0.08043,0.081,875149.1,2022-06-03 00:00:00+00:00
1654300800000,0.08133,0.08133,0.07639,0.08021,1648591.6,2022-06-04 00:00:00+00:00
1654387200000,0.08058,0.08257,0.07924,0.08153,703091.7,2022-06-05 00:00:00+00:00
1654473600000,0.08134,0.08477,0.08118,0.08176,1293783.8,2022-06-06 00:00:00+00:00
1654560000000,0.08157,0.08301,0.07899,0.0819,1678383.8,2022-06-07 00:00:00+00:00
1654646400000,0.08188,0.08257,0.07969,0.08056,2037519.7,2022-06-08 00:00:00+00:00
1654732800000,0.0804,0.0819,0.08014,0.08088,668602.1,2022-06-09 00:00:00+00:00
1654819200000,0.08065,0.08157,0.07889,0.07917,800755.5,2022-06-10 00:00:00+00:00
1654905600000,0.07875,0.08015,0.0748,0.07592,1120334.0,2022-06-11 00:00:00+00:00
1654992000000,0.07614,0.07864,0.0741,0.0763,5021501.3,2022-06-12 00:00:00+00:00
1655078400000,0.07607,0.07668,0.05851,0.06394,16796170.5,2022-06-13 00:00:00+00:00
1655164800000,0.0638,0.06488,0.05219,0.05553,11563835.9,2022-06-14 00:00:00+00:00
1655251200000,0.05552,0.06398,0.04699,0.06296,24551220.9,2022-06-15 00:00:00+00:00
1655337600000,0.06335,0.06568,0.0584,0.05884,2542782.2,2022-06-16 00:00:00+00:00
1655424000000,0.05903,0.06312,0.05892,0.06017,2151082.9,2022-06-17 00:00:00+00:00
1655510400000,0.05985,0.06371,0.05714,0.06087,7059443.9,2022-06-18 00:00:00+00:00
1655596800000,0.06078,0.06286,0.05854,0.0613,5872741.9,2022-06-19 00:00:00+00:00
1655683200000,0.06106,0.0621,0.05949,0.06141,1363360.3,2022-06-20 00:00:00+00:00
