ts,open,high,low,close,volume,dt
1609459200000,6.1877,6.3494,5.818,5.9756,13276.12100889,2021-01-01 00:00:00+00:00
1609545600000,5.9753,5.9778,5.459,5.5922,16842.56743789,2021-01-02 00:00:00+00:00
1609632000000,5.5895,6.0348,5.078,5.568,24061.65818746,2021-01-03 00:00:00+00:00
1609718400000,5.568,6.1453,5.003,5.3867,23122.14160788,2021-01-04 00:00:00+00:00
1609804800000,5.4073,5.792,5.168,5.5644,12429.9783888,2021-01-05 00:00:00+00:00
1609891200000,5.6092,6.119,5.3557,5.873,18573.06317634,2021-01-06 00:00:00+00:00
1609977600000,5.802,6.515,5.742,5.757,9339.15601368,2021-01-07 00:00:00+00:00
1610064000000,5.908,5.9219,5.1965,5.6066,10918.16896268,2021-01-08 00:00:00+00:00
1610150400000,5.6076,6.238,5.411,6.152,12770.95921726,2021-01-09 00:00:00+00:00
1610236800000,6.2088,6.967,5.913,6.5128,19035.06906609,2021-01-10 00:00:00+00:00
1610323200000,6.5292,6.5292,5.036,5.6216,15161.11630253,2021-01-11 00:00:00+00:00
1610409600000,5.6051,6.592,5.416,6.0174,17659.45611918,2021-01-12 00:00:00+00:00
1610496000000,6.012,6.4844,5.8097,6.3666,9469.8004597,2021-01-13 00:00:00+00:00
1610582400000,6.4042,6.87,6.0178,6.4095,12351.61934522,2021-01-14 00:00:00+00:00
1610668800000,6.444,6.865,5.873,6.3742,19009.0396452,2021-01-15 00:00:00+00:00
1610755200000,6.3943,6.93,6.26,6.649,5226.77246127,2021-01-16 00:00:00+00:00
1610841600000,6.5427,8.137,6.3,7.3659,18702.98375256,2021-01-17 00:00:00+00:00
1610928000000,7.393,8.265,7.327,7.8279,10797.89126523,2021-01-18 00:00:00+00:00
1611014400000,7.8385,7.883,7.067,7.197,8741.74361321,2021-01-19 00:00:00+00:00
1611100800000,7.064,7.2651,6.501,7.2195,8771.01155086,2021-01-20 00:00:00+00:00
1611187200000,7.1976,7.1976,5.921,6.05,4179.81222227,2021-01-21 00:00:00+00:00
1611273600000,5.9826,6.623,5.524,6.419,5565.10157937,2021-01-22 00:00:00+00:00
1611360000000,6.375,6.863,6.336,6.588,4679.41808597,2021-01-23 00:00:00+00:00
1611446400000,6.586,7.421,6.525,6.996,8420.81243867,2021-01-24 00:00:00+00:00
1611532800000,6.989,7.311,6.673,6.697,8941.68344698,2021-01-25 00:00:00+00:00
1611619200000,6.635,6.904,6.443,6.822,4996.74710432,2021-01-26 00:00:00+00:00
1611705600000,6.813,6.827,5.961,6.014,3498.63675006,2021-01-27 00:00:00+00:00
1611792000000,6.01,6.513,5.964,6.27,7244.71946948,2021-01-28 00:00:00+00:00
1611878400000,6.258,6.772,6.147,6.501,6199.00400583,2021-01-29 00:00:00+00:00
1611964800000,6.503,6.934,6.247,6.72,6360.01876689,2021-01-30 00:00:00+00:00
1612051200000,6.73,6.979,6.462,6.545,10217.91906937,2021-01-31 00:00:00+00:00
1612137600000,6.545,7.207,6.399,6.993,11140.13517936,2021-02-01 00:00:00+00:00
1612224000000,7.02,7.108,6.817,6.926,9067.45087135,2021-02-02 00:00:00+00:00
1612310400000,6.918,7.488,6.87,7.281,12690.20373989,2021-02-03 00:00:00+00:00
1612396800000,7.305,7.752,6.755,7.224,13314.02342858,2021-02-04 00:00:00+00:00
1612483200000,7.222,8.94,7.193,8.897,20568.64977959,2021-02-05 00:00:00+00:00
1612569600000,8.872,8.888,7.606,8.18,13037.58637646,2021-02-06 00:00:00+00:00
1612656000000,8.18,8.383,7.606,8.055,11236.42625168,2021-02-07 00:00:00+00:00
1612742400000,8.049,8.505,7.809,8.401,11387.00691561,2021-02-08 00:00:00+00:00
1612828800000,8.449,11.254,8.301,9.815,23681.60403035,2021-02-09 00:00:00+00:00
1612915200000,9.709,10.607,9.087,9.673,21868.56178069,2021-02-10 00:00:00+00:00
1613001600000,9.662,11.143,9.468,10.474,10056.69552724,2021-02-11 00:00:00+00:00
1613088000000,10.495,11.237,9.97,10.833,12014.7846986,2021-02-12 00:00:00+00:00
1613174400000,10.85,11.7,10.433,11.219,11077.06498037,2021-02-13 00:00:00+00:00
1613260800000,11.219,13.361,10.584,12.027,22299.22145704,2021-02-14 00:00:00+00:00
1613347200000,12.027,12.432,9.736,10.921,18039.74968218,2021-02-15 00:00:00+00:00
1613433600000,10.933,11.515,10.359,11.091,9567.851597,2021-02-16 00:00:00+00:00
1613520000000,11.071,11.6,10.032,11.493,16996.53306394,2021-02-17 00:00:00+00:00
1613606400000,11.466,14.06,11.391,12.431,16920.25248564,2021-02-18 00:00:00+00:00
1613692800000,12.386,13.312,11.833,12.537,20727.06152153,2021-02-19 00:00:00+00:00
1613779200000,12.581,13.3,11.65,12.246,10701.92808226,2021-02-20 00:00:00+00:00
1613865600000,12.33,12.883,12.105,12.309,9648.97609404,2021-02-21 00:00:00+00:00
1613952000000,12.347,12.348,9.318,10.61,21284.8428062,2021-02-22 00:00:00+00:00
1614038400000,10.653,10.653,7.787,9.366,23437.14003711,2021-02-23 00:00:00+00:00
1614124800000,9.376,10.73,8.933,9.807,11509.82369963,2021-02-24 00:00:00+00:00
1614211200000,9.818,11.389,9.541,9.581,8440.25441901,2021-02-25 00:00:00+00:00
1614297600000,9.575,9.938,8.981,9.55,10724.15691682,2021-02-26 00:00:00+00:00
1614384000000,9.537,10.021,9.353,9.595,4734.88320411,2021-02-27 00:00:00+00:00
1614470400000,9.592,9.592,8.37,8.87,8353.54103722,2021-02-28 00:00:00+00:00
1614556800000,8.902,9.598,8.838,9.483,7215.75373409,2021-03-01 00:00:00+00:00
1614643200000,9.495,9.943,9.094,9.422,6315.82760318,2021-03-02 00:00:00+00:00
1614729600000,9.42,10.083,9.359,9.853,10211.37189967,2021-03-03 00:00:00+00:00
1614816000000,9.797,10.219,9.112,9.429,7121.10710348,2021-03-04 00:00:00+00:00
1614902400000,9.422,10.535,8.962,9.923,6626.16897271,2021-03-05 00:00:00+00:00
1614988800000,9.918,10.341,9.666,9.994,4681.6112701,2021-03-06 00:00:00+00:00
1615075200000,9.998,10.274,9.808,10.118,12561.68151078,2021-03-07 00:00:00+00:00
1615161600000,10.138,10.215,9.702,10.07,5392.97693956,2021-03-08 00:00:00+00:00
1615248000000,10.078,10.752,9.954,10.706,8914.17714633,2021-03-09 00:00:00+00:00
1615334400000,10.742,10.842,10.023,10.251,12627.65871276,2021-03-10 00:00:00+00:00
1615420800000,10.244,10.288,9.758,9.999,6538.07370319,2021-03-11 00:00:00+00:00
1615507200000,10.04,10.16,9.539,9.857,7670.55299112,2021-03-12 00:00:00+00:00
1615593600000,9.866,10.244,9.478,10.161,6726.5680679,2021-03-13 00:00:00+00:00
1615680000000,10.155,10.2,9.735,9.735,10873.24116296,2021-03-14 00:00:00+00:00
1615766400000,9.801,10.3,9.281,9.596,22056.17386189,2021-03-15 00:00:00+00:00
1615852800000,9.607,10.028,9.233,9.81,11541.51060339,2021-03-16 00:00:00+00:00
1615939200000,9.807,10.198,9.671,10.091,10545.24896744,2021-03-17 00:00:00+00:00
1616025600000,10.131,10.692,10.059,10.25,10286.76592248,2021-03-18 00:00:00+00:00
1616112000000,10.255,10.58,10.051,10.2,8793.38036402,2021-03-19 00:00:00+00:00
1616198400000,10.212,10.671,10.096,10.103,8059.25668433,2021-03-20 00:00:00+00:00
1616284800000,10.14,10.225,9.606,9.926,6783.43177696,2021-03-21 00:00:00+00:00
1616371200000,9.921,10.938,9.78,9.818,11433.96832944,2021-03-22 00:00:00+00:00
1616457600000,9.786,12.618,9.723,11.227,20582.2153983,2021-03-23 00:00:00+00:00
1616544000000,11.205,13.5,10.719,10.86,22549.56146939,2021-03-24 00:00:00+00:00
1616630400000,10.809,11.572,10.243,10.407,14041.15429781,2021-03-25 00:00:00+00:00
1616716800000,10.647,13.174,10.622,12.269,15313.59115128,2021-03-26 00:00:00+00:00
1616803200000,12.269,12.506,11.51,11.867,8101.47355512,2021-03-27 00:00:00+00:00
1616889600000,11.865,12.218,11.489,11.793,8135.07705441,2021-03-28 00:00:00+00:00
