ts,open,high,low,close,volume,dt
1687824000000,0.803,0.809,0.603,0.808,616.8,2023-06-27 00:00:00+00:00
1687910400000,0.768,0.802,0.645,0.757,1743.6,2023-06-28 00:00:00+00:00
1687996800000,0.766,0.775,0.681,0.761,7295.4,2023-06-29 00:00:00+00:00
1688083200000,0.761,0.84,0.68,0.807,9091.9,2023-06-30 00:00:00+00:00
1688169600000,0.815,0.899,0.739,0.803,4785.7,2023-07-01 00:00:00+00:00
1688256000000,0.807,0.833,0.711,0.832,1857.1,2023-07-02 00:00:00+00:00
1688342400000,0.814,0.85,0.799,0.837,2459.7,2023-07-03 00:00:00+00:00
1688428800000,0.81,0.849,0.801,0.834,4415.1,2023-07-04 00:00:00+00:00
1688515200000,0.834,0.834,0.761,0.804,918.3,2023-07-05 00:00:00+00:00
1688601600000,0.804,0.833,0.765,0.794,3145.9,2023-07-06 00:00:00+00:00
1688688000000,0.789,0.794,0.768,0.777,2442.8,2023-07-07 00:00:00+00:00
1688774400000,0.777,0.806,0.768,0.806,2073.9,2023-07-08 00:00:00+00:00
1688860800000,0.778,0.851,0.776,0.822,5987.4,2023-07-09 00:00:00+00:00
1688947200000,0.769,0.838,0.769,0.769,5386.8,2023-07-10 00:00:00+00:00
1689033600000,0.802,0.83,0.769,0.816,13209.5,2023-07-11 00:00:00+00:00
1689120000000,0.825,0.841,0.787,0.829,5692.2,2023-07-12 00:00:00+00:00
1689206400000,0.796,0.92,0.79,0.915,8822.9,2023-07-13 00:00:00+00:00
1689292800000,0.875,0.907,0.793,0.875,4199.5,2023-07-14 00:00:00+00:00
1689379200000,0.874,0.898,0.81,0.811,2725.7,2023-07-15 00:00:00+00:00
1689465600000,0.818,0.872,0.818,0.86,640.1,2023-07-16 00:00:00+00:00
1689552000000,0.865,0.893,0.832,0.855,4340.6,2023-07-17 00:00:00+00:00
1689638400000,0.845,0.865,0.81,0.83,1778.3,2023-07-18 00:00:00+00:00
1689724800000,0.83,0.848,0.82,0.846,3812.8,2023-07-19 00:00:00+00:00
1689811200000,0.84,0.919,0.835,0.85,3136.5,2023-07-20 00:00:00+00:00
1689897600000,0.861,0.919,0.828,0.845,3377.5,2023-07-21 00:00:00+00:00
1689984000000,0.843,0.882,0.835,0.877,1262.7,2023-07-22 00:00:00+00:00
1690070400000,0.83,0.88,0.83,0.88,1139.0,2023-07-23 00:00:00+00:00
1690156800000,0.88,0.887,0.8,0.832,4586.0,2023-07-24 00:00:00+00:00
1690243200000,0.807,0.807,0.796,0.8,224.5,2023-07-25 00:00:00+00:00
1690329600000,0.8,0.83,0.8,0.828,183.0,2023-07-26 00:00:00+00:00
1690416000000,0.809,0.82,0.796,0.796,604.2,2023-07-27 00:00:00+00:00
1690502400000,0.799,0.828,0.799,0.828,14456.7,2023-07-28 00:00:00+00:00
1690588800000,0.828,0.847,0.828,0.83,1819.9,2023-07-29 00:00:00+00:00
1690675200000,0.832,0.861,0.821,0.83,1986.8,2023-07-30 00:00:00+00:00
1690761600000,0.853,0.863,0.821,0.832,622.3,2023-07-31 00:00:00+00:00
1690848000000,0.83,0.84,0.795,0.84,4336.3,2023-08-01 00:00:00+00:00
1690934400000,0.84,0.855,0.814,0.844,16284.8,2023-08-02 00:00:00+00:00
1691020800000,0.844,0.844,0.81,0.81,487.7,2023-08-03 00:00:00+00:00
1691107200000,0.81,0.832,0.797,0.8,757.0,2023-08-04 00:00:00+00:00
1691193600000,0.797,0.81,0.792,0.81,1779.2,2023-08-05 00:00:00+00:00
1691280000000,0.81,0.965,0.76,0.802,19730.6,2023-08-06 00:00:00+00:00
1691366400000,0.803,0.822,0.769,0.818,2784.4,2023-08-07 00:00:00+00:00
1691452800000,0.816,0.816,0.774,0.808,246.3,2023-08-08 00:00:00+00:00
1691539200000,0.77,0.815,0.76,0.78,2666.9,2023-08-09 00:00:00+00:00
1691625600000,0.796,0.799,0.778,0.778,657.2,2023-08-10 00:00:00+00:00
1691712000000,0.778,0.796,0.778,0.796,732.3,2023-08-11 00:00:00+00:00
1691798400000,0.796,0.804,0.778,0.798,3044.8,2023-08-12 00:00:00+00:00
1691884800000,0.795,0.804,0.783,0.783,2451.0,2023-08-13 00:00:00+00:00
1691971200000,0.802,0.806,0.782,0.782,2759.2,2023-08-14 00:00:00+00:00
1692057600000,0.804,0.805,0.735,0.769,3163.1,2023-08-15 00:00:00+00:00
1692144000000,0.769,0.769,0.722,0.722,7424.5,2023-08-16 00:00:00+00:00
1692230400000,0.723,0.74,0.601,0.676,11991.9,2023-08-17 00:00:00+00:00
