ts,open,high,low,close,volume,dt
1609459200000,0.3522,0.3739,0.35,0.3738,151780.48,2021-01-01 00:00:00+00:00
1609545600000,0.3712,0.3966,0.3572,0.3613,428871.73,2021-01-02 00:00:00+00:00
1609632000000,0.3594,0.3954,0.3578,0.3907,324690.29,2021-01-03 00:00:00+00:00
1609718400000,0.3925,0.428,0.365,0.3923,301340.83,2021-01-04 00:00:00+00:00
1609804800000,0.3938,0.4543,0.3827,0.445,440832.66,2021-01-05 00:00:00+00:00
1609891200000,0.4457,0.496,0.4321,0.461,827940.76,2021-01-06 00:00:00+00:00
1609977600000,0.4631,0.4891,0.4354,0.438,388792.35,2021-01-07 00:00:00+00:00
1610064000000,0.438,0.4599,0.4026,0.4335,291335.67,2021-01-08 00:00:00+00:00
1610150400000,0.4334,0.6166,0.427,0.5396,1489767.9,2021-01-09 00:00:00+00:00
1610236800000,0.5416,0.5838,0.459,0.5286,993960.82,2021-01-10 00:00:00+00:00
1610323200000,0.5283,0.53,0.3835,0.4372,1024548.24,2021-01-11 00:00:00+00:00
1610409600000,0.4365,0.4588,0.4128,0.4238,389948.63,2021-01-12 00:00:00+00:00
1610496000000,0.4286,0.54,0.4286,0.5058,964684.99,2021-01-13 00:00:00+00:00
1610582400000,0.5024,0.5211,0.4806,0.504,653306.52,2021-01-14 00:00:00+00:00
1610668800000,0.5003,0.5574,0.4631,0.5164,906478.01,2021-01-15 00:00:00+00:00
1610755200000,0.5175,0.5637,0.5016,0.5285,550375.57,2021-01-16 00:00:00+00:00
1610841600000,0.5248,0.6299,0.5164,0.5943,380623.04,2021-01-17 00:00:00+00:00
1610928000000,0.5982,0.6274,0.5703,0.5842,665132.0,2021-01-18 00:00:00+00:00
1611014400000,0.5858,0.5991,0.5405,0.5412,499178.45,2021-01-19 00:00:00+00:00
1611100800000,0.5397,0.5605,0.4992,0.5567,747495.13,2021-01-20 00:00:00+00:00
1611187200000,0.5592,0.5612,0.4578,0.4643,845267.91,2021-01-21 00:00:00+00:00
1611273600000,0.4647,0.5356,0.437,0.508,479826.73,2021-01-22 00:00:00+00:00
1611360000000,0.5077,0.5785,0.4969,0.5628,260685.65,2021-01-23 00:00:00+00:00
1611446400000,0.5592,0.5762,0.5235,0.5484,443437.25,2021-01-24 00:00:00+00:00
1611532800000,0.5505,0.5622,0.5145,0.5209,299624.76,2021-01-25 00:00:00+00:00
1611619200000,0.5202,0.5516,0.4987,0.5441,213332.85,2021-01-26 00:00:00+00:00
1611705600000,0.5429,0.6107,0.5107,0.5838,1180130.96,2021-01-27 00:00:00+00:00
1611792000000,0.5816,0.677,0.5776,0.608,1086027.26,2021-01-28 00:00:00+00:00
1611878400000,0.6142,0.6224,0.5755,0.6029,601564.9,2021-01-29 00:00:00+00:00
1611964800000,0.5997,0.6575,0.5773,0.6542,467880.16,2021-01-30 00:00:00+00:00
1612051200000,0.6524,0.7954,0.6287,0.7063,1276869.09,2021-01-31 00:00:00+00:00
1612137600000,0.7071,0.7071,0.6437,0.6848,469886.08,2021-02-01 00:00:00+00:00
1612224000000,0.6882,0.6925,0.66,0.6838,172839.56,2021-02-02 00:00:00+00:00
1612310400000,0.6871,0.7694,0.6724,0.7672,425549.22,2021-02-03 00:00:00+00:00
1612396800000,0.7687,1.1802,0.7205,1.034,3419069.59,2021-02-04 00:00:00+00:00
1612483200000,1.0337,2.0,1.0019,1.5932,6306630.37,2021-02-05 00:00:00+00:00
1612569600000,1.5993,1.6723,1.3449,1.4396,2373648.94,2021-02-06 00:00:00+00:00
1612656000000,1.4546,1.4959,1.26,1.4086,1224794.03,2021-02-07 00:00:00+00:00
1612742400000,1.4094,1.6649,1.4077,1.4701,1343692.74,2021-02-08 00:00:00+00:00
1612828800000,1.4655,1.5819,1.4279,1.5151,627145.77,2021-02-09 00:00:00+00:00
1612915200000,1.5166,1.6381,1.3793,1.5042,845167.03,2021-02-10 00:00:00+00:00
1613001600000,1.5031,1.8305,1.4599,1.7646,807679.52,2021-02-11 00:00:00+00:00
1613088000000,1.768,2.0344,1.7128,1.8035,1640746.31,2021-02-12 00:00:00+00:00
1613174400000,1.8137,1.9274,1.6533,1.8846,636571.17,2021-02-13 00:00:00+00:00
1613260800000,1.8846,2.0087,1.6846,1.7987,784124.8,2021-02-14 00:00:00+00:00
1613347200000,1.7976,1.8131,1.4234,1.6191,773259.49,2021-02-15 00:00:00+00:00
1613433600000,1.6181,1.7025,1.5076,1.5879,189396.62,2021-02-16 00:00:00+00:00
1613520000000,1.5879,1.6,1.425,1.5632,295034.83,2021-02-17 00:00:00+00:00
1613606400000,1.5734,1.6345,1.5154,1.6111,383210.68,2021-02-18 00:00:00+00:00
1613692800000,1.621,1.6358,1.5105,1.5539,163861.15,2021-02-19 00:00:00+00:00
1613779200000,1.561,1.6957,1.47,1.5354,477044.53,2021-02-20 00:00:00+00:00
1613865600000,1.52,1.7752,1.4956,1.7233,317529.37,2021-02-21 00:00:00+00:00
1613952000000,1.7299,1.9499,1.3236,1.5613,1714365.93,2021-02-22 00:00:00+00:00
1614038400000,1.5621,1.89,1.1997,1.5874,2569373.84,2021-02-23 00:00:00+00:00
1614124800000,1.579,1.6616,1.4267,1.5143,604492.24,2021-02-24 00:00:00+00:00
1614211200000,1.5155,1.5819,1.3837,1.3928,273796.69,2021-02-25 00:00:00+00:00
1614297600000,1.3908,1.4099,1.2461,1.3136,501771.48,2021-02-26 00:00:00+00:00
1614384000000,1.3201,1.4144,1.2926,1.3346,282082.82,2021-02-27 00:00:00+00:00
1614470400000,1.3334,1.3423,1.1242,1.2041,407850.88,2021-02-28 00:00:00+00:00
1614556800000,1.2104,1.375,1.2026,1.3584,202165.59,2021-03-01 00:00:00+00:00
1614643200000,1.3548,1.4273,1.2841,1.3594,401831.11,2021-03-02 00:00:00+00:00
1614729600000,1.3546,1.5294,1.3363,1.4683,233665.49,2021-03-03 00:00:00+00:00
1614816000000,1.4536,1.4941,1.3539,1.3792,233351.1,2021-03-04 00:00:00+00:00
