ts,open,high,low,close,volume
1609459200000,0.18107,0.18107,0.17841,0.18059,177745.5
1609462800000,0.18032,0.18463,0.18019,0.18349,319864.0
1609466400000,0.18377,0.18456,0.18249,0.18372,160601.1
1609470000000,0.18404,0.18452,0.18276,0.18309,83566.4
1609473600000,0.18322,0.18354,0.18112,0.18175,176103.5
1609477200000,0.18197,0.18334,0.18197,0.183,54664.0
1609480800000,0.18277,0.18277,0.17934,0.181,223502.5
1609484400000,0.18084,0.18093,0.17817,0.17968,273035.7
1609488000000,0.17934,0.17949,0.17681,0.17804,235090.6
1609491600000,0.17763,0.1794,0.17692,0.17897,265894.5
1609495200000,0.17886,0.18034,0.17857,0.17974,89063.6
1609498800000,0.18013,0.1807,0.17911,0.17967,76273.9
1609502400000,0.17932,0.18222,0.17914,0.17991,154739.4
1609506000000,0.18033,0.18127,0.18033,0.18108,62210.1
1609509600000,0.18076,0.18363,0.18074,0.18331,576480.0
1609513200000,0.18316,0.18316,0.17924,0.18063,324836.5
1609516800000,0.18084,0.18118,0.17933,0.17998,160632.4
1609520400000,0.17998,0.18007,0.17653,0.17804,224934.0
1609524000000,0.17775,0.17889,0.16906,0.17461,995849.5
1609527600000,0.17461,0.17571,0.17023,0.17446,710631.8
1609531200000,0.17423,0.17564,0.1734,0.17501,170325.6
1609534800000,0.17512,0.1755,0.17446,0.1753,157414.4
1609538400000,0.175,0.17631,0.17469,0.17576,56882.3
1609542000000,0.17531,0.1755,0.17468,0.17488,57486.6
1609545600000,0.17511,0.1756,0.17049,0.17155,295572.5
1609549200000,0.17148,0.17411,0.17026,0.17333,324269.6
1609552800000,0.17374,0.1747,0.17317,0.17417,81749.4
1609556400000,0.17429,0.17622,0.17429,0.17508,165784.2
1609560000000,0.175,0.175,0.17319,0.174,112177.0
1609563600000,0.17455,0.17522,0.17393,0.17493,172099.3
1609567200000,0.17509,0.17509,0.1734,0.17399,101281.0
1609570800000,0.17402,0.17457,0.17231,0.17241,101572.1
1609574400000,0.17269,0.17285,0.17113,0.17149,158002.9
1609578000000,0.17183,0.17191,0.17046,0.17072,68012.4
1609581600000,0.17056,0.1723,0.16816,0.17106,515452.3
1609585200000,0.17163,0.17219,0.17104,0.17197,297723.7
1609588800000,0.17219,0.17957,0.17035,0.17957,502522.8
1609592400000,0.17975,0.18272,0.17683,0.17977,914574.2
1609596000000,0.18013,0.18084,0.17704,0.17909,595339.2
1609599600000,0.17918,0.17958,0.1775,0.179,279092.9
1609603200000,0.179,0.18355,0.17759,0.18319,563350.4
1609606800000,0.18323,0.18434,0.18065,0.18249,680069.9
1609610400000,0.18287,0.18396,0.18118,0.18307,209361.1
1609614000000,0.18307,0.18516,0.18179,0.18307,418999.7
1609617600000,0.1835,0.18376,0.17533,0.17561,376658.8
1609621200000,0.17533,0.17807,0.17263,0.17714,320218.6
1609624800000,0.17699,0.17919,0.1763,0.17813,289929.3
1609628400000,0.1775,0.1788,0.17621,0.17726,161619.6
1609632000000,0.17783,0.17907,0.17629,0.17667,240626.3
1609635600000,0.17635,0.17684,0.17412,0.17534,391279.5
1609639200000,0.17551,0.1756,0.1744,0.17491,147074.9
1609642800000,0.17478,0.17551,0.17398,0.17448,192569.4
1609646400000,0.17444,0.17628,0.17366,0.17628,101235.1
1609650000000,0.17562,0.17693,0.17428,0.17428,186108.4
1609653600000,0.17515,0.17709,0.17474,0.17666,141310.1
1609657200000,0.17613,0.17618,0.17462,0.17463,99561.7
1609660800000,0.17421,0.17758,0.17275,0.17664,252128.4
1609664400000,0.17682,0.182,0.17682,0.17894,696264.8
1609668000000,0.17953,0.18696,0.17948,0.18612,979352.2
1609671600000,0.1865,0.19422,0.1865,0.18891,1186649.0
1609675200000,0.18891,0.19451,0.18821,0.19304,1103846.7
1609678800000,0.19382,0.20359,0.19177,0.19735,987271.9
1609682400000,0.19805,0.20241,0.19326,0.19735,1069263.5
1609686000000,0.19726,0.19858,0.18893,0.19551,988669.1
1609689600000,0.19686,0.20215,0.19266,0.19298,1167868.8
1609693200000,0.19358,0.19682,0.19239,0.19495,695917.6
1609696800000,0.19582,0.19603,0.19067,0.19364,409907.3
1609700400000,0.19302,0.19601,0.19146,0.1948,266370.9
1609704000000,0.19493,0.19891,0.19493,0.19825,590936.8
1609707600000,0.19836,0.20157,0.19675,0.19993,757001.0
1609711200000,0.19949,0.20218,0.19735,0.20154,728218.7
1609714800000,0.20121,0.20955,0.20081,0.20624,1352092.8
1609718400000,0.20644,0.22047,0.20644,0.21518,2047263.7
1609722000000,0.21491,0.21762,0.21213,0.21593,559237.1
1609725600000,0.21539,0.2165,0.21169,0.21587,504053.2
