ts,open,high,low,close,volume
1609459200000,6.458,6.458,6.231,6.38,4827.422
1609462800000,6.429,6.5,6.295,6.311,2481.744
1609466400000,6.295,6.373,6.29,6.373,1152.442
1609470000000,6.366,6.429,6.189,6.191,4425.016
1609473600000,6.177,6.177,6.061,6.109,1539.244
1609477200000,6.107,6.122,6.068,6.068,2137.978
1609480800000,6.06,6.069,5.903,5.966,3936.372
1609484400000,5.964,6.056,5.86,6.024,13716.91
1609488000000,6.049,6.081,5.864,5.905,4432.191
1609491600000,5.899,6.02,5.899,6.02,1569.72
1609495200000,6.0,6.007,5.973,5.982,333.541
1609498800000,5.994,6.078,5.994,6.015,1112.804
1609502400000,6.01,6.088,5.959,5.959,1407.722
1609506000000,5.943,6.065,5.935,5.999,1196.342
1609509600000,6.04,6.053,5.987,5.997,1340.144
1609513200000,5.988,6.007,5.881,5.915,2852.212
1609516800000,5.9,5.924,5.818,5.837,4163.661
1609520400000,5.858,5.859,5.64,5.771,5905.518
1609524000000,5.732,5.802,5.732,5.767,554.981
1609527600000,5.744,5.813,5.733,5.803,2561.356
1609531200000,5.797,5.824,5.789,5.824,940.08
1609534800000,5.815,5.833,5.805,5.805,1207.761
1609538400000,5.799,5.912,5.787,5.902,3666.119
1609542000000,5.865,5.876,5.857,5.865,454.077
1609545600000,5.861,5.861,5.627,5.627,852.655
1609549200000,5.61,5.705,5.574,5.694,2436.565
1609552800000,5.694,5.731,5.683,5.695,875.462
1609556400000,5.695,5.766,5.695,5.741,930.982
1609560000000,5.729,5.729,5.631,5.684,654.977
1609563600000,5.676,5.739,5.676,5.699,2570.072
1609567200000,5.693,5.697,5.586,5.621,1018.282
1609570800000,5.622,5.637,5.583,5.602,603.078
1609574400000,5.602,5.602,5.52,5.52,648.19
1609578000000,5.531,5.548,5.482,5.483,1228.923
1609581600000,5.481,5.545,5.448,5.486,2168.877
1609585200000,5.493,5.553,5.395,5.467,9054.63
1609588800000,5.468,5.504,5.27,5.485,16051.065
1609592400000,5.485,5.629,5.454,5.58,6221.098
1609596000000,5.575,5.575,5.482,5.532,2657.27
1609599600000,5.53,5.625,5.522,5.604,3578.761
1609603200000,5.613,5.623,5.44,5.582,2920.259
1609606800000,5.588,5.651,5.507,5.527,2797.77
1609610400000,5.546,5.653,5.546,5.579,777.708
1609614000000,5.572,5.68,5.57,5.636,3260.174
1609617600000,5.636,5.636,5.318,5.337,3918.177
1609621200000,5.306,5.423,5.266,5.423,1535.296
1609624800000,5.396,5.43,5.396,5.427,38.772
1609628400000,5.39,5.491,5.385,5.404,1605.94
1609632000000,5.401,5.401,5.287,5.287,418.776
1609635600000,5.348,5.428,5.332,5.373,1122.133
1609639200000,5.422,5.557,5.422,5.499,2819.564
1609642800000,5.51,5.51,5.433,5.449,1024.018
1609646400000,5.442,5.458,5.387,5.387,1111.928
1609650000000,5.394,5.422,5.394,5.417,487.078
1609653600000,5.418,5.445,5.413,5.435,292.145
1609657200000,5.443,5.443,5.36,5.36,296.668
1609660800000,5.352,5.364,5.331,5.364,65.5
1609664400000,5.424,5.457,5.372,5.372,397.297
1609668000000,5.373,5.424,5.36,5.419,70.082
1609671600000,5.454,5.698,5.454,5.648,1645.37
1609675200000,5.632,5.633,5.554,5.615,1171.023
1609678800000,5.62,5.816,5.59,5.623,3288.553
1609682400000,5.629,5.754,5.568,5.665,3693.162
1609686000000,5.682,5.683,5.527,5.596,1689.352
1609689600000,5.605,5.763,5.605,5.647,2057.916
1609693200000,5.61,5.716,5.608,5.692,1753.02
1609696800000,5.698,5.702,5.585,5.601,1961.06
1609700400000,5.611,5.625,5.548,5.615,1634.512
1609704000000,5.623,5.693,5.623,5.685,609.92
1609707600000,5.691,5.744,5.665,5.735,2697.38
1609711200000,5.714,5.872,5.647,5.834,2007.959
1609714800000,5.841,5.898,5.805,5.826,4745.511
1609718400000,5.862,6.0,5.861,5.998,4173.1
1609722000000,5.999,6.162,5.97,6.003,4732.963
1609725600000,5.989,6.109,5.933,6.022,8884.593
1609729200000,6.025,6.174,6.0,6.09,8129.804
1609732800000,6.092,6.111,6.008,6.074,3000.388
1609736400000,6.078,6.193,6.009,6.173,953.448
1609740000000,6.174,6.267,6.021,6.021,2939.972
