ts,open,high,low,close,volume
1637240400000,102.59,104.54,100.48,101.7,3999.91
1637244000000,101.64,101.64,99.7,99.77,435.84
1637247600000,99.78,100.97,96.76,96.76,2673.02
1637251200000,97.5,97.66,94.26,94.72,585.41
1637254800000,94.14,100.89,92.2,100.0,1614.15
1637258400000,100.19,103.98,100.01,101.47,1682.89
1637262000000,101.48,103.84,100.14,101.96,294.9
1637265600000,101.96,104.15,98.74,103.29,535.63
1637269200000,103.45,105.0,101.0,101.01,910.85
1637272800000,101.21,105.0,97.03,97.22,996.1
1637276400000,97.8,101.48,96.81,101.48,422.85
1637280000000,101.48,102.77,98.39,101.27,737.38
1637283600000,101.1,101.34,98.59,98.59,313.35
1637287200000,99.28,101.06,96.59,97.33,168.18
1637290800000,97.19,98.59,96.07,97.33,238.89
1637294400000,97.33,100.26,97.33,100.26,184.22
1637298000000,100.32,101.77,99.22,101.77,90.63
1637301600000,101.77,113.49,100.89,102.28,1133.45
1637305200000,102.15,102.99,101.57,102.32,265.62
1637308800000,102.78,105.74,102.6,105.26,743.25
1637312400000,105.72,107.67,105.56,107.67,461.94
1637316000000,107.68,107.71,106.06,106.4,629.22
1637319600000,106.94,107.6,105.06,107.53,380.67
1637323200000,107.61,109.66,107.49,108.1,978.64
1637326800000,108.19,110.11,107.59,109.77,1578.17
1637330400000,109.87,111.64,109.03,110.69,1116.52
1637334000000,110.56,110.56,108.87,108.87,527.08
1637337600000,108.73,109.97,108.25,109.9,446.75
1637341200000,109.97,110.34,106.8,106.98,857.07
1637344800000,106.82,110.01,106.82,108.87,1121.85
1637348400000,109.33,110.49,108.8,109.35,341.27
1637352000000,108.9,109.61,108.5,108.53,377.46
1637355600000,108.33,108.5,106.78,108.25,863.51
1637359200000,108.47,109.83,108.33,109.36,201.75
1637362800000,109.03,112.24,109.03,112.24,716.82
1637366400000,112.05,115.81,111.56,115.31,1367.34
1637370000000,115.77,117.82,114.84,116.92,1072.21
1637373600000,116.92,119.89,116.19,118.28,931.89
1637377200000,118.38,119.36,116.65,117.52,1270.89
1637380800000,117.71,118.24,116.09,118.22,668.02
1637384400000,118.14,119.73,117.54,119.57,1384.8
1637388000000,119.63,121.4,117.15,117.68,1773.32
1637391600000,117.26,119.26,117.15,119.11,121.62
1637395200000,119.51,119.85,118.32,118.55,349.86
1637398800000,118.23,118.67,117.73,118.43,116.07
1637402400000,118.45,118.65,116.65,117.09,234.98
1637406000000,116.99,117.5,114.52,116.59,970.59
1637409600000,117.25,118.68,116.56,117.89,990.11
1637413200000,117.97,118.29,116.69,116.91,421.24
1637416800000,117.5,122.07,117.48,121.03,1538.52
1637420400000,121.47,122.4,116.65,117.8,1484.12
1637424000000,117.43,123.99,117.43,123.99,2077.78
1637427600000,123.79,124.51,120.4,123.62,2373.08
1637431200000,123.61,127.81,122.24,126.8,2384.13
1637434800000,126.71,129.78,125.33,128.73,2506.52
1637438400000,129.39,130.8,126.66,127.76,5507.62
1637442000000,128.0,128.91,127.27,127.63,1259.3
1637445600000,128.01,129.16,126.77,127.15,1493.96
1637449200000,127.19,127.28,125.02,125.5,1330.85
1637452800000,125.98,126.59,123.57,126.47,1012.14
1637456400000,126.61,127.12,124.94,125.42,897.3
1637460000000,125.66,127.27,123.24,127.21,917.7
1637463600000,127.27,133.64,127.23,132.06,2735.52
1637467200000,131.92,134.68,130.46,133.87,2540.57
1637470800000,133.83,136.96,132.92,136.34,1139.64
1637474400000,136.56,138.13,135.18,137.39,1645.04
1637478000000,137.0,137.62,135.0,137.62,1188.66
1637481600000,137.53,138.02,135.04,135.9,956.92
1637485200000,135.54,136.41,134.38,134.45,464.75
1637488800000,134.7,135.6,133.4,134.68,596.08
1637492400000,134.72,138.88,134.72,137.8,2143.62
1637496000000,137.57,138.14,136.45,137.35,1142.31
1637499600000,137.47,144.81,137.47,142.35,3073.5
1637503200000,141.61,147.82,137.68,137.96,7559.92
1637506800000,137.78,138.16,133.55,133.55,2340.79
1637510400000,133.76,138.16,133.76,138.16,2516.15
1637514000000,138.24,139.9,125.84,129.8,5130.37
1637517600000,129.77,131.81,127.18,129.38,2467.19
1637521200000,129.62,135.28,129.4,131.39,3743.81
1637524800000,131.29,134.96,128.73,132.83,2255.91
1637528400000,132.75,135.51,132.31,132.31,1497.53
1637532000000,132.42,133.06,130.0,131.24,1100.74
1637535600000,131.64,133.6,128.14,128.51,3860.65
1637539200000,128.64,134.68,126.12,134.39,4505.51
1637542800000,134.71,136.7,130.0,132.43,2486.75
1637546400000,132.11,133.6,129.31,133.25,2543.45
1637550000000,133.07,137.39,132.4,135.83,2780.76
1637553600000,136.06,137.7,131.6,132.44,1613.52
1637557200000,131.78,165.0,129.53,134.66,5659.85
1637560800000,134.63,136.34,133.71,135.09,884.11
1637564400000,135.28,136.06,131.58,131.97,1078.54
1637568000000,132.28,135.35,132.28,134.83,502.54
1637571600000,135.28,137.56,133.53,133.53,926.73
1637575200000,134.13,136.99,133.42,136.28,446.01
1637578800000,136.53,136.53,134.06,134.76,418.19
