ts,open,high,low,close,volume
1609459200000,340.87,341.67,336.0,340.94,48.98001
1609462800000,342.55,349.12,342.55,347.55,140.32606
1609466400000,349.6,355.09,346.84,354.29,68.56547
1609470000000,353.74,353.95,351.12,351.45,77.57969
1609473600000,351.1,352.35,347.83,348.62,49.35651
1609477200000,348.14,349.01,348.14,348.61,7.39667
1609480800000,349.83,351.14,347.44,348.51,48.98268
1609484400000,347.13,347.41,344.82,345.87,39.06493
1609488000000,346.88,346.88,339.85,341.65,83.71702
1609491600000,343.4,343.96,342.78,343.82,10.1532
1609495200000,344.21,349.21,344.21,348.28,134.89178
1609498800000,348.54,350.08,347.43,347.99,16.35905
1609502400000,347.46,352.22,346.42,347.84,48.5423
1609506000000,347.19,349.46,347.19,348.36,25.0516
1609509600000,347.1,351.62,347.1,348.09,63.82844
1609513200000,347.3,347.91,343.78,345.54,26.91886
1609516800000,346.64,346.98,343.78,345.0,55.7952
1609520400000,343.34,343.61,340.65,341.34,20.58919
1609524000000,340.91,343.27,331.5,338.59,219.00889
1609527600000,338.08,338.13,335.96,337.82,55.09432
1609531200000,336.82,339.62,336.82,339.0,19.47169
1609534800000,339.0,340.47,337.91,339.02,70.7877
1609538400000,338.88,339.66,338.88,339.66,3.92766
1609542000000,339.66,343.34,338.98,341.28,23.95482
1609545600000,340.08,344.72,334.75,336.73,54.2568
1609549200000,336.6,339.79,333.37,339.59,52.40799
1609552800000,339.46,341.82,338.86,339.56,54.93132
1609556400000,338.96,339.49,338.96,339.49,9.2267
1609560000000,339.18,339.74,338.1,339.15,10.91346
1609563600000,340.38,342.36,340.38,342.36,8.55074
1609567200000,341.91,344.88,341.63,343.11,27.32622
1609570800000,344.22,345.13,342.35,343.17,35.26964
1609574400000,343.31,343.31,340.08,340.63,6.61783
1609578000000,340.72,341.11,338.48,338.48,27.01093
1609581600000,337.95,352.34,337.95,342.48,181.1226
1609585200000,343.18,343.35,340.62,342.94,54.55002
1609588800000,344.19,354.02,342.72,353.69,111.54635
1609592400000,354.08,356.01,350.75,353.42,72.24645
1609596000000,353.88,353.88,347.8,351.73,50.47573
1609599600000,352.97,355.62,351.28,352.94,115.55711
1609603200000,354.48,367.1,352.74,365.39,144.34695
1609606800000,364.61,366.26,359.32,359.42,103.69722
1609610400000,360.52,361.45,358.88,360.11,55.94311
1609614000000,361.42,363.1,361.42,361.62,3.38088
1609617600000,361.62,361.62,347.9,349.15,87.0247
1609621200000,347.44,354.11,345.77,351.92,49.48619
1609624800000,350.7,352.48,348.88,352.48,7.49228
1609628400000,352.48,353.84,351.36,353.76,42.46918
1609632000000,354.57,367.45,354.57,363.59,123.02485
1609635600000,363.28,364.1,360.92,362.05,25.58472
1609639200000,361.64,361.64,359.0,359.74,14.14407
1609642800000,359.06,359.45,355.83,355.83,32.59127
1609646400000,356.33,359.72,354.23,359.72,20.0398
1609650000000,361.02,364.99,358.99,359.21,65.80487
1609653600000,358.7,368.7,358.29,363.95,115.0448
1609657200000,362.62,367.42,361.52,363.12,35.5015
1609660800000,363.34,371.71,359.85,367.55,62.56929
1609664400000,370.89,389.69,370.89,389.69,435.12053
1609668000000,389.88,395.44,383.65,390.51,300.22671
1609671600000,390.03,396.17,386.84,389.6,130.1312
1609675200000,389.76,396.73,389.08,390.77,81.93292
1609678800000,393.61,407.78,391.72,397.03,219.5976
1609682400000,397.5,400.39,384.58,393.3,275.73596
1609686000000,394.33,399.48,383.07,397.84,171.25797
1609689600000,398.25,416.27,394.7,395.58,522.67693
1609693200000,396.36,407.59,395.18,402.65,183.86561
1609696800000,402.95,403.58,393.56,399.8,79.39345
1609700400000,400.02,400.41,392.67,396.19,47.95046
1609704000000,397.86,408.44,397.86,406.32,41.92737
1609707600000,405.62,410.58,403.94,406.81,14.53375
1609711200000,406.33,416.01,405.62,414.28,90.34059
1609714800000,414.0,433.62,410.78,422.97,140.2587
1609718400000,424.44,427.43,414.28,421.57,167.0206
1609722000000,420.36,425.33,408.09,420.28,90.89949
1609725600000,422.78,424.44,418.36,424.02,15.2627
1609729200000,424.7,434.17,422.58,433.3,57.53028
1609732800000,434.25,439.08,429.87,437.94,86.07617
1609736400000,436.55,443.44,430.34,440.35,111.72146
1609740000000,440.5,464.34,440.14,452.16,173.39032
1609743600000,452.54,452.82,419.48,428.02,342.88562
1609747200000,428.88,434.88,408.66,420.81,80.24452
1609750800000,420.84,424.54,386.05,406.66,240.48329
1609754400000,407.53,410.2,379.99,405.04,129.57376
1609758000000,399.96,404.44,391.47,403.98,91.18123
