ts,open,high,low,close,volume
1609459200000,37.3526,37.4145,37.0332,37.3576,201.44
1609462800000,37.4067,37.9048,37.3203,37.6264,945.13
1609466400000,37.6258,37.9554,37.601,37.9407,176.93
1609470000000,37.965,38.0825,37.7855,37.8867,507.8
1609473600000,37.9469,38.006,37.8907,37.8907,184.07
1609477200000,37.8907,37.8907,37.6771,37.6821,171.82
1609480800000,37.7555,37.8229,37.5298,37.6047,234.77
1609484400000,37.6116,37.6168,37.372,37.6168,218.29
1609488000000,37.5659,37.5659,37.3701,37.4798,80.37
1609491600000,37.4869,37.9287,37.4869,37.9287,387.89
1609495200000,37.9042,38.8113,37.8546,38.8105,1116.75
1609498800000,38.8714,38.9579,38.3928,38.3928,703.16
1609502400000,38.4185,38.8468,38.3226,38.3226,211.51
1609506000000,38.4258,38.5056,38.3191,38.3191,84.32
1609509600000,38.2548,38.3797,38.1019,38.1019,478.15
1609513200000,38.1159,38.3836,37.9397,38.1434,273.66
1609516800000,38.2943,38.2943,38.1014,38.183,133.61
1609520400000,38.1878,38.2474,37.5823,37.8527,935.1
1609524000000,37.7951,38.0963,37.0491,37.6371,1360.59
1609527600000,37.5606,37.5891,37.4059,37.4305,370.87
1609531200000,37.3693,37.4751,37.11,37.4196,455.48
1609534800000,37.3854,37.4335,37.2981,37.2981,311.16
1609538400000,37.2094,37.5824,37.2094,37.5335,131.0
1609542000000,37.5535,37.9304,37.5302,37.6696,414.46
1609545600000,37.6819,37.6819,36.7881,37.038,462.81
1609549200000,37.0381,37.2042,36.8359,37.2042,471.6
1609552800000,37.2953,37.3286,37.2631,37.2652,31.13
1609556400000,37.2045,37.5223,37.1784,37.5223,121.82
1609560000000,37.584,37.584,37.3924,37.3924,164.88
1609563600000,37.4221,37.6992,37.4019,37.6768,150.83
1609567200000,37.6428,37.6428,37.4468,37.4468,230.87
1609570800000,37.4855,37.732,37.4763,37.4763,647.15
1609574400000,37.236,37.236,37.1,37.1732,169.39
1609578000000,37.1571,37.1571,37.0,37.0513,29.45
1609581600000,37.0098,37.4739,37.0098,37.1829,176.21
1609585200000,37.2684,37.3217,37.2525,37.272,38.28
1609588800000,37.2178,37.88,36.9318,37.88,1932.55
1609592400000,37.88,38.244,37.6306,38.1502,1423.95
1609596000000,38.135,38.155,37.7077,37.9903,560.47
1609599600000,38.0191,38.1484,37.9562,37.9562,393.41
1609603200000,38.1063,38.2931,37.8836,38.2883,696.23
1609606800000,38.3174,38.8231,38.3049,38.4024,2400.02
1609610400000,38.3069,38.3869,38.1,38.207,291.16
1609614000000,38.0865,38.1141,37.9434,38.0,765.13
1609617600000,38.0,38.002,37.3775,37.4013,520.58
1609621200000,37.3454,37.9697,37.1845,37.9697,650.5
1609624800000,37.9124,38.1758,37.9124,38.1592,276.28
