ts,open,high,low,close,volume
1609459200000,28933.86,29034.02,28708.39,29012.3,13.66908
1609462800000,28999.37,29475.57,28961.27,29405.8,24.403112
1609466400000,29434.69,29465.08,29122.75,29187.35,16.717015
1609470000000,29213.39,29356.23,29149.88,29282.51,8.101748
1609473600000,29280.63,29405.54,29071.86,29215.39,6.42811
1609477200000,29231.31,29231.31,29089.72,29181.8,11.790111
1609480800000,29202.77,29266.94,29093.51,29157.45,6.227519
1609484400000,29171.44,29190.71,28837.46,29087.77,14.485248
1609488000000,29093.66,29184.92,28876.43,29003.72,6.948582
1609491600000,28978.42,29313.06,28978.42,29200.54,22.024613
1609495200000,29200.31,29346.18,29166.56,29217.92,24.946676
1609498800000,29227.83,29413.02,29216.73,29313.23,22.975535
1609502400000,29314.3,29611.51,29167.3,29232.47,31.337072
1609506000000,29246.3,29475.68,29246.3,29455.79,5.796969
1609509600000,29463.08,29537.01,29285.23,29326.46,8.879587
1609513200000,29320.56,29399.71,29033.26,29187.14,8.822662
1609516800000,29190.24,29355.67,29125.43,29300.85,3.242295
1609520400000,29260.83,29339.58,28947.15,29086.21,13.406324
1609524000000,29077.03,29259.37,28649.46,29067.46,29.063315
1609527600000,29069.59,29125.73,28949.17,29033.89,3.184911
1609531200000,29033.4,29271.14,28885.39,29231.91,9.529421
1609534800000,29214.05,29293.06,29152.37,29204.26,2.027505
1609538400000,29156.67,29323.66,29125.04,29262.08,2.737582
1609542000000,29268.43,29330.12,29229.17,29305.29,1.612093
1609545600000,29321.41,29331.57,28955.02,29196.37,10.199724
1609549200000,29196.75,29400.0,29111.15,29379.43,18.470133
1609552800000,29326.45,29473.25,29325.73,29335.88,11.937267
1609556400000,29325.62,29380.23,29266.3,29359.09,2.056828
1609560000000,29355.43,29394.19,29221.21,29360.1,6.79396
1609563600000,29357.5,29600.0,29356.61,29596.45,8.849499
1609567200000,29592.3,29744.25,29459.22,29716.82,18.661684
1609570800000,29714.57,29822.36,29630.1,29757.51,17.050995
1609574400000,29751.49,29850.0,29632.66,29836.98,8.197249
1609578000000,29857.79,29922.68,29582.21,29613.04,28.617503
1609581600000,29610.98,29820.47,29470.45,29671.85,8.787868
1609585200000,29683.16,29776.11,29620.56,29758.05,7.628546
1609588800000,29752.72,30906.35,29741.6,30608.48,57.942731
1609592400000,30592.11,31524.83,30526.47,31524.83,47.939911
1609596000000,31564.57,31564.57,31075.86,31304.98,25.303956
1609599600000,31289.26,31817.62,31252.72,31692.33,22.829298
1609603200000,31697.77,33000.0,31697.77,32475.29,82.764955
1609606800000,32497.99,32941.21,32396.54,32845.84,26.466864
1609610400000,32859.78,33271.38,32449.01,32783.53,30.03024
1609614000000,32989.65,33218.1,32741.82,33034.17,29.829484
1609617600000,33037.31,33048.33,30691.0,30804.48,90.126454
1609621200000,30747.14,31906.64,30399.98,31712.07,60.86894
1609624800000,31708.76,32316.48,31448.84,32161.33,16.089367
1609628400000,32145.01,32248.21,31673.15,32162.01,30.038882
1609632000000,32174.75,32488.77,31942.96,32438.96,22.846414
1609635600000,32418.52,32783.14,32239.05,32568.75,18.613081
1609639200000,32577.79,32872.85,32563.85,32738.16,5.161197
1609642800000,32745.64,32754.2,32454.53,32573.93,13.957602
1609646400000,32571.58,33251.32,32455.0,33182.65,12.12007
1609650000000,33178.35,34187.48,33123.73,33739.29,75.149092
1609653600000,33790.49,34113.37,33648.44,33986.62,21.484352
1609657200000,33969.17,34776.59,33760.28,34473.09,55.050251
1609660800000,34492.17,34688.04,33738.52,34388.41,41.130829
1609664400000,34374.07,34582.96,33832.31,34192.93,30.167449
1609668000000,34194.64,34352.63,33415.0,33875.66,37.836499
1609671600000,33865.56,34439.12,33784.11,34426.08,18.019022
1609675200000,34404.55,34584.95,33946.25,34090.07,27.812061
1609678800000,34130.34,34398.31,33777.12,33856.73,15.882114
1609682400000,33883.48,34141.19,33481.6,33822.12,21.403985
1609686000000,33825.29,33866.84,32780.0,33496.9,51.192016
1609689600000,33510.84,33833.88,32650.0,32690.0,45.887895
1609693200000,32688.55,33252.95,32475.37,32879.62,44.611311
1609696800000,32999.98,33030.74,32300.0,32765.85,30.709255
1609700400000,32766.12,32910.11,32454.49,32787.51,15.559307
1609704000000,32782.82,33823.72,32729.86,33718.59,30.777154
1609707600000,33708.08,33861.94,33517.46,33582.02,13.757654
1609711200000,33550.62,33648.41,32995.55,33135.05,21.249199
1609714800000,33112.55,33590.38,32658.17,33031.74,31.573278
1609718400000,33034.55,33105.53,32415.06,32853.0,46.685192
1609722000000,32848.72,33324.16,32601.64,33148.31,17.300686
1609725600000,33190.04,33583.91,32967.7,33435.97,16.379182
1609729200000,33450.24,33517.64,33161.91,33510.61,17.344335
1609732800000,33501.35,33593.47,33187.53,33251.66,12.917801
1609736400000,33280.92,33318.75,32808.2,32808.2,29.76402
1609740000000,32834.48,33392.99,32802.17,33117.91,20.908945
1609743600000,33116.25,33151.23,31489.31,32059.03,77.617662
1609747200000,32092.25,32554.54,31463.63,32039.73,35.9047
1609750800000,31985.22,32152.23,30326.68,31007.37,84.334704
1609754400000,31044.96,31241.42,27500.0,30225.7,135.263385
1609758000000,30154.28,30873.35,29425.9,30757.78,85.094803
1609761600000,30777.44,31417.88,30469.48,31218.3,58.777939
1609765200000,31216.45,31395.8,30604.34,31395.8,31.703011
1609768800000,31392.7,32156.41,31392.7,32099.94,42.294108
1609772400000,32100.56,32183.48,31552.29,31718.23,33.982498
1609776000000,31732.95,31905.65,30740.74,31308.81,48.021006
1609779600000,31317.89,31523.69,30620.83,31017.53,42.046057
1609783200000,31023.96,31446.93,31005.51,31175.16,31.950843
1609786800000,31178.18,31864.34,31104.82,31669.62,21.823268
1609790400000,31681.51,31813.79,31202.0,31254.18,28.387858
1609794000000,31240.55,31580.69,30877.21,31008.59,26.453519
1609797600000,31012.33,31481.48,30958.9,31348.91,10.189678
1609801200000,31362.63,32030.84,31157.3,32005.27,32.134694
1609804800000,31996.54,32842.92,31996.54,32361.4,47.206787
1609808400000,32424.76,32783.76,32256.02,32776.49,27.391264
1609812000000,32784.22,32821.4,32233.76,32297.76,12.077257
1609815600000,32302.42,32537.92,31164.48,31196.21,36.971765
1609819200000,31201.16,31540.23,30469.16,30860.31,54.194581
1609822800000,30892.88,31353.67,30013.5,30416.25,65.78593
1609826400000,30481.36,31254.02,29937.69,31111.87,78.116746
1609830000000,31133.04,31319.31,30751.05,30826.27,24.310543
1609833600000,30810.68,31533.06,30809.85,31202.67,14.454816
1609837200000,31182.53,31815.01,31173.24,31568.45,16.962859
1609840800000,31572.76,31686.84,31100.0,31344.0,15.494159
1609844400000,31355.43,31779.37,31283.17,31779.37,12.510662
1609848000000,31780.96,32063.99,31565.0,31594.29,22.077868
1609851600000,31586.48,31894.91,31463.63,31469.6,14.426011
1609855200000,31468.36,32364.71,31118.96,32335.51,35.702361
1609858800000,32335.51,32367.6,31934.44,32102.92,20.856696
1609862400000,32090.65,32683.21,31790.91,32456.88,32.81478
1609866000000,32464.44,32799.3,32266.46,32727.94,18.68214
1609869600000,32758.63,33455.3,32659.36,33355.32,37.510796
1609873200000,33382.8,34197.09,33138.14,33713.38,60.984269
1609876800000,33724.08,34062.64,33390.29,33986.62,37.078527
1609880400000,33970.8,33996.87,33497.24,33698.71,23.586818
1609884000000,33728.23,34392.59,33728.23,34154.15,26.862376
1609887600000,34228.0,34243.55,33682.68,33946.09,29.254254
1609891200000,33939.15,34115.61,33319.67,33941.47,35.187948
1609894800000,33922.84,34025.87,33528.02,33819.12,17.834663
1609898400000,33813.18,34144.91,33766.53,33874.14,21.231277
1609902000000,33878.96,34159.87,33657.64,34112.79,17.081747
1609905600000,34125.15,35755.02,34105.32,35324.84,100.282478
1609909200000,35343.15,35550.0,34561.25,34964.28,33.04634
1609912800000,34982.33,35246.94,34800.0,35142.76,18.465224
1609916400000,35141.0,35252.53,34360.0,34669.47,23.160334
1609920000000,34679.04,34952.67,34040.34,34594.93,33.865039
1609923600000,34597.12,34597.12,33615.17,33923.89,49.114126
1609927200000,33899.27,34560.56,33848.66,34425.9,23.119346
1609930800000,34418.5,35195.95,34354.75,34924.16,28.857534
1609934400000,34913.9,35090.62,34433.34,34922.71,30.361672
1609938000000,34922.81,35051.04,34319.69,34539.68,44.255152
1609941600000,34516.08,34596.55,34075.78,34203.66,27.941393
1609945200000,34214.23,34792.8,34145.5,34592.14,27.752123
1609948800000,34577.71,35087.8,34379.79,34614.06,59.697777
1609952400000,34617.82,35071.46,34559.82,34894.29,22.033047
1609956000000,34909.12,35241.32,34909.12,35223.82,14.892572
1609959600000,35224.29,35717.65,34700.0,34806.03,42.248838
1609963200000,34874.59,36228.2,34252.89,36029.09,78.450096
1609966800000,36040.56,36470.89,35682.4,35877.72,48.270593
1609970400000,35849.46,36377.62,35684.94,35995.36,28.891093
1609974000000,35982.72,36935.58,35965.7,36756.07,38.673867
1609977600000,36761.31,37284.71,36419.66,37137.11,55.05708
1609981200000,37171.36,37222.17,36638.96,36855.06,43.550257
1609984800000,36888.05,37056.74,36460.93,36959.29,27.820915
1609988400000,36960.92,37697.4,36925.24,37441.33,42.027537
1609992000000,37448.31,37549.99,37088.47,37440.96,20.927415
1609995600000,37440.96,37697.37,37127.14,37358.07,29.801561
1609999200000,37352.98,37451.76,36736.18,37140.0,23.841035
1610002800000,37122.14,37307.17,36734.07,36843.26,12.012757
1610006400000,36899.71,37357.0,36309.44,37192.81,19.528344
1610010000000,37220.86,37512.18,36920.9,37473.99,17.121023
1610013600000,37508.66,37508.66,36917.78,37031.31,15.920775
1610017200000,37029.91,37921.27,37029.91,37813.03,13.287545
1610020800000,37808.89,38128.2,37525.35,37941.99,30.697187
1610024400000,37921.53,38442.69,37893.93,38155.75,21.989498
1610028000000,38160.64,38608.83,38075.5,38452.95,19.106154
1610031600000,38454.75,38960.6,38104.8,38958.86,16.366521
1610035200000,38965.5,39536.95,38955.67,39114.35,43.084634
1610038800000,39123.34,39783.37,39102.67,39733.26,39.313391
1610042400000,39733.26,40358.96,35813.86,38914.69,109.223737
1610046000000,38865.71,39234.02,37526.98,39058.8,47.073592
1610049600000,39086.33,39212.87,38391.88,39120.42,42.502968
1610053200000,39147.32,39873.72,39097.46,39661.77,27.055822
1610056800000,39700.25,39960.23,39216.25,39645.53,27.156974
1610060400000,39678.03,39678.03,38609.88,39444.65,25.660552
1610064000000,39437.66,39685.65,38800.01,38800.01,13.804995
1610067600000,38814.49,39003.39,37840.98,38678.94,49.594627
1610071200000,38662.49,38692.66,36589.0,37139.67,71.531064
1610074800000,37173.61,38444.91,37081.46,38349.0,56.105354
1610078400000,38350.92,38968.12,38152.47,38685.8,29.229852
1610082000000,38662.46,38711.33,37906.51,37982.98,27.673646
1610085600000,37980.69,38684.79,37580.02,38526.58,23.900077
1610089200000,38567.37,39124.17,38307.67,38945.83,21.644219
1610092800000,38911.99,38989.39,38430.5,38634.39,14.184117
1610096400000,38656.51,39367.94,38223.87,39345.29,13.495222
1610100000000,39349.37,41067.35,39218.24,40715.1,60.040117
1610103600000,40715.2,41499.98,40450.49,41300.89,79.217719
1610107200000,41304.73,41783.11,40919.88,41308.08,41.962807
1610110800000,41326.85,41632.71,40729.72,41300.47,26.290512
1610114400000,41329.52,41579.29,40983.44,41461.97,18.379539
1610118000000,41462.68,41958.85,39817.63,40832.27,93.072617
1610121600000,40806.59,41588.64,40425.32,41336.67,49.348088
1610125200000,41305.1,41550.69,40891.08,41040.78,26.914946
1610128800000,41018.04,41158.54,39781.66,39934.82,48.554382
1610132400000,40042.5,40691.47,40042.5,40353.35,28.908558
1610136000000,40352.49,40497.97,38921.0,39041.46,94.686209
1610139600000,39060.86,40084.93,38685.36,40061.23,38.882068
1610143200000,40050.09,40779.73,39724.87,40666.11,17.350101
1610146800000,40677.7,40933.86,40460.68,40597.2,22.578667
1610150400000,40574.89,40969.9,40005.07,40302.53,37.938411
1610154000000,40284.58,40318.87,39764.2,40182.35,47.499196
1610157600000,40215.36,40545.92,39502.54,39983.91,31.541056
1610161200000,39976.26,40371.79,39716.75,40199.14,11.391623
1610164800000,40224.59,40484.02,39812.24,40221.98,14.557688
1610168400000,40191.55,40191.55,39156.38,39293.1,19.652199
1610172000000,39272.73,39622.68,38887.96,38977.18,34.864377
1610175600000,38981.05,39693.98,38739.22,39640.19,17.588245
1610179200000,39640.19,40260.0,39283.92,40153.67,19.878596
1610182800000,40176.95,40772.3,40159.97,40328.41,20.361809
1610186400000,40363.04,40767.17,40105.58,40369.89,14.605164
1610190000000,40378.02,41200.0,40244.61,40558.83,37.540865
1610193600000,40595.14,40922.82,40403.03,40878.09,14.315009
1610197200000,40878.1,41241.91,40661.01,41026.81,17.653774
1610200800000,41061.59,41371.87,40728.4,40828.63,22.644915
1610204400000,40819.42,40974.15,40232.13,40542.76,17.155895
1610208000000,40522.24,40648.1,39901.0,40006.63,20.819918
1610211600000,39979.81,40585.82,39979.81,40415.78,10.892045
1610215200000,40425.09,40779.41,40425.09,40635.43,10.461237
1610218800000,40649.46,40882.14,40462.96,40675.8,7.729706
1610222400000,40660.43,40776.96,40078.6,40616.15,24.442477
1610226000000,40624.25,40757.44,40514.05,40724.6,14.105967
1610229600000,40702.22,40744.98,40120.7,40270.02,7.113059
1610233200000,40297.95,40413.97,39928.99,40090.54,10.157065
1610236800000,40092.11,40741.48,40092.11,40579.27,15.013311
1610240400000,40583.13,41330.71,40450.99,41128.84,39.98617
1610244000000,41137.9,41137.9,40842.1,40942.92,13.30865
1610247600000,40955.33,40978.16,40263.94,40327.09,24.357805
1610251200000,40310.76,40627.48,40070.24,40331.65,12.954216
1610254800000,40335.1,40664.7,40257.82,40476.19,9.647516
1610258400000,40450.8,41083.97,40400.0,40936.66,10.83387
1610262000000,40907.31,41064.73,40651.77,40979.59,7.688792
1610265600000,40977.54,41045.67,40573.92,40824.37,5.571241
1610269200000,40788.39,41050.57,40717.56,40757.1,9.702118
1610272800000,40768.72,40839.02,40016.75,40399.24,18.104963
1610276400000,40429.05,40429.05,38896.71,39139.82,72.875929
1610280000000,39155.13,39788.16,38364.38,39527.99,58.845663
1610283600000,39551.04,40070.02,39428.96,39765.56,14.407611
1610287200000,39816.48,39854.0,39260.17,39436.45,19.78593
