ts,open,high,low,close,volume
1609459200000,0.0046785,0.004708,0.0046265,0.004708,197654.0
1609462800000,0.0046982,0.004739,0.0046982,0.0047303,1044790.0
1609466400000,0.0047361,0.004749,0.0047361,0.004749,7413.0
1609470000000,0.0047571,0.0049957,0.0047464,0.0049821,462657.0
1609473600000,0.0049821,0.0049821,0.0048291,0.00492,2962808.0
1609477200000,0.004885,0.004926,0.004885,0.004926,1086898.0
1609480800000,0.0049153,0.0049153,0.0048533,0.0048533,203203.0
1609484400000,0.004866,0.004866,0.0048469,0.004866,120243.0
1609488000000,0.004866,0.004866,0.004866,0.004866,0.0
1609491600000,0.0048206,0.0048711,0.0048141,0.0048463,533981.0
1609495200000,0.0048136,0.0048136,0.0048136,0.0048136,100000.0
1609498800000,0.0048136,0.0048136,0.0048136,0.0048136,0.0
1609502400000,0.0049426,0.00496,0.0049426,0.00496,15059.0
1609506000000,0.0049661,0.0049689,0.0049436,0.0049563,308409.0
1609509600000,0.0049461,0.0049781,0.0049461,0.0049514,109384.0
1609513200000,0.0049374,0.005,0.0048956,0.004962,1788736.0
1609516800000,0.0049129,0.0049848,0.0049037,0.0049799,372709.0
1609520400000,0.0050092,0.0050774,0.0049298,0.0049633,5282037.0
1609524000000,0.0050493,0.0050606,0.0049331,0.0050298,212774.0
1609527600000,0.0050392,0.0052034,0.0050187,0.0052017,3887328.0
1609531200000,0.0052017,0.0055,0.0051818,0.0051859,5555281.0
1609534800000,0.0051508,0.0053557,0.0051508,0.0053551,2236474.0
1609538400000,0.0053545,0.0055122,0.0052687,0.0054274,2556511.0
1609542000000,0.0054186,0.0056776,0.005388,0.0056127,2613495.0
1609545600000,0.0056682,0.0058832,0.0056543,0.0057994,9716306.0
1609549200000,0.0057556,0.0058832,0.0055218,0.0057102,5004566.0
1609552800000,0.0057132,0.0064224,0.0056907,0.0063664,5332945.0
1609556400000,0.0063701,0.0067475,0.0060369,0.0066162,19078551.0
1609560000000,0.0066319,0.0082072,0.0066319,0.0077052,41879318.0
1609563600000,0.0077288,0.0077288,0.0069124,0.007136,32167266.0
1609567200000,0.0071824,0.0073642,0.0067388,0.0067585,12143527.0
1609570800000,0.0067585,0.0070196,0.0064893,0.00689,23695508.0
1609574400000,0.0069004,0.0071466,0.0067228,0.0067619,3242314.0
1609578000000,0.0067616,0.0070636,0.0066513,0.0069385,2036290.0
1609581600000,0.0069386,0.0071178,0.0068685,0.0071057,1446221.0
1609585200000,0.0070588,0.0073909,0.0070429,0.0072712,3519415.0
1609588800000,0.0072297,0.0072297,0.0067506,0.0070124,1110461.0
1609592400000,0.0069822,0.0073426,0.0069822,0.0072631,10082712.0
1609596000000,0.007267,0.0077832,0.007226,0.0076696,8504668.0
1609599600000,0.0076696,0.009799,0.0076569,0.0086016,30379698.0
1609603200000,0.0086214,0.0093428,0.008166,0.0088857,25112311.0
1609606800000,0.0088858,0.0102195,0.0088858,0.0101303,26113858.0
1609610400000,0.0100768,0.0123487,0.0095932,0.0113832,39142919.0
1609614000000,0.0114442,0.0140231,0.0105066,0.0118163,70700367.0
1609617600000,0.0118416,0.0121546,0.0088,0.0090919,42429052.0
1609621200000,0.0090919,0.0112049,0.0087082,0.0104707,46548145.0
