ts,open,high,low,close,volume
1638450000000,36.31,50.0,35.78,35.92,3452.73
1638453600000,36.04,36.57,35.96,36.43,662.27
1638457200000,36.43,36.64,35.8,36.02,195.01
1638460800000,36.16,36.54,35.68,35.81,94.19
1638464400000,35.98,36.08,35.97,35.98,771.5
1638468000000,35.98,36.08,35.67,36.05,685.45
1638471600000,36.02,36.08,35.79,35.85,327.18
1638475200000,35.86,36.24,35.83,36.22,46.61
1638478800000,36.22,36.22,36.07,36.22,49.26
1638482400000,36.17,36.17,35.98,36.11,90.66
1638486000000,36.05,36.05,35.72,35.75,116.64
1638489600000,35.77,36.0,35.62,35.85,487.94
1638493200000,35.81,35.87,35.65,35.65,259.91
1638496800000,35.98,35.98,35.6,35.6,100.25
1638500400000,35.59,35.71,35.29,35.71,507.11
1638504000000,35.53,35.7,35.53,35.58,85.57
1638507600000,35.63,35.87,35.54,35.73,960.94
1638511200000,35.78,36.03,35.62,36.03,112.39
1638514800000,36.02,36.02,35.72,35.72,165.39
1638518400000,35.81,35.96,35.8,35.96,221.88
1638522000000,35.86,35.86,35.8,35.82,39.01
1638525600000,35.96,36.27,35.96,36.08,72.89
1638529200000,36.25,36.52,36.25,36.52,22.35
1638532800000,36.53,36.68,36.45,36.45,1120.34
1638536400000,36.41,36.64,36.41,36.56,259.79
1638540000000,36.37,36.38,35.79,35.79,132.24
1638543600000,35.78,35.78,35.27,35.27,164.76
1638547200000,35.06,35.06,33.97,33.97,752.81
1638550800000,33.93,34.43,33.8,34.26,29.62
1638554400000,34.36,34.46,34.2,34.2,7.4
1638558000000,34.2,34.2,33.6,33.6,67.89
1638561600000,33.45,33.85,32.97,33.85,525.59
1638565200000,34.19,34.25,33.96,34.07,168.85
1638568800000,33.94,33.94,33.75,33.75,33.58
1638572400000,33.85,33.85,33.66,33.85,95.53
1638576000000,33.68,33.72,32.91,33.1,165.09
1638579600000,32.87,33.01,32.58,32.82,195.06
1638583200000,32.99,32.99,32.57,32.92,221.83
1638586800000,32.78,32.78,31.92,31.92,153.99
1638590400000,31.92,32.12,30.0,30.0,611.76
1638594000000,30.01,30.07,25.24,28.01,8919.39
1638597600000,28.06,28.5,27.46,27.51,2496.63
1638601200000,27.51,27.8,27.25,27.6,479.89
1638604800000,27.85,28.45,27.85,28.25,155.84
1638608400000,28.25,28.6,28.11,28.51,354.33
1638612000000,28.39,28.8,27.84,28.21,948.03
1638615600000,28.21,28.21,27.39,27.39,35.94
1638619200000,27.84,28.58,27.84,28.29,214.75
1638622800000,28.29,28.36,27.77,28.24,470.49
1638626400000,28.31,28.7,28.2,28.59,1213.83
1638630000000,28.82,29.19,28.82,28.84,494.61
1638633600000,28.9,29.18,28.45,28.45,1725.63
1638637200000,28.3,28.44,27.94,28.4,951.35
1638640800000,28.6,29.16,28.6,29.16,1840.08
1638644400000,29.17,29.88,29.16,29.71,342.08
1638648000000,29.65,29.98,29.42,29.74,386.66
1638651600000,29.74,29.74,28.88,29.01,1311.61
1638655200000,29.35,29.35,28.88,28.92,29.45
1638658800000,29.32,29.46,29.11,29.23,83.86
1638662400000,29.64,29.75,28.29,28.94,190.06
1638666000000,28.73,28.84,28.47,28.84,37.98
1638669600000,28.73,28.94,28.38,28.38,133.82
1638673200000,28.82,29.14,28.82,29.14,17.45
1638676800000,29.08,29.08,28.52,28.52,246.96
1638680400000,28.56,28.98,28.56,28.88,265.65
1638684000000,28.75,28.95,28.73,28.95,40.39
1638687600000,28.64,28.76,28.31,28.44,116.33
1638691200000,28.42,28.59,28.42,28.59,160.95
1638694800000,28.59,28.59,28.11,28.11,49.32
1638698400000,28.34,28.34,28.34,28.34,3.34
1638702000000,28.33,28.41,28.26,28.26,79.82
1638705600000,28.64,28.72,28.64,28.72,114.65
1638709200000,28.7,28.7,28.48,28.64,182.75
1638712800000,28.37,28.37,27.58,27.68,805.48
1638716400000,27.57,27.57,26.49,26.61,747.83
1638720000000,27.35,27.84,27.15,27.72,1019.0
1638723600000,27.72,28.24,27.4,28.11,1041.75
1638727200000,28.11,28.18,27.79,27.92,1109.56
1638730800000,27.67,27.75,27.3,27.75,552.63
1638734400000,27.83,27.97,27.63,27.84,695.09
1638738000000,27.88,28.09,27.39,28.09,139.81
1638741600000,27.88,28.2,27.67,28.2,105.91
1638745200000,28.17,28.61,28.04,28.16,878.45
1638748800000,28.0,28.0,26.7,26.87,1593.47
1638752400000,26.95,27.35,26.66,27.13,939.6
1638756000000,27.2,27.25,27.04,27.09,336.22
1638759600000,27.17,27.35,27.17,27.29,238.12
1638763200000,27.34,27.74,27.34,27.56,1639.59
1638766800000,27.63,27.74,27.25,27.25,1337.51
1638770400000,27.08,27.17,26.23,26.27,1139.78
1638774000000,26.2,26.44,25.72,26.32,2347.12
1638777600000,26.31,26.96,25.86,26.6,3853.09
1638781200000,26.46,26.6,25.31,25.48,3015.79
1638784800000,25.43,25.7,25.11,25.33,1019.1
1638788400000,25.4,26.3,24.88,26.3,3756.86
1638792000000,26.27,26.69,25.95,26.43,2081.79
1638795600000,26.58,26.84,26.11,26.27,953.74
1638799200000,26.17,26.53,26.0,26.22,1057.73
1638802800000,26.21,27.11,26.21,27.11,659.48
1638806400000,27.15,27.4,26.79,27.26,2595.42
1638810000000,27.21,27.34,27.05,27.05,433.1
1638813600000,26.93,27.03,26.84,27.03,43.77
1638817200000,27.22,27.32,27.12,27.22,117.12
1638820800000,27.27,27.41,27.05,27.05,154.8
1638824400000,27.08,28.15,27.08,27.84,1128.21
1638828000000,28.04,28.64,28.02,28.5,4372.36
1638831600000,28.54,28.93,28.15,28.16,1134.73
1638835200000,28.28,28.28,28.0,28.22,615.72
1638838800000,28.06,28.53,27.81,27.82,807.79
1638842400000,28.08,28.15,27.88,28.01,87.88
1638846000000,27.94,28.34,27.94,28.21,4622.35
1638849600000,28.43,28.43,27.93,27.93,643.38
1638853200000,28.19,28.29,28.02,28.07,1442.24
1638856800000,28.06,28.68,28.06,28.63,3924.7
1638860400000,28.63,28.74,28.56,28.65,2691.74
1638864000000,28.62,29.05,28.6,29.05,2226.04
1638867600000,29.03,29.23,28.84,28.89,1159.16
1638871200000,28.98,29.24,28.79,29.16,1431.72
1638874800000,29.23,29.98,29.23,29.98,877.08
1638878400000,29.82,29.82,28.55,28.74,6748.96
1638882000000,28.92,29.21,28.85,28.98,1501.02
1638885600000,29.05,29.62,29.05,29.62,208.67
1638889200000,29.67,31.19,29.67,30.84,11129.32
1638892800000,30.92,31.45,30.35,30.83,4516.37
1638896400000,30.73,31.3,30.48,30.71,5192.63
1638900000000,30.77,30.96,30.47,30.96,1511.37
1638903600000,30.57,30.58,30.15,30.29,2044.76
1638907200000,30.21,30.35,29.68,29.83,3645.96
1638910800000,29.83,30.32,29.83,29.88,4995.58
1638914400000,30.05,30.05,29.42,29.55,2357.19
1638918000000,29.48,30.54,29.48,30.54,823.9
1638921600000,30.52,30.58,30.11,30.12,1164.47
1638925200000,30.27,30.41,29.52,29.52,643.41
1638928800000,29.86,30.06,29.29,29.29,6340.97
1638932400000,29.21,29.45,28.71,28.88,3299.71
1638936000000,28.98,29.23,28.85,29.07,442.4
1638939600000,29.05,29.25,29.04,29.07,751.54
1638943200000,29.1,29.46,29.1,29.42,302.18
1638946800000,29.38,29.58,29.2,29.35,854.5
1638950400000,29.5,29.63,29.2,29.37,1113.45
1638954000000,29.38,29.45,28.75,28.78,513.86
1638957600000,28.81,29.02,28.14,28.14,3952.46
1638961200000,28.43,28.62,28.15,28.47,1065.44
1638964800000,28.53,28.79,28.4,28.7,931.79
1638968400000,28.81,28.92,28.59,28.59,1003.43
1638972000000,28.43,29.8,28.42,29.79,3272.44
1638975600000,29.79,30.15,29.41,29.64,4151.98
1638979200000,29.65,29.72,29.26,29.26,7888.76
1638982800000,29.3,29.3,29.11,29.3,327.76
1638986400000,29.26,29.42,29.26,29.42,260.46
1638990000000,29.51,29.59,29.43,29.44,63.71
1638993600000,29.43,29.52,29.2,29.48,434.02
1638997200000,29.49,29.49,29.29,29.43,2008.42
1639000800000,29.42,29.56,29.26,29.26,205.51
1639004400000,29.33,29.88,29.33,29.88,2420.84
1639008000000,29.91,30.11,29.64,29.7,1000.59
1639011600000,29.72,29.8,29.51,29.51,71.14
1639015200000,29.51,29.51,28.64,29.04,3127.56
1639018800000,28.95,29.08,28.62,28.87,403.96
1639022400000,28.93,29.04,28.93,29.04,186.07
1639026000000,29.1,29.1,28.84,28.88,268.67
1639029600000,28.75,28.89,28.46,28.56,1415.61
1639033200000,28.63,28.96,28.31,28.84,2394.0
1639036800000,28.79,28.79,28.42,28.61,145.19
1639040400000,28.48,28.59,28.17,28.44,6607.52
1639044000000,28.55,28.77,28.25,28.76,1303.1
1639047600000,28.66,28.69,28.52,28.66,138.92
1639051200000,28.54,28.83,28.54,28.83,1650.99
1639054800000,28.55,28.67,28.55,28.61,174.97
1639058400000,28.63,28.63,27.63,27.72,1422.34
1639062000000,27.81,28.02,27.3,27.7,1737.63
1639065600000,27.68,28.0,27.54,27.82,1196.75
1639069200000,27.77,27.8,27.52,27.52,368.43
1639072800000,27.52,27.52,27.01,27.01,1864.91
1639076400000,27.22,27.41,27.12,27.3,6129.2
1639080000000,27.29,27.29,26.86,26.93,319.97
1639083600000,27.25,27.46,27.25,27.37,316.24
1639087200000,27.59,27.64,27.13,27.19,3068.1
1639090800000,27.16,27.39,26.95,26.95,133.43
1639094400000,26.96,27.51,26.78,27.2,801.8
1639098000000,27.16,27.47,27.01,27.42,1198.18
1639101600000,27.48,27.67,27.48,27.55,127.41
1639105200000,27.56,27.56,27.3,27.3,315.41
1639108800000,27.4,27.46,27.13,27.2,749.67
1639112400000,26.96,27.2,26.89,27.0,2373.23
1639116000000,27.26,27.37,26.63,26.68,4047.73
1639119600000,26.57,26.63,26.13,26.31,2685.21
1639123200000,26.44,26.64,26.39,26.64,370.37
1639126800000,26.56,26.85,26.45,26.64,321.39
1639130400000,26.78,26.78,26.76,26.76,43.6
1639134000000,26.86,27.38,26.86,27.32,918.18
1639137600000,27.58,28.0,27.58,28.0,495.64
1639141200000,27.96,28.34,27.91,28.13,707.68
1639144800000,28.3,28.37,26.82,26.82,1662.72
1639148400000,26.72,26.8,26.15,26.15,1068.04
1639152000000,26.24,26.32,25.77,26.22,1154.86
1639155600000,26.13,26.26,25.86,26.26,435.87
1639159200000,26.2,26.45,26.13,26.14,1921.5
1639162800000,26.06,26.51,26.03,26.46,226.76
1639166400000,26.62,26.84,26.6,26.84,4168.08
1639170000000,26.86,27.58,26.86,27.18,4197.31
1639173600000,27.28,27.28,26.76,26.93,472.79
1639177200000,26.72,27.24,26.36,26.44,3868.75
1639180800000,26.58,27.53,25.88,26.96,6091.74
1639184400000,27.02,28.08,27.02,27.59,2946.53
1639188000000,27.38,27.62,27.19,27.45,913.31
1639191600000,27.57,27.83,27.45,27.45,5027.14
1639195200000,27.45,27.72,27.45,27.72,124.49
1639198800000,27.76,27.96,27.67,27.67,415.68
1639202400000,27.68,28.17,27.48,27.58,833.6
1639206000000,27.53,27.7,27.45,27.55,380.23
1639209600000,27.55,28.0,27.55,27.64,3421.31
1639213200000,27.7,27.86,27.44,27.86,227.21
1639216800000,27.89,27.89,27.84,27.87,84.37
1639220400000,27.74,27.74,27.11,27.18,3373.61
1639224000000,27.11,27.45,27.01,27.45,810.24
1639227600000,27.5,27.55,27.19,27.25,4719.79
1639231200000,27.18,27.3,27.14,27.3,461.76
1639234800000,27.45,27.57,27.43,27.43,2352.0
1639238400000,27.65,28.01,27.65,27.71,306.24
1639242000000,27.59,27.81,27.57,27.57,1465.28
1639245600000,27.7,27.77,27.65,27.73,3893.26
1639249200000,27.66,27.79,27.55,27.79,7407.2
1639252800000,27.94,28.03,27.59,27.66,2054.15
1639256400000,27.59,27.59,27.3,27.53,811.06
1639260000000,27.65,27.79,27.62,27.75,2198.43
1639263600000,27.72,27.94,27.71,27.81,976.98
1639267200000,27.78,27.81,27.7,27.81,175.81
1639270800000,27.77,27.95,27.61,27.74,334.89
1639274400000,27.6,27.79,27.59,27.59,268.35
1639278000000,27.68,27.83,27.68,27.81,126.69
1639281600000,27.73,27.78,27.25,27.4,1496.95
1639285200000,27.39,27.53,27.39,27.41,190.81
1639288800000,27.39,27.79,27.39,27.79,67.04
1639292400000,27.89,27.89,27.89,27.89,16.9
1639296000000,27.59,27.59,27.41,27.41,20.43
1639299600000,27.53,27.65,27.45,27.6,316.6
1639303200000,27.52,27.97,27.33,27.74,556.64
1639306800000,27.94,28.45,27.94,28.27,623.43
1639310400000,28.36,28.47,28.31,28.47,160.14
1639314000000,28.51,28.75,28.4,28.67,2268.72
1639317600000,28.6,28.8,28.48,28.7,370.96
1639321200000,28.74,28.75,28.57,28.58,143.18
1639324800000,28.55,28.74,28.52,28.67,191.24
1639328400000,28.82,29.32,28.82,29.3,960.56
1639332000000,29.41,29.6,29.41,29.57,714.65
1639335600000,29.62,29.97,29.48,29.49,2211.13
1639339200000,29.47,29.67,29.46,29.55,603.36
1639342800000,29.46,29.51,29.07,29.2,2259.11
1639346400000,29.28,30.03,29.28,29.75,3137.55
1639350000000,29.78,29.86,29.48,29.53,2670.87
1639353600000,29.6,29.82,28.93,28.93,1801.56
1639357200000,28.89,29.05,28.41,28.41,1169.69
1639360800000,28.56,28.99,28.56,28.99,447.26
1639364400000,29.0,29.46,29.0,29.03,905.96
1639368000000,28.99,28.99,28.75,28.95,1025.43
1639371600000,28.99,29.05,28.63,28.93,221.3
1639375200000,28.99,28.99,28.17,28.24,1384.36
1639378800000,28.18,28.24,27.92,28.0,517.69
1639382400000,27.92,28.38,27.68,28.11,633.19
1639386000000,28.2,28.2,28.01,28.01,46.17
1639389600000,28.2,28.2,27.87,27.87,43.76
1639393200000,28.06,28.17,28.04,28.17,45.63
1639396800000,28.16,28.27,27.87,28.01,106.93
1639400400000,27.74,27.8,27.59,27.76,305.78
1639404000000,27.6,27.6,26.72,26.9,3358.07
1639407600000,26.93,26.93,26.31,26.5,2086.3
1639411200000,26.48,26.84,26.4,26.46,919.37
1639414800000,26.71,26.96,26.57,26.61,383.05
1639418400000,26.78,26.82,26.53,26.53,173.32
1639422000000,26.51,26.51,25.55,26.26,4291.58
1639425600000,26.08,26.29,25.87,25.95,457.1
1639429200000,26.01,26.39,25.79,26.36,705.88
1639432800000,26.31,26.46,26.26,26.41,846.43
1639436400000,26.26,26.26,25.94,25.94,980.35
1639440000000,25.9,26.37,25.74,26.32,312.45
1639443600000,26.27,26.27,25.89,26.23,144.92
1639447200000,26.23,26.32,26.11,26.3,215.08
1639450800000,26.3,26.45,26.16,26.3,412.83
1639454400000,26.34,26.5,26.13,26.13,475.91
1639458000000,26.04,26.28,25.9,25.9,569.34
1639461600000,26.08,26.08,25.41,25.81,271.6
1639465200000,25.94,25.99,25.76,25.99,41.15
1639468800000,26.07,26.28,26.07,26.28,188.71
1639472400000,26.13,26.17,25.76,25.76,218.28
1639476000000,25.76,26.09,25.76,26.09,123.53
1639479600000,26.0,26.32,25.98,26.32,615.53
1639483200000,26.37,26.67,26.26,26.27,1583.29
1639486800000,26.22,26.23,25.74,25.89,1385.07
1639490400000,25.81,26.04,25.63,25.95,293.33
1639494000000,25.88,26.2,25.5,25.5,634.69
1639497600000,25.57,25.96,25.5,25.62,2557.33
1639501200000,25.64,25.81,25.51,25.51,3495.66
1639504800000,25.51,25.76,25.0,25.1,742.76
1639508400000,25.15,25.55,25.15,25.39,1040.52
1639512000000,25.54,25.95,25.47,25.82,2118.18
1639515600000,25.94,26.46,25.94,26.12,3319.72
1639519200000,26.23,26.23,25.97,25.97,1296.97
1639522800000,26.1,26.41,25.98,26.18,246.78
1639526400000,26.3,26.37,25.99,26.11,1745.71
1639530000000,26.03,26.05,26.01,26.01,230.92
1639533600000,25.99,26.08,25.76,25.94,114.2
1639537200000,25.98,26.32,25.96,26.32,501.56
1639540800000,26.37,26.49,26.13,26.25,1128.0
1639544400000,26.32,26.32,26.02,26.02,145.74
1639548000000,26.18,26.2,26.09,26.19,376.04
1639551600000,26.02,26.23,25.87,26.21,587.07
1639555200000,26.32,26.65,26.32,26.4,757.29
1639558800000,26.33,26.4,26.04,26.31,301.57
1639562400000,26.27,26.32,26.0,26.0,1938.77
1639566000000,25.99,26.05,25.81,25.88,250.4
1639569600000,25.91,26.07,25.51,25.59,2868.65
1639573200000,25.5,25.59,25.37,25.55,207.83
1639576800000,25.47,25.55,25.07,25.14,1228.3
1639580400000,25.13,25.13,24.49,24.49,3252.35
1639584000000,24.45,24.74,24.29,24.58,3208.26
1639587600000,24.6,24.84,24.6,24.84,440.52
1639591200000,24.78,25.9,24.78,25.56,3296.96
1639594800000,25.49,27.21,25.23,27.03,14976.47
1639598400000,27.05,28.03,27.02,27.59,5854.2
1639602000000,27.69,27.75,27.04,27.04,4633.08
1639605600000,27.02,27.04,26.62,26.65,468.94
1639609200000,26.68,27.24,26.68,27.17,682.32
1639612800000,27.34,27.84,27.3,27.45,2704.07
1639616400000,27.54,27.58,27.27,27.33,1535.55
1639620000000,27.26,27.29,26.98,27.17,1670.02
1639623600000,27.21,27.21,26.82,26.86,1068.84
1639627200000,27.02,27.11,26.7,26.98,1474.89
1639630800000,26.99,27.24,26.7,26.7,419.39
1639634400000,26.69,26.92,26.65,26.92,780.54
1639638000000,26.98,27.3,26.93,26.93,706.78
1639641600000,26.91,27.05,26.8,26.94,1204.26
1639645200000,26.92,27.21,26.91,27.21,778.83
1639648800000,27.22,27.51,27.2,27.29,2941.86
1639652400000,27.39,27.73,27.2,27.52,2672.02
1639656000000,27.53,27.65,26.98,26.98,3560.66
1639659600000,27.07,27.39,26.87,27.36,1107.21
1639663200000,27.2,27.2,26.96,26.96,1934.23
1639666800000,26.93,27.39,26.8,27.39,1857.71
1639670400000,27.49,27.69,27.26,27.62,595.44
1639674000000,27.61,27.65,26.57,26.64,2750.07
1639677600000,26.78,26.84,26.14,26.32,1641.85
1639681200000,26.27,26.65,26.05,26.05,1138.17
1639684800000,26.24,27.0,26.19,26.45,1448.82
1639688400000,26.58,26.58,26.39,26.45,227.42
1639692000000,26.47,26.84,25.76,26.76,14314.41
1639695600000,26.74,26.78,25.93,25.95,1860.05
1639699200000,26.02,26.15,25.89,26.15,920.57
1639702800000,26.17,26.21,25.96,25.96,635.66
1639706400000,26.05,26.09,25.73,26.09,642.1
1639710000000,25.9,25.97,25.85,25.97,234.77
1639713600000,25.91,26.07,25.76,25.95,333.1
1639717200000,25.77,25.77,25.63,25.74,619.83
1639720800000,25.68,25.79,25.61,25.64,46.5
1639724400000,25.59,25.59,25.16,25.43,2062.12
1639728000000,25.48,25.62,25.46,25.62,97.28
1639731600000,25.39,25.47,25.26,25.34,669.0
1639735200000,25.23,25.23,24.7,25.01,3727.81
1639738800000,25.01,25.12,24.83,24.93,275.46
1639742400000,25.01,25.13,24.81,24.96,1085.63
1639746000000,25.04,25.21,24.9,24.95,816.22
1639749600000,24.86,24.86,24.18,24.42,1226.52
1639753200000,24.37,25.0,24.32,24.96,1813.61
1639756800000,24.94,25.46,24.94,25.17,2802.51
1639760400000,25.11,25.14,24.76,24.76,346.1
1639764000000,24.72,24.88,24.69,24.88,71.99
1639767600000,24.89,25.0,24.89,25.0,122.28
1639771200000,24.84,24.84,24.43,24.43,872.42
1639774800000,24.43,24.96,24.43,24.96,788.72
1639778400000,24.92,24.92,24.3,24.82,1062.99
1639782000000,24.68,24.74,24.65,24.67,465.06
1639785600000,24.62,24.88,24.42,24.88,882.87
1639789200000,24.7,24.7,24.36,24.36,211.84
1639792800000,24.32,24.53,24.21,24.27,145.9
1639796400000,24.39,24.91,24.39,24.73,2956.39
1639800000000,24.73,24.88,24.57,24.88,317.42
1639803600000,24.78,25.1,24.74,25.0,2360.66
1639807200000,25.04,25.04,24.82,24.91,3187.03
1639810800000,24.92,24.92,24.92,24.92,26.94
1639814400000,25.01,25.1,25.01,25.08,170.54
1639818000000,25.11,25.38,25.11,25.38,1666.43
1639821600000,25.26,25.51,25.26,25.5,2055.67
1639825200000,25.47,25.47,25.23,25.23,201.69
1639828800000,25.3,25.39,25.1,25.17,264.56
1639832400000,25.21,25.21,24.94,24.94,1131.84
1639836000000,24.95,25.31,24.95,25.31,3476.87
1639839600000,25.27,25.44,25.14,25.14,1181.82
1639843200000,25.21,25.26,25.05,25.05,1973.14
1639846800000,25.07,25.24,25.02,25.08,3730.22
1639850400000,25.11,25.31,25.11,25.31,2344.63
1639854000000,25.34,25.45,25.1,25.36,1306.8
1639857600000,25.33,25.47,25.29,25.47,267.45
1639861200000,25.46,25.66,25.45,25.64,279.55
1639864800000,25.64,25.71,25.39,25.39,5878.73
1639868400000,25.38,25.61,25.35,25.5,735.97
