ts,open,high,low,close,volume
1609459200000,737.61,739.07,729.74,734.89,98.12428
1609462800000,733.58,749.11,733.58,748.49,388.22539
1609466400000,748.58,748.71,742.55,744.11,141.38546
1609470000000,744.61,746.93,743.46,745.09,97.65063
1609473600000,746.25,747.07,740.06,742.73,98.66265
1609477200000,743.01,743.07,739.9,740.62,70.92106
1609480800000,740.85,743.14,737.63,738.2,171.64632
1609484400000,740.52,740.6,734.61,737.03,131.59863
1609488000000,737.58,738.15,725.13,730.48,209.06411
1609491600000,730.25,734.63,730.25,733.46,60.6981
1609495200000,733.45,738.64,733.45,736.64,103.11386
1609498800000,736.58,741.94,736.19,738.48,92.75259
1609502400000,738.79,743.53,732.58,733.21,114.47466
1609506000000,733.03,742.06,732.02,740.53,43.98214
1609509600000,740.21,742.11,737.18,738.1,41.27793
1609513200000,738.45,738.81,734.37,735.63,30.65859
1609516800000,736.26,737.49,733.05,736.0,68.25002
1609520400000,734.24,735.8,727.17,728.18,110.0027
1609524000000,727.97,730.87,715.62,724.63,434.45798
1609527600000,724.4,727.9,721.17,725.72,91.82643
1609531200000,724.55,730.18,722.76,729.38,70.72462
1609534800000,729.82,730.56,727.16,728.41,179.67854
1609538400000,727.89,731.99,726.05,729.44,94.60643
1609542000000,728.4,730.29,727.95,728.52,140.59538
1609545600000,729.46,730.02,716.77,720.12,217.57899
1609549200000,718.83,731.53,715.34,730.04,196.27128
1609552800000,730.93,733.84,730.13,730.13,66.2718
1609556400000,730.62,731.31,728.75,730.5,28.07644
1609560000000,729.67,730.39,726.58,728.85,40.17152
1609563600000,730.33,733.71,730.33,731.77,25.29506
1609567200000,732.0,740.24,730.43,737.24,119.96876
1609570800000,737.74,738.24,733.47,735.03,99.66
1609574400000,735.81,738.21,729.08,734.0,181.35925
1609578000000,734.0,734.58,723.53,726.29,195.351
1609581600000,725.19,733.49,723.68,728.93,56.91354
1609585200000,728.81,730.54,728.53,730.33,33.87475
1609588800000,729.66,756.02,728.59,752.51,506.73387
1609592400000,752.51,773.77,749.36,765.79,826.26662
1609596000000,770.69,771.83,753.84,761.0,404.18856
1609599600000,761.16,768.07,761.16,768.0,161.26372
1609603200000,768.81,782.99,765.54,780.77,580.4874
1609606800000,782.08,784.82,776.24,779.05,1515.19293
1609610400000,779.2,783.51,772.66,779.93,193.04223
1609614000000,779.57,787.22,777.9,784.32,145.49868
1609617600000,785.2,785.39,753.98,758.06,793.26699
1609621200000,756.9,770.86,753.33,768.8,949.04509
1609624800000,768.77,774.31,765.95,771.76,757.90594
1609628400000,770.62,777.23,763.59,774.56,231.78915
1609632000000,774.6,778.9,770.92,776.99,185.07272
1609635600000,775.0,778.8,773.38,777.32,338.27896
1609639200000,777.43,781.55,775.76,777.82,119.50507
1609642800000,779.11,779.11,771.87,772.67,134.64538
1609646400000,773.27,778.26,768.74,777.47,138.32117
1609650000000,776.9,790.0,776.72,785.65,575.82104
1609653600000,785.78,801.86,784.3,800.46,1428.66499
1609657200000,800.46,805.38,795.51,799.68,401.65511
1609660800000,799.99,819.0,791.82,817.14,449.41733
1609664400000,818.68,825.43,813.34,818.05,288.18447
1609668000000,819.89,828.79,817.12,825.78,297.3493
1609671600000,827.32,832.19,824.3,829.83,206.70895
