ts,open,high,low,close,volume
1642122000000,25.17,25.25,25.17,25.25,12.32
1642125600000,25.15,25.17,25.1,25.1,78.28
1642129200000,25.17,25.21,25.17,25.2,181.16
1642132800000,25.13,25.19,24.83,24.83,245.99
1642136400000,24.88,25.1,24.81,25.0,332.47
1642140000000,25.13,25.13,25.13,25.13,0.47
1642143600000,25.0,25.0,24.91,24.94,22.81
1642147200000,24.96,24.96,24.68,24.68,61.38
1642150800000,24.7,24.7,24.57,24.57,53.8
1642154400000,24.4,24.4,24.1,24.1,63.23
1642158000000,24.1,24.1,23.97,24.07,282.14
1642161600000,24.07,24.07,24.07,24.07,0.0
1642165200000,24.07,24.07,24.07,24.07,0.0
1642168800000,24.28,24.87,24.21,24.87,77.83
1642172400000,24.87,25.01,24.7,24.72,527.14
1642176000000,24.84,24.97,24.6,24.97,197.28
1642179600000,24.8,24.85,24.68,24.69,206.29
1642183200000,24.65,24.65,24.63,24.63,1.5
1642186800000,24.8,24.93,24.8,24.93,91.17
1642190400000,24.91,24.91,24.91,24.91,44.36
1642194000000,24.99,24.99,24.99,24.99,2.58
1642197600000,24.99,25.51,24.99,25.48,472.62
1642201200000,25.46,25.91,25.46,25.78,312.5
1642204800000,25.74,25.74,25.44,25.44,251.41
1642208400000,25.71,25.75,25.44,25.44,109.1
1642212000000,25.41,25.71,25.41,25.69,8.23
1642215600000,25.83,26.21,25.83,26.14,858.73
1642219200000,25.92,25.92,25.79,25.79,101.39
1642222800000,25.77,25.77,25.77,25.77,32.96
1642226400000,25.7,25.78,25.58,25.78,210.99
1642230000000,25.56,25.67,25.52,25.61,126.42
1642233600000,25.61,25.61,25.61,25.61,0.0
1642237200000,25.41,25.45,25.41,25.45,1.9
1642240800000,25.57,25.9,25.57,25.82,25.76
1642244400000,25.85,25.91,25.66,25.66,121.36
1642248000000,25.69,25.83,25.33,25.33,94.84
1642251600000,25.38,25.58,25.38,25.58,47.14
1642255200000,25.41,25.71,25.41,25.68,93.27
1642258800000,25.71,25.82,25.63,25.63,10.82
1642262400000,25.83,25.97,25.83,25.97,4.4
1642266000000,25.79,25.82,25.53,25.53,76.27
1642269600000,25.46,25.56,25.45,25.53,16.41
1642273200000,25.48,25.7,25.33,25.7,153.02
1642276800000,25.71,25.74,25.54,25.54,59.15
1642280400000,25.53,25.61,25.33,25.33,143.5
1642284000000,25.51,25.51,25.45,25.45,164.57
1642287600000,25.43,25.43,25.15,25.21,145.09
1642291200000,25.12,25.18,25.1,25.14,13.55
1642294800000,25.13,25.13,25.13,25.13,6.14
1642298400000,25.04,25.04,24.68,24.68,1007.53
1642302000000,24.85,24.98,24.85,24.98,257.46
1642305600000,25.01,25.01,25.01,25.01,0.91
1642309200000,25.07,25.19,25.02,25.02,67.33
1642312800000,25.21,25.45,25.21,25.37,114.28
1642316400000,25.46,25.5,25.43,25.43,6.16
1642320000000,25.43,25.43,25.43,25.43,39.8
1642323600000,25.4,25.96,25.4,25.83,231.09
1642327200000,25.91,25.97,25.7,25.7,8.56
1642330800000,25.66,26.09,25.66,25.97,63.23
1642334400000,25.88,25.97,25.88,25.97,4.4
1642338000000,25.92,25.92,25.54,25.87,169.95
1642341600000,25.97,26.04,25.79,25.97,57.61
1642345200000,25.89,25.89,25.85,25.85,48.68
1642348800000,25.88,26.22,25.88,26.02,68.24
1642352400000,26.22,26.34,26.1,26.1,199.9
1642356000000,26.04,26.04,25.79,25.79,244.56
1642359600000,25.73,25.8,25.66,25.66,41.96
1642363200000,25.66,25.66,25.66,25.66,3.74
1642366800000,25.61,25.67,25.56,25.66,318.18
1642370400000,25.64,25.64,25.64,25.64,1.0
1642374000000,25.54,25.56,25.5,25.56,181.04
1642377600000,25.52,25.55,25.33,25.4,263.5
1642381200000,25.32,25.4,25.23,25.28,15.5
1642384800000,25.31,25.31,24.92,25.05,172.45
1642388400000,25.19,25.26,24.92,24.92,365.82
1642392000000,24.94,24.97,24.94,24.97,21.02
1642395600000,24.8,24.87,24.68,24.87,88.45
1642399200000,24.97,25.09,24.97,25.09,3.06
1642402800000,25.16,25.16,25.14,25.14,1.13
1642406400000,24.92,24.92,24.92,24.92,1.53
1642410000000,25.04,25.05,25.04,25.05,27.56
1642413600000,24.8,24.8,24.75,24.75,3.06
1642417200000,24.68,24.74,24.61,24.74,147.43
1642420800000,24.58,24.61,24.36,24.52,381.04
1642424400000,24.63,24.63,24.44,24.44,43.15
1642428000000,24.44,24.44,24.44,24.44,0.0
1642431600000,24.35,24.39,24.19,24.19,96.13
1642435200000,24.2,24.34,24.0,24.19,314.03
1642438800000,24.08,24.08,23.73,23.97,81.43
1642442400000,23.75,23.94,23.57,23.94,1721.45
1642446000000,23.87,23.87,23.69,23.83,68.45
1642449600000,23.81,23.82,23.65,23.65,180.44
1642453200000,23.61,23.61,23.33,23.33,286.54
1642456800000,23.48,23.77,23.46,23.69,41.9
1642460400000,23.77,23.94,23.7,23.78,2707.85
1642464000000,23.79,24.09,23.79,24.09,130.25
1642467600000,24.12,24.3,24.04,24.25,689.43
1642471200000,24.21,24.34,24.13,24.13,140.32
1642474800000,24.08,24.08,23.65,23.65,29.5
1642478400000,23.61,23.61,23.5,23.52,119.78
1642482000000,23.38,23.38,23.38,23.38,1.63
1642485600000,23.54,23.86,23.54,23.78,19.81
1642489200000,23.61,23.61,23.5,23.57,4.3
1642492800000,23.49,23.49,23.1,23.24,1952.82
1642496400000,23.05,23.2,22.82,23.2,78.78
1642500000000,23.23,23.35,23.16,23.16,19.58
1642503600000,23.14,23.14,23.09,23.1,67.97
1642507200000,23.04,23.1,22.99,23.1,4.3
1642510800000,22.93,22.93,22.75,22.75,10.93
1642514400000,22.75,22.75,22.44,22.48,667.76
1642518000000,22.57,22.75,22.48,22.48,319.61
1642521600000,22.48,22.64,22.48,22.64,125.37
1642525200000,22.64,22.64,22.48,22.48,5.73
1642528800000,22.42,22.42,22.0,22.18,1662.63
1642532400000,22.17,22.34,22.17,22.34,1.57
1642536000000,22.41,22.41,22.36,22.36,90.61
1642539600000,22.55,23.05,22.55,22.97,72.9
1642543200000,22.82,23.31,22.79,23.3,71.28
1642546800000,23.26,23.26,22.93,22.93,107.09
1642550400000,22.93,23.09,22.91,22.91,108.03
1642554000000,22.91,23.13,22.91,23.13,157.69
1642557600000,22.98,22.98,22.94,22.94,140.86
1642561200000,22.98,22.98,22.15,22.34,512.37
1642564800000,22.26,22.34,22.26,22.34,176.29
1642568400000,22.29,22.36,22.29,22.32,9.67
1642572000000,22.05,22.1,21.83,21.83,1113.58
1642575600000,21.62,21.62,21.53,21.56,100.78
1642579200000,21.38,21.38,21.28,21.38,99.04
1642582800000,21.45,21.48,21.45,21.48,112.56
1642586400000,21.65,21.65,21.42,21.49,83.78
1642590000000,21.92,21.92,21.92,21.92,1.52
1642593600000,21.92,21.92,21.92,21.92,0.0
1642597200000,21.92,21.92,21.92,21.92,0.0
1642600800000,22.07,22.07,22.0,22.0,435.7
1642604400000,22.46,22.46,21.89,21.89,547.07
1642608000000,21.9,22.03,21.71,21.71,524.8
1642611600000,22.04,22.07,21.92,21.92,4571.92
1642615200000,22.1,22.2,22.05,22.05,67.68
1642618800000,22.04,22.04,21.86,21.91,94.2
1642622400000,21.81,21.81,21.62,21.62,153.93
1642626000000,21.78,21.81,21.68,21.73,191.65
1642629600000,21.65,21.69,21.65,21.69,2.57
1642633200000,21.72,21.72,21.7,21.71,23.41
1642636800000,21.52,21.64,21.52,21.64,58.41
1642640400000,21.37,21.48,21.37,21.48,189.14
1642644000000,21.58,21.58,21.58,21.58,46.27
1642647600000,21.73,21.84,21.72,21.84,296.88
1642651200000,21.75,21.76,21.75,21.76,50.0
1642654800000,21.84,21.84,21.84,21.84,4.99
1642658400000,21.98,22.16,21.98,22.16,348.66
1642662000000,22.28,22.28,22.28,22.28,0.46
1642665600000,22.28,22.28,22.28,22.28,0.0
1642669200000,22.02,22.12,21.97,22.12,173.92
1642672800000,22.2,22.2,22.2,22.2,1.07
1642676400000,22.41,22.48,22.29,22.29,18.16
1642680000000,22.09,22.09,22.07,22.08,23.11
1642683600000,22.08,22.68,22.07,22.57,387.39
1642687200000,22.66,22.79,22.56,22.79,164.87
1642690800000,22.86,22.95,22.61,22.73,125.51
1642694400000,22.85,22.87,22.55,22.55,76.17
1642698000000,22.56,22.56,22.33,22.36,187.81
1642701600000,22.24,22.48,22.24,22.27,332.92
1642705200000,22.25,22.42,22.25,22.41,29.99
1642708800000,22.23,22.23,22.04,22.04,920.92
1642712400000,22.11,22.14,20.85,20.85,885.47
1642716000000,20.77,21.09,20.58,20.58,3091.16
1642719600000,20.53,20.53,20.02,20.18,1028.62
1642723200000,20.17,20.44,19.9,20.44,523.13
1642726800000,20.34,20.34,19.35,19.42,4746.62
1642730400000,19.58,20.01,19.4,19.77,354.31
1642734000000,19.8,19.8,19.05,19.17,2227.68
1642737600000,19.35,19.44,19.35,19.42,102.23
1642741200000,19.19,19.47,19.19,19.35,203.75
1642744800000,19.21,19.21,19.21,19.21,19.48
1642748400000,19.23,19.56,19.23,19.56,319.03
1642752000000,19.54,19.55,19.54,19.55,3.9
1642755600000,19.49,19.55,19.49,19.55,1.95
1642759200000,19.51,19.51,19.46,19.48,119.03
1642762800000,19.47,19.47,19.35,19.4,241.65
1642766400000,19.07,19.07,18.42,18.62,2427.54
1642770000000,18.93,19.29,18.93,19.29,816.79
1642773600000,19.2,19.24,19.2,19.24,4.55
1642777200000,19.13,19.7,18.94,19.65,2929.73
1642780800000,19.54,19.63,19.38,19.38,613.0
1642784400000,19.24,19.4,19.08,19.08,252.91
1642788000000,19.16,19.35,18.98,19.03,524.61
1642791600000,19.18,19.18,18.86,18.86,172.54
1642795200000,18.73,18.92,18.47,18.83,1161.59
1642798800000,18.89,19.13,17.33,17.86,5271.53
1642802400000,18.01,18.2,17.12,17.58,1471.56
1642806000000,17.58,17.76,17.19,17.25,694.94
1642809600000,17.54,17.8,17.31,17.62,300.8
1642813200000,17.5,17.69,17.38,17.63,260.88
1642816800000,17.68,17.74,17.46,17.46,370.15
1642820400000,17.6,17.79,17.18,17.27,183.91
1642824000000,17.32,17.32,17.07,17.26,214.65
1642827600000,17.06,17.17,16.21,16.23,245.67
1642831200000,16.32,16.57,15.98,16.05,1568.18
1642834800000,16.11,16.11,15.19,15.52,3353.82
1642838400000,15.41,15.84,15.4,15.82,1363.75
1642842000000,15.8,15.8,14.74,14.94,4293.18
1642845600000,14.82,15.75,14.28,15.53,39762.16
1642849200000,15.67,15.68,15.16,15.6,1356.88
1642852800000,15.62,16.34,15.61,16.34,5761.41
1642856400000,16.16,16.43,15.94,15.94,1552.7
1642860000000,15.98,15.98,15.64,15.64,547.99
1642863600000,15.58,15.58,15.25,15.34,311.63
1642867200000,15.33,15.99,15.17,15.81,1856.96
1642870800000,15.81,15.89,15.42,15.42,881.7
1642874400000,15.39,15.55,15.14,15.21,2654.77
1642878000000,15.35,15.47,15.0,15.26,5593.71
1642881600000,15.3,16.23,15.3,16.05,7670.69
1642885200000,16.1,16.29,15.95,16.18,2292.6
1642888800000,16.08,16.08,15.6,15.6,911.23
1642892400000,15.76,15.88,15.76,15.78,1188.6
1642896000000,15.82,16.33,15.82,16.33,339.73
1642899600000,16.27,16.3,16.15,16.17,33.72
1642903200000,16.01,16.01,15.52,15.52,268.94
1642906800000,15.54,15.57,15.54,15.57,96.2
1642910400000,15.64,15.91,15.64,15.9,1038.63
1642914000000,15.89,16.18,15.74,16.18,422.69
1642917600000,16.08,16.22,16.07,16.07,1004.1
1642921200000,16.23,16.3,16.23,16.26,786.56
1642924800000,16.2,16.52,16.2,16.38,1132.99
1642928400000,16.55,16.85,16.55,16.63,410.49
1642932000000,16.47,16.47,16.34,16.38,286.01
1642935600000,16.24,16.24,16.04,16.16,483.85
1642939200000,16.15,16.15,15.96,15.96,853.8
1642942800000,16.14,16.33,16.14,16.33,3010.52
1642946400000,16.32,16.32,15.48,15.58,190.75
1642950000000,15.66,15.67,15.55,15.55,895.29
1642953600000,15.79,15.91,15.61,15.71,157.94
1642957200000,15.65,15.77,15.65,15.76,148.09
1642960800000,15.63,15.65,15.37,15.46,244.23
1642964400000,15.48,15.48,15.19,15.19,1287.85
1642968000000,15.35,15.54,15.35,15.5,276.61
1642971600000,15.5,15.5,15.5,15.5,0.0
1642975200000,15.58,15.72,15.58,15.72,430.39
1642978800000,15.68,16.58,15.68,16.58,449.29
1642982400000,16.49,16.49,16.3,16.33,65.11
1642986000000,16.29,16.29,16.07,16.07,126.64
1642989600000,15.86,15.86,15.7,15.7,20.32
1642993200000,15.8,15.97,15.8,15.97,573.31
1642996800000,16.11,16.11,15.62,15.65,536.55
1643000400000,15.54,15.54,15.5,15.5,6.98
1643004000000,15.78,15.78,15.73,15.73,88.84
1643007600000,15.48,15.54,15.29,15.32,370.45
1643011200000,15.24,15.38,15.04,15.04,2205.18
1643014800000,15.12,15.12,14.67,14.72,1745.13
1643018400000,14.6,14.6,13.92,13.92,3744.12
1643022000000,13.89,14.45,13.83,14.08,1248.92
1643025600000,13.88,13.88,13.58,13.76,621.4
1643029200000,13.66,13.95,13.61,13.77,2505.95
1643032800000,13.54,14.32,13.5,14.06,1703.98
1643036400000,13.89,14.57,13.68,14.57,5242.33
1643040000000,14.49,14.76,14.16,14.37,2373.47
1643043600000,14.27,14.95,14.16,14.93,1186.76
1643047200000,14.85,15.33,14.74,15.2,3170.68
1643050800000,15.16,15.35,14.99,15.01,1338.18
1643054400000,15.21,15.87,15.21,15.83,1199.03
1643058000000,15.68,15.68,15.54,15.66,288.36
1643061600000,15.62,15.65,15.49,15.54,9.87
1643065200000,15.46,15.63,15.46,15.63,16.88
1643068800000,15.57,15.57,15.23,15.23,498.7
1643072400000,15.14,15.18,15.13,15.15,50.68
1643076000000,15.25,15.4,15.25,15.38,72.02
1643079600000,15.38,15.38,15.29,15.31,69.37
1643083200000,15.37,15.37,14.89,14.89,119.76
1643086800000,14.81,14.91,14.73,14.81,3020.21
1643090400000,14.88,14.88,14.64,14.64,84.96
1643094000000,14.68,14.91,14.57,14.91,71.27
1643097600000,15.1,15.17,15.02,15.02,157.89
1643101200000,15.1,15.31,15.1,15.31,57.78
1643104800000,15.32,15.59,15.18,15.27,38158.63
1643108400000,15.37,15.37,15.29,15.31,84.93
1643112000000,15.16,15.31,15.12,15.31,259.47
1643115600000,15.18,15.2,15.15,15.15,21.46
1643119200000,15.24,15.58,15.14,15.14,94.62
1643122800000,15.13,15.46,14.91,15.4,315.72
1643126400000,15.38,15.51,15.29,15.44,255.18
1643130000000,15.51,15.78,15.43,15.55,57.8
1643133600000,15.81,15.81,15.81,15.81,24.19
1643137200000,15.91,16.0,15.77,15.77,45.8
1643140800000,15.54,15.54,15.41,15.53,8.56
1643144400000,15.44,15.45,15.24,15.24,344.38
1643148000000,15.31,15.32,15.31,15.32,20.34
1643151600000,15.44,15.55,15.3,15.46,12857.96
1643155200000,15.35,15.35,15.29,15.29,43.85
1643158800000,15.36,15.36,15.26,15.26,55.66
1643162400000,15.26,15.51,15.26,15.51,16.92
1643166000000,15.31,15.46,15.31,15.46,2.02
1643169600000,15.59,16.0,15.59,16.0,299.64
1643173200000,15.97,15.97,15.85,15.85,15.36
1643176800000,15.81,15.81,15.63,15.67,602.8
1643180400000,15.59,15.74,15.59,15.74,1.9
1643184000000,15.82,15.94,15.82,15.88,110.81
1643187600000,15.85,16.08,15.85,15.88,308.9
1643191200000,15.86,15.92,15.86,15.92,69.39
1643194800000,16.11,16.11,15.95,15.95,81.5
1643198400000,16.0,16.24,16.0,16.2,132.65
1643202000000,16.2,16.44,16.11,16.43,270.21
1643205600000,16.53,16.55,16.45,16.55,114.79
1643209200000,16.4,16.4,15.98,15.98,13.15
1643212800000,16.07,16.08,16.06,16.06,205.56
1643216400000,16.1,16.14,15.75,15.76,71.74
1643220000000,15.59,15.61,15.49,15.61,372.3
1643223600000,16.1,16.72,15.75,15.91,6354.67
1643227200000,15.56,15.61,15.26,15.32,11053.64
1643230800000,15.41,15.41,14.72,14.72,223.05
1643234400000,14.72,14.81,14.72,14.79,162.96
1643238000000,15.06,15.4,14.99,15.24,178.6
1643241600000,15.28,15.35,15.28,15.29,105.61
1643245200000,15.06,15.09,14.81,14.81,33.98
1643248800000,14.62,14.62,14.53,14.54,42.46
1643252400000,14.62,14.62,14.41,14.41,497.99
1643256000000,14.55,14.8,14.51,14.73,252.84
1643259600000,14.8,14.8,14.68,14.68,204.92
1643263200000,14.68,14.8,14.65,14.8,72.34
1643266800000,14.75,15.1,14.75,14.93,239.52
1643270400000,14.86,15.05,14.7,15.01,308.24
1643274000000,14.94,15.05,14.91,15.05,4.43
1643277600000,14.94,15.05,14.86,14.97,258.09
1643281200000,15.01,15.15,15.01,15.15,41.01
1643284800000,15.13,15.26,15.12,15.26,356.25
1643288400000,15.29,15.46,15.25,15.37,670.46
1643292000000,15.46,15.69,15.35,15.43,970.61
1643295600000,15.54,15.62,15.26,15.26,17.08
1643299200000,15.37,15.58,15.26,15.43,130.19
1643302800000,15.35,15.35,15.1,15.1,19.85
1643306400000,15.04,15.09,14.94,15.05,393.3
1643310000000,14.98,14.98,14.77,14.92,67.61
1643313600000,14.93,15.02,14.54,14.55,4293.82
1643317200000,14.47,14.81,14.47,14.81,383.38
1643320800000,14.7,15.0,14.56,14.91,142.46
1643324400000,15.0,15.24,14.94,15.24,45.2
1643328000000,15.24,15.4,15.06,15.23,216.71
1643331600000,15.29,15.29,14.86,14.96,77.22
1643335200000,14.98,15.13,14.81,15.13,96.33
1643338800000,15.13,15.45,15.13,15.27,169.08
1643342400000,15.26,15.37,15.26,15.26,5.64
1643346000000,15.3,15.37,15.29,15.37,7.11
1643349600000,15.4,15.5,15.26,15.26,10.53
1643353200000,15.18,15.29,15.09,15.09,10.65
1643356800000,15.02,15.13,14.91,15.13,179.03
1643360400000,15.11,15.22,14.94,14.95,161.91
