ts,open,high,low,close,volume
1609459200000,124.77,124.77,123.06,123.91,162.94468
1609462800000,124.2,131.88,124.1,131.7,1262.72776
1609466400000,131.81,133.83,130.17,133.29,1262.05562
1609470000000,133.43,133.43,131.3,131.89,608.22585
1609473600000,131.8,132.11,129.9,130.84,429.65593
1609477200000,130.82,131.14,130.2,130.9,187.33751
1609480800000,131.02,132.03,129.18,129.96,631.90834
1609484400000,130.2,130.2,128.55,129.42,390.66489
1609488000000,129.74,129.79,124.85,125.91,2101.27162
1609491600000,125.9,127.68,125.9,127.31,187.27523
1609495200000,127.11,128.32,126.96,127.4,147.61923
1609498800000,128.16,128.81,127.37,127.37,130.80193
1609502400000,127.52,130.11,126.15,126.7,728.78708
1609506000000,126.6,128.27,126.6,127.91,177.27774
1609509600000,127.74,128.66,127.0,127.0,265.99415
1609513200000,127.08,127.41,125.94,126.42,146.09493
1609516800000,126.4,127.46,126.1,126.95,142.76432
1609520400000,126.84,126.94,125.13,125.34,406.22677
1609524000000,125.24,126.5,123.36,125.48,477.1255
1609527600000,125.36,125.43,124.45,125.27,182.74329
1609531200000,125.0,126.53,125.0,126.15,205.22397
1609534800000,126.0,126.21,125.21,125.47,133.39251
1609538400000,125.16,126.08,125.13,126.08,107.28646
1609542000000,125.87,126.19,125.58,126.19,28.08327
1609545600000,126.01,126.63,123.6,124.08,457.87628
1609549200000,124.38,125.65,123.24,125.18,256.0118
1609552800000,125.47,125.56,124.37,124.55,82.77481
1609556400000,124.31,125.82,124.31,125.15,134.03037
1609560000000,124.77,125.16,124.31,124.82,164.81323
1609563600000,125.16,126.19,125.16,125.9,87.47145
1609567200000,126.05,127.32,125.48,126.63,149.40417
1609570800000,126.83,126.89,125.46,125.65,182.90899
1609574400000,125.68,125.89,124.42,125.55,146.46227
1609578000000,125.23,125.34,124.0,124.37,145.52764
1609581600000,124.13,127.05,123.96,124.89,643.8412
1609585200000,125.07,125.42,124.67,125.42,73.28252
1609588800000,125.36,131.62,125.05,130.4,1659.01161
1609592400000,130.53,132.49,129.14,130.69,1229.75597
1609596000000,130.51,130.76,128.26,129.7,1353.38411
1609599600000,130.0,131.22,129.64,131.06,314.76133
1609603200000,131.21,141.87,129.69,140.36,3507.14361
1609606800000,140.3,141.14,136.28,137.66,2181.72944
1609610400000,138.09,138.16,134.61,136.82,1455.17236
1609614000000,136.64,140.72,136.41,138.47,1331.45269
1609617600000,138.57,138.57,133.02,133.66,1510.94206
1609621200000,133.06,135.58,132.17,134.57,1351.06659
1609624800000,134.26,137.61,134.26,136.55,427.13175
1609628400000,136.41,138.48,135.0,136.99,689.72775
1609632000000,136.94,138.17,136.1,137.24,311.76676
1609635600000,137.16,138.96,136.74,137.51,543.50363
1609639200000,137.5,138.25,136.55,137.6,407.62523
1609642800000,137.5,137.7,135.41,135.84,366.26084
1609646400000,135.84,136.86,135.37,136.86,207.01118
1609650000000,136.72,138.86,136.72,137.56,678.97136
1609653600000,137.22,142.6,137.0,140.8,982.35641
1609657200000,140.08,141.0,138.23,139.0,620.98709
1609660800000,139.29,144.0,137.87,143.05,908.24628
1609664400000,143.2,144.87,141.95,143.45,853.59294
1609668000000,143.55,151.58,143.55,150.3,2590.19875
1609671600000,149.93,154.62,149.93,151.69,1236.1595
1609675200000,152.04,152.57,150.33,151.19,968.69353
1609678800000,151.5,156.07,151.27,152.15,1915.39863
1609682400000,152.26,154.7,148.27,151.01,1151.11489
1609686000000,151.27,151.93,147.51,150.82,1703.59984
1609689600000,151.13,159.98,150.22,150.22,3374.58245
1609693200000,150.23,154.31,148.2,152.18,2507.7301
1609696800000,152.14,153.56,149.17,151.64,1004.57243
1609700400000,151.07,151.92,149.17,151.17,464.6218
1609704000000,151.38,155.99,151.38,154.31,881.98069
1609707600000,154.7,156.85,153.96,156.3,312.68029
1609711200000,155.49,159.34,155.0,157.1,824.39152
