ts,open,high,low,close,volume
1641344400000,2.386,2.39,2.373,2.373,5456.5
1641348000000,2.385,2.397,2.371,2.397,4928.5
1641351600000,2.403,2.422,2.4,2.42,27221.0
1641355200000,2.419,2.422,2.4,2.412,26464.9
1641358800000,2.41,2.412,2.395,2.395,3661.5
1641362400000,2.428,2.441,2.426,2.441,14595.9
1641366000000,2.441,2.441,2.425,2.438,1606.4
1641369600000,2.432,2.444,2.432,2.441,793.0
1641373200000,2.437,2.452,2.437,2.452,654.3
1641376800000,2.453,2.453,2.425,2.425,1449.3
1641380400000,2.416,2.416,2.386,2.393,807.9
1641384000000,2.399,2.399,2.377,2.393,3475.7
1641387600000,2.401,2.409,2.394,2.4,6008.6
1641391200000,2.394,2.397,2.391,2.397,82.1
1641394800000,2.391,2.397,2.382,2.391,3257.0
1641398400000,2.381,2.387,2.362,2.373,4187.0
1641402000000,2.374,2.375,2.341,2.341,7420.0
1641405600000,2.327,2.352,2.324,2.339,6480.2
1641409200000,2.336,2.336,2.237,2.237,23826.2
1641412800000,2.242,2.256,2.2,2.2,71189.1
1641416400000,2.225,2.248,2.191,2.191,39141.0
1641420000000,2.195,2.207,2.01,2.17,226106.0
1641423600000,2.174,2.218,2.161,2.18,50749.9
1641427200000,2.179,2.22,2.161,2.206,46920.8
1641430800000,2.191,2.21,2.149,2.17,35357.8
1641434400000,2.165,2.181,2.141,2.15,10272.5
1641438000000,2.145,2.154,2.11,2.11,20537.5
1641441600000,2.125,2.15,2.102,2.15,13534.0
1641445200000,2.135,2.163,2.131,2.148,24256.0
1641448800000,2.14,2.16,2.124,2.124,9008.0
1641452400000,2.144,2.149,2.14,2.14,3028.7
1641456000000,2.144,2.148,2.111,2.128,6295.2
1641459600000,2.128,2.128,2.077,2.077,18474.6
1641463200000,2.082,2.12,2.076,2.119,7900.6
1641466800000,2.112,2.121,2.097,2.107,5487.3
1641470400000,2.11,2.135,2.079,2.129,34615.3
1641474000000,2.135,2.203,2.135,2.196,17114.3
1641477600000,2.187,2.232,2.173,2.193,18686.3
1641481200000,2.196,2.218,2.17,2.217,12679.4
1641484800000,2.213,2.219,2.186,2.199,15919.3
1641488400000,2.2,2.238,2.194,2.215,31062.5
1641492000000,2.21,2.263,2.21,2.263,18189.7
1641495600000,2.259,2.297,2.246,2.283,8508.3
1641499200000,2.28,2.284,2.227,2.235,11181.5
1641502800000,2.235,2.249,2.235,2.236,2967.8
1641506400000,2.235,2.263,2.226,2.263,4100.6
1641510000000,2.263,2.263,2.235,2.247,19120.2
1641513600000,2.263,2.266,2.205,2.213,42836.2
1641517200000,2.235,2.235,2.219,2.235,1041.2
1641520800000,2.224,2.228,2.197,2.199,5813.8
1641524400000,2.19,2.195,2.098,2.115,98015.5
1641528000000,2.122,2.133,2.063,2.121,55198.7
1641531600000,2.124,2.141,2.115,2.131,26688.6
1641535200000,2.125,2.125,2.09,2.1,8491.3
1641538800000,2.105,2.126,2.081,2.122,7160.0
1641542400000,2.126,2.176,2.117,2.139,33334.1
1641546000000,2.141,2.18,2.141,2.166,9144.0
1641549600000,2.165,2.171,2.147,2.149,6139.0
1641553200000,2.162,2.171,2.137,2.144,9081.1
1641556800000,2.156,2.186,2.156,2.171,8646.1
1641560400000,2.175,2.181,2.084,2.12,73739.3
1641564000000,2.116,2.17,2.113,2.153,47430.2
1641567600000,2.144,2.144,2.062,2.093,28101.6
1641571200000,2.105,2.14,2.06,2.137,45450.0
1641574800000,2.134,2.134,2.108,2.126,4975.5
1641578400000,2.13,2.13,2.085,2.098,21262.2
1641582000000,2.105,2.11,2.089,2.102,2962.8
1641585600000,2.104,2.111,2.091,2.105,4531.2
1641589200000,2.094,2.096,2.081,2.088,10042.3
1641592800000,2.081,2.081,2.054,2.054,575.2
1641596400000,2.064,2.069,2.043,2.049,19913.3
1641600000000,2.06,2.103,2.041,2.098,12054.7
1641603600000,2.102,2.123,2.098,2.1,19839.7
1641607200000,2.1,2.1,2.072,2.091,17462.1
1641610800000,2.095,2.097,2.076,2.089,2350.1
1641614400000,2.094,2.115,2.094,2.11,2303.4
1641618000000,2.099,2.11,2.096,2.108,764.8
1641621600000,2.106,2.112,2.095,2.112,12193.5
1641625200000,2.116,2.126,2.111,2.123,522.1
1641628800000,2.126,2.143,2.125,2.131,3622.9
1641632400000,2.134,2.139,2.13,2.135,4197.4
1641636000000,2.14,2.14,2.112,2.112,1970.4
1641639600000,2.118,2.118,2.108,2.108,602.7
1641643200000,2.11,2.111,2.098,2.101,733.3
1641646800000,2.101,2.106,2.088,2.106,14381.4
1641650400000,2.098,2.104,2.07,2.07,46524.1
1641654000000,2.068,2.073,2.046,2.055,23856.5
1641657600000,2.055,2.074,1.994,2.004,26787.8
1641661200000,2.002,2.005,1.928,1.929,26052.9
1641664800000,1.929,1.974,1.908,1.908,118408.1
1641668400000,1.903,1.941,1.864,1.927,188230.6
1641672000000,1.931,1.947,1.911,1.932,12289.9
1641675600000,1.939,2.002,1.939,1.993,40692.0
1641679200000,1.997,2.038,1.997,2.016,8503.8
1641682800000,2.016,2.016,1.986,1.986,10176.1
1641686400000,1.983,2.024,1.965,2.021,8359.5
1641690000000,2.021,2.027,1.981,2.014,16454.2
1641693600000,2.011,2.032,2.01,2.021,3226.6
1641697200000,2.023,2.03,2.01,2.01,9251.4
1641700800000,2.014,2.038,2.012,2.038,9892.4
1641704400000,2.04,2.046,2.026,2.026,23690.9
1641708000000,2.028,2.038,2.02,2.038,1209.8
1641711600000,2.038,2.04,2.023,2.024,996.6
1641715200000,2.024,2.025,1.998,2.014,2696.8
1641718800000,2.007,2.007,1.986,2.005,3217.6
1641722400000,2.008,2.014,1.99,2.014,4442.7
1641726000000,2.018,2.037,2.018,2.037,3562.9
1641729600000,2.04,2.044,2.018,2.024,3897.6
1641733200000,2.016,2.032,2.004,2.004,8337.6
1641736800000,2.018,2.026,2.008,2.008,2265.2
1641740400000,2.006,2.011,1.988,2.003,5375.1
1641744000000,2.007,2.058,2.007,2.043,76951.1
1641747600000,2.059,2.099,2.054,2.098,20331.9
1641751200000,2.093,2.119,2.091,2.113,14809.9
1641754800000,2.115,2.159,2.114,2.159,23388.3
1641758400000,2.155,2.166,2.127,2.134,33794.9
1641762000000,2.136,2.144,2.117,2.128,4415.9
1641765600000,2.128,2.137,2.107,2.111,5358.2
1641769200000,2.122,2.122,2.099,2.114,22075.8
1641772800000,2.113,2.144,2.092,2.092,15189.6
1641776400000,2.091,2.106,2.084,2.099,10035.6
1641780000000,2.102,2.116,2.082,2.112,7546.1
