ts,open,high,low,close,volume
1609459200000,1.5144,1.5371,1.5144,1.533,569.46
1609462800000,1.5603,1.6048,1.5603,1.5999,403.26
1609466400000,1.5751,1.5791,1.5751,1.5791,444.46
1609470000000,1.5801,1.6034,1.5791,1.6034,256.19
1609473600000,1.6004,1.6004,1.5937,1.5937,19.6
1609477200000,1.6056,1.6064,1.6056,1.6064,228.85
1609480800000,1.6078,1.6333,1.6078,1.6262,235.22
1609484400000,1.6246,1.6246,1.6246,1.6246,49.63
1609488000000,1.5948,1.5948,1.5948,1.5948,67.37
1609491600000,1.5948,1.5948,1.5948,1.5948,0.0
1609495200000,1.6293,1.6293,1.6293,1.6293,67.37
1609498800000,1.6288,1.6288,1.608,1.6202,649.42
1609502400000,1.6328,1.6355,1.5948,1.5948,723.55
1609506000000,1.5922,1.5922,1.5884,1.5884,319.51
1609509600000,1.6126,1.6453,1.6126,1.6453,250.2
1609513200000,1.6568,1.6568,1.6398,1.6398,261.41
1609516800000,1.6587,1.6637,1.6587,1.6637,1129.93
1609520400000,1.68,1.7263,1.6269,1.6637,2085.75
1609524000000,1.6589,1.8156,1.6559,1.7455,3546.88
1609527600000,1.7543,1.8085,1.7327,1.7327,2881.08
1609531200000,1.7672,1.8121,1.7672,1.7672,392.62
1609534800000,1.7672,1.7672,1.7327,1.7672,2260.99
1609538400000,1.7818,1.8068,1.7724,1.8068,3488.08
1609542000000,1.8013,1.852,1.8013,1.8455,1321.02
1609545600000,1.8166,1.8213,1.7327,1.7796,6061.26
1609549200000,1.7737,1.8527,1.7345,1.8527,724.33
1609552800000,1.8463,1.8887,1.8225,1.8334,3365.26
1609556400000,1.8318,1.9051,1.8258,1.865,2193.45
1609560000000,1.865,1.873,1.8268,1.8273,404.22
1609563600000,1.8017,1.8354,1.8015,1.8354,992.37
1609567200000,1.7911,1.7911,1.7672,1.7672,408.28
1609570800000,1.7662,1.7978,1.7552,1.7582,1112.22
1609574400000,1.7554,1.7665,1.7554,1.7636,229.59
1609578000000,1.7647,1.7647,1.732,1.732,5560.0
1609581600000,1.7594,1.7613,1.7457,1.7457,129.73
1609585200000,1.7508,1.7672,1.7476,1.7601,2007.48
1609588800000,1.7601,1.8017,1.7299,1.8017,745.06
1609592400000,1.8237,1.8448,1.7981,1.8171,1504.04
1609596000000,1.8006,1.8006,1.7546,1.7729,812.46
1609599600000,1.7906,1.7906,1.7593,1.762,463.82
1609603200000,1.7703,1.8017,1.7563,1.8017,349.67
1609606800000,1.8198,1.9116,1.8198,1.9116,1318.57
1609610400000,1.9239,2.0,1.9051,1.9051,1194.48
1609614000000,1.907,1.9106,1.8725,1.9077,3361.8
1609617600000,1.8967,1.9294,1.7672,1.7672,3291.49
1609621200000,1.7946,1.8259,1.7946,1.8123,237.46
1609624800000,1.8009,1.8009,1.7735,1.7735,5223.19
1609628400000,1.7735,1.8131,1.7735,1.7955,4387.78
1609632000000,1.8228,1.8228,1.8089,1.8156,196.56
1609635600000,1.8362,1.8506,1.8277,1.8506,621.43
1609639200000,1.8098,1.9171,1.8043,1.9085,896.01
1609642800000,1.9263,1.966,1.8875,1.9541,2809.2
1609646400000,1.9523,1.9741,1.9235,1.9641,3587.17
1609650000000,1.9741,1.9741,1.9312,1.9562,6070.3
1609653600000,1.9741,2.1016,1.9722,2.0786,3308.81
1609657200000,2.091,2.0969,2.05,2.0751,5736.61
1609660800000,2.0716,2.2594,2.0716,2.2511,7018.41
1609664400000,2.2307,2.2902,2.1497,2.1665,1892.52
1609668000000,2.1777,2.2404,2.1693,2.2229,738.83
1609671600000,2.2499,2.3777,2.2491,2.3013,1747.45
1609675200000,2.3216,2.3216,2.2517,2.2545,444.86
1609678800000,2.2384,2.2384,2.0775,2.1256,1338.16
1609682400000,2.0905,2.1292,1.9732,2.056,14348.67
1609686000000,2.0775,2.0913,2.005,2.0675,6367.78
1609689600000,2.0775,2.1352,1.9741,1.9801,18864.57
1609693200000,1.9592,1.9814,1.9196,1.9714,6071.85
1609696800000,1.9755,1.9955,1.9559,1.9947,8979.41
1609700400000,1.9947,2.0009,1.943,1.9623,7224.76
1609704000000,1.9623,2.0086,1.9622,1.9962,1278.11
1609707600000,2.0006,2.048,1.9942,1.9942,2453.43
1609711200000,2.0418,2.0775,2.0418,2.0775,1690.88
1609714800000,2.0802,2.1682,2.0775,2.1682,2979.88
1609718400000,2.1986,2.2597,2.1095,2.2342,2778.86
1609722000000,2.219,2.3223,2.1827,2.3194,1689.5
1609725600000,2.3086,2.3875,2.2728,2.3042,6013.11
1609729200000,2.3134,2.3352,2.2752,2.3125,670.54
1609732800000,2.3013,2.3369,2.2669,2.3109,1496.99
1609736400000,2.3184,2.3453,2.2856,2.2885,6489.28
1609740000000,2.2885,2.3481,2.24,2.2675,2903.1
1609743600000,2.2688,2.316,2.065,2.1137,2480.76
1609747200000,2.1554,2.2046,2.0205,2.0673,4042.25
1609750800000,2.1156,2.1156,1.9427,2.0216,2717.2
1609754400000,2.0373,2.0563,1.8942,2.03,2960.47
1609758000000,2.0035,2.0396,1.9611,2.0396,607.08
1609761600000,2.0434,2.1741,2.0434,2.1174,905.05
1609765200000,2.0861,2.1621,2.0636,2.1621,8018.27
1609768800000,2.1621,2.2756,2.1421,2.2521,17777.21
1609772400000,2.254,2.3287,2.2373,2.2628,796.08
1609776000000,2.2557,2.2557,2.1445,2.1792,10640.62
1609779600000,2.2083,2.2947,2.1665,2.1972,1708.22
1609783200000,2.2206,2.2783,2.2206,2.2228,1668.93
1609786800000,2.2376,2.4431,2.2374,2.4431,8140.7
1609790400000,2.449,2.46,2.293,2.293,1551.14
1609794000000,2.283,2.317,2.1962,2.1962,3239.84
1609797600000,2.2383,2.4402,2.2383,2.4402,1586.36
1609801200000,2.426,2.4932,2.4112,2.4924,3506.44
1609804800000,2.4627,2.4855,2.3829,2.4254,3043.51
1609808400000,2.433,2.46,2.372,2.46,878.36
1609812000000,2.467,2.472,2.3412,2.353,2384.38
1609815600000,2.355,2.3568,2.19,2.19,4424.31
1609819200000,2.19,2.2452,2.1582,2.2152,2286.61
1609822800000,2.2159,2.2452,2.1024,2.108,1908.79
1609826400000,2.1239,2.2214,2.0785,2.2214,3970.6
1609830000000,2.2176,2.2214,2.1806,2.1812,333.37
1609833600000,2.2051,2.2569,2.2051,2.2569,738.24
1609837200000,2.269,2.3166,2.269,2.2872,785.73
1609840800000,2.269,2.3199,2.2568,2.2917,718.2
1609844400000,2.2915,2.397,2.2851,2.397,505.2
1609848000000,2.3912,2.408,2.3302,2.351,374.26
1609851600000,2.3839,2.3839,2.2214,2.2214,428.41
1609855200000,2.2286,2.2922,2.1656,2.2795,717.1
1609858800000,2.2651,2.2685,2.2119,2.2345,1998.08
1609862400000,2.1976,2.2904,2.1976,2.2689,274.31
1609866000000,2.2453,2.2928,2.224,2.2928,681.81
1609869600000,2.3166,2.3469,2.2818,2.2853,1582.08
1609873200000,2.277,2.277,2.2287,2.2332,1695.99
1609876800000,2.2214,2.2452,2.195,2.2236,1587.15
1609880400000,2.2045,2.239,2.1803,2.1983,2664.6
1609884000000,2.2105,2.2126,2.1804,2.2002,1303.42
1609887600000,2.2214,2.2361,2.1236,2.1561,10388.74
1609891200000,2.1582,2.1616,2.0571,2.0571,1799.01
1609894800000,2.0836,2.1216,2.0617,2.0617,1358.22
1609898400000,2.0655,2.1024,2.0434,2.0785,8759.28
1609902000000,2.0792,2.0792,1.9579,2.0,10500.3
1609905600000,1.9892,2.0724,1.9747,2.0396,6890.31
1609909200000,2.0156,2.0396,1.9957,1.9957,4061.75
1609912800000,1.9868,2.0038,1.9464,1.9984,4741.01
1609916400000,1.994,2.011,1.984,2.011,1973.95
1609920000000,2.0196,2.0268,1.9907,2.0226,843.64
1609923600000,2.0226,2.0248,1.9973,2.0248,1060.88
1609927200000,2.0309,2.1078,2.015,2.1078,3255.44
1609930800000,2.1087,2.1233,2.0894,2.1016,4259.8
1609934400000,2.1016,2.1724,2.0199,2.1247,16444.2
1609938000000,2.1488,2.1726,2.1078,2.1673,5150.3
1609941600000,2.1601,2.1738,2.1023,2.1023,1157.1
1609945200000,2.1236,2.1678,2.0845,2.0847,15729.17
1609948800000,2.0847,2.1127,2.0836,2.1127,11712.55
1609952400000,2.1101,2.1253,2.0595,2.0595,13177.61
1609956000000,2.0595,2.093,2.0111,2.0114,5283.16
1609959600000,2.0312,2.0342,1.9478,1.979,8117.34
1609963200000,1.9833,2.0547,1.9475,2.0309,8766.78
1609966800000,2.0309,2.0838,1.9796,2.0077,4897.13
1609970400000,1.9881,2.0219,1.9868,1.9869,645.72
1609974000000,1.9868,1.9869,1.96,1.97,13309.04
1609977600000,1.9701,2.452,1.9701,2.295,40256.68
1609981200000,2.3039,2.3039,2.1383,2.1705,8430.09
1609984800000,2.1584,2.2356,2.1537,2.1671,6710.2
1609988400000,2.1901,2.2422,2.1783,2.19,1472.78
1609992000000,2.1823,2.277,2.1823,2.1901,2038.41
1609995600000,2.19,2.2528,2.1589,2.2451,1334.28
1609999200000,2.2393,2.2423,2.1643,2.2198,979.37
1610002800000,2.2089,2.225,2.1288,2.1299,6970.25
1610006400000,2.1261,2.1365,2.011,2.1365,12199.76
1610010000000,2.1147,2.365,2.1147,2.1808,10912.48
1610013600000,2.176,2.3254,2.0379,2.1539,19772.13
1610017200000,2.141,2.225,2.141,2.2045,4068.01
1610020800000,2.2045,2.6261,2.2045,2.5399,8535.67
1610024400000,2.5547,2.5547,2.2971,2.3002,5994.28
1610028000000,2.3254,2.4947,2.3254,2.4303,8608.16
1610031600000,2.4221,2.4221,2.3531,2.3703,2913.5
1610035200000,2.3903,2.4399,2.3677,2.4351,6560.98
1610038800000,2.4341,2.4341,2.2928,2.3163,11257.28
1610042400000,2.312,2.3345,2.1816,2.2389,16480.11
1610046000000,2.2507,2.3938,2.2102,2.3632,16935.1
1610049600000,2.3655,2.4022,2.353,2.3931,4476.76
1610053200000,2.3995,2.4288,2.3883,2.4152,4243.6
1610056800000,2.4142,2.421,2.3734,2.3893,3297.19
1610060400000,2.3872,2.3901,2.2612,2.3734,17823.78
1610064000000,2.3734,2.421,2.28,2.28,5126.17
1610067600000,2.29,2.29,2.2307,2.2587,2411.34
1610071200000,2.2603,2.2603,2.2103,2.2474,2313.72
1610074800000,2.2434,2.2918,2.2434,2.2674,1963.16
1610078400000,2.2674,2.2882,2.2674,2.2675,2943.92
1610082000000,2.2674,2.2756,2.2674,2.2674,1548.38
1610085600000,2.2674,2.2674,2.2102,2.2394,8751.51
1610089200000,2.251,2.4245,2.251,2.4096,1895.22
1610092800000,2.412,2.412,2.3465,2.3765,1807.95
1610096400000,2.3831,2.7208,2.3831,2.7208,24708.43
1610100000000,2.7274,3.3648,2.7274,2.9188,29008.71
1610103600000,2.9063,3.2917,2.9055,3.1612,15524.48
1610107200000,3.1613,3.8037,3.1176,3.6548,39019.7
1610110800000,3.6453,3.7522,3.4585,3.5858,30093.23
1610114400000,3.594,3.6482,3.3823,3.4001,9062.7
1610118000000,3.4411,3.4893,3.2809,3.3128,9677.06
1610121600000,3.3291,3.5762,3.3095,3.4221,34090.31
1610125200000,3.4226,3.4226,3.2206,3.4117,21274.48
1610128800000,3.4117,3.4302,3.2122,3.2352,16924.6
1610132400000,3.2857,3.3051,3.1933,3.2038,1173.08
1610136000000,3.1921,3.1921,3.0034,3.072,18972.77
1610139600000,3.0644,3.1387,3.0285,3.121,1380.36
1610143200000,3.1309,3.2171,3.1309,3.1797,3087.94
1610146800000,3.2045,3.2351,3.1531,3.2163,3941.96
1610150400000,3.2255,3.2647,3.1199,3.1424,8114.29
