ts,open,high,low,close,volume
1609459200000,5.1514,5.227,5.0,5.2243,21172.23
1609462800000,5.2181,5.2696,5.1239,5.1633,13089.44
1609466400000,5.1647,5.2042,5.1024,5.199,12275.61
1609470000000,5.1638,5.2211,5.1583,5.1583,10017.94
1609473600000,5.1523,5.1523,5.0899,5.1105,11712.97
1609477200000,5.0922,5.1523,5.0529,5.1236,4437.02
1609480800000,5.1345,5.1465,4.8734,4.9235,14157.76
1609484400000,4.9291,5.009,4.8605,4.988,7513.51
1609488000000,5.0044,5.0091,4.8714,4.9176,3782.44
1609491600000,4.923,5.0174,4.923,4.9774,7030.48
1609495200000,5.0124,5.1086,5.0124,5.0493,9844.66
1609498800000,5.0473,5.0736,4.9997,5.0054,3012.97
1609502400000,5.0,5.0,4.8235,4.9108,17382.53
1609506000000,4.8944,4.9516,4.8511,4.9456,6498.13
1609509600000,4.9117,5.0466,4.9038,4.9624,11091.08
1609513200000,4.9681,4.9681,4.7232,4.7805,9595.25
1609516800000,4.7805,4.8681,4.7457,4.8214,14719.92
1609520400000,4.8248,4.8403,4.6103,4.7032,8810.43
1609524000000,4.6659,4.821,4.625,4.7924,19051.48
1609527600000,4.7975,4.8482,4.7701,4.818,3798.92
1609531200000,4.8147,4.8844,4.7923,4.8445,5042.5
1609534800000,4.8194,4.8395,4.7661,4.7759,6819.35
1609538400000,4.7701,4.7905,4.7286,4.7658,9773.97
1609542000000,4.7611,4.7611,4.6909,4.7488,6627.21
1609545600000,4.7163,4.7489,4.499,4.5621,15333.7
1609549200000,4.5815,4.703,4.5315,4.6823,12943.29
1609552800000,4.6623,4.7348,4.6623,4.7216,4915.69
1609556400000,4.7325,4.8212,4.6924,4.8085,6205.66
1609560000000,4.7895,4.8021,4.717,4.7663,4070.42
1609563600000,4.7944,4.9333,4.7944,4.8636,16786.28
1609567200000,4.842,4.8519,4.7459,4.7519,12937.06
1609570800000,4.7294,4.7415,4.6643,4.6837,7411.26
1609574400000,4.699,4.699,4.6223,4.6223,4990.14
1609578000000,4.6152,4.6409,4.5497,4.5497,5481.53
1609581600000,4.5421,4.6442,4.4852,4.5959,18923.8
1609585200000,4.6094,4.6383,4.5969,4.6123,2137.6
1609588800000,4.6207,4.7131,4.527,4.6508,5312.48
1609592400000,4.6431,4.8199,4.6296,4.7357,8151.28
1609596000000,4.7059,4.7059,4.5933,4.6623,11273.76
1609599600000,4.6574,4.8787,4.6423,4.8787,10076.45
1609603200000,4.8962,4.8992,4.6918,4.771,14868.22
1609606800000,4.7665,4.8298,4.7386,4.7545,7279.72
1609610400000,4.7666,4.9887,4.71,4.9578,21177.74
1609614000000,4.9595,5.1692,4.9512,5.0572,16084.72
1609617600000,5.0774,5.1469,4.7341,4.7572,29556.64
1609621200000,4.7445,4.9083,4.6615,4.8467,17440.79
1609624800000,4.8275,4.9207,4.8019,4.8861,4631.02
1609628400000,4.8698,4.8698,4.7991,4.8595,4452.44
1609632000000,4.8548,4.8824,4.7485,4.7632,5016.32
1609635600000,4.7559,4.79,4.7205,4.74,7575.63
1609639200000,4.7517,4.8188,4.7517,4.8188,4060.86
1609642800000,4.8181,4.8181,4.7205,4.7205,6771.1
1609646400000,4.7293,4.7293,4.6621,4.7193,2561.71
1609650000000,4.728,4.7722,4.7216,4.7631,13354.44
1609653600000,4.7632,4.9275,4.7624,4.9132,5988.01
1609657200000,4.9073,4.994,4.776,4.7776,12421.69
1609660800000,4.7881,4.9246,4.7066,4.9001,8260.71
1609664400000,4.9161,4.9333,4.8199,4.8444,5172.3
1609668000000,4.8211,5.063,4.7976,5.063,7660.78
1609671600000,5.0526,5.15,5.0,5.0839,13810.61
1609675200000,5.0821,5.1946,5.0428,5.1911,11204.44
1609678800000,5.1911,5.3638,5.0853,5.2524,18300.99
1609682400000,5.2778,5.4337,5.168,5.2942,23319.64
1609686000000,5.3,5.3544,5.0227,5.2354,26641.53
1609689600000,5.2775,5.3866,5.1337,5.1337,12820.58
1609693200000,5.1273,5.2233,5.0733,5.1246,8704.56
1609696800000,5.1211,5.15,4.9961,5.1142,5191.03
1609700400000,5.1189,5.1271,5.0304,5.1271,2511.48
1609704000000,5.15,5.2885,5.15,5.254,4583.18
1609707600000,5.254,5.3447,5.2291,5.2956,2635.87
1609711200000,5.2797,5.3793,5.2241,5.3679,5616.5
1609714800000,5.3793,5.6378,5.3348,5.5152,19741.13
1609718400000,5.5202,5.5571,5.3578,5.5358,12300.48
1609722000000,5.5449,5.8,5.4907,5.7115,21570.63
1609725600000,5.7232,5.8176,5.6783,5.7407,10767.58
1609729200000,5.7463,5.9929,5.7463,5.9651,12844.83
1609732800000,5.9531,5.9669,5.6716,5.795,12868.8
1609736400000,5.7983,5.9635,5.75,5.9234,3954.18
1609740000000,5.9097,6.1988,5.8349,5.9609,15481.53
1609743600000,5.9785,6.0342,5.4952,5.6533,34792.88
1609747200000,5.6613,5.75,5.3375,5.5571,15177.3
1609750800000,5.5117,5.5574,5.0001,5.3087,8094.02
1609754400000,5.332,5.3723,4.911,5.2241,9344.37
1609758000000,5.2259,5.316,5.1122,5.3014,5958.66
1609761600000,5.2458,5.4556,5.2457,5.4239,3324.38
1609765200000,5.3858,5.3858,5.2188,5.3392,3262.47
1609768800000,5.331,5.512,5.3275,5.4976,3237.93
1609772400000,5.5228,5.5734,5.3236,5.3793,6059.26
1609776000000,5.384,5.4166,5.1539,5.224,5829.28
1609779600000,5.2664,5.318,5.1806,5.2281,4123.3
1609783200000,5.2342,5.2993,5.2342,5.2876,1047.5
1609786800000,5.3,5.4403,5.2972,5.4247,4051.74
1609790400000,5.4444,5.475,5.3858,5.3858,2582.59
1609794000000,5.4137,5.4137,5.1806,5.2091,4818.29
1609797600000,5.2127,5.333,5.2127,5.2707,2364.62
1609801200000,5.2563,5.431,5.209,5.431,3163.99
1609804800000,5.4395,5.7413,5.4395,5.5732,8923.16
1609808400000,5.6263,5.6965,5.5292,5.6379,12920.3
1609812000000,5.6441,5.6441,5.4692,5.5507,3137.88
1609815600000,5.5174,5.5915,5.256,5.2914,11201.57
1609819200000,5.2843,5.4467,5.2241,5.3512,8675.57
1609822800000,5.336,5.428,5.2151,5.2786,4356.31
1609826400000,5.2856,5.4403,5.2468,5.4059,3246.46
1609830000000,5.4247,5.4444,5.3793,5.4103,1251.66
1609833600000,5.4419,5.6045,5.4419,5.4868,3079.04
1609837200000,5.5228,5.6965,5.5228,5.6068,3693.28
1609840800000,5.6234,5.7723,5.6,5.7,3714.8
1609844400000,5.673,5.938,5.673,5.9184,7839.47
1609848000000,5.9247,5.9544,5.7204,5.7204,5583.29
1609851600000,5.7675,5.934,5.7516,5.7784,3370.82
1609855200000,5.7894,5.9529,5.6686,5.9358,5787.21
1609858800000,5.9693,6.1971,5.9003,6.1925,14520.97
1609862400000,6.2,6.5444,6.086,6.409,15241.74
1609866000000,6.3558,6.4479,6.3,6.3996,3504.21
1609869600000,6.3558,6.3882,6.2888,6.3026,4183.99
1609873200000,6.286,6.4454,6.1303,6.3863,7063.68
1609876800000,6.3963,6.4767,6.3,6.3725,7513.78
1609880400000,6.372,6.5283,6.3165,6.392,22142.52
1609884000000,6.392,6.5,6.3487,6.486,914.8
