A,B,n_overlap,train_adf_p,beta,train_start,test_start,test_end
MKR,BCH,1719,3.5322201599482404e-07,0.7874545372301863,2021-01-01,2023-05-10,2025-09-15
BNB,LTC,1990,4.25271400220147e-06,0.2804724592305381,2021-01-01,2023-09-23,2026-06-13
FIL,DOT,1655,7.3619651654079604e-06,1.2224037321209593,2021-12-02,2024-03-08,2026-06-13
XLM,COMP,1990,1.2265879443171903e-05,0.5907740600291829,2021-01-01,2023-09-23,2026-06-13
BNB,BCH,1990,2.6853481481628193e-05,0.1515128754423393,2021-01-01,2023-09-23,2026-06-13
BNB,COMP,1990,4.0171307896145996e-05,0.10557006073075656,2021-01-01,2023-09-23,2026-06-13
UNI,COMP,1990,5.319302228356375e-05,0.6602559186863376,2021-01-01,2023-09-23,2026-06-13
XLM,BCH,1990,0.00010076639044969634,0.8060131273193862,2021-01-01,2023-09-23,2026-06-13
XLM,XRP,1079,0.00013795294558332992,0.7923419042182814,2021-01-01,2024-12-21,2026-06-13
AAVE,AVAX,1669,0.0001883860362397353,0.5152573016529237,2021-11-18,2024-03-01,2026-06-13
MKR,COMP,1719,0.00021946084269235472,0.5920519175748089,2021-01-01,2023-05-10,2025-09-15
LTC,XRP,1079,0.000321882948496068,0.19648346642588907,2021-01-01,2024-12-21,2026-06-13
AVAX,ADA,1669,0.0003834008084917457,1.4340203733439207,2021-11-18,2024-03-01,2026-06-13
COMP,XRP,1079,0.00038910165252419515,0.22024300515215847,2021-01-01,2024-12-21,2026-06-13
SAND,ATOM,1348,0.00046034958824411133,1.2269068732707888,2022-10-05,2024-08-09,2026-06-13
AAVE,ADA,1795,0.0007396371536076447,0.8165861422096873,2021-07-15,2023-12-29,2026-06-13
FIL,AAVE,1795,0.0010348759613937658,1.7016757994506782,2021-07-15,2023-12-29,2026-06-13
AAVE,COMP,1795,0.0013124490282421693,0.7124000232415905,2021-07-15,2023-12-29,2026-06-13
BNB,ATOM,1990,0.001350764521380766,0.6245240373842251,2021-01-01,2023-09-23,2026-06-13
DOGE,BCH,1990,0.0014232718963744296,0.5189430744189626,2021-01-01,2023-09-23,2026-06-13
ADA,COMP,1990,0.001491668123300852,0.626275614312998,2021-01-01,2023-09-23,2026-06-13
SOL,BCH,1990,0.0018512899863079777,0.47024292426702974,2021-01-01,2023-09-23,2026-06-13
SOL,LTC,1990,0.0020196482630358797,0.5606607521555198,2021-01-01,2023-09-23,2026-06-13
MKR,XLM,1719,0.002680540008411003,0.9497785355280907,2021-01-01,2023-05-10,2025-09-15
BNB,DOGE,1990,0.0030284374145546403,0.5493753433238576,2021-01-01,2023-09-23,2026-06-13
AAVE,DOGE,1795,0.003639578750215556,1.1654556073701787,2021-07-15,2023-12-29,2026-06-13
ETC,DOGE,1990,0.0038570056097084523,0.6826843546364187,2021-01-01,2023-09-23,2026-06-13
FIL,CRV,1725,0.0043293590350179,1.1691820084412228,2021-09-23,2024-02-02,2026-06-13
CRV,MANA,1620,0.0045561870151295675,0.8182707946144131,2022-01-06,2024-03-26,2026-06-13
FIL,UNI,1822,0.004955251689436224,1.7689674465390228,2021-06-18,2023-12-16,2026-06-13
CRV,APE,1549,0.005046789432520293,0.5796653562078425,2022-03-18,2024-04-30,2026-06-13
AAVE,NEAR,1606,0.005794549236791959,0.3809641994766912,2022-01-20,2024-04-02,2026-06-13
UNI,LTC,1990,0.0058692331479613755,1.267298924984548,2021-01-01,2023-09-23,2026-06-13
SOL,XRP,1079,0.00651262310407311,1.102414081881666,2021-01-01,2024-12-21,2026-06-13
BTC,ETH,1990,0.007346686422343582,0.7999477483510261,2021-01-01,2023-09-23,2026-06-13
DOT,AAVE,1655,0.007563545984211707,1.3055334264196883,2021-12-02,2024-03-08,2026-06-13
BNB,ETH,1990,0.007626738390574616,0.8756948917887419,2021-01-01,2023-09-23,2026-06-13
FIL,DOGE,1822,0.008020372075365725,2.0491326970727344,2021-06-18,2023-12-16,2026-06-13
SAND,MATIC,829,0.008646229524551366,1.0603377833807712,2022-10-05,2023-11-23,2025-01-10
ETC,NEAR,1606,0.008981643201799743,0.3050161339410894,2022-01-20,2024-04-02,2026-06-13
ADA,LTC,1990,0.009396410974012863,1.152776326589297,2021-01-01,2023-09-23,2026-06-13
FIL,COMP,1822,0.010494019738728783,1.2365099363169458,2021-06-18,2023-12-16,2026-06-13
FIL,NEAR,1606,0.010907760300047984,0.6731967072130794,2022-01-20,2024-04-02,2026-06-13
AAVE,SOL,1795,0.011822586135323812,0.5931424525336424,2021-07-15,2023-12-29,2026-06-13
ADA,BCH,1990,0.012188205252642524,0.8191248916812031,2021-01-01,2023-09-23,2026-06-13
AAVE,ETH,1795,0.012343889048037182,1.3762017206828685,2021-07-15,2023-12-29,2026-06-13
FIL,SUSHI,1605,0.01305660435681164,0.9718859740544789,2022-01-21,2024-04-02,2026-06-13
BNB,XRP,1079,0.014021576913560579,0.6364013794249501,2021-01-01,2024-12-21,2026-06-13
MKR,LTC,1719,0.015076781973366397,1.0489928417236738,2021-01-01,2023-05-10,2025-09-15
ETC,XRP,1079,0.015130020056552444,0.4378846984699917,2021-01-01,2024-12-21,2026-06-13
FIL,ADA,1822,0.015146226995219466,1.4766853067388221,2021-06-18,2023-12-16,2026-06-13
BNB,SOL,1990,0.017985467647077254,0.40579502222273656,2021-01-01,2023-09-23,2026-06-13
ETC,COMP,1990,0.019359745122555623,0.26381522791408596,2021-01-01,2023-09-23,2026-06-13
AAVE,XLM,1795,0.019983001315662385,1.172870436112556,2021-07-15,2023-12-29,2026-06-13
ETC,BCH,1990,0.02044061974933005,0.3600573781747898,2021-01-01,2023-09-23,2026-06-13
LINK,SOL,1612,0.02068148203021188,0.5111600885220803,2022-01-14,2024-03-30,2026-06-13
FIL,ATOM,1822,0.021719673238033026,1.6287894005391832,2021-06-18,2023-12-16,2026-06-13
BCH,ETH,1990,0.021867700515007096,1.3239354571558597,2021-01-01,2023-09-23,2026-06-13
MKR,ADA,1719,0.021928289411590442,0.831520275824851,2021-01-01,2023-05-10,2025-09-15
ETC,SUSHI,1605,0.022012828981243224,0.408560923291444,2022-01-21,2024-04-02,2026-06-13
ETC,LTC,1990,0.022608301627286716,0.460863233889773,2021-01-01,2023-09-23,2026-06-13
FIL,AVAX,1669,0.024212080924018053,0.9092090543586949,2021-11-18,2024-03-01,2026-06-13
CRV,ATOM,1725,0.027279319928336675,1.275279011930095,2021-09-23,2024-02-02,2026-06-13
FIL,ETC,1822,0.027418213010885838,2.2336355676741007,2021-06-18,2023-12-16,2026-06-13
DOGE,ETH,1990,0.027465470584617038,1.440747832360145,2021-01-01,2023-09-23,2026-06-13
FIL,MANA,1620,0.02807298828710299,0.8328164280038097,2022-01-06,2024-03-26,2026-06-13
SUSHI,NEAR,1605,0.028836394332795095,0.6255235935001761,2022-01-21,2024-04-02,2026-06-13
ADA,NEAR,1606,0.02890173800776078,0.5220865894508191,2022-01-20,2024-04-02,2026-06-13
AAVE,ATOM,1795,0.030242281627789434,0.9201207184560648,2021-07-15,2023-12-29,2026-06-13
UNI,XLM,1990,0.03064289132595029,1.0503987577061218,2021-01-01,2023-09-23,2026-06-13
AAVE,ETC,1795,0.03201179737899462,1.2707472504731185,2021-07-15,2023-12-29,2026-06-13
DOT,SUSHI,1605,0.03204523848405626,0.8123512712501715,2022-01-21,2024-04-02,2026-06-13
LTC,ETH,1990,0.03271684392196829,0.8575837832008196,2021-01-01,2023-09-23,2026-06-13
ATOM,LTC,1990,0.032852494399508846,0.672643536368954,2021-01-01,2023-09-23,2026-06-13
UNI,BCH,1990,0.03412486183681227,0.846175399920912,2021-01-01,2023-09-23,2026-06-13
SUSHI,ALGO,1605,0.03420942999342261,0.756273533526715,2022-01-21,2024-04-02,2026-06-13
DOT,ADA,1655,0.03464420533563943,1.0994994713229806,2021-12-02,2024-03-08,2026-06-13
XLM,LTC,1990,0.03577232956419826,1.1217458150971906,2021-01-01,2023-09-23,2026-06-13
SAND,SUSHI,1348,0.03629953999862062,0.752970676739916,2022-10-05,2024-08-09,2026-06-13
DOT,AVAX,1655,0.03727263669337208,0.7229198427651579,2021-12-02,2024-03-08,2026-06-13
SUSHI,MANA,1605,0.03807275239145528,0.7530222342230275,2022-01-21,2024-04-02,2026-06-13
AAVE,SUSHI,1605,0.040223933992911506,0.5479615997899502,2022-01-21,2024-04-02,2026-06-13
MKR,BTC,1719,0.04156075914768484,1.3533040815429704,2021-01-01,2023-05-10,2025-09-15
COMP,NEAR,1606,0.04271551860545593,0.4483799304110618,2022-01-20,2024-04-02,2026-06-13
ETC,BTC,1990,0.04388384151699582,0.5754742073472165,2021-01-01,2023-09-23,2026-06-13
FIL,BNB,1822,0.04766647924537179,3.1514464305289858,2021-06-18,2023-12-16,2026-06-13
UNI,MATIC,1102,0.05009839883968626,0.7056055055526037,2022-01-05,2023-07-10,2025-01-10
AAVE,UNI,1795,0.05025152802763092,0.9956397765783084,2021-07-15,2023-12-29,2026-06-13
AAVE,BNB,1795,0.051051780054078844,1.7337806616602314,2021-07-15,2023-12-29,2026-06-13
SOL,ATOM,1990,0.05180935696925123,1.452708903761519,2021-01-01,2023-09-23,2026-06-13
AVAX,DOGE,1669,0.05301583803430058,1.9800925021525417,2021-11-18,2024-03-01,2026-06-13
ADA,BTC,1990,0.05809932510792566,1.5442928466171182,2021-01-01,2023-09-23,2026-06-13
AAVE,LINK,1612,0.05826238902622622,0.6513776002560577,2022-01-14,2024-03-30,2026-06-13
DOT,COMP,1655,0.060855342481015554,1.0188564888988092,2021-12-02,2024-03-08,2026-06-13
SUSHI,ATOM,1605,0.06131894057977737,1.1961413276748687,2022-01-21,2024-04-02,2026-06-13
ETC,XLM,1990,0.06319636154745155,0.3923709810573999,2021-01-01,2023-09-23,2026-06-13
ADA,SUSHI,1605,0.06581667756752417,0.7243102399813093,2022-01-21,2024-04-02,2026-06-13
ETC,ALGO,1619,0.06800208044701524,0.29903322703784735,2022-01-07,2024-03-26,2026-06-13
MANA,ALGO,1619,0.06984988180999253,0.9272283277698725,2022-01-07,2024-03-26,2026-06-13
SOL,ETH,1990,0.07067937275531701,2.072881111632786,2021-01-01,2023-09-23,2026-06-13
MATIC,DOGE,1102,0.07244649278336293,0.937519174909131,2022-01-05,2023-07-10,2025-01-10
FIL,XLM,1822,0.07271527058639228,2.0826285549666146,2021-06-18,2023-12-16,2026-06-13
