ts,open,high,low,close,volume,dt
1626350400000,269.69,288.98,267.7,272.92,518.4193,2021-07-15 12:00:00+00:00
1626364800000,272.72,272.72,265.82,268.86,116.6945,2021-07-15 16:00:00+00:00
1626379200000,271.03,275.43,268.7,272.15,279.0685,2021-07-15 20:00:00+00:00
1626393600000,272.68,278.69,269.03,277.89,189.5568,2021-07-16 00:00:00+00:00
1626408000000,279.21,279.67,267.04,267.04,13.1184,2021-07-16 04:00:00+00:00
1626422400000,265.95,267.27,255.85,255.85,92.719,2021-07-16 08:00:00+00:00
1626436800000,262.35,270.28,258.53,270.28,52.4421,2021-07-16 12:00:00+00:00
1626451200000,270.87,270.87,263.65,263.65,66.7057,2021-07-16 16:00:00+00:00
1626465600000,262.9,262.9,253.28,253.5,39.5252,2021-07-16 20:00:00+00:00
1626480000000,252.17,257.39,249.33,250.9,59.9793,2021-07-17 00:00:00+00:00
1626494400000,252.87,254.53,252.29,252.29,5.8646,2021-07-17 04:00:00+00:00
1626508800000,254.2,254.2,246.28,249.33,21.2488,2021-07-17 08:00:00+00:00
1626523200000,249.74,251.09,249.74,249.94,3.8383,2021-07-17 12:00:00+00:00
1626537600000,250.27,256.85,250.27,255.44,43.7514,2021-07-17 16:00:00+00:00
1626552000000,256.07,256.07,253.32,254.25,6.8817,2021-07-17 20:00:00+00:00
1626566400000,257.34,266.99,257.34,262.52,196.1508,2021-07-18 00:00:00+00:00
1626580800000,263.12,263.29,259.14,260.66,67.3561,2021-07-18 04:00:00+00:00
1626595200000,260.29,262.79,260.29,261.0,9.8974,2021-07-18 08:00:00+00:00
1626609600000,265.24,265.72,253.23,253.23,162.4492,2021-07-18 12:00:00+00:00
1626624000000,255.44,255.44,255.44,255.44,0.9374,2021-07-18 16:00:00+00:00
1626638400000,255.19,258.12,254.67,254.78,65.9759,2021-07-18 20:00:00+00:00
1626652800000,252.58,252.58,248.12,249.24,37.8045,2021-07-19 00:00:00+00:00
1626667200000,250.18,252.74,249.19,252.74,86.9287,2021-07-19 04:00:00+00:00
1626681600000,250.36,250.36,242.84,242.84,148.9619,2021-07-19 08:00:00+00:00
1626696000000,241.96,241.96,234.03,236.68,463.3101,2021-07-19 12:00:00+00:00
1626710400000,236.54,238.08,235.52,238.05,368.7412,2021-07-19 16:00:00+00:00
