ts,open,high,low,close,volume,dt
1609459200000,0.18107,0.18463,0.16906,0.17488,5787827.9,2021-01-01 00:00:00+00:00
1609545600000,0.17511,0.18516,0.16816,0.17726,7705432.9,2021-01-02 00:00:00+00:00
1609632000000,0.17783,0.20955,0.17275,0.20624,14731524.9,2021-01-03 00:00:00+00:00
1609718400000,0.20644,0.23982,0.19594,0.22533,19829625.3,2021-01-04 00:00:00+00:00
1609804800000,0.22503,0.26427,0.20695,0.25913,22153433.7,2021-01-05 00:00:00+00:00
1609891200000,0.25921,0.34769,0.25375,0.33318,29563151.4,2021-01-06 00:00:00+00:00
1609977600000,0.33356,0.35526,0.272,0.29981,22966218.7,2021-01-07 00:00:00+00:00
1610064000000,0.30069,0.32119,0.26348,0.3052,16660693.0,2021-01-08 00:00:00+00:00
1610150400000,0.30386,0.33845,0.29586,0.33027,9888432.0,2021-01-09 00:00:00+00:00
1610236800000,0.33094,0.34095,0.27984,0.30162,11606615.9,2021-01-10 00:00:00+00:00
1610323200000,0.30243,0.30404,0.22954,0.27633,24062071.5,2021-01-11 00:00:00+00:00
1610409600000,0.2762,0.31429,0.26323,0.28859,17975742.4,2021-01-12 00:00:00+00:00
1610496000000,0.28861,0.31553,0.27075,0.31239,11466936.3,2021-01-13 00:00:00+00:00
1610582400000,0.31378,0.32451,0.2968,0.31168,9228931.9,2021-01-14 00:00:00+00:00
1610668800000,0.31155,0.33182,0.27783,0.30304,13874031.7,2021-01-15 00:00:00+00:00
1610755200000,0.30209,0.36711,0.30198,0.35213,18943190.2,2021-01-16 00:00:00+00:00
1610841600000,0.35053,0.39732,0.34047,0.38092,22583067.1,2021-01-17 00:00:00+00:00
1610928000000,0.38093,0.39733,0.36476,0.37122,11281146.0,2021-01-18 00:00:00+00:00
1611014400000,0.37122,0.38488,0.3622,0.36729,9138064.0,2021-01-19 00:00:00+00:00
1611100800000,0.36709,0.37705,0.33024,0.376,11692198.3,2021-01-20 00:00:00+00:00
1611187200000,0.37578,0.37925,0.30003,0.30804,20963562.0,2021-01-21 00:00:00+00:00
1611273600000,0.30781,0.35979,0.28051,0.34934,21699971.5,2021-01-22 00:00:00+00:00
1611360000000,0.34871,0.3575,0.33564,0.34439,9268947.2,2021-01-23 00:00:00+00:00
1611446400000,0.34555,0.36912,0.33651,0.35366,7731498.6,2021-01-24 00:00:00+00:00
1611532800000,0.35372,0.364,0.34023,0.34301,11495708.5,2021-01-25 00:00:00+00:00
1611619200000,0.34278,0.35048,0.32427,0.34368,5978179.5,2021-01-26 00:00:00+00:00
1611705600000,0.34329,0.34329,0.30399,0.31178,9332428.7,2021-01-27 00:00:00+00:00
1611792000000,0.31119,0.356,0.30451,0.34322,11034130.4,2021-01-28 00:00:00+00:00
1611878400000,0.3443,0.368,0.33058,0.34794,13488116.5,2021-01-29 00:00:00+00:00
1611964800000,0.34795,0.3763,0.33692,0.36358,9077091.3,2021-01-30 00:00:00+00:00
1612051200000,0.36442,0.37687,0.33799,0.34558,10233645.0,2021-01-31 00:00:00+00:00
1612137600000,0.34457,0.42377,0.33286,0.409,15001813.3,2021-02-01 00:00:00+00:00
