ts,open,high,low,close,volume,dt
1609459200000,0.18107,0.18463,0.17841,0.18309,741777.0,2021-01-01 00:00:00+00:00
1609473600000,0.18322,0.18354,0.17817,0.17968,727305.7,2021-01-01 04:00:00+00:00
1609488000000,0.17934,0.1807,0.17681,0.17967,666322.6,2021-01-01 08:00:00+00:00
1609502400000,0.17932,0.18363,0.17914,0.18063,1118266.0,2021-01-01 12:00:00+00:00
1609516800000,0.18084,0.18118,0.16906,0.17446,2092047.7,2021-01-01 16:00:00+00:00
1609531200000,0.17423,0.17631,0.1734,0.17488,442108.9,2021-01-01 20:00:00+00:00
1609545600000,0.17511,0.17622,0.17026,0.17508,867375.7,2021-01-02 00:00:00+00:00
1609560000000,0.175,0.17522,0.17231,0.17241,487129.4,2021-01-02 04:00:00+00:00
1609574400000,0.17269,0.17285,0.16816,0.17197,1039191.3,2021-01-02 08:00:00+00:00
1609588800000,0.17219,0.18272,0.17035,0.179,2291529.1,2021-01-02 12:00:00+00:00
1609603200000,0.179,0.18516,0.17759,0.18307,1871781.1,2021-01-02 16:00:00+00:00
1609617600000,0.1835,0.18376,0.17263,0.17726,1148426.3,2021-01-02 20:00:00+00:00
1609632000000,0.17783,0.17907,0.17398,0.17448,971550.1,2021-01-03 00:00:00+00:00
1609646400000,0.17444,0.17709,0.17366,0.17463,528215.3,2021-01-03 04:00:00+00:00
1609660800000,0.17421,0.19422,0.17275,0.18891,3114394.4,2021-01-03 08:00:00+00:00
1609675200000,0.18891,0.20359,0.18821,0.19551,4149051.2,2021-01-03 12:00:00+00:00
1609689600000,0.19686,0.20215,0.19067,0.1948,2540064.6,2021-01-03 16:00:00+00:00
1609704000000,0.19493,0.20955,0.19493,0.20624,3428249.3,2021-01-03 20:00:00+00:00
1609718400000,0.20644,0.22433,0.20644,0.22329,3544127.7,2021-01-04 00:00:00+00:00
1609732800000,0.22329,0.23982,0.20944,0.21626,5218039.3,2021-01-04 04:00:00+00:00
1609747200000,0.21666,0.22361,0.19594,0.21235,5336110.4,2021-01-04 08:00:00+00:00
1609761600000,0.21235,0.21772,0.20454,0.21632,1929796.3,2021-01-04 12:00:00+00:00
1609776000000,0.21665,0.21827,0.2037,0.2167,1624474.2,2021-01-04 16:00:00+00:00
1609790400000,0.21677,0.22586,0.20987,0.22533,2177077.4,2021-01-04 20:00:00+00:00
1609804800000,0.22503,0.2314,0.21298,0.2131,3685351.6,2021-01-05 00:00:00+00:00
1609819200000,0.21308,0.22512,0.20695,0.2188,3536099.6,2021-01-05 04:00:00+00:00
1609833600000,0.21919,0.2388,0.21915,0.23108,2534725.9,2021-01-05 08:00:00+00:00
