ts,open,high,low,close,volume,dt
1641513600000,1.5216,1.5289,1.448,1.4587,11758.0,2022-01-07 00:00:00+00:00
1641528000000,1.438,1.445,1.4036,1.4095,5299.0,2022-01-07 04:00:00+00:00
1641542400000,1.4565,1.4794,1.4565,1.47,30482.0,2022-01-07 08:00:00+00:00
1641556800000,1.4725,1.4726,1.4029,1.4029,20832.0,2022-01-07 12:00:00+00:00
1641571200000,1.4382,1.4779,1.4172,1.4403,29868.0,2022-01-07 16:00:00+00:00
1641585600000,1.4569,1.4569,1.4325,1.4389,4455.0,2022-01-07 20:00:00+00:00
1641600000000,1.4429,1.4662,1.4365,1.4389,1722.0,2022-01-08 00:00:00+00:00
1641614400000,1.4453,1.4587,1.4354,1.4414,1928.0,2022-01-08 04:00:00+00:00
1641628800000,1.4561,1.4561,1.4441,1.4458,29272.0,2022-01-08 08:00:00+00:00
1641643200000,1.4575,1.4575,1.3907,1.3964,4896.0,2022-01-08 12:00:00+00:00
1641657600000,1.3965,1.3965,1.3151,1.3426,11680.0,2022-01-08 16:00:00+00:00
1641672000000,1.3423,1.4215,1.3423,1.39,3262.0,2022-01-08 20:00:00+00:00
1641686400000,1.3835,1.4351,1.3736,1.42,12116.0,2022-01-09 00:00:00+00:00
1641700800000,1.4212,1.4289,1.3993,1.3993,1216.0,2022-01-09 04:00:00+00:00
1641715200000,1.408,1.408,1.3901,1.395,4642.0,2022-01-09 08:00:00+00:00
1641729600000,1.3983,1.3983,1.3983,1.3983,50.0,2022-01-09 12:00:00+00:00
1641744000000,1.3886,1.4363,1.385,1.4348,12323.0,2022-01-09 16:00:00+00:00
1641758400000,1.4368,1.4423,1.3915,1.4045,3836.0,2022-01-09 20:00:00+00:00
1641772800000,1.3986,1.407,1.3841,1.3977,4066.0,2022-01-10 00:00:00+00:00
1641787200000,1.405,1.4288,1.4039,1.4287,1940.0,2022-01-10 04:00:00+00:00
1641801600000,1.4266,1.4475,1.4196,1.4351,783.0,2022-01-10 08:00:00+00:00
1641816000000,1.4198,1.4198,1.3014,1.332,5943.0,2022-01-10 12:00:00+00:00
1641830400000,1.3399,1.38,1.3264,1.3521,13780.0,2022-01-10 16:00:00+00:00
1641844800000,1.3407,1.3897,1.3377,1.365,86505.0,2022-01-10 20:00:00+00:00
1641859200000,1.3655,1.4382,1.3533,1.4246,17892.0,2022-01-11 00:00:00+00:00
1641873600000,1.4178,1.4178,1.392,1.392,2253.0,2022-01-11 04:00:00+00:00
1641888000000,1.4223,1.4223,1.3811,1.3811,14124.0,2022-01-11 08:00:00+00:00
1641902400000,1.3977,1.3991,1.3602,1.3773,10351.0,2022-01-11 12:00:00+00:00
1641916800000,1.408,1.445,1.4028,1.4361,5205.0,2022-01-11 16:00:00+00:00
1641931200000,1.4287,1.4534,1.4285,1.4285,17817.0,2022-01-11 20:00:00+00:00
1641945600000,1.4534,1.485,1.4419,1.4426,18645.0,2022-01-12 00:00:00+00:00
1641960000000,1.4666,1.4839,1.4602,1.4824,10202.0,2022-01-12 04:00:00+00:00
1641974400000,1.4844,1.5003,1.4692,1.4759,1911.0,2022-01-12 08:00:00+00:00
1641988800000,1.4834,1.502,1.4672,1.4699,24430.0,2022-01-12 12:00:00+00:00
1642003200000,1.4736,1.4862,1.4653,1.475,48018.0,2022-01-12 16:00:00+00:00
1642017600000,1.4745,1.51,1.4725,1.498,48192.0,2022-01-12 20:00:00+00:00
1642032000000,1.4952,1.4958,1.4295,1.4532,42832.0,2022-01-13 00:00:00+00:00
1642046400000,1.4567,1.465,1.4533,1.4546,22176.0,2022-01-13 04:00:00+00:00
1642060800000,1.4658,1.4658,1.4213,1.4268,15577.0,2022-01-13 08:00:00+00:00
1642075200000,1.4269,1.47,1.4077,1.4177,33559.0,2022-01-13 12:00:00+00:00
1642089600000,1.417,1.4264,1.3567,1.3608,25675.0,2022-01-13 16:00:00+00:00
1642104000000,1.353,1.3699,1.3437,1.3585,33499.0,2022-01-13 20:00:00+00:00
1642118400000,1.3647,1.3802,1.3532,1.3801,54107.0,2022-01-14 00:00:00+00:00
1642132800000,1.3816,1.41,1.3794,1.3838,14536.0,2022-01-14 04:00:00+00:00
1642147200000,1.3788,1.3788,1.3249,1.35,27276.0,2022-01-14 08:00:00+00:00
1642161600000,1.3511,1.4007,1.3347,1.384,27846.0,2022-01-14 12:00:00+00:00
1642176000000,1.3813,1.3919,1.3676,1.3796,37128.0,2022-01-14 16:00:00+00:00
1642190400000,1.3927,1.3927,1.3752,1.3845,4844.0,2022-01-14 20:00:00+00:00
1642204800000,1.3899,1.3899,1.3755,1.3774,12253.0,2022-01-15 00:00:00+00:00
1642219200000,1.3767,1.384,1.3592,1.384,17398.0,2022-01-15 04:00:00+00:00
1642233600000,1.384,1.3918,1.3812,1.3862,15555.0,2022-01-15 08:00:00+00:00
1642248000000,1.386,1.4041,1.3623,1.4041,8071.0,2022-01-15 12:00:00+00:00
1642262400000,1.4015,1.4131,1.3926,1.3993,25298.0,2022-01-15 16:00:00+00:00
1642276800000,1.4041,1.4049,1.3791,1.3791,28431.0,2022-01-15 20:00:00+00:00
1642291200000,1.3803,1.3892,1.3664,1.3706,13240.0,2022-01-16 00:00:00+00:00
1642305600000,1.3829,1.3985,1.3791,1.3923,19948.0,2022-01-16 04:00:00+00:00
1642320000000,1.3944,1.4,1.3789,1.3789,17641.0,2022-01-16 08:00:00+00:00
1642334400000,1.3899,1.4264,1.3722,1.4259,22888.0,2022-01-16 12:00:00+00:00
1642348800000,1.4248,1.4474,1.4078,1.4081,40942.0,2022-01-16 16:00:00+00:00
1642363200000,1.4184,1.4428,1.4162,1.4322,33180.0,2022-01-16 20:00:00+00:00
1642377600000,1.4323,1.4428,1.381,1.381,82401.0,2022-01-17 00:00:00+00:00
1642392000000,1.3802,1.4305,1.3791,1.4139,31663.0,2022-01-17 04:00:00+00:00
1642406400000,1.4085,1.4164,1.3959,1.3999,3536.0,2022-01-17 08:00:00+00:00
1642420800000,1.4039,1.4045,1.3554,1.3563,11431.0,2022-01-17 12:00:00+00:00
1642435200000,1.366,1.3699,1.3387,1.3695,14408.0,2022-01-17 16:00:00+00:00
1642449600000,1.3701,1.3703,1.3373,1.3443,34817.0,2022-01-17 20:00:00+00:00
1642464000000,1.3389,1.3583,1.3335,1.3393,14570.0,2022-01-18 00:00:00+00:00
1642478400000,1.3361,1.35,1.3222,1.3387,8840.0,2022-01-18 04:00:00+00:00
1642492800000,1.3387,1.3387,1.3006,1.3253,9694.0,2022-01-18 08:00:00+00:00
1642507200000,1.3281,1.3295,1.2801,1.293,89078.0,2022-01-18 12:00:00+00:00
1642521600000,1.2954,1.3063,1.2878,1.3063,10997.0,2022-01-18 16:00:00+00:00
1642536000000,1.3029,1.3325,1.2878,1.3193,88577.0,2022-01-18 20:00:00+00:00
1642550400000,1.3162,1.3187,1.2865,1.2968,12403.0,2022-01-19 00:00:00+00:00
1642564800000,1.295,1.2993,1.2377,1.2411,44209.0,2022-01-19 04:00:00+00:00
1642579200000,1.2399,1.2713,1.2258,1.2701,15018.0,2022-01-19 08:00:00+00:00
1642593600000,1.2763,1.3032,1.2733,1.2871,7492.0,2022-01-19 12:00:00+00:00
1642608000000,1.2814,1.2983,1.2751,1.2983,1663.0,2022-01-19 16:00:00+00:00
1642622400000,1.2916,1.2954,1.2612,1.2675,11842.0,2022-01-19 20:00:00+00:00
1642636800000,1.2714,1.2714,1.229,1.2588,24968.0,2022-01-20 00:00:00+00:00
1642651200000,1.2636,1.2831,1.259,1.2831,6900.0,2022-01-20 04:00:00+00:00
1642665600000,1.284,1.2947,1.2802,1.286,3932.0,2022-01-20 08:00:00+00:00
1642680000000,1.2814,1.327,1.2769,1.3225,15587.0,2022-01-20 12:00:00+00:00
1642694400000,1.3223,1.3223,1.2878,1.2878,16841.0,2022-01-20 16:00:00+00:00
1642708800000,1.2866,1.2866,1.159,1.1616,82350.0,2022-01-20 20:00:00+00:00
1642723200000,1.1626,1.192,1.0936,1.1017,69817.0,2022-01-21 00:00:00+00:00
1642737600000,1.1122,1.1354,1.1099,1.127,65936.0,2022-01-21 04:00:00+00:00
1642752000000,1.1276,1.1388,1.1021,1.1161,118561.0,2022-01-21 08:00:00+00:00
1642766400000,1.1141,1.1787,1.0569,1.1605,68175.0,2022-01-21 12:00:00+00:00
1642780800000,1.1624,1.1686,1.1266,1.128,28166.0,2022-01-21 16:00:00+00:00
1642795200000,1.1315,1.1344,0.9989,1.0307,65626.0,2022-01-21 20:00:00+00:00
1642809600000,1.0254,1.0606,1.0041,1.0123,68307.0,2022-01-22 00:00:00+00:00
1642824000000,1.0173,1.0182,0.8792,0.8799,136767.0,2022-01-22 04:00:00+00:00
1642838400000,0.8857,0.9105,0.7987,0.8821,192318.0,2022-01-22 08:00:00+00:00
1642852800000,0.8912,0.9362,0.8801,0.8801,69432.0,2022-01-22 12:00:00+00:00
