ts,open,high,low,close,volume,dt
1647561600000,9.4782,14.4999,9.1319,11.2576,174345.52,2022-03-18 00:00:00+00:00
1647576000000,11.2939,14.7523,9.26,13.9279,95021.36,2022-03-18 04:00:00+00:00
1647590400000,13.7526,18.0,12.9477,15.5199,134338.29,2022-03-18 08:00:00+00:00
1647604800000,15.5199,16.8621,12.0,13.0672,124743.49,2022-03-18 12:00:00+00:00
1647619200000,13.0371,14.9817,12.6806,14.2082,96654.81,2022-03-18 16:00:00+00:00
1647633600000,14.2826,14.685,12.8831,13.073,66533.46,2022-03-18 20:00:00+00:00
1647648000000,13.0574,14.5482,12.7164,14.0443,91066.75,2022-03-19 00:00:00+00:00
1647662400000,14.0883,14.238,13.0677,13.285,23250.0,2022-03-19 04:00:00+00:00
1647676800000,13.2264,13.7978,12.9461,13.4075,10955.85,2022-03-19 08:00:00+00:00
1647691200000,13.4668,14.2226,12.9712,14.1454,30463.69,2022-03-19 12:00:00+00:00
1647705600000,14.1415,14.489,12.756,13.1275,47169.4,2022-03-19 16:00:00+00:00
1647720000000,13.1236,13.3389,11.4449,11.7144,76621.13,2022-03-19 20:00:00+00:00
1647734400000,11.7178,11.8242,11.1972,11.5029,63151.27,2022-03-20 00:00:00+00:00
1647748800000,11.4289,11.9296,11.2605,11.4856,37224.19,2022-03-20 04:00:00+00:00
1647763200000,11.4705,11.66,10.838,11.0027,47233.57,2022-03-20 08:00:00+00:00
1647777600000,10.9931,11.4725,10.6532,11.0518,65508.66,2022-03-20 12:00:00+00:00
1647792000000,11.0294,11.0429,10.1271,10.5803,116175.58,2022-03-20 16:00:00+00:00
1647806400000,10.5333,10.602,9.488,9.6492,89959.45,2022-03-20 20:00:00+00:00
1647820800000,9.6326,10.3399,9.5726,10.2585,144246.47,2022-03-21 00:00:00+00:00
1647835200000,10.2451,10.9855,10.08,10.8195,54165.02,2022-03-21 04:00:00+00:00
1647849600000,10.8628,10.9321,10.2422,10.6338,49319.5,2022-03-21 08:00:00+00:00
1647864000000,10.6389,10.6702,9.9676,10.2076,61533.89,2022-03-21 12:00:00+00:00
1647878400000,10.2055,10.3131,9.7342,9.872,24737.99,2022-03-21 16:00:00+00:00
1647892800000,9.8551,10.8239,8.5,10.532,59915.07,2022-03-21 20:00:00+00:00
1647907200000,10.5013,11.7288,10.2136,11.3119,118520.21,2022-03-22 00:00:00+00:00
1647921600000,11.299,11.4871,10.7341,10.7832,33269.53,2022-03-22 04:00:00+00:00
1647936000000,10.7341,10.9225,10.5811,10.8666,15043.09,2022-03-22 08:00:00+00:00
1647950400000,10.8335,10.9769,10.5856,10.9241,20364.38,2022-03-22 12:00:00+00:00
1647964800000,10.9452,12.5567,10.9215,12.2808,133213.32,2022-03-22 16:00:00+00:00
1647979200000,12.2629,12.45,11.7964,12.209,84147.23,2022-03-22 20:00:00+00:00
1647993600000,12.2296,12.8419,11.5931,11.7214,104688.84,2022-03-23 00:00:00+00:00
1648008000000,11.7186,12.3268,11.5277,11.9549,44060.51,2022-03-23 04:00:00+00:00
1648022400000,11.9613,12.2737,11.8318,12.0958,17457.25,2022-03-23 08:00:00+00:00
1648036800000,12.1066,13.3978,11.9415,13.2649,79142.45,2022-03-23 12:00:00+00:00
1648051200000,13.2549,13.4684,12.6417,13.1962,75125.4,2022-03-23 16:00:00+00:00
1648065600000,13.1752,13.5,12.9199,13.2683,39989.11,2022-03-23 20:00:00+00:00
1648080000000,13.3214,14.0563,13.1563,13.6478,86077.22,2022-03-24 00:00:00+00:00
1648094400000,13.6524,14.4622,13.591,14.3526,31796.09,2022-03-24 04:00:00+00:00
1648108800000,14.3492,14.4386,13.4502,13.5395,30540.76,2022-03-24 08:00:00+00:00
1648123200000,13.5661,13.7014,13.0534,13.6604,53887.87,2022-03-24 12:00:00+00:00
1648137600000,13.6681,13.7666,13.2395,13.5042,36433.76,2022-03-24 16:00:00+00:00
1648152000000,13.5101,13.653,12.6959,12.9036,32027.19,2022-03-24 20:00:00+00:00
1648166400000,12.8416,13.1123,12.6419,12.9309,47110.5,2022-03-25 00:00:00+00:00
1648180800000,12.9237,13.48,12.8438,13.256,25658.86,2022-03-25 04:00:00+00:00
1648195200000,13.265,13.4199,13.0235,13.3573,7285.29,2022-03-25 08:00:00+00:00
1648209600000,13.3842,13.6861,12.8734,12.9747,60310.28,2022-03-25 12:00:00+00:00
1648224000000,12.9797,13.1075,12.3699,12.61,74707.03,2022-03-25 16:00:00+00:00
1648238400000,12.5687,12.756,12.2384,12.3821,38847.42,2022-03-25 20:00:00+00:00
1648252800000,12.399,12.9975,12.399,12.816,47260.81,2022-03-26 00:00:00+00:00
1648267200000,12.8369,13.259,12.7147,13.011,39760.06,2022-03-26 04:00:00+00:00
1648281600000,13.0101,13.1006,12.7414,12.7414,12192.25,2022-03-26 08:00:00+00:00
