ts,open,high,low,close,volume,dt
1609459200000,6.458,6.5,5.64,5.865,67915.357,2021-01-01 00:00:00+00:00
1609545600000,5.861,5.861,5.266,5.404,68404.983,2021-01-02 00:00:00+00:00
1609632000000,5.401,5.898,5.287,5.826,37059.927,2021-01-03 00:00:00+00:00
1609718400000,5.862,6.267,5.281,6.045,99630.099,2021-01-04 00:00:00+00:00
1609804800000,6.049,6.49,5.644,6.192,59470.261,2021-01-05 00:00:00+00:00
1609891200000,6.222,6.945,5.863,6.662,76619.819,2021-01-06 00:00:00+00:00
1609977600000,6.704,6.836,5.976,6.268,78135.873,2021-01-07 00:00:00+00:00
1610064000000,6.268,6.341,5.677,5.943,78689.37,2021-01-08 00:00:00+00:00
1610150400000,5.932,6.74,5.82,6.543,73560.756,2021-01-09 00:00:00+00:00
1610236800000,6.589,7.123,5.992,6.408,74561.589,2021-01-10 00:00:00+00:00
1610323200000,6.408,6.426,5.007,5.728,83149.271,2021-01-11 00:00:00+00:00
1610409600000,5.713,6.135,5.521,5.72,53145.078,2021-01-12 00:00:00+00:00
1610496000000,5.691,6.245,5.561,6.228,30669.857,2021-01-13 00:00:00+00:00
1610582400000,6.246,6.575,6.15,6.474,46584.853,2021-01-14 00:00:00+00:00
1610668800000,6.479,8.469,6.446,7.911,232921.471,2021-01-15 00:00:00+00:00
1610755200000,7.927,9.579,7.559,9.03,155751.782,2021-01-16 00:00:00+00:00
1610841600000,9.018,9.193,8.026,8.523,80098.628,2021-01-17 00:00:00+00:00
1610928000000,8.561,9.834,8.543,9.561,94761.935,2021-01-18 00:00:00+00:00
1611014400000,9.6,10.19,8.861,8.9,64181.726,2021-01-19 00:00:00+00:00
1611100800000,8.896,9.48,7.953,8.876,87037.814,2021-01-20 00:00:00+00:00
1611187200000,8.919,8.954,7.086,7.167,96986.556,2021-01-21 00:00:00+00:00
1611273600000,7.168,8.453,6.628,7.992,89339.502,2021-01-22 00:00:00+00:00
1611360000000,7.975,8.674,7.856,8.305,37327.445,2021-01-23 00:00:00+00:00
1611446400000,8.263,8.779,7.895,8.232,27726.652,2021-01-24 00:00:00+00:00
1611532800000,8.253,8.535,7.693,7.743,34692.303,2021-01-25 00:00:00+00:00
