ts,open,high,low,close,volume,dt
1609459200000,6.458,6.5,6.189,6.191,12886.624,2021-01-01 00:00:00+00:00
1609473600000,6.177,6.177,5.86,6.024,21330.504,2021-01-01 04:00:00+00:00
1609488000000,6.049,6.081,5.864,6.015,7448.256,2021-01-01 08:00:00+00:00
1609502400000,6.01,6.088,5.881,5.915,6796.42,2021-01-01 12:00:00+00:00
1609516800000,5.9,5.924,5.64,5.803,13185.516,2021-01-01 16:00:00+00:00
1609531200000,5.797,5.912,5.787,5.865,6268.037,2021-01-01 20:00:00+00:00
1609545600000,5.861,5.861,5.574,5.741,5095.664,2021-01-02 00:00:00+00:00
1609560000000,5.729,5.739,5.583,5.602,4846.409,2021-01-02 04:00:00+00:00
1609574400000,5.602,5.602,5.395,5.467,13100.62,2021-01-02 08:00:00+00:00
1609588800000,5.468,5.629,5.27,5.604,28508.194,2021-01-02 12:00:00+00:00
1609603200000,5.613,5.68,5.44,5.636,9755.911,2021-01-02 16:00:00+00:00
1609617600000,5.636,5.636,5.266,5.404,7098.185,2021-01-02 20:00:00+00:00
1609632000000,5.401,5.557,5.287,5.449,5384.491,2021-01-03 00:00:00+00:00
1609646400000,5.442,5.458,5.36,5.36,2187.819,2021-01-03 04:00:00+00:00
1609660800000,5.352,5.698,5.331,5.648,2178.249,2021-01-03 08:00:00+00:00
1609675200000,5.632,5.816,5.527,5.596,9842.09,2021-01-03 12:00:00+00:00
1609689600000,5.605,5.763,5.548,5.615,7406.508,2021-01-03 16:00:00+00:00
1609704000000,5.623,5.898,5.623,5.826,10060.77,2021-01-03 20:00:00+00:00
1609718400000,5.862,6.174,5.861,6.09,25920.46,2021-01-04 00:00:00+00:00
1609732800000,6.092,6.267,5.649,5.724,18085.589,2021-01-04 04:00:00+00:00
1609747200000,5.787,6.001,5.281,5.693,25718.565,2021-01-04 08:00:00+00:00
1609761600000,5.693,5.947,5.632,5.888,10375.297,2021-01-04 12:00:00+00:00
1609776000000,5.908,5.921,5.672,5.821,8822.856,2021-01-04 16:00:00+00:00
1609790400000,5.826,6.053,5.749,6.045,10707.332,2021-01-04 20:00:00+00:00
1609804800000,6.049,6.12,5.773,5.773,11768.834,2021-01-05 00:00:00+00:00
1609819200000,5.852,5.852,5.644,5.798,7395.016,2021-01-05 04:00:00+00:00
1609833600000,5.805,6.17,5.805,6.127,10293.884,2021-01-05 08:00:00+00:00
1609848000000,6.133,6.162,5.842,6.056,11173.687,2021-01-05 12:00:00+00:00
1609862400000,6.066,6.49,6.013,6.119,12827.837,2021-01-05 16:00:00+00:00
1609876800000,6.133,6.329,6.128,6.192,6011.003,2021-01-05 20:00:00+00:00
1609891200000,6.222,6.271,5.863,5.925,7583.288,2021-01-06 00:00:00+00:00
1609905600000,5.926,6.224,5.926,6.088,12897.242,2021-01-06 04:00:00+00:00
1609920000000,6.131,6.361,6.022,6.33,6824.55,2021-01-06 08:00:00+00:00
1609934400000,6.302,6.805,6.228,6.542,24983.067,2021-01-06 12:00:00+00:00
1609948800000,6.575,6.945,6.504,6.575,13345.148,2021-01-06 16:00:00+00:00
1609963200000,6.587,6.81,6.384,6.662,10986.524,2021-01-06 20:00:00+00:00
1609977600000,6.704,6.836,6.575,6.612,5056.976,2021-01-07 00:00:00+00:00
1609992000000,6.608,6.775,6.486,6.505,7473.016,2021-01-07 04:00:00+00:00
1610006400000,6.54,6.677,6.287,6.615,12321.754,2021-01-07 08:00:00+00:00
1610020800000,6.593,6.817,6.508,6.629,12909.452,2021-01-07 12:00:00+00:00
1610035200000,6.638,6.71,5.976,6.327,24941.763,2021-01-07 16:00:00+00:00
1610049600000,6.338,6.501,6.158,6.268,15432.912,2021-01-07 20:00:00+00:00
1610064000000,6.268,6.341,5.807,6.0,25509.487,2021-01-08 00:00:00+00:00
1610078400000,5.983,6.194,5.887,6.194,11399.353,2021-01-08 04:00:00+00:00
1610092800000,6.182,6.251,6.045,6.174,6222.03,2021-01-08 08:00:00+00:00
1610107200000,6.17,6.215,5.92,6.02,10714.442,2021-01-08 12:00:00+00:00
1610121600000,6.052,6.052,5.828,5.848,13611.884,2021-01-08 16:00:00+00:00
1610136000000,5.8,5.968,5.677,5.943,11232.174,2021-01-08 20:00:00+00:00
1610150400000,5.932,6.621,5.82,6.542,19409.112,2021-01-09 00:00:00+00:00
1610164800000,6.52,6.52,6.175,6.317,9088.704,2021-01-09 04:00:00+00:00
1610179200000,6.337,6.524,6.337,6.45,6515.79,2021-01-09 08:00:00+00:00
1610193600000,6.471,6.74,6.329,6.418,18607.947,2021-01-09 12:00:00+00:00
1610208000000,6.456,6.534,6.318,6.534,5736.469,2021-01-09 16:00:00+00:00
1610222400000,6.52,6.687,6.476,6.543,14202.734,2021-01-09 20:00:00+00:00
1610236800000,6.589,6.723,6.52,6.574,6145.451,2021-01-10 00:00:00+00:00
1610251200000,6.594,7.123,6.587,6.861,10381.324,2021-01-10 04:00:00+00:00
1610265600000,6.861,7.12,6.274,6.39,19822.546,2021-01-10 08:00:00+00:00
1610280000000,6.397,6.848,6.312,6.636,19433.737,2021-01-10 12:00:00+00:00
1610294400000,6.595,6.639,6.25,6.339,4872.879,2021-01-10 16:00:00+00:00
1610308800000,6.316,6.519,5.992,6.408,13905.652,2021-01-10 20:00:00+00:00
1610323200000,6.408,6.426,5.373,5.734,12887.25,2021-01-11 00:00:00+00:00
1610337600000,5.71,5.915,5.646,5.866,10819.931,2021-01-11 04:00:00+00:00
1610352000000,5.752,5.828,5.627,5.637,5596.062,2021-01-11 08:00:00+00:00
1610366400000,5.639,5.71,5.09,5.231,19886.965,2021-01-11 12:00:00+00:00
1610380800000,5.226,5.528,5.007,5.413,24375.028,2021-01-11 16:00:00+00:00
1610395200000,5.396,5.728,5.348,5.728,9584.035,2021-01-11 20:00:00+00:00
1610409600000,5.713,6.113,5.542,6.086,18801.186,2021-01-12 00:00:00+00:00
1610424000000,6.085,6.135,5.902,5.991,15002.739,2021-01-12 04:00:00+00:00
1610438400000,6.005,6.005,5.623,5.85,4828.639,2021-01-12 08:00:00+00:00
1610452800000,5.9,5.939,5.521,5.654,7998.26,2021-01-12 12:00:00+00:00
1610467200000,5.7,5.9,5.68,5.74,2461.914,2021-01-12 16:00:00+00:00
1610481600000,5.733,5.828,5.624,5.72,4052.34,2021-01-12 20:00:00+00:00
1610496000000,5.691,5.801,5.561,5.783,5341.607,2021-01-13 00:00:00+00:00
1610510400000,5.768,5.9,5.744,5.881,3822.084,2021-01-13 04:00:00+00:00
1610524800000,5.879,6.037,5.853,5.968,7319.877,2021-01-13 08:00:00+00:00
1610539200000,5.976,6.018,5.873,5.944,2610.015,2021-01-13 12:00:00+00:00
1610553600000,5.975,6.224,5.975,6.097,7222.481,2021-01-13 16:00:00+00:00
1610568000000,6.113,6.245,6.02,6.228,4353.793,2021-01-13 20:00:00+00:00
1610582400000,6.246,6.45,6.2,6.336,13007.041,2021-01-14 00:00:00+00:00
1610596800000,6.351,6.489,6.351,6.415,5243.477,2021-01-14 04:00:00+00:00
1610611200000,6.382,6.575,6.349,6.513,5236.09,2021-01-14 08:00:00+00:00
1610625600000,6.514,6.517,6.297,6.314,4848.259,2021-01-14 12:00:00+00:00
1610640000000,6.323,6.452,6.312,6.42,8298.539,2021-01-14 16:00:00+00:00
1610654400000,6.417,6.474,6.15,6.474,9951.447,2021-01-14 20:00:00+00:00
1610668800000,6.479,8.289,6.446,7.507,57840.04,2021-01-15 00:00:00+00:00
1610683200000,7.538,8.028,7.356,7.817,29832.774,2021-01-15 04:00:00+00:00
1610697600000,7.81,8.469,7.692,8.054,30312.165,2021-01-15 08:00:00+00:00
1610712000000,8.057,8.185,7.124,7.2,45477.167,2021-01-15 12:00:00+00:00
1610726400000,7.199,7.788,6.807,7.52,40316.589,2021-01-15 16:00:00+00:00
1610740800000,7.53,8.29,7.417,7.911,29142.736,2021-01-15 20:00:00+00:00
1610755200000,7.927,8.427,7.674,7.95,28316.981,2021-01-16 00:00:00+00:00
1610769600000,7.961,8.194,7.559,8.09,17676.444,2021-01-16 04:00:00+00:00
1610784000000,8.142,8.962,7.933,8.679,25403.546,2021-01-16 08:00:00+00:00
1610798400000,8.677,9.579,8.281,9.154,35750.321,2021-01-16 12:00:00+00:00
1610812800000,9.207,9.314,8.589,8.9,24188.462,2021-01-16 16:00:00+00:00
1610827200000,8.878,9.256,8.388,9.03,24416.028,2021-01-16 20:00:00+00:00
1610841600000,9.018,9.193,8.597,8.729,17054.671,2021-01-17 00:00:00+00:00
1610856000000,8.784,8.933,8.055,8.189,16633.359,2021-01-17 04:00:00+00:00
1610870400000,8.153,8.742,8.026,8.634,16613.004,2021-01-17 08:00:00+00:00
1610884800000,8.614,8.633,8.18,8.559,12326.927,2021-01-17 12:00:00+00:00
1610899200000,8.57,8.82,8.353,8.766,9691.109,2021-01-17 16:00:00+00:00
1610913600000,8.761,8.828,8.513,8.523,7779.558,2021-01-17 20:00:00+00:00
1610928000000,8.561,9.365,8.543,8.663,21961.926,2021-01-18 00:00:00+00:00
1610942400000,8.701,9.542,8.633,9.295,26534.195,2021-01-18 04:00:00+00:00
1610956800000,9.302,9.304,8.906,9.096,7714.854,2021-01-18 08:00:00+00:00
1610971200000,9.031,9.114,8.628,8.978,18427.938,2021-01-18 12:00:00+00:00
1610985600000,9.006,9.612,8.828,9.594,11676.272,2021-01-18 16:00:00+00:00
1611000000000,9.62,9.834,9.387,9.561,8446.75,2021-01-18 20:00:00+00:00
1611014400000,9.6,10.19,9.455,9.539,17466.542,2021-01-19 00:00:00+00:00
1611028800000,9.582,9.593,9.215,9.365,9669.249,2021-01-19 04:00:00+00:00
1611043200000,9.348,9.614,9.25,9.285,4360.35,2021-01-19 08:00:00+00:00
1611057600000,9.275,9.448,9.035,9.214,7856.012,2021-01-19 12:00:00+00:00
1611072000000,9.235,9.259,8.861,8.994,12888.327,2021-01-19 16:00:00+00:00
1611086400000,8.95,9.382,8.9,8.9,11941.246,2021-01-19 20:00:00+00:00
1611100800000,8.896,9.48,8.72,8.993,22168.646,2021-01-20 00:00:00+00:00
1611115200000,8.95,9.208,8.819,9.097,8666.885,2021-01-20 04:00:00+00:00
1611129600000,9.103,9.103,8.061,8.16,12383.755,2021-01-20 08:00:00+00:00
1611144000000,8.055,8.476,8.017,8.105,14973.302,2021-01-20 12:00:00+00:00
1611158400000,8.117,8.734,7.953,8.726,22067.102,2021-01-20 16:00:00+00:00
1611172800000,8.767,8.911,8.564,8.876,6778.124,2021-01-20 20:00:00+00:00
1611187200000,8.919,8.954,8.373,8.488,7976.857,2021-01-21 00:00:00+00:00
1611201600000,8.484,8.574,8.279,8.443,4255.162,2021-01-21 04:00:00+00:00
1611216000000,8.411,8.411,7.819,8.005,33431.518,2021-01-21 08:00:00+00:00
1611230400000,7.952,8.273,7.732,7.929,28258.007,2021-01-21 12:00:00+00:00
1611244800000,7.883,8.16,7.669,7.991,11548.692,2021-01-21 16:00:00+00:00
1611259200000,7.999,7.999,7.086,7.167,11516.32,2021-01-21 20:00:00+00:00
1611273600000,7.168,7.456,6.628,7.456,41558.494,2021-01-22 00:00:00+00:00
1611288000000,7.478,7.644,7.304,7.36,11954.666,2021-01-22 04:00:00+00:00
1611302400000,7.383,7.76,7.25,7.705,8349.196,2021-01-22 08:00:00+00:00
1611316800000,7.752,8.398,7.752,8.243,9956.746,2021-01-22 12:00:00+00:00
1611331200000,8.254,8.453,8.12,8.373,11657.02,2021-01-22 16:00:00+00:00
1611345600000,8.301,8.393,7.979,7.992,5863.38,2021-01-22 20:00:00+00:00
1611360000000,7.975,8.346,7.856,8.346,6176.869,2021-01-23 00:00:00+00:00
